Id:,20036
Estación:,HUAUTLA DE JIMENEZ-OAX
Posición:,18.1330555556N -96.8302777778W
Variable:,Evaporación (mm)
Fecha Inicial:,12/01/1976
Fecha Final:,02/01/2003
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1976,null
12,02,1976,null
12,03,1976,null
12,04,1976,null
12,05,1976,null
12,06,1976,null
12,07,1976,null
12,08,1976,null
12,09,1976,null
12,10,1976,null
12,11,1976,null
12,12,1976,null
12,13,1976,null
12,14,1976,null
12,15,1976,null
12,16,1976,null
12,17,1976,null
12,18,1976,null
12,19,1976,null
12,20,1976,null
12,21,1976,null
12,22,1976,null
12,23,1976,null
12,24,1976,null
12,25,1976,null
12,26,1976,null
12,27,1976,null
12,28,1976,null
12,29,1976,null
12,30,1976,3.2
12,31,1976,3.2
01,01,1977,4.2
01,02,1977,2.2
01,03,1977,2.0
01,04,1977,2.2
01,05,1977,3.5
01,06,1977,3.6
01,07,1977,1.8
01,08,1977,3.0
01,09,1977,3.4
01,10,1977,1.9
01,11,1977,2.5
01,12,1977,1.0
01,13,1977,2.2
01,14,1977,1.9
01,15,1977,3.5
01,16,1977,1.7
01,17,1977,1.4
01,18,1977,3.4
01,19,1977,3.1
01,20,1977,2.9
01,21,1977,2.8
01,22,1977,2.1
01,23,1977,2.2
01,24,1977,2.6
01,25,1977,3.0
01,26,1977,3.7
01,27,1977,2.0
01,28,1977,4.4
01,29,1977,1.5
01,30,1977,1.8
01,31,1977,0.3
02,01,1977,2.2
02,02,1977,2.9
02,03,1977,3.6
02,04,1977,2.0
02,05,1977,1.0
02,06,1977,1.0
02,07,1977,1.1
02,08,1977,1.2
02,09,1977,1.4
02,10,1977,0.6
02,11,1977,0.9
02,12,1977,4.7
02,13,1977,0.7
02,14,1977,0.8
02,15,1977,1.4
02,16,1977,1.2
02,17,1977,3.0
02,18,1977,4.8
02,19,1977,3.1
02,20,1977,1.2
02,21,1977,3.5
02,22,1977,6.3
02,23,1977,4.2
02,24,1977,5.1
02,25,1977,4.0
02,26,1977,4.6
02,27,1977,1.7
02,28,1977,0.4
03,01,1977,1.0
03,02,1977,3.1
03,03,1977,6.9
03,04,1977,2.2
03,05,1977,4.7
03,06,1977,0.5
03,07,1977,1.4
03,08,1977,2.1
03,09,1977,3.7
03,10,1977,3.7
03,11,1977,6.0
03,12,1977,5.5
03,13,1977,5.0
03,14,1977,1.8
03,15,1977,5.7
03,16,1977,5.6
03,17,1977,4.6
03,18,1977,4.8
03,19,1977,5.2
03,20,1977,2.6
03,21,1977,4.1
03,22,1977,2.6
03,23,1977,1.8
03,24,1977,2.3
03,25,1977,5.1
03,26,1977,4.6
