Id:,20038
Estación:,IXTAYUTLA-OAX
Posición:,16.5719444444N -97.6777777778W
Variable:,Evaporación (mm)
Fecha Inicial:,06/01/1964
Fecha Final:,01/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1964,5.9
06,02,1964,7.1
06,03,1964,6.5
06,04,1964,4.6
06,05,1964,4.3
06,06,1964,3.0
06,07,1964,3.8
06,08,1964,3.4
06,09,1964,4.7
06,10,1964,4.1
06,11,1964,4.7
06,12,1964,3.7
06,13,1964,4.6
06,14,1964,5.3
06,15,1964,5.0
06,16,1964,3.8
06,17,1964,4.4
06,18,1964,5.2
06,19,1964,6.7
06,20,1964,4.6
06,21,1964,3.3
06,22,1964,4.0
06,23,1964,4.3
06,24,1964,4.1
06,25,1964,5.7
06,26,1964,3.6
06,27,1964,4.4
06,28,1964,2.0
06,29,1964,4.6
06,30,1964,3.4
07,01,1964,3.3
07,02,1964,2.8
07,03,1964,2.2
07,04,1964,4.1
07,05,1964,7.2
07,06,1964,4.6
07,07,1964,6.3
07,08,1964,4.9
07,09,1964,5.2
07,10,1964,3.8
07,11,1964,2.8
07,12,1964,5.7
07,13,1964,4.0
07,14,1964,3.3
07,15,1964,5.8
07,16,1964,6.0
07,17,1964,3.2
07,18,1964,4.4
07,19,1964,5.3
07,20,1964,4.5
07,21,1964,5.3
07,22,1964,2.7
07,23,1964,3.8
07,24,1964,4.3
07,25,1964,2.0
07,26,1964,3.1
07,27,1964,5.0
07,28,1964,3.7
07,29,1964,6.6
07,30,1964,4.3
07,31,1964,5.2
08,01,1964,3.4
08,02,1964,5.1
08,03,1964,6.2
08,04,1964,5.0
08,05,1964,5.3
08,06,1964,4.7
08,07,1964,5.0
08,08,1964,4.9
08,09,1964,5.0
08,10,1964,3.2
08,11,1964,5.2
08,12,1964,4.8
08,13,1964,3.7
08,14,1964,3.3
08,15,1964,3.7
08,16,1964,6.4
08,17,1964,2.4
08,18,1964,4.9
08,19,1964,4.3
08,20,1964,3.9
08,21,1964,3.3
08,22,1964,4.6
08,23,1964,6.2
08,24,1964,3.5
08,25,1964,2.7
08,26,1964,4.3
08,27,1964,3.5
08,28,1964,2.7
08,29,1964,4.6
08,30,1964,3.9
08,31,1964,4.1
09,01,1964,2.5
09,02,1964,2.9
09,03,1964,2.5
09,04,1964,2.4
09,05,1964,3.4
09,06,1964,2.4
09,07,1964,2.6
09,08,1964,3.0
09,09,1964,2.8
09,10,1964,4.4
09,11,1964,2.6
09,12,1964,3.5
09,13,1964,3.1
09,14,1964,2.5
09,15,1964,3.6
09,16,1964,3.7
09,17,1964,3.4
09,18,1964,7.0
09,19,1964,4.6
09,20,1964,5.8
09,21,1964,6.3
09,22,1964,6.0
09,23,1964,4.3
09,24,1964,2.7
09,25,1964,1.8
09,26,1964,5.9
09,27,1964,6.1
09,28,1964,5.7
09,29,1964,5.9
09,30,1964,7.8
10,01,1964,2.3
10,02,1964,4.3
10,03,1964,2.5
10,04,1964,3.3
10,05,1964,6.6
10,06,1964,8.2
10,07,1964,5.7
10,08,1964,2.9
10,09,1964,4.1
10,10,1964,4.2
10,11,1964,3.1
10,12,1964,4.1
10,13,1964,1.8
10,14,1964,3.7
10,15,1964,4.5
10,16,1964,4.9
10,17,1964,3.8
10,18,1964,3.9
10,19,1964,4.8
10,20,1964,8.3
10,21,1964,4.7
10,22,1964,2.5
10,23,1964,4.8
10,24,1964,4.3
10,25,1964,4.6
10,26,1964,1.9
10,27,1964,1.9
10,28,1964,3.3
10,29,1964,5.3
10,30,1964,2.7
10,31,1964,5.7
11,01,1964,2.8
11,02,1964,4.4
11,03,1964,5.2
11,04,1964,4.9
11,05,1964,4.2
11,06,1964,5.1
11,07,1964,6.0
11,08,1964,4.4
11,09,1964,6.6
