Id:,20057
Estación:,LA MACETA-OAX
Posición:,16.85N -95.1525W
Variable:,Evaporación (mm)
Fecha Inicial:,11/01/1978
Fecha Final:,01/01/1987
No Dato:,nan
Mes,Día,Anio,Datos
11,01,1978,6.8
11,02,1978,3.1
11,03,1978,4.2
11,04,1978,5.8
11,05,1978,6.2
11,06,1978,8.5
11,07,1978,1.5
11,08,1978,2.9
11,09,1978,3.8
11,10,1978,2.9
11,11,1978,2.5
11,12,1978,2.6
11,13,1978,2.0
11,14,1978,3.1
11,15,1978,3.5
11,16,1978,2.3
11,17,1978,4.0
11,18,1978,7.1
11,19,1978,5.6
11,20,1978,2.9
11,21,1978,2.7
11,22,1978,4.1
11,23,1978,5.8
11,24,1978,3.3
11,25,1978,6.0
11,26,1978,3.6
11,27,1978,4.7
11,28,1978,5.9
11,29,1978,5.5
11,30,1978,4.8
12,01,1978,5.2
12,02,1978,5.5
12,03,1978,3.8
12,04,1978,5.4
12,05,1978,4.4
12,06,1978,3.8
12,07,1978,2.9
12,08,1978,5.1
12,09,1978,4.9
12,10,1978,2.4
12,11,1978,4.3
12,12,1978,5.8
12,13,1978,3.9
12,14,1978,4.1
12,15,1978,5.5
12,16,1978,5.2
12,17,1978,5.3
12,18,1978,7.7
12,19,1978,4.9
12,20,1978,3.5
12,21,1978,3.9
12,22,1978,5.1
12,23,1978,5.2
12,24,1978,4.6
12,25,1978,4.9
12,26,1978,5.4
12,27,1978,3.1
12,28,1978,5.5
12,29,1978,4.7
12,30,1978,5.4
12,31,1978,2.1
01,01,1979,3.8
01,02,1979,7.7
01,03,1979,5.5
01,04,1979,2.6
01,05,1979,6.2
01,06,1979,6.0
01,07,1979,5.1
01,08,1979,5.8
01,09,1979,3.9
01,10,1979,7.5
01,11,1979,3.2
01,12,1979,3.1
01,13,1979,2.7
01,14,1979,2.8
01,15,1979,3.3
01,16,1979,8.4
01,17,1979,3.1
01,18,1979,5.8
01,19,1979,5.6
01,20,1979,6.9
01,21,1979,3.3
01,22,1979,6.2
01,23,1979,6.4
01,24,1979,8.1
01,25,1979,5.6
01,26,1979,4.9
01,27,1979,4.1
01,28,1979,6.5
01,29,1979,4.2
01,30,1979,7.1
01,31,1979,7.4
02,01,1979,4.4
02,02,1979,2.8
02,03,1979,1.4
02,04,1979,8.8
02,05,1979,4.1
02,06,1979,1.9
02,07,1979,4.2
02,08,1979,5.7
02,09,1979,5.0
02,10,1979,1.1
02,11,1979,5.0
02,12,1979,3.2
02,13,1979,2.5
02,14,1979,2.4
02,15,1979,2.7
02,16,1979,6.1
02,17,1979,4.4
02,18,1979,3.6
02,19,1979,5.2
02,20,1979,1.1
02,21,1979,8.9
02,22,1979,4.1
02,23,1979,3.1
02,24,1979,8.6
02,25,1979,5.1
02,26,1979,2.5
02,27,1979,3.4
02,28,1979,5.0
03,01,1979,4.8
03,02,1979,4.7
03,03,1979,5.4
03,04,1979,4.8
03,05,1979,6.7
03,06,1979,5.9
03,07,1979,4.3
03,08,1979,6.7
03,09,1979,4.4
03,10,1979,6.3
03,11,1979,2.7
03,12,1979,5.0
03,13,1979,5.4
03,14,1979,3.5
03,15,1979,5.1
03,16,1979,5.2
03,17,1979,5.4
03,18,1979,4.6
03,19,1979,4.5
03,20,1979,5.8
03,21,1979,9.3
03,22,1979,3.6
03,23,1979,6.9
03,24,1979,6.1
03,25,1979,4.7
03,26,1979,4.1
03,27,1979,5.5
03,28,1979,5.1
03,29,1979,4.9
03,30,1979,5.9
03,31,1979,4.6
04,01,1979,8.2
04,02,1979,6.0
04,03,1979,7.1
04,04,1979,3.2
04,05,1979,4.5
04,06,1979,2.3
04,07,1979,5.1
04,08,1979,4.5
04,09,1979,6.7
04,10,1979,5.4
04,11,1979,7.4
04,12,1979,4.9
04,13,1979,8.6
04,14,1979,5.9
04,15,1979,6.0
04,16,1979,5.4
04,17,1979,6.2
04,18,1979,7.7
04,19,1979,6.2
04,20,1979,8.8
04,21,1979,5.1
04,22,1979,4.2
04,23,1979,6.9
04,24,1979,4.4
04,25,1979,4.0
04,26,1979,5.6
04,27,1979,2.4
04,28,1979,6.6
04,29,1979,7.7
04,30,1979,7.9
05,01,1979,4.1
05,02,1979,10.9
05,03,1979,9.1
05,04,1979,3.3
05,05,1979,1.2
05,06,1979,4.3
05,07,1979,4.8
05,08,1979,5.1
05,09,1979,4.4
05,10,1979,4.3
05,11,1979,7.7
05,12,1979,4.4
05,13,1979,9.8
05,14,1979,9.7
05,15,1979,7.9
05,16,1979,3.0
05,17,1979,2.9
05,18,1979,4.9
05,19,1979,4.2
05,20,1979,4.8
05,21,1979,9.0
05,22,1979,4.8
05,23,1979,6.6
05,24,1979,8.6
05,25,1979,10.9
05,26,1979,6.1
05,27,1979,5.1
05,28,1979,7.1
05,29,1979,5.9
05,30,1979,5.8
05,31,1979,10.2
06,01,1979,6.7
06,02,1979,6.3
06,03,1979,7.9
06,04,1979,6.8
06,05,1979,2.1
06,06,1979,3.1
06,07,1979,2.2
06,08,1979,2.1
06,09,1979,9.9
06,10,1979,5.5
06,11,1979,9.3
06,12,1979,10.0
06,13,1979,2.8
06,14,1979,3.1
06,15,1979,1.9
06,16,1979,2.8
06,17,1979,3.1
06,18,1979,2.2
06,19,1979,5.8
06,20,1979,6.0
06,21,1979,3.6
06,22,1979,6.0
06,23,1979,3.2
06,24,1979,8.1
06,25,1979,5.4
06,26,1979,9.9
06,27,1979,10.9
06,28,1979,2.1
06,29,1979,4.3
06,30,1979,5.6
07,01,1979,2.0
07,02,1979,1.2
07,03,1979,2.2
07,04,1979,6.9
07,05,1979,3.7
07,06,1979,7.0
07,07,1979,5.9
07,08,1979,9.1
07,09,1979,3.5
07,10,1979,6.3
07,11,1979,6.0
07,12,1979,12.0
07,13,1979,4.0
07,14,1979,1.5
07,15,1979,5.5
07,16,1979,11.4
07,17,1979,6.1
07,18,1979,2.1
07,19,1979,4.4
07,20,1979,1.7
07,21,1979,8.6
07,22,1979,4.4
07,23,1979,6.8
07,24,1979,5.2
07,25,1979,4.1
07,26,1979,4.7
07,27,1979,7.2
07,28,1979,4.3
07,29,1979,1.9
07,30,1979,2.0
07,31,1979,5.0
08,01,1979,8.7
08,02,1979,4.9
08,03,1979,5.9
08,04,1979,7.2
08,05,1979,2.0
08,06,1979,5.6
08,07,1979,3.1
08,08,1979,2.8
08,09,1979,3.6
08,10,1979,3.7
08,11,1979,4.0
08,12,1979,3.0
08,13,1979,3.0
08,14,1979,2.0
08,15,1979,3.6
08,16,1979,1.0
08,17,1979,2.6
08,18,1979,1.8
08,19,1979,3.7
08,20,1979,2.3
08,21,1979,2.9
08,22,1979,3.4
08,23,1979,5.8
08,24,1979,5.8
08,25,1979,3.5
08,26,1979,2.9
08,27,1979,3.6
08,28,1979,3.0
08,29,1979,3.1
08,30,1979,2.9
08,31,1979,3.7
09,01,1979,4.1
09,02,1979,2.7
09,03,1979,5.4
09,04,1979,2.0
09,05,1979,2.3
09,06,1979,4.4
09,07,1979,4.0
09,08,1979,6.3
09,09,1979,3.7
09,10,1979,6.0
09,11,1979,6.0
09,12,1979,5.0
09,13,1979,1.0
09,14,1979,3.0
09,15,1979,4.0
09,16,1979,4.0
09,17,1979,5.0
09,18,1979,6.0
09,19,1979,4.2
09,20,1979,8.0
09,21,1979,4.0
09,22,1979,3.1
09,23,1979,3.9
09,24,1979,4.0
09,25,1979,6.0
09,26,1979,2.1
09,27,1979,3.9
09,28,1979,5.0
09,29,1979,3.0
09,30,1979,4.2
10,01,1979,5.1
10,02,1979,2.0
10,03,1979,3.1
10,04,1979,5.6
10,05,1979,5.2
10,06,1979,4.1
10,07,1979,2.9
10,08,1979,4.3
10,09,1979,3.7
10,10,1979,4.2
10,11,1979,4.1
10,12,1979,5.9
10,13,1979,5.3
10,14,1979,4.4
10,15,1979,4.5
10,16,1979,3.9
10,17,1979,3.9
10,18,1979,5.8
10,19,1979,4.1
10,20,1979,3.2
10,21,1979,4.7
10,22,1979,2.2
10,23,1979,5.0
10,24,1979,5.0
10,25,1979,4.8
10,26,1979,5.4
10,27,1979,3.9
10,28,1979,4.7
10,29,1979,3.3
10,30,1979,4.0
10,31,1979,4.3
11,01,1979,8.2
11,02,1979,10.8
11,03,1979,6.2
11,04,1979,6.8
11,05,1979,6.0
11,06,1979,6.2
11,07,1979,7.2
11,08,1979,5.6
11,09,1979,2.2
11,10,1979,5.2
11,11,1979,3.9
11,12,1979,3.7
11,13,1979,5.9
11,14,1979,5.4
11,15,1979,10.8
11,16,1979,10.8
11,17,1979,7.9
11,18,1979,7.2
11,19,1979,7.1
11,20,1979,8.8
11,21,1979,8.4
11,22,1979,7.5
11,23,1979,6.1
11,24,1979,6.0
11,25,1979,4.4
11,26,1979,6.5
11,27,1979,4.8
11,28,1979,6.3
11,29,1979,5.8
11,30,1979,5.0
12,01,1979,3.3
12,02,1979,6.8
12,03,1979,5.7
12,04,1979,3.4
12,05,1979,0.7
12,06,1979,2.8
12,07,1979,2.2
12,08,1979,3.9
12,09,1979,3.1
12,10,1979,3.0
12,11,1979,3.2
12,12,1979,3.6
12,13,1979,2.3
12,14,1979,3.2
12,15,1979,2.5
12,16,1979,4.4
12,17,1979,3.0
12,18,1979,3.8
12,19,1979,3.1
12,20,1979,4.2
12,21,1979,4.8
12,22,1979,4.0
12,23,1979,4.9
12,24,1979,5.3
12,25,1979,3.9
12,26,1979,3.7
12,27,1979,3.1
12,28,1979,3.3
12,29,1979,3.2
12,30,1979,4.9
12,31,1979,6.9
01,01,1980,3.2
01,02,1980,0.7
01,03,1980,5.0
01,04,1980,2.1
01,05,1980,7.9
01,06,1980,1.2
01,07,1980,0.9
01,08,1980,1.0
01,09,1980,4.1
01,10,1980,2.0
01,11,1980,1.3
01,12,1980,5.9
01,13,1980,4.2
01,14,1980,1.8
01,15,1980,2.8
01,16,1980,2.3
01,17,1980,3.1
01,18,1980,5.6
01,19,1980,2.2
01,20,1980,2.0
01,21,1980,5.3
01,22,1980,0.9
01,23,1980,0.2
01,24,1980,1.8
01,25,1980,1.3
01,26,1980,2.4
01,27,1980,2.4
01,28,1980,1.4
01,29,1980,3.0
01,30,1980,2.6
01,31,1980,4.0
02,01,1980,1.4
02,02,1980,2.5
02,03,1980,1.7
02,04,1980,2.8
02,05,1980,3.1
02,06,1980,3.6
02,07,1980,2.2
02,08,1980,1.9
02,09,1980,1.8
02,10,1980,2.0
02,11,1980,2.1
02,12,1980,1.1
02,13,1980,1.9
02,14,1980,2.4
02,15,1980,3.7
02,16,1980,5.1
02,17,1980,4.4
02,18,1980,1.8
02,19,1980,4.9
02,20,1980,3.1
02,21,1980,2.3
02,22,1980,2.7
02,23,1980,4.3
02,24,1980,2.3
02,25,1980,2.9
02,26,1980,3.0
02,27,1980,3.0
02,28,1980,3.1
02,29,1980,1.8
03,01,1980,5.6
03,02,1980,1.1
03,03,1980,5.1
03,04,1980,5.8
03,05,1980,5.3
03,06,1980,4.9
03,07,1980,4.1
03,08,1980,5.6
03,09,1980,1.4
03,10,1980,2.9
03,11,1980,5.8
03,12,1980,1.3
03,13,1980,3.1
03,14,1980,2.4
03,15,1980,3.1
03,16,1980,4.3
03,17,1980,5.6
03,18,1980,4.4
03,19,1980,4.2
03,20,1980,1.9
03,21,1980,2.6
03,22,1980,3.3
03,23,1980,3.2
03,24,1980,2.9
03,25,1980,5.6
03,26,1980,4.3
03,27,1980,7.3
03,28,1980,6.7
03,29,1980,6.9
03,30,1980,3.9
03,31,1980,7.7
04,01,1980,3.5
04,02,1980,2.8
04,03,1980,2.3
04,04,1980,4.6
04,05,1980,6.5
04,06,1980,5.2
04,07,1980,5.2
04,08,1980,3.8
04,09,1980,4.6
04,10,1980,6.2
04,11,1980,14.1
04,12,1980,5.4
04,13,1980,1.7
04,14,1980,4.0
04,15,1980,4.9
04,16,1980,1.6
04,17,1980,8.2
04,18,1980,5.6
04,19,1980,4.4
04,20,1980,3.5
04,21,1980,5.4
04,22,1980,4.0
04,23,1980,3.2
04,24,1980,6.9
04,25,1980,7.1
04,26,1980,6.8
04,27,1980,6.2
04,28,1980,4.7
04,29,1980,8.5
