Id:,20082
Estación:,OSTUTA-OAX
Posición:,16.4966666667N -94.4405555556W
Variable:,Evaporación (mm)
Fecha Inicial:,02/01/1948
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1948,null
02,02,1948,null
02,03,1948,null
02,04,1948,null
02,05,1948,null
02,06,1948,null
02,07,1948,null
02,08,1948,null
02,09,1948,null
02,10,1948,null
02,11,1948,4.2
02,12,1948,5.9
02,13,1948,7.1
02,14,1948,10.3
02,15,1948,6.7
02,16,1948,9.4
02,17,1948,12.2
02,18,1948,8.9
02,19,1948,6.8
02,20,1948,6.0
02,21,1948,7.1
02,22,1948,6.7
02,23,1948,5.3
02,24,1948,4.4
02,25,1948,7.4
02,26,1948,5.6
02,27,1948,6.9
02,28,1948,5.7
02,29,1948,4.4
03,01,1948,5.9
03,02,1948,5.0
03,03,1948,6.1
03,04,1948,6.6
03,05,1948,5.0
03,06,1948,1.4
03,07,1948,0.7
03,08,1948,4.4
03,09,1948,6.7
03,10,1948,5.6
03,11,1948,4.0
03,12,1948,12.3
03,13,1948,6.7
03,14,1948,9.4
03,15,1948,6.6
03,16,1948,8.1
03,17,1948,6.4
03,18,1948,6.8
03,19,1948,6.4
03,20,1948,7.1
03,21,1948,4.8
03,22,1948,7.4
03,23,1948,8.7
03,24,1948,6.6
03,25,1948,5.8
03,26,1948,2.8
03,27,1948,4.5
03,28,1948,11.4
03,29,1948,7.0
03,30,1948,7.1
03,31,1948,5.5
04,01,1948,6.8
04,02,1948,9.1
04,03,1948,1.8
04,04,1948,7.0
04,05,1948,9.2
04,06,1948,7.7
04,07,1948,6.3
04,08,1948,0.5
04,09,1948,9.6
04,10,1948,2.4
04,11,1948,3.6
04,12,1948,7.4
04,13,1948,4.9
04,14,1948,13.0
04,15,1948,11.9
04,16,1948,11.8
04,17,1948,11.0
04,18,1948,3.6
04,19,1948,7.9
04,20,1948,8.3
04,21,1948,11.9
04,22,1948,6.7
04,23,1948,6.8
04,24,1948,8.4
04,25,1948,6.4
04,26,1948,7.4
04,27,1948,9.0
04,28,1948,11.7
04,29,1948,10.1
04,30,1948,7.4
05,01,1948,6.4
05,02,1948,6.8
05,03,1948,6.7
05,04,1948,7.2
05,05,1948,7.7
05,06,1948,8.0
05,07,1948,4.4
05,08,1948,5.2
05,09,1948,6.2
05,10,1948,5.9
05,11,1948,7.0
05,12,1948,2.5
05,13,1948,10.0
05,14,1948,11.1
05,15,1948,7.0
05,16,1948,8.1
05,17,1948,7.6
05,18,1948,7.9
05,19,1948,11.3
05,20,1948,11.5
05,21,1948,11.0
05,22,1948,6.3
05,23,1948,9.5
05,24,1948,6.5
05,25,1948,7.9
05,26,1948,3.5
05,27,1948,6.5
05,28,1948,4.4
05,29,1948,15.3
05,30,1948,4.1
05,31,1948,10.1
06,01,1948,10.1
06,02,1948,10.8
06,03,1948,3.3
06,04,1948,1.5
06,05,1948,7.3
06,06,1948,6.2
06,07,1948,5.6
06,08,1948,5.2
06,09,1948,5.9
06,10,1948,4.7
06,11,1948,13.2
06,12,1948,4.3
06,13,1948,6.8
06,14,1948,5.1
06,15,1948,4.7
06,16,1948,7.1
06,17,1948,5.2
06,18,1948,3.9
06,19,1948,7.3
06,20,1948,6.5
06,21,1948,9.3
06,22,1948,13.5
06,23,1948,11.5
06,24,1948,4.9
06,25,1948,5.9
06,26,1948,5.3
06,27,1948,10.6
06,28,1948,8.2
06,29,1948,5.0
06,30,1948,0.5
07,01,1948,3.6
07,02,1948,12.2
07,03,1948,2.8
07,04,1948,3.0
07,05,1948,1.6
07,06,1948,4.9
07,07,1948,3.7
07,08,1948,6.6
07,09,1948,5.3
07,10,1948,0.9
07,11,1948,10.6
07,12,1948,12.2
07,13,1948,1.8
07,14,1948,4.8
07,15,1948,6.0
07,16,1948,1.2
07,17,1948,5.2
07,18,1948,3.6
07,19,1948,2.8
07,20,1948,1.3
07,21,1948,1.5
07,22,1948,5.6
07,23,1948,11.0
07,24,1948,1.1
07,25,1948,1.3
07,26,1948,4.1
07,27,1948,0.7
07,28,1948,0.4
07,29,1948,8.5
07,30,1948,5.1
07,31,1948,6.5
08,01,1948,null
08,02,1948,null
08,03,1948,null
08,04,1948,null
08,05,1948,null
08,06,1948,null
08,07,1948,null
08,08,1948,null
08,09,1948,null
08,10,1948,null
08,11,1948,null
08,12,1948,null
08,13,1948,null
08,14,1948,null
08,15,1948,null
08,16,1948,null
08,17,1948,null
08,18,1948,null
08,19,1948,null
08,20,1948,null
08,21,1948,null
08,22,1948,null
08,23,1948,null
08,24,1948,null
08,25,1948,null
08,26,1948,null
08,27,1948,null
08,28,1948,null
08,29,1948,null
08,30,1948,null
08,31,1948,null
09,01,1948,7.8
09,02,1948,6.0
09,03,1948,8.7
09,04,1948,8.5
09,05,1948,5.5
09,06,1948,6.4
09,07,1948,5.9
09,08,1948,5.9
09,09,1948,8.0
09,10,1948,7.8
09,11,1948,5.8
09,12,1948,5.9
09,13,1948,5.3
09,14,1948,3.5
09,15,1948,7.6
09,16,1948,6.2
09,17,1948,7.0
09,18,1948,7.0
09,19,1948,10.5
09,20,1948,4.2
09,21,1948,4.0
09,22,1948,4.9
09,23,1948,null
09,24,1948,4.5
09,25,1948,6.1
09,26,1948,4.0
09,27,1948,4.0
09,28,1948,5.7
09,29,1948,4.6
09,30,1948,6.6
10,01,1948,4.2
10,02,1948,4.9
10,03,1948,5.7
10,04,1948,4.4
10,05,1948,4.2
10,06,1948,5.5
10,07,1948,1.3
10,08,1948,3.2
10,09,1948,10.8
10,10,1948,3.9
10,11,1948,3.2
10,12,1948,5.1
10,13,1948,5.6
10,14,1948,4.2
10,15,1948,4.2
10,16,1948,4.9
10,17,1948,7.9
10,18,1948,5.0
10,19,1948,7.0
10,20,1948,6.1
10,21,1948,6.9
10,22,1948,8.0
10,23,1948,6.1
10,24,1948,5.1
10,25,1948,7.5
10,26,1948,7.1
10,27,1948,5.9
10,28,1948,5.0
10,29,1948,4.1
10,30,1948,5.0
10,31,1948,6.9
11,01,1948,4.8
11,02,1948,5.3
11,03,1948,6.8
11,04,1948,4.8
11,05,1948,4.2
11,06,1948,8.0
11,07,1948,6.0
11,08,1948,3.9
11,09,1948,3.5
11,10,1948,8.5
11,11,1948,4.3
11,12,1948,7.7
11,13,1948,3.4
11,14,1948,4.2
11,15,1948,4.0
11,16,1948,3.0
11,17,1948,6.7
11,18,1948,5.0
11,19,1948,4.1
11,20,1948,3.9
11,21,1948,2.0
11,22,1948,4.7
11,23,1948,3.4
11,24,1948,5.3
11,25,1948,5.5
11,26,1948,4.1
11,27,1948,4.9
11,28,1948,8.1
11,29,1948,8.0
11,30,1948,6.0
12,01,1948,5.9
12,02,1948,4.4
12,03,1948,8.5
12,04,1948,5.1
12,05,1948,4.9
12,06,1948,4.6
12,07,1948,6.4
12,08,1948,4.9
12,09,1948,3.7
12,10,1948,6.1
12,11,1948,5.8
12,12,1948,4.2
12,13,1948,6.8
12,14,1948,5.1
12,15,1948,4.9
12,16,1948,5.7
12,17,1948,6.0
12,18,1948,4.0
12,19,1948,5.1
12,20,1948,3.4
12,21,1948,4.8
12,22,1948,6.8
12,23,1948,7.0
12,24,1948,5.0
12,25,1948,6.1
12,26,1948,6.8
12,27,1948,7.1
12,28,1948,5.2
12,29,1948,6.7
12,30,1948,11.9
12,31,1948,9.2
01,01,1949,5.8
01,02,1949,6.9
01,03,1949,2.8
01,04,1949,5.3
01,05,1949,6.2
01,06,1949,8.8
01,07,1949,5.2
01,08,1949,7.7
01,09,1949,6.2
01,10,1949,5.0
01,11,1949,8.9
01,12,1949,8.7
01,13,1949,9.2
01,14,1949,4.2
01,15,1949,6.8
01,16,1949,4.9
01,17,1949,6.2
01,18,1949,5.9
01,19,1949,9.1
01,20,1949,6.1
01,21,1949,7.0
01,22,1949,5.8
01,23,1949,6.1
01,24,1949,4.9
