Id:,20084
Estación:,PAPALOAPAN-OAX
Posición:,18.1497222222N -96.0677777778W
Variable:,Evaporación (mm)
Fecha Inicial:,08/01/1948
Fecha Final:,03/01/2000
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1948,4.1
08,02,1948,8.7
08,03,1948,5.9
08,04,1948,5.7
08,05,1948,3.0
08,06,1948,4.3
08,07,1948,2.6
08,08,1948,4.8
08,09,1948,6.6
08,10,1948,3.8
08,11,1948,6.2
08,12,1948,5.2
08,13,1948,7.0
08,14,1948,5.0
08,15,1948,6.3
08,16,1948,1.5
08,17,1948,4.8
08,18,1948,5.4
08,19,1948,5.6
08,20,1948,2.1
08,21,1948,6.1
08,22,1948,8.1
08,23,1948,6.8
08,24,1948,5.8
08,25,1948,6.6
08,26,1948,5.6
08,27,1948,5.6
08,28,1948,5.6
08,29,1948,4.1
08,30,1948,5.1
08,31,1948,7.0
09,01,1948,4.6
09,02,1948,6.1
09,03,1948,8.3
09,04,1948,5.9
09,05,1948,7.4
09,06,1948,3.1
09,07,1948,6.4
09,08,1948,4.1
09,09,1948,4.0
09,10,1948,2.3
09,11,1948,4.8
09,12,1948,5.8
09,13,1948,4.8
09,14,1948,4.9
09,15,1948,3.4
09,16,1948,3.8
09,17,1948,1.9
09,18,1948,4.9
09,19,1948,5.2
09,20,1948,5.8
09,21,1948,5.1
09,22,1948,5.5
09,23,1948,11.7
09,24,1948,4.6
09,25,1948,3.6
09,26,1948,3.7
09,27,1948,5.6
09,28,1948,5.2
09,29,1948,2.5
09,30,1948,3.1
10,01,1948,1.8
10,02,1948,2.2
10,03,1948,2.5
10,04,1948,6.9
10,05,1948,3.9
10,06,1948,4.7
10,07,1948,5.6
10,08,1948,3.9
10,09,1948,2.0
10,10,1948,5.0
10,11,1948,4.9
10,12,1948,8.1
10,13,1948,3.3
10,14,1948,3.0
10,15,1948,4.8
10,16,1948,4.7
10,17,1948,4.1
10,18,1948,2.6
10,19,1948,1.5
10,20,1948,1.3
10,21,1948,3.1
10,22,1948,4.1
10,23,1948,2.6
10,24,1948,5.3
10,25,1948,4.8
10,26,1948,2.6
10,27,1948,3.7
10,28,1948,3.8
10,29,1948,5.3
10,30,1948,2.8
10,31,1948,5.2
11,01,1948,3.0
11,02,1948,3.4
11,03,1948,4.5
11,04,1948,4.3
11,05,1948,6.7
11,06,1948,2.6
11,07,1948,2.7
11,08,1948,3.8
11,09,1948,7.2
11,10,1948,5.0
11,11,1948,1.9
11,12,1948,3.8
11,13,1948,2.2
11,14,1948,1.0
11,15,1948,2.1
11,16,1948,3.8
11,17,1948,3.4
11,18,1948,4.9
11,19,1948,1.4
11,20,1948,2.8
11,21,1948,1.7
11,22,1948,4.4
11,23,1948,0.6
11,24,1948,2.4
11,25,1948,3.2
11,26,1948,1.5
11,27,1948,4.7
11,28,1948,5.6
11,29,1948,2.1
11,30,1948,1.9
12,01,1948,4.5
12,02,1948,2.1
12,03,1948,1.7
12,04,1948,5.2
12,05,1948,2.7
12,06,1948,3.2
12,07,1948,3.7
12,08,1948,4.3
12,09,1948,1.6
12,10,1948,1.1
12,11,1948,1.6
12,12,1948,3.6
12,13,1948,2.4
12,14,1948,2.9
12,15,1948,3.9
12,16,1948,2.0
12,17,1948,3.1
12,18,1948,4.1
12,19,1948,3.8
12,20,1948,3.4
12,21,1948,1.2
12,22,1948,3.9
12,23,1948,4.8
12,24,1948,0.4
12,25,1948,3.5
12,26,1948,4.7
12,27,1948,1.5
12,28,1948,3.4
12,29,1948,6.2
12,30,1948,1.8
12,31,1948,0.8
01,01,1949,4.0
01,02,1949,5.2
01,03,1949,4.0
01,04,1949,3.1
01,05,1949,3.0
01,06,1949,1.4
01,07,1949,1.1
01,08,1949,2.4
01,09,1949,3.5
01,10,1949,3.1
01,11,1949,4.0
01,12,1949,1.9
01,13,1949,2.8
01,14,1949,2.6
01,15,1949,3.6
01,16,1949,3.5
01,17,1949,4.6
01,18,1949,2.9
01,19,1949,1.7
01,20,1949,2.7
01,21,1949,2.0
01,22,1949,3.6
01,23,1949,4.1
01,24,1949,5.0
01,25,1949,1.7
01,26,1949,4.3
01,27,1949,3.8
01,28,1949,4.5
01,29,1949,4.0
01,30,1949,1.2
01,31,1949,0.8
02,01,1949,null
02,02,1949,null
02,03,1949,null
02,04,1949,null
02,05,1949,null
02,06,1949,null
02,07,1949,null
02,08,1949,null
02,09,1949,null
02,10,1949,null
02,11,1949,null
02,12,1949,null
02,13,1949,null
02,14,1949,null
02,15,1949,null
02,16,1949,null
02,17,1949,null
02,18,1949,null
02,19,1949,null
02,20,1949,null
02,21,1949,null
02,22,1949,null
02,23,1949,null
02,24,1949,null
02,25,1949,null
02,26,1949,null
02,27,1949,null
02,28,1949,null
03,01,1949,null
03,02,1949,null
03,03,1949,null
03,04,1949,null
03,05,1949,null
03,06,1949,null
03,07,1949,null
03,08,1949,null
03,09,1949,null
03,10,1949,null
03,11,1949,null
03,12,1949,null
03,13,1949,null
03,14,1949,null
03,15,1949,null
03,16,1949,null
03,17,1949,null
03,18,1949,null
03,19,1949,null
03,20,1949,null
03,21,1949,null
03,22,1949,null
03,23,1949,null
03,24,1949,null
03,25,1949,null
03,26,1949,null
03,27,1949,null
03,28,1949,null
03,29,1949,null
03,30,1949,null
03,31,1949,null
04,01,1949,null
04,02,1949,null
04,03,1949,null
04,04,1949,null
04,05,1949,null
04,06,1949,null
04,07,1949,null
04,08,1949,null
04,09,1949,null
04,10,1949,null
04,11,1949,null
04,12,1949,null
04,13,1949,null
04,14,1949,null
04,15,1949,null
04,16,1949,null
04,17,1949,null
04,18,1949,null
04,19,1949,null
04,20,1949,null
04,21,1949,null
04,22,1949,null
04,23,1949,null
04,24,1949,null
04,25,1949,null
04,26,1949,null
04,27,1949,null
04,28,1949,null
04,29,1949,null
04,30,1949,null
05,01,1949,null
05,02,1949,null
05,03,1949,null
05,04,1949,null
05,05,1949,null
05,06,1949,null
05,07,1949,null
05,08,1949,null
05,09,1949,null
05,10,1949,null
05,11,1949,null
05,12,1949,null
05,13,1949,null
05,14,1949,null
05,15,1949,null
05,16,1949,null
05,17,1949,null
05,18,1949,null
05,19,1949,null
05,20,1949,null
05,21,1949,null
05,22,1949,null
05,23,1949,null
05,24,1949,null
05,25,1949,null
05,26,1949,null
05,27,1949,null
05,28,1949,null
