Id:,20085
Estación:,PASO ANCHO (CFE)-OAX
Posición:,16.3666666667N -96.8811111111W
Variable:,Evaporación (mm)
Fecha Inicial:,05/01/1957
Fecha Final:,01/01/2001
No Dato:,nan
Mes,Día,Anio,Datos
05,01,1957,null
05,02,1957,null
05,03,1957,null
05,04,1957,null
05,05,1957,null
05,06,1957,null
05,07,1957,null
05,08,1957,null
05,09,1957,null
05,10,1957,5.7
05,11,1957,4.7
05,12,1957,7.9
05,13,1957,4.5
05,14,1957,4.5
05,15,1957,5.6
05,16,1957,5.5
05,17,1957,5.5
05,18,1957,5.0
05,19,1957,7.6
05,20,1957,6.6
05,21,1957,6.4
05,22,1957,6.5
05,23,1957,7.7
05,24,1957,5.3
05,25,1957,8.6
05,26,1957,5.2
05,27,1957,7.1
05,28,1957,6.5
05,29,1957,8.8
05,30,1957,8.0
05,31,1957,3.1
06,01,1957,7.6
06,02,1957,4.0
06,03,1957,6.1
06,04,1957,5.6
06,05,1957,3.5
06,06,1957,2.2
06,07,1957,4.4
06,08,1957,4.4
06,09,1957,5.4
06,10,1957,4.5
06,11,1957,7.5
06,12,1957,6.4
06,13,1957,9.9
06,14,1957,11.2
06,15,1957,6.1
06,16,1957,10.1
06,17,1957,4.3
06,18,1957,3.9
06,19,1957,4.4
06,20,1957,3.9
06,21,1957,1.1
06,22,1957,6.3
06,23,1957,6.3
06,24,1957,6.3
06,25,1957,2.5
06,26,1957,3.2
06,27,1957,3.2
06,28,1957,4.2
06,29,1957,6.8
06,30,1957,4.2
07,01,1957,1.2
07,02,1957,6.0
07,03,1957,4.3
07,04,1957,10.4
07,05,1957,5.4
07,06,1957,7.0
07,07,1957,6.7
07,08,1957,3.5
07,09,1957,6.8
07,10,1957,7.7
07,11,1957,6.6
07,12,1957,4.7
07,13,1957,6.6
07,14,1957,2.8
07,15,1957,0.9
07,16,1957,3.2
07,17,1957,0.7
07,18,1957,5.7
07,19,1957,2.6
07,20,1957,4.1
07,21,1957,5.0
07,22,1957,2.8
07,23,1957,2.2
07,24,1957,0.6
07,25,1957,1.2
07,26,1957,1.8
07,27,1957,2.0
07,28,1957,1.3
07,29,1957,2.2
07,30,1957,4.5
07,31,1957,13.2
08,01,1957,3.8
08,02,1957,5.1
08,03,1957,4.1
08,04,1957,11.1
08,05,1957,0.8
08,06,1957,5.6
08,07,1957,4.4
08,08,1957,3.6
08,09,1957,2.2
08,10,1957,5.5
08,11,1957,5.7
08,12,1957,3.1
08,13,1957,6.3
08,14,1957,5.1
08,15,1957,7.7
08,16,1957,5.4
08,17,1957,2.1
08,18,1957,6.4
08,19,1957,5.5
08,20,1957,6.3
08,21,1957,3.4
08,22,1957,7.6
08,23,1957,6.0
08,24,1957,5.4
08,25,1957,2.3
08,26,1957,6.1
08,27,1957,4.7
08,28,1957,5.3
08,29,1957,3.0
08,30,1957,5.2
08,31,1957,4.4
09,01,1957,3.0
09,02,1957,3.3
09,03,1957,5.5
09,04,1957,3.5
09,05,1957,6.0
09,06,1957,5.4
09,07,1957,4.9
09,08,1957,4.9
09,09,1957,3.0
09,10,1957,3.8
09,11,1957,4.4
09,12,1957,3.5
09,13,1957,1.7
09,14,1957,3.0
09,15,1957,1.4
09,16,1957,0.5
09,17,1957,0.8
09,18,1957,4.6
09,19,1957,3.3
09,20,1957,3.6
09,21,1957,4.9
09,22,1957,3.0
09,23,1957,3.1
09,24,1957,5.2
09,25,1957,5.0
09,26,1957,3.0
09,27,1957,3.2
09,28,1957,3.4
09,29,1957,5.2
09,30,1957,5.6
10,01,1957,5.1
10,02,1957,3.5
10,03,1957,6.1
10,04,1957,5.6
10,05,1957,5.6
10,06,1957,5.1
10,07,1957,5.6
10,08,1957,5.7
10,09,1957,5.9
10,10,1957,5.3
10,11,1957,5.4
10,12,1957,4.5
10,13,1957,4.8
10,14,1957,4.8
10,15,1957,5.0
10,16,1957,3.9
10,17,1957,1.2
10,18,1957,2.8
10,19,1957,5.1
10,20,1957,3.0
10,21,1957,4.2
10,22,1957,4.3
10,23,1957,4.9
10,24,1957,2.6
10,25,1957,2.8
10,26,1957,4.4
10,27,1957,2.6
10,28,1957,5.4
10,29,1957,4.3
10,30,1957,3.3
10,31,1957,4.0
11,01,1957,3.5
11,02,1957,3.9
11,03,1957,4.8
11,04,1957,5.7
11,05,1957,4.7
11,06,1957,5.0
11,07,1957,4.4
11,08,1957,5.6
11,09,1957,4.6
11,10,1957,5.9
11,11,1957,5.8
11,12,1957,5.8
11,13,1957,3.3
11,14,1957,4.1
11,15,1957,4.6
