Id:,20089
Estación:,PLUMA HIDALGO-OAX
Posición:,15.9166666667N -96.4236111111W
Variable:,Evaporación (mm)
Fecha Inicial:,12/01/1962
Fecha Final:,06/01/1996
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1962,null
12,02,1962,null
12,03,1962,null
12,04,1962,null
12,05,1962,null
12,06,1962,null
12,07,1962,null
12,08,1962,null
12,09,1962,null
12,10,1962,null
12,11,1962,null
12,12,1962,null
12,13,1962,null
12,14,1962,null
12,15,1962,null
12,16,1962,null
12,17,1962,null
12,18,1962,null
12,19,1962,null
12,20,1962,null
12,21,1962,4.0
12,22,1962,3.5
12,23,1962,2.9
12,24,1962,3.6
12,25,1962,1.6
12,26,1962,2.8
12,27,1962,3.3
12,28,1962,2.4
12,29,1962,2.4
12,30,1962,2.9
12,31,1962,2.1
01,01,1963,3.0
01,02,1963,3.3
01,03,1963,3.6
01,04,1963,3.8
01,05,1963,3.2
01,06,1963,3.8
01,07,1963,4.7
01,08,1963,2.5
01,09,1963,2.4
01,10,1963,3.7
01,11,1963,0.9
01,12,1963,1.6
01,13,1963,1.5
01,14,1963,2.6
01,15,1963,1.4
01,16,1963,3.1
01,17,1963,1.4
01,18,1963,4.2
01,19,1963,3.8
01,20,1963,4.1
01,21,1963,3.1
01,22,1963,2.2
01,23,1963,4.1
01,24,1963,1.4
01,25,1963,4.2
01,26,1963,2.9
01,27,1963,1.7
01,28,1963,3.4
01,29,1963,3.2
01,30,1963,4.3
01,31,1963,4.0
02,01,1963,2.7
02,02,1963,1.7
02,03,1963,1.4
02,04,1963,4.6
02,05,1963,1.6
02,06,1963,2.0
02,07,1963,1.0
02,08,1963,1.9
02,09,1963,2.0
02,10,1963,2.6
02,11,1963,4.1
02,12,1963,1.9
02,13,1963,1.7
02,14,1963,3.9
02,15,1963,6.4
02,16,1963,3.8
02,17,1963,3.1
02,18,1963,1.6
02,19,1963,1.9
02,20,1963,3.9
02,21,1963,2.4
02,22,1963,1.5
02,23,1963,3.3
02,24,1963,4.6
02,25,1963,4.7
02,26,1963,1.7
02,27,1963,4.2
02,28,1963,2.7
03,01,1963,3.2
03,02,1963,3.4
03,03,1963,2.3
03,04,1963,7.9
03,05,1963,7.3
03,06,1963,3.3
03,07,1963,2.5
03,08,1963,3.4
03,09,1963,3.3
03,10,1963,2.4
03,11,1963,4.5
03,12,1963,5.7
03,13,1963,8.3
03,14,1963,2.7
03,15,1963,4.3
03,16,1963,1.6
03,17,1963,3.2
03,18,1963,5.8
03,19,1963,6.1
03,20,1963,2.8
03,21,1963,4.0
03,22,1963,4.4
03,23,1963,1.4
03,24,1963,3.7
03,25,1963,4.1
03,26,1963,4.2
03,27,1963,3.2
03,28,1963,4.1
03,29,1963,2.5
03,30,1963,2.8
03,31,1963,2.7
04,01,1963,4.7
04,02,1963,2.2
04,03,1963,3.1
04,04,1963,3.4
04,05,1963,3.1
04,06,1963,3.4
04,07,1963,2.8
04,08,1963,4.7
04,09,1963,5.3
04,10,1963,5.2
04,11,1963,4.5
04,12,1963,3.2
04,13,1963,3.1
04,14,1963,4.7
04,15,1963,3.6
04,16,1963,3.7
04,17,1963,2.7
04,18,1963,3.9
04,19,1963,4.2
04,20,1963,4.4
04,21,1963,3.9
04,22,1963,2.7
04,23,1963,4.4
04,24,1963,3.5
04,25,1963,3.3
04,26,1963,3.2
04,27,1963,5.4
04,28,1963,2.9
04,29,1963,4.1
04,30,1963,4.2
05,01,1963,6.4
05,02,1963,4.8
05,03,1963,4.4
05,04,1963,6.3
05,05,1963,5.2
05,06,1963,4.7
05,07,1963,4.5
05,08,1963,5.7
05,09,1963,6.7
05,10,1963,5.0
05,11,1963,4.0
05,12,1963,4.7
05,13,1963,5.9
05,14,1963,6.9
05,15,1963,6.1
05,16,1963,5.3
05,17,1963,7.8
05,18,1963,4.0
05,19,1963,4.2
05,20,1963,3.3
05,21,1963,3.6
05,22,1963,3.8
05,23,1963,4.8
05,24,1963,3.9
05,25,1963,3.6
05,26,1963,4.8
05,27,1963,3.9
05,28,1963,1.9
05,29,1963,1.4
05,30,1963,5.6
05,31,1963,3.8
06,01,1963,5.1
06,02,1963,2.7
06,03,1963,2.4
06,04,1963,2.7
06,05,1963,3.3
06,06,1963,3.3
06,07,1963,4.2
06,08,1963,4.2
06,09,1963,6.2
06,10,1963,6.8
06,11,1963,3.7
06,12,1963,4.6
06,13,1963,3.7
06,14,1963,3.5
06,15,1963,2.5
06,16,1963,3.3
06,17,1963,5.4
06,18,1963,2.8
06,19,1963,2.8
06,20,1963,3.5
06,21,1963,3.5
06,22,1963,2.7
06,23,1963,3.0
06,24,1963,2.4
06,25,1963,2.8
06,26,1963,3.9
06,27,1963,1.6
06,28,1963,2.2
06,29,1963,1.2
06,30,1963,2.9
07,01,1963,1.8
07,02,1963,3.8
07,03,1963,6.6
07,04,1963,3.8
07,05,1963,5.4
07,06,1963,4.4
07,07,1963,1.6
07,08,1963,3.3
07,09,1963,2.6
07,10,1963,4.9
07,11,1963,6.1
07,12,1963,4.4
07,13,1963,4.7
07,14,1963,3.0
07,15,1963,3.8
07,16,1963,1.9
07,17,1963,1.0
07,18,1963,1.7
07,19,1963,1.3
07,20,1963,4.3
07,21,1963,3.4
07,22,1963,3.7
07,23,1963,4.5
07,24,1963,3.0
07,25,1963,1.4
07,26,1963,4.4
07,27,1963,2.3
07,28,1963,1.2
07,29,1963,5.9
07,30,1963,1.5
07,31,1963,3.4
08,01,1963,1.6
08,02,1963,2.7
08,03,1963,3.5
08,04,1963,4.8
08,05,1963,2.6
08,06,1963,4.7
08,07,1963,5.6
08,08,1963,4.6
08,09,1963,3.7
08,10,1963,4.9
08,11,1963,6.5
08,12,1963,3.3
08,13,1963,2.6
08,14,1963,4.3
08,15,1963,5.9
08,16,1963,1.3
08,17,1963,2.6
08,18,1963,2.3
08,19,1963,2.1
08,20,1963,3.3
08,21,1963,4.4
08,22,1963,5.9
08,23,1963,1.2
08,24,1963,1.9
08,25,1963,3.0
08,26,1963,2.0
08,27,1963,1.9
08,28,1963,2.5
08,29,1963,1.9
08,30,1963,1.5
08,31,1963,2.3
09,01,1963,6.4
09,02,1963,5.8
09,03,1963,4.9
09,04,1963,5.5
09,05,1963,0.8
09,06,1963,0.6
09,07,1963,1.6
09,08,1963,1.0
09,09,1963,1.6
09,10,1963,2.9
09,11,1963,3.5
09,12,1963,2.1
09,13,1963,3.7
09,14,1963,1.7
09,15,1963,1.8
09,16,1963,2.2
09,17,1963,1.2
09,18,1963,6.0
09,19,1963,6.0
09,20,1963,2.0
09,21,1963,3.7
09,22,1963,1.4
09,23,1963,0.8
09,24,1963,1.2
09,25,1963,2.4
09,26,1963,2.3
09,27,1963,1.7
09,28,1963,2.1
09,29,1963,4.1
09,30,1963,1.7
10,01,1963,1.8
10,02,1963,2.6
10,03,1963,4.6
10,04,1963,3.6
10,05,1963,2.1
10,06,1963,3.1
10,07,1963,4.8
10,08,1963,3.3
10,09,1963,1.6
10,10,1963,1.4
10,11,1963,2.1
10,12,1963,1.8
10,13,1963,2.1
10,14,1963,2.8
10,15,1963,3.4
10,16,1963,1.4
10,17,1963,2.9
10,18,1963,2.9
10,19,1963,2.5
10,20,1963,1.6
10,21,1963,1.4
10,22,1963,0.7
10,23,1963,1.2
10,24,1963,1.6
10,25,1963,4.8
10,26,1963,2.5
10,27,1963,2.5
10,28,1963,3.9
10,29,1963,1.8
10,30,1963,2.5
10,31,1963,2.2
11,01,1963,4.0
11,02,1963,3.1
11,03,1963,1.6
11,04,1963,0.4
11,05,1963,1.2
