Id:,20091
Estación:,PORVENIR-OAX
Posición:,16.4888888889N -94.9827777778W
Variable:,Evaporación (mm)
Fecha Inicial:,08/01/1965
Fecha Final:,03/01/1984
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1965,null
08,02,1965,8.4
08,03,1965,5.1
08,04,1965,7.1
08,05,1965,7.0
08,06,1965,2.6
08,07,1965,null
08,08,1965,null
08,09,1965,9.0
08,10,1965,2.4
08,11,1965,8.8
08,12,1965,9.5
08,13,1965,7.3
08,14,1965,null
08,15,1965,null
08,16,1965,9.8
08,17,1965,9.8
08,18,1965,10.5
08,19,1965,10.5
08,20,1965,10.4
08,21,1965,null
08,22,1965,null
08,23,1965,15.8
08,24,1965,13.3
08,25,1965,4.5
08,26,1965,9.9
08,27,1965,8.8
08,28,1965,null
08,29,1965,null
08,30,1965,11.0
08,31,1965,14.5
09,01,1965,9.6
09,02,1965,9.5
09,03,1965,9.5
09,04,1965,null
09,05,1965,null
09,06,1965,10.2
09,07,1965,10.8
09,08,1965,11.4
09,09,1965,7.7
09,10,1965,13.9
09,11,1965,null
09,12,1965,null
09,13,1965,null
09,14,1965,null
09,15,1965,null
09,16,1965,null
09,17,1965,null
09,18,1965,null
09,19,1965,null
09,20,1965,5.9
09,21,1965,null
09,22,1965,6.7
09,23,1965,9.5
09,24,1965,9.3
09,25,1965,null
09,26,1965,null
09,27,1965,9.1
09,28,1965,3.1
09,29,1965,null
09,30,1965,null
10,01,1965,2.6
10,02,1965,null
10,03,1965,null
10,04,1965,7.2
10,05,1965,9.0
10,06,1965,8.8
10,07,1965,8.4
10,08,1965,9.3
10,09,1965,null
10,10,1965,null
10,11,1965,null
10,12,1965,null
10,13,1965,8.2
10,14,1965,9.6
10,15,1965,4.9
10,16,1965,null
10,17,1965,null
10,18,1965,null
10,19,1965,null
10,20,1965,null
10,21,1965,null
10,22,1965,2.3
10,23,1965,16.9
10,24,1965,null
10,25,1965,null
10,26,1965,10.4
10,27,1965,8.4
10,28,1965,11.9
10,29,1965,11.6
10,30,1965,11.9
10,31,1965,null
11,01,1965,null
11,02,1965,null
11,03,1965,13.9
11,04,1965,null
11,05,1965,null
11,06,1965,null
11,07,1965,null
11,08,1965,10.1
11,09,1965,8.1
11,10,1965,12.7
11,11,1965,9.8
11,12,1965,null
11,13,1965,null
11,14,1965,null
11,15,1965,9.7
11,16,1965,null
11,17,1965,null
11,18,1965,null
11,19,1965,null
11,20,1965,null
11,21,1965,null
11,22,1965,null
11,23,1965,null
11,24,1965,10.9
11,25,1965,null
11,26,1965,null
11,27,1965,7.5
11,28,1965,null
11,29,1965,null
11,30,1965,9.7
12,01,1965,10.8
12,02,1965,9.4
12,03,1965,10.3
12,04,1965,null
12,05,1965,null
12,06,1965,15.1
12,07,1965,12.4
12,08,1965,15.0
12,09,1965,null
12,10,1965,12.4
12,11,1965,null
12,12,1965,null
12,13,1965,4.1
12,14,1965,6.2
12,15,1965,4.5
12,16,1965,9.1
12,17,1965,9.0
12,18,1965,null
12,19,1965,null
12,20,1965,9.2
12,21,1965,11.4
12,22,1965,10.6
12,23,1965,9.7
12,24,1965,null
12,25,1965,null
12,26,1965,null
12,27,1965,null
12,28,1965,11.0
12,29,1965,null
12,30,1965,null
12,31,1965,null
01,01,1966,null
01,02,1966,null
01,03,1966,null
01,04,1966,1.13
01,05,1966,1.03
01,06,1966,1.26
01,07,1966,1.08
01,08,1966,null
01,09,1966,null
01,10,1966,null
01,11,1966,null
01,12,1966,1.44
01,13,1966,1.53
01,14,1966,null
01,15,1966,null
01,16,1966,null
01,17,1966,1.01
01,18,1966,1.15
01,19,1966,1.1
01,20,1966,null
01,21,1966,null
01,22,1966,null
01,23,1966,null
01,24,1966,0.8
01,25,1966,0.97
01,26,1966,0.36
01,27,1966,2.15
01,28,1966,0.83
01,29,1966,null
01,30,1966,null
01,31,1966,0.81
02,01,1966,2.05
02,02,1966,null
02,03,1966,1.07
02,04,1966,null
02,05,1966,null
02,06,1966,null
02,07,1966,0.97
02,08,1966,0.8
02,09,1966,0.56
02,10,1966,1.13
02,11,1966,0.9
02,12,1966,null
02,13,1966,null
02,14,1966,1.01
02,15,1966,1.01
02,16,1966,0.62
02,17,1966,1.19
02,18,1966,1.03
02,19,1966,null
02,20,1966,null
02,21,1966,1.02
02,22,1966,1.39
02,23,1966,1.25
02,24,1966,1.12
02,25,1966,1.11
02,26,1966,1.6
02,27,1966,null
02,28,1966,1.9
03,01,1966,9.8
03,02,1966,8.4
03,03,1966,7.5
03,04,1966,12.4
03,05,1966,null
03,06,1966,null
03,07,1966,14.1
03,08,1966,12.4
03,09,1966,15.4
03,10,1966,13.0
03,11,1966,11.1
03,12,1966,null
03,13,1966,null
03,14,1966,10.1
03,15,1966,12.1
03,16,1966,15.0
03,17,1966,14.4
03,18,1966,13.9
03,19,1966,null
03,20,1966,null
03,21,1966,null
03,22,1966,9.4
03,23,1966,11.0
03,24,1966,13.6
03,25,1966,10.4
03,26,1966,null
03,27,1966,null
03,28,1966,7.1
03,29,1966,9.6
03,30,1966,13.4
03,31,1966,7.6
04,01,1966,13.9
04,02,1966,null
04,03,1966,null
04,04,1966,10.0
04,05,1966,16.4
04,06,1966,null
04,07,1966,null
04,08,1966,null
04,09,1966,null
04,10,1966,null
04,11,1966,9.5
04,12,1966,8.7
04,13,1966,8.2
04,14,1966,9.1
04,15,1966,null
04,16,1966,null
04,17,1966,null
04,18,1966,8.6
04,19,1966,10.8
04,20,1966,7.6
04,21,1966,9.3
04,22,1966,14.0
04,23,1966,null
04,24,1966,null
04,25,1966,10.1
04,26,1966,9.9
04,27,1966,8.4
04,28,1966,9.6
04,29,1966,11.1
04,30,1966,null
05,01,1966,null
05,02,1966,null
05,03,1966,null
05,04,1966,null
05,05,1966,null
05,06,1966,17.8
05,07,1966,null
05,08,1966,null
05,09,1966,5.7
05,10,1966,13.6
05,11,1966,10.4
05,12,1966,8.2
05,13,1966,4.3
05,14,1966,null
05,15,1966,null
05,16,1966,10.1
05,17,1966,9.5
05,18,1966,2.4
05,19,1966,null
05,20,1966,5.5
05,21,1966,null
05,22,1966,null
05,23,1966,6.9
05,24,1966,8.0
05,25,1966,16.1
05,26,1966,null
05,27,1966,null
05,28,1966,null
05,29,1966,null
05,30,1966,7.4
05,31,1966,null
06,01,1966,null
06,02,1966,13.8
06,03,1966,10.6
06,04,1966,null
06,05,1966,null
06,06,1966,16.5
06,07,1966,10.9
06,08,1966,10.6
06,09,1966,4.7
06,10,1966,8.8
06,11,1966,null
06,12,1966,null
06,13,1966,7.2
06,14,1966,5.5
06,15,1966,3.9
06,16,1966,6.8
06,17,1966,10.6
06,18,1966,null
06,19,1966,null
06,20,1966,18.0
06,21,1966,9.5
06,22,1966,12.6
06,23,1966,7.8
06,24,1966,7.3
06,25,1966,null
06,26,1966,null
06,27,1966,6.6
06,28,1966,0.7
06,29,1966,7.1
06,30,1966,7.5
07,01,1966,2.2
07,02,1966,null
07,03,1966,null
07,04,1966,8.9
07,05,1966,6.9
07,06,1966,8.3
07,07,1966,9.5
07,08,1966,8.7
07,09,1966,null
07,10,1966,null
07,11,1966,9.8
07,12,1966,8.5
07,13,1966,6.1
07,14,1966,10.1
07,15,1966,6.4
07,16,1966,null
07,17,1966,null
07,18,1966,8.6
07,19,1966,10.1
07,20,1966,4.1
07,21,1966,7.3
07,22,1966,10.0
07,23,1966,null
07,24,1966,null
07,25,1966,12.8
07,26,1966,12.0
07,27,1966,9.3
07,28,1966,6.7
07,29,1966,4.3
07,30,1966,null
07,31,1966,null
08,01,1966,3.5
08,02,1966,4.9
08,03,1966,8.5
08,04,1966,4.6
08,05,1966,null
08,06,1966,null
08,07,1966,null
08,08,1966,9.7
08,09,1966,5.2
08,10,1966,5.1
08,11,1966,3.7
08,12,1966,9.8
08,13,1966,null
08,14,1966,null
08,15,1966,6.3
08,16,1966,11.0
08,17,1966,11.5
08,18,1966,9.5
08,19,1966,10.0
