Id:,20320
Estación:,AYUTA-OAX
Posición:,15.9116666667N -95.8472222222W
Variable:,Evaporación (mm)
Fecha Inicial:,05/01/1980
Fecha Final:,03/01/2000
No Dato:,nan
Mes,Día,Anio,Datos
05,01,1980,3.9
05,02,1980,7.5
05,03,1980,3.6
05,04,1980,6.6
05,05,1980,4.8
05,06,1980,2.5
05,07,1980,11.0
05,08,1980,5.0
05,09,1980,7.6
05,10,1980,7.6
05,11,1980,3.2
05,12,1980,5.0
05,13,1980,3.1
05,14,1980,5.8
05,15,1980,7.3
05,16,1980,4.3
05,17,1980,3.2
05,18,1980,6.1
05,19,1980,6.8
05,20,1980,6.6
05,21,1980,6.1
05,22,1980,6.0
05,23,1980,6.9
05,24,1980,1.3
05,25,1980,5.9
05,26,1980,8.8
05,27,1980,2.8
05,28,1980,4.1
05,29,1980,2.9
05,30,1980,4.1
05,31,1980,3.8
06,01,1980,7.2
06,02,1980,4.5
06,03,1980,2.5
06,04,1980,4.0
06,05,1980,8.1
06,06,1980,4.6
06,07,1980,6.5
06,08,1980,7.7
06,09,1980,6.1
06,10,1980,4.6
06,11,1980,7.2
06,12,1980,7.0
06,13,1980,3.1
06,14,1980,2.1
06,15,1980,4.2
06,16,1980,3.8
06,17,1980,3.3
06,18,1980,3.5
06,19,1980,2.2
06,20,1980,3.7
06,21,1980,5.8
06,22,1980,3.4
06,23,1980,2.7
06,24,1980,6.0
06,25,1980,4.8
06,26,1980,2.3
06,27,1980,6.0
06,28,1980,7.3
06,29,1980,7.5
06,30,1980,6.2
07,01,1980,6.8
07,02,1980,7.5
07,03,1980,6.2
07,04,1980,7.7
07,05,1980,10.8
07,06,1980,5.1
07,07,1980,9.8
07,08,1980,6.7
07,09,1980,3.7
07,10,1980,8.4
07,11,1980,8.1
07,12,1980,5.1
07,13,1980,8.2
07,14,1980,4.0
07,15,1980,6.7
07,16,1980,6.8
07,17,1980,8.1
07,18,1980,6.2
07,19,1980,3.9
07,20,1980,5.8
07,21,1980,3.8
07,22,1980,3.9
07,23,1980,4.8
07,24,1980,6.6
07,25,1980,5.5
07,26,1980,5.0
07,27,1980,5.3
07,28,1980,1.1
07,29,1980,2.5
07,30,1980,2.5
07,31,1980,4.2
08,01,1980,3.3
08,02,1980,2.4
08,03,1980,5.2
08,04,1980,5.5
08,05,1980,2.6
08,06,1980,5.0
08,07,1980,3.9
08,08,1980,4.5
08,09,1980,1.7
08,10,1980,4.7
08,11,1980,2.1
08,12,1980,10.0
08,13,1980,4.8
08,14,1980,3.4
08,15,1980,5.2
08,16,1980,2.8
08,17,1980,0.5
08,18,1980,4.4
08,19,1980,6.2
08,20,1980,2.9
08,21,1980,6.1
08,22,1980,3.3
08,23,1980,6.6
08,24,1980,5.3
08,25,1980,4.6
08,26,1980,5.3
08,27,1980,6.0
08,28,1980,3.9
08,29,1980,6.5
08,30,1980,2.5
08,31,1980,4.0
09,01,1980,2.1
09,02,1980,3.0
09,03,1980,6.0
09,04,1980,3.9
09,05,1980,3.0
09,06,1980,4.1
09,07,1980,3.4
09,08,1980,5.2
09,09,1980,2.9
09,10,1980,5.2
09,11,1980,5.5
09,12,1980,5.4
09,13,1980,2.8
09,14,1980,5.7
09,15,1980,5.2
09,16,1980,4.6
09,17,1980,1.3
09,18,1980,2.8
09,19,1980,0.4
09,20,1980,3.0
09,21,1980,3.4
09,22,1980,4.1
09,23,1980,3.0
09,24,1980,3.1
09,25,1980,7.1
09,26,1980,1.7
09,27,1980,0.9
09,28,1980,2.8
09,29,1980,1.6
09,30,1980,3.1
10,01,1980,4.4
10,02,1980,3.9
10,03,1980,1.9
10,04,1980,4.4
10,05,1980,5.4
10,06,1980,3.9
10,07,1980,5.7
10,08,1980,4.6
10,09,1980,5.2
10,10,1980,3.6
10,11,1980,6.1
10,12,1980,3.7
10,13,1980,6.7
10,14,1980,4.2
10,15,1980,5.4
10,16,1980,3.9
10,17,1980,4.7
10,18,1980,4.8
10,19,1980,6.5
10,20,1980,3.1
10,21,1980,5.2
10,22,1980,3.7
10,23,1980,7.7
10,24,1980,3.8
10,25,1980,6.9
10,26,1980,5.2
10,27,1980,3.8
10,28,1980,4.1
10,29,1980,5.6
10,30,1980,4.3
10,31,1980,4.2
11,01,1980,4.5
11,02,1980,3.7
11,03,1980,3.8
11,04,1980,4.5
11,05,1980,2.8
11,06,1980,5.7
11,07,1980,5.0
11,08,1980,3.7
11,09,1980,4.1
11,10,1980,4.2
11,11,1980,3.4
11,12,1980,5.1
11,13,1980,3.7
11,14,1980,4.2
11,15,1980,3.8
11,16,1980,3.2
11,17,1980,2.8
11,18,1980,5.1
11,19,1980,6.5
11,20,1980,4.8
11,21,1980,4.8
11,22,1980,5.0
11,23,1980,4.2
11,24,1980,4.3
11,25,1980,4.3
11,26,1980,4.6
11,27,1980,5.7
11,28,1980,6.1
11,29,1980,5.8
11,30,1980,4.9
12,01,1980,5.1
12,02,1980,4.5
12,03,1980,5.4
12,04,1980,5.9
12,05,1980,4.3
12,06,1980,4.0
12,07,1980,4.0
12,08,1980,2.3
12,09,1980,2.6
12,10,1980,9.1
12,11,1980,7.6
12,12,1980,7.0
12,13,1980,6.1
12,14,1980,4.9
12,15,1980,4.8
12,16,1980,5.4
12,17,1980,4.6
12,18,1980,4.7
12,19,1980,3.3
12,20,1980,9.8
12,21,1980,8.8
12,22,1980,7.1
12,23,1980,5.1
12,24,1980,3.5
12,25,1980,5.4
12,26,1980,5.2
12,27,1980,6.0
12,28,1980,4.5
12,29,1980,3.6
12,30,1980,7.9
12,31,1980,7.1
01,01,1981,5.8
01,02,1981,6.0
01,03,1981,5.0
01,04,1981,7.4
01,05,1981,4.9
01,06,1981,6.5
01,07,1981,1.1
01,08,1981,4.8
01,09,1981,6.6
01,10,1981,8.0
01,11,1981,8.4
