Id:,20321
Estación:,LA BAMBA-OAX
Posición:,16.0119444444N -95.4066666667W
Variable:,Evaporación (mm)
Fecha Inicial:,04/01/1980
Fecha Final:,07/01/1989
No Dato:,nan
Mes,Día,Anio,Datos
04,01,1980,null
04,02,1980,null
04,03,1980,null
04,04,1980,null
04,05,1980,null
04,06,1980,null
04,07,1980,null
04,08,1980,null
04,09,1980,null
04,10,1980,null
04,11,1980,null
04,12,1980,null
04,13,1980,null
04,14,1980,null
04,15,1980,null
04,16,1980,null
04,17,1980,null
04,18,1980,null
04,19,1980,15.07
04,20,1980,10.83
04,21,1980,10.62
04,22,1980,8.52
04,23,1980,11.74
04,24,1980,7.9
04,25,1980,4.33
04,26,1980,5.52
04,27,1980,9.83
04,28,1980,9.62
04,29,1980,7.1
04,30,1980,4.1
05,01,1980,4.7
05,02,1980,4.1
05,03,1980,8.6
05,04,1980,2.9
05,05,1980,8.8
05,06,1980,5.0
05,07,1980,6.9
05,08,1980,6.4
05,09,1980,4.7
05,10,1980,6.9
05,11,1980,5.5
05,12,1980,5.3
05,13,1980,3.5
05,14,1980,2.7
05,15,1980,1.4
05,16,1980,6.4
05,17,1980,3.7
05,18,1980,3.4
05,19,1980,12.0
05,20,1980,6.8
05,21,1980,5.8
05,22,1980,5.5
05,23,1980,7.1
05,24,1980,3.2
05,25,1980,4.6
05,26,1980,4.3
05,27,1980,7.8
05,28,1980,3.0
05,29,1980,4.8
05,30,1980,13.0
05,31,1980,5.1
06,01,1980,4.8
06,02,1980,5.0
06,03,1980,2.5
06,04,1980,10.4
06,05,1980,5.9
06,06,1980,7.9
06,07,1980,8.1
06,08,1980,6.6
06,09,1980,4.6
06,10,1980,8.7
06,11,1980,9.2
06,12,1980,8.8
06,13,1980,8.5
06,14,1980,10.1
06,15,1980,4.9
06,16,1980,7.3
06,17,1980,6.5
06,18,1980,5.8
06,19,1980,0.9
06,20,1980,10.0
06,21,1980,2.2
06,22,1980,4.1
06,23,1980,9.6
06,24,1980,0.5
06,25,1980,12.7
06,26,1980,6.3
06,27,1980,7.9
06,28,1980,10.4
06,29,1980,6.6
06,30,1980,6.0
07,01,1980,12.8
07,02,1980,10.6
07,03,1980,1.3
07,04,1980,11.0
07,05,1980,14.0
07,06,1980,12.1
07,07,1980,8.2
07,08,1980,11.9
07,09,1980,6.0
07,10,1980,5.3
07,11,1980,5.0
07,12,1980,4.1
07,13,1980,10.2
07,14,1980,7.1
07,15,1980,8.7
07,16,1980,8.1
07,17,1980,6.1
07,18,1980,5.8
07,19,1980,5.9
07,20,1980,4.5
07,21,1980,4.7
07,22,1980,7.0
07,23,1980,3.3
07,24,1980,5.8
07,25,1980,4.1
07,26,1980,4.4
07,27,1980,4.2
07,28,1980,3.8
07,29,1980,5.2
07,30,1980,4.1
07,31,1980,3.8
08,01,1980,5.4
08,02,1980,4.7
08,03,1980,5.0
08,04,1980,4.3
08,05,1980,6.7
08,06,1980,5.9
08,07,1980,4.8
08,08,1980,4.3
08,09,1980,4.9
08,10,1980,7.5
08,11,1980,6.8
08,12,1980,3.2
08,13,1980,5.7
08,14,1980,6.4
08,15,1980,11.9
08,16,1980,1.3
08,17,1980,9.3
08,18,1980,6.2
08,19,1980,6.3
08,20,1980,7.9
08,21,1980,3.0
08,22,1980,3.3
08,23,1980,10.1
08,24,1980,6.7
08,25,1980,6.3
08,26,1980,7.9
08,27,1980,7.3
08,28,1980,2.8
08,29,1980,2.7
08,30,1980,7.1
08,31,1980,5.2
09,01,1980,6.7
09,02,1980,1.7
09,03,1980,4.0
09,04,1980,6.3
09,05,1980,8.4
09,06,1980,7.5
09,07,1980,3.9
09,08,1980,7.0
09,09,1980,4.0
09,10,1980,8.4
09,11,1980,3.9
09,12,1980,9.8
09,13,1980,3.5
09,14,1980,4.7
09,15,1980,4.5
09,16,1980,4.7
09,17,1980,3.8
09,18,1980,7.1
09,19,1980,3.3
09,20,1980,2.6
09,21,1980,2.2
09,22,1980,1.9
09,23,1980,4.9
09,24,1980,3.7
09,25,1980,5.6
09,26,1980,6.9
09,27,1980,8.4
09,28,1980,1.5
09,29,1980,4.4
09,30,1980,3.1
10,01,1980,4.1
10,02,1980,3.7
10,03,1980,9.6
10,04,1980,1.1
10,05,1980,12.2
10,06,1980,8.7
10,07,1980,7.9
10,08,1980,8.7
10,09,1980,3.6
10,10,1980,4.4
10,11,1980,2.3
10,12,1980,4.3
10,13,1980,4.0
10,14,1980,4.0
10,15,1980,5.4
10,16,1980,10.3
10,17,1980,6.8
10,18,1980,6.1
10,19,1980,10.5
10,20,1980,3.5
10,21,1980,2.0
10,22,1980,7.6
10,23,1980,6.9
10,24,1980,4.0
10,25,1980,4.0
10,26,1980,7.0
