Id:,20322
Estación:,CALIHUALA-OAX
Posición:,17.5166666667N -98.2711111111W
Variable:,Evaporación (mm)
Fecha Inicial:,12/01/1979
Fecha Final:,01/01/1985
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1979,null
12,02,1979,null
12,03,1979,null
12,04,1979,null
12,05,1979,null
12,06,1979,null
12,07,1979,null
12,08,1979,null
12,09,1979,null
12,10,1979,null
12,11,1979,null
12,12,1979,null
12,13,1979,null
12,14,1979,null
12,15,1979,null
12,16,1979,null
12,17,1979,null
12,18,1979,4.4
12,19,1979,1.3
12,20,1979,2.5
12,21,1979,3.9
12,22,1979,4.2
12,23,1979,5.3
12,24,1979,5.5
12,25,1979,3.1
12,26,1979,4.8
12,27,1979,3.3
12,28,1979,4.9
12,29,1979,4.0
12,30,1979,3.6
12,31,1979,4.7
01,01,1980,2.8
01,02,1980,4.0
01,03,1980,4.9
01,04,1980,3.0
01,05,1980,4.4
01,06,1980,5.1
01,07,1980,5.1
01,08,1980,4.9
01,09,1980,3.5
01,10,1980,3.7
01,11,1980,4.0
01,12,1980,3.7
01,13,1980,3.9
01,14,1980,6.6
01,15,1980,5.8
01,16,1980,5.4
01,17,1980,5.4
01,18,1980,5.7
01,19,1980,5.7
01,20,1980,6.6
01,21,1980,6.3
01,22,1980,3.3
01,23,1980,6.9
01,24,1980,4.2
01,25,1980,4.8
01,26,1980,4.4
01,27,1980,8.3
01,28,1980,3.4
01,29,1980,4.1
01,30,1980,3.2
01,31,1980,4.0
02,01,1980,6.3
02,02,1980,3.1
02,03,1980,5.1
02,04,1980,7.6
02,05,1980,3.1
02,06,1980,4.2
02,07,1980,4.2
02,08,1980,7.2
02,09,1980,6.2
02,10,1980,6.9
02,11,1980,7.0
02,12,1980,6.3
02,13,1980,5.7
02,14,1980,6.3
02,15,1980,8.2
02,16,1980,6.3
02,17,1980,5.9
02,18,1980,10.8
02,19,1980,3.8
02,20,1980,4.3
02,21,1980,6.2
02,22,1980,7.1
02,23,1980,5.4
02,24,1980,6.6
02,25,1980,7.7
02,26,1980,6.2
02,27,1980,4.6
02,28,1980,7.1
02,29,1980,5.7
03,01,1980,4.2
03,02,1980,5.8
03,03,1980,6.3
03,04,1980,7.6
03,05,1980,8.5
03,06,1980,5.4
03,07,1980,8.0
03,08,1980,8.7
03,09,1980,8.4
03,10,1980,10.2
03,11,1980,7.0
03,12,1980,9.2
03,13,1980,9.8
03,14,1980,8.3
03,15,1980,7.0
03,16,1980,7.4
03,17,1980,6.6
03,18,1980,7.2
03,19,1980,6.2
03,20,1980,8.2
03,21,1980,4.9
03,22,1980,9.1
03,23,1980,7.6
03,24,1980,8.8
03,25,1980,9.5
03,26,1980,10.1
03,27,1980,9.7
03,28,1980,6.5
03,29,1980,8.8
03,30,1980,9.9
03,31,1980,5.9
04,01,1980,6.8
04,02,1980,6.2
04,03,1980,8.3
04,04,1980,7.5
04,05,1980,8.3
04,06,1980,5.9
04,07,1980,7.2
04,08,1980,8.4
04,09,1980,9.5
04,10,1980,9.3
04,11,1980,8.2
04,12,1980,6.1
04,13,1980,8.0
04,14,1980,8.1
04,15,1980,9.0
04,16,1980,7.7
04,17,1980,6.1
04,18,1980,7.7
04,19,1980,8.1
04,20,1980,9.8
04,21,1980,8.4
04,22,1980,7.0
04,23,1980,7.1
04,24,1980,8.5
04,25,1980,6.2
04,26,1980,9.9
04,27,1980,9.3
04,28,1980,5.0
04,29,1980,5.9
04,30,1980,7.0
05,01,1980,7.3
05,02,1980,6.7
05,03,1980,6.8
05,04,1980,5.2
05,05,1980,4.8
05,06,1980,4.0
05,07,1980,7.0
05,08,1980,9.3
05,09,1980,8.0
05,10,1980,6.1
05,11,1980,7.5
05,12,1980,8.4
05,13,1980,6.9
05,14,1980,6.4
05,15,1980,5.9
05,16,1980,6.8
05,17,1980,8.9
05,18,1980,7.8
05,19,1980,7.0
05,20,1980,5.4
05,21,1980,4.8
05,22,1980,5.3
05,23,1980,8.4
05,24,1980,5.7
05,25,1980,6.8
05,26,1980,6.6
05,27,1980,7.1
05,28,1980,8.1
05,29,1980,6.9
05,30,1980,6.1
05,31,1980,7.3
06,01,1980,6.8
06,02,1980,5.4
06,03,1980,7.2
06,04,1980,8.3
06,05,1980,6.9
06,06,1980,6.4
06,07,1980,7.8
06,08,1980,6.1
06,09,1980,7.5
06,10,1980,7.5
06,11,1980,7.0
06,12,1980,5.9
06,13,1980,5.3
06,14,1980,7.1
06,15,1980,7.9
06,16,1980,6.7
06,17,1980,8.0
06,18,1980,7.4
06,19,1980,8.2
06,20,1980,7.9
06,21,1980,8.1
06,22,1980,7.4
06,23,1980,7.0
06,24,1980,8.2
06,25,1980,7.4
06,26,1980,6.6
06,27,1980,5.4
06,28,1980,4.9
06,29,1980,6.1
06,30,1980,5.4
07,01,1980,4.8
07,02,1980,6.8
07,03,1980,7.2
07,04,1980,7.0
07,05,1980,6.5
07,06,1980,6.0
07,07,1980,6.2
07,08,1980,6.4
07,09,1980,5.8
07,10,1980,6.0
07,11,1980,5.4
07,12,1980,5.0
07,13,1980,4.2
07,14,1980,4.4
07,15,1980,5.5
07,16,1980,6.2
07,17,1980,5.6
07,18,1980,4.9
07,19,1980,3.4
07,20,1980,5.6
07,21,1980,6.1
07,22,1980,6.8
07,23,1980,6.0
07,24,1980,4.9
07,25,1980,4.0
07,26,1980,4.8
07,27,1980,5.5
07,28,1980,4.9
07,29,1980,3.9
07,30,1980,5.2
07,31,1980,4.4
08,01,1980,5.8
08,02,1980,6.2
08,03,1980,5.4
08,04,1980,5.8
08,05,1980,6.2
08,06,1980,6.0
08,07,1980,6.9
08,08,1980,6.0
08,09,1980,6.3
08,10,1980,7.2
08,11,1980,6.8
08,12,1980,7.6
08,13,1980,7.3
08,14,1980,7.0
08,15,1980,5.8
08,16,1980,6.0
08,17,1980,5.4
08,18,1980,4.9
08,19,1980,5.2
08,20,1980,4.7
08,21,1980,4.6
08,22,1980,4.0
08,23,1980,3.8
08,24,1980,4.1
08,25,1980,3.8
08,26,1980,4.5
08,27,1980,4.8
08,28,1980,3.9
08,29,1980,5.1
08,30,1980,4.1
08,31,1980,3.9
09,01,1980,4.3
09,02,1980,5.4
09,03,1980,6.0
09,04,1980,6.2
09,05,1980,7.3
09,06,1980,7.1
09,07,1980,6.6
09,08,1980,5.8
09,09,1980,6.3
09,10,1980,6.1
09,11,1980,5.9
09,12,1980,6.1
09,13,1980,6.0
09,14,1980,6.8
09,15,1980,5.7
09,16,1980,7.0
09,17,1980,7.4
09,18,1980,7.2
09,19,1980,6.9
09,20,1980,6.0
09,21,1980,5.0
09,22,1980,5.8
09,23,1980,6.2
09,24,1980,5.6
09,25,1980,4.0
09,26,1980,4.3
09,27,1980,4.8
09,28,1980,5.9
09,29,1980,4.4
09,30,1980,4.0
10,01,1980,5.4
10,02,1980,5.0
10,03,1980,5.1
10,04,1980,3.4
10,05,1980,4.8
10,06,1980,4.1
10,07,1980,3.8
10,08,1980,4.0
10,09,1980,3.7
10,10,1980,4.5
10,11,1980,3.3
10,12,1980,3.2
10,13,1980,4.5
10,14,1980,4.1
10,15,1980,3.7
10,16,1980,2.5
10,17,1980,4.1
10,18,1980,5.3
10,19,1980,5.1
10,20,1980,6.8
10,21,1980,4.0
10,22,1980,5.8
10,23,1980,6.2
10,24,1980,5.2
10,25,1980,4.8
10,26,1980,4.7
10,27,1980,5.1
10,28,1980,4.7
10,29,1980,4.0
10,30,1980,4.3
10,31,1980,4.7
11,01,1980,2.8
11,02,1980,2.9
11,03,1980,9.5
11,04,1980,null
11,05,1980,4.1
11,06,1980,5.9
11,07,1980,2.3
11,08,1980,1.8
11,09,1980,2.1
11,10,1980,1.9
11,11,1980,2.1
11,12,1980,2.4
11,13,1980,2.0
11,14,1980,2.0
11,15,1980,1.8
11,16,1980,1.7
11,17,1980,2.2
11,18,1980,2.4
11,19,1980,3.3
11,20,1980,3.9
11,21,1980,3.0
11,22,1980,2.8
11,23,1980,5.3
11,24,1980,2.9
11,25,1980,2.8
11,26,1980,3.3
11,27,1980,3.9
11,28,1980,3.4
11,29,1980,2.1
11,30,1980,2.4
12,01,1980,4.4
12,02,1980,6.2
12,03,1980,5.4
12,04,1980,5.0
12,05,1980,5.7
12,06,1980,5.4
12,07,1980,4.4
12,08,1980,4.9
12,09,1980,3.6
12,10,1980,2.8
12,11,1980,3.2
12,12,1980,3.8
12,13,1980,5.4
