Id:,20370
Estación:,GICHICOVI-OAX
Posición:,16.9666666667N -95.0847222222W
Variable:,Evaporación (mm)
Fecha Inicial:,02/01/1982
Fecha Final:,01/02/1987
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1982,null
02,02,1982,null
02,03,1982,null
02,04,1982,null
02,05,1982,null
02,06,1982,null
02,07,1982,null
02,08,1982,null
02,09,1982,null
02,10,1982,null
02,11,1982,null
02,12,1982,null
02,13,1982,null
02,14,1982,null
02,15,1982,null
02,16,1982,null
02,17,1982,null
02,18,1982,null
02,19,1982,null
02,20,1982,null
02,21,1982,null
02,22,1982,null
02,23,1982,6.89
02,24,1982,3.38
02,25,1982,2.49
02,26,1982,6.44
02,27,1982,4.49
02,28,1982,2.2
03,01,1982,null
03,02,1982,2.9
03,03,1982,9.6
03,04,1982,6.1
03,05,1982,5.4
03,06,1982,9.7
03,07,1982,7.1
03,08,1982,3.2
03,09,1982,9.9
03,10,1982,3.2
03,11,1982,3.2
03,12,1982,4.2
03,13,1982,1.5
03,14,1982,8.2
03,15,1982,5.1
03,16,1982,1.6
03,17,1982,4.9
03,18,1982,9.4
03,19,1982,2.4
03,20,1982,5.4
03,21,1982,8.0
03,22,1982,9.4
03,23,1982,5.6
03,24,1982,4.5
03,25,1982,6.2
03,26,1982,2.7
03,27,1982,7.5
03,28,1982,5.1
03,29,1982,4.0
03,30,1982,3.7
03,31,1982,5.9
04,01,1982,5.5
04,02,1982,9.2
04,03,1982,3.0
04,04,1982,5.2
04,05,1982,2.2
04,06,1982,4.4
04,07,1982,3.7
04,08,1982,4.0
04,09,1982,2.2
04,10,1982,5.2
04,11,1982,8.6
04,12,1982,4.3
04,13,1982,7.4
04,14,1982,4.0
04,15,1982,3.2
04,16,1982,3.8
04,17,1982,5.5
04,18,1982,4.8
04,19,1982,3.0
04,20,1982,4.2
04,21,1982,3.9
04,22,1982,6.6
04,23,1982,6.0
04,24,1982,3.9
04,25,1982,4.0
04,26,1982,7.4
04,27,1982,3.5
04,28,1982,4.3
04,29,1982,8.6
04,30,1982,6.6
05,01,1982,7.6
05,02,1982,5.5
05,03,1982,6.2
05,04,1982,2.9
05,05,1982,4.1
05,06,1982,5.6
05,07,1982,5.4
05,08,1982,4.7
05,09,1982,4.3
05,10,1982,3.6
05,11,1982,3.6
05,12,1982,2.9
05,13,1982,4.9
05,14,1982,4.9
05,15,1982,2.9
05,16,1982,7.1
05,17,1982,4.8
05,18,1982,5.6
05,19,1982,2.3
05,20,1982,2.3
05,21,1982,6.0
05,22,1982,4.6
05,23,1982,3.4
05,24,1982,5.9
05,25,1982,5.5
05,26,1982,6.0
05,27,1982,4.2
05,28,1982,6.1
05,29,1982,6.6
05,30,1982,3.4
05,31,1982,5.6
06,01,1982,3.8
06,02,1982,4.4
06,03,1982,4.5
06,04,1982,6.6
06,05,1982,7.8
06,06,1982,7.3
06,07,1982,4.4
06,08,1982,5.9
06,09,1982,2.8
06,10,1982,2.0
06,11,1982,6.0
06,12,1982,3.7
06,13,1982,9.0
06,14,1982,6.7
06,15,1982,4.1
06,16,1982,3.9
06,17,1982,4.1
06,18,1982,5.0
06,19,1982,4.3
06,20,1982,4.8
06,21,1982,5.2
06,22,1982,5.0
06,23,1982,6.0
