Id:,20378
Estación:,TOMATAL-OAX
Posición:,16.4716666667N -98.3558333333W
Variable:,Evaporación (mm)
Fecha Inicial:,01/01/1982
Fecha Final:,08/01/2007
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1982,5.1
01,02,1982,5.0
01,03,1982,5.1
01,04,1982,4.5
01,05,1982,4.9
01,06,1982,4.7
01,07,1982,5.0
01,08,1982,5.1
01,09,1982,5.4
01,10,1982,5.1
01,11,1982,5.0
01,12,1982,4.8
01,13,1982,5.5
01,14,1982,4.5
01,15,1982,5.0
01,16,1982,5.5
01,17,1982,4.3
01,18,1982,5.3
01,19,1982,5.3
01,20,1982,5.7
01,21,1982,5.9
01,22,1982,4.0
01,23,1982,5.2
01,24,1982,5.9
01,25,1982,6.2
01,26,1982,5.8
01,27,1982,4.3
01,28,1982,5.4
01,29,1982,4.6
01,30,1982,6.6
01,31,1982,4.7
02,01,1982,5.6
02,02,1982,6.1
02,03,1982,4.9
02,04,1982,5.7
02,05,1982,6.4
02,06,1982,6.1
02,07,1982,6.3
02,08,1982,6.4
02,09,1982,5.3
02,10,1982,5.8
02,11,1982,6.6
02,12,1982,6.9
02,13,1982,8.7
02,14,1982,7.2
02,15,1982,6.2
02,16,1982,5.4
02,17,1982,5.6
02,18,1982,5.8
02,19,1982,6.2
02,20,1982,6.8
02,21,1982,5.7
02,22,1982,6.1
02,23,1982,6.5
02,24,1982,6.6
02,25,1982,5.4
02,26,1982,4.5
02,27,1982,5.2
02,28,1982,6.5
03,01,1982,8.0
03,02,1982,8.3
03,03,1982,8.1
03,04,1982,8.8
03,05,1982,7.5
03,06,1982,6.6
03,07,1982,6.4
03,08,1982,9.1
03,09,1982,8.2
03,10,1982,8.2
03,11,1982,6.7
03,12,1982,7.4
03,13,1982,8.8
03,14,1982,7.4
03,15,1982,8.5
03,16,1982,8.6
03,17,1982,8.1
03,18,1982,7.8
03,19,1982,8.4
03,20,1982,9.4
03,21,1982,7.0
03,22,1982,7.8
03,23,1982,7.9
03,24,1982,7.6
03,25,1982,7.8
03,26,1982,7.7
03,27,1982,8.2
03,28,1982,8.4
03,29,1982,7.8
03,30,1982,8.1
03,31,1982,8.0
04,01,1982,9.5
04,02,1982,8.3
04,03,1982,7.6
04,04,1982,7.2
04,05,1982,6.6
04,06,1982,8.8
04,07,1982,8.2
04,08,1982,8.4
04,09,1982,8.7
04,10,1982,9.7
04,11,1982,8.2
04,12,1982,8.6
04,13,1982,5.1
04,14,1982,8.3
04,15,1982,7.9
04,16,1982,7.6
04,17,1982,7.3
04,18,1982,6.8
04,19,1982,8.8
04,20,1982,8.1
04,21,1982,9.1
04,22,1982,7.2
04,23,1982,8.8
04,24,1982,9.1
04,25,1982,8.7
04,26,1982,9.2
04,27,1982,8.8
04,28,1982,8.6
04,29,1982,7.6
04,30,1982,8.2
05,01,1982,8.9
05,02,1982,4.4
05,03,1982,8.6
05,04,1982,9.2
05,05,1982,8.5
05,06,1982,8.8
05,07,1982,7.3
05,08,1982,7.2
05,09,1982,7.7
05,10,1982,7.8
05,11,1982,7.5
05,12,1982,8.1
05,13,1982,8.0
05,14,1982,7.3
05,15,1982,8.1
05,16,1982,4.4
05,17,1982,9.1
05,18,1982,7.1
05,19,1982,5.0
05,20,1982,5.7
05,21,1982,5.3
05,22,1982,4.4
05,23,1982,4.4
05,24,1982,8.8
05,25,1982,7.3
05,26,1982,7.4
05,27,1982,7.8
05,28,1982,6.2
05,29,1982,4.3
05,30,1982,3.2
05,31,1982,2.6
06,01,1982,null
06,02,1982,null
06,03,1982,null
06,04,1982,null
06,05,1982,null
06,06,1982,null
06,07,1982,null
06,08,1982,null
06,09,1982,null
06,10,1982,null
06,11,1982,null
06,12,1982,null
06,13,1982,null
06,14,1982,null
06,15,1982,null
06,16,1982,null
06,17,1982,null
06,18,1982,null
06,19,1982,null
06,20,1982,null
06,21,1982,null
06,22,1982,null
06,23,1982,null
06,24,1982,null
06,25,1982,null
06,26,1982,null
06,27,1982,null
06,28,1982,null
06,29,1982,null
06,30,1982,null
07,01,1982,6.4
07,02,1982,7.0
07,03,1982,3.7
07,04,1982,5.0
07,05,1982,6.1
07,06,1982,6.1
07,07,1982,5.4
07,08,1982,5.3
07,09,1982,4.7
07,10,1982,6.8
07,11,1982,3.6
07,12,1982,4.3
07,13,1982,6.9
07,14,1982,6.2
07,15,1982,4.2
07,16,1982,4.0
07,17,1982,3.0
07,18,1982,4.4
07,19,1982,5.4
07,20,1982,5.5
07,21,1982,4.9
07,22,1982,5.7
07,23,1982,3.2
07,24,1982,3.5
07,25,1982,5.2
07,26,1982,5.4
07,27,1982,6.0
07,28,1982,5.6
07,29,1982,5.5
07,30,1982,3.0
07,31,1982,3.2
08,01,1982,4.0
08,02,1982,4.2
08,03,1982,6.2
08,04,1982,3.9
08,05,1982,5.5
08,06,1982,4.4
08,07,1982,6.3
08,08,1982,6.0
08,09,1982,4.5
08,10,1982,5.4
08,11,1982,5.6
08,12,1982,5.7
08,13,1982,5.3
08,14,1982,5.9
08,15,1982,6.0
08,16,1982,6.8
08,17,1982,4.8
08,18,1982,4.1
08,19,1982,6.7
08,20,1982,5.7
08,21,1982,6.1
08,22,1982,6.2
08,23,1982,6.6
08,24,1982,6.6
08,25,1982,7.0
08,26,1982,6.8
08,27,1982,3.4
08,28,1982,5.9
08,29,1982,6.5
08,30,1982,5.0
08,31,1982,6.9
09,01,1982,5.6
09,02,1982,2.7
09,03,1982,5.6
09,04,1982,3.2
09,05,1982,6.4
09,06,1982,5.8
09,07,1982,5.8
09,08,1982,4.9
09,09,1982,2.9
09,10,1982,1.4
09,11,1982,3.3
09,12,1982,6.2
09,13,1982,7.1
09,14,1982,5.3
09,15,1982,5.8
09,16,1982,3.2
09,17,1982,5.0
09,18,1982,5.2
09,19,1982,3.5
09,20,1982,3.4
09,21,1982,4.1
09,22,1982,2.8
09,23,1982,3.2
09,24,1982,3.3
09,25,1982,3.1
09,26,1982,4.0
09,27,1982,4.2
09,28,1982,2.8
09,29,1982,3.6
09,30,1982,4.3
10,01,1982,2.8
10,02,1982,3.0
10,03,1982,2.9
10,04,1982,1.8
10,05,1982,1.6
10,06,1982,3.4
10,07,1982,4.9
10,08,1982,5.6
10,09,1982,4.6
10,10,1982,4.1
10,11,1982,4.4
10,12,1982,4.6
10,13,1982,4.1
10,14,1982,2.3
10,15,1982,3.7
10,16,1982,3.8
10,17,1982,4.7
10,18,1982,5.1
10,19,1982,4.9
10,20,1982,4.9
10,21,1982,4.9
10,22,1982,4.7
10,23,1982,4.8
10,24,1982,4.5
10,25,1982,4.6
10,26,1982,4.8
10,27,1982,5.1
10,28,1982,3.7
10,29,1982,4.8
10,30,1982,4.9
10,31,1982,2.2
11,01,1982,4.6
11,02,1982,4.9
11,03,1982,4.7
11,04,1982,4.3
11,05,1982,4.3
11,06,1982,4.8
11,07,1982,5.3
11,08,1982,4.7
11,09,1982,5.0
11,10,1982,5.5
11,11,1982,2.6
11,12,1982,3.5
11,13,1982,4.8
11,14,1982,4.8
11,15,1982,4.9
11,16,1982,5.0
11,17,1982,4.7
11,18,1982,4.5
11,19,1982,4.2
11,20,1982,3.2
11,21,1982,5.8
11,22,1982,4.1
11,23,1982,3.5
11,24,1982,4.2
11,25,1982,5.1
11,26,1982,4.4
11,27,1982,5.4
11,28,1982,4.9
11,29,1982,4.3
11,30,1982,4.4
12,01,1982,3.2
12,02,1982,4.1
12,03,1982,4.9
12,04,1982,4.7
12,05,1982,4.8
12,06,1982,3.7
12,07,1982,5.0
12,08,1982,4.9
12,09,1982,4.9
12,10,1982,4.2
12,11,1982,4.8
12,12,1982,4.9
12,13,1982,4.0
12,14,1982,5.2
12,15,1982,2.8
12,16,1982,2.1
12,17,1982,4.6
12,18,1982,4.7
12,19,1982,4.9
12,20,1982,5.2
12,21,1982,5.3
12,22,1982,4.6
12,23,1982,5.1
12,24,1982,4.9
12,25,1982,3.6
12,26,1982,3.7
12,27,1982,4.8
12,28,1982,3.8
12,29,1982,4.7
12,30,1982,4.8
12,31,1982,3.4
01,01,1983,5.1
01,02,1983,4.8
01,03,1983,4.8
01,04,1983,4.5
01,05,1983,4.6
01,06,1983,4.4
01,07,1983,5.8
01,08,1983,4.6
01,09,1983,4.5
01,10,1983,4.4
01,11,1983,4.5
01,12,1983,3.3
01,13,1983,5.9
01,14,1983,6.0
01,15,1983,5.9
01,16,1983,4.1
01,17,1983,5.2
01,18,1983,3.3
01,19,1983,5.9
01,20,1983,5.8
01,21,1983,6.1
01,22,1983,5.9
01,23,1983,5.6
01,24,1983,5.0
01,25,1983,4.4
01,26,1983,5.1
01,27,1983,5.5
01,28,1983,5.9
01,29,1983,4.9
01,30,1983,5.2
01,31,1983,5.9
02,01,1983,5.6
02,02,1983,5.4
02,03,1983,5.8
02,04,1983,5.9
02,05,1983,6.3
02,06,1983,6.1
02,07,1983,6.5
02,08,1983,5.7
02,09,1983,6.0
02,10,1983,5.6
02,11,1983,5.5
02,12,1983,5.9
02,13,1983,6.3
02,14,1983,5.6
02,15,1983,7.0
02,16,1983,6.7
02,17,1983,5.1
02,18,1983,3.7
02,19,1983,2.2
02,20,1983,5.9
02,21,1983,6.5
02,22,1983,4.3
02,23,1983,5.5
02,24,1983,6.0
02,25,1983,2.0
02,26,1983,6.9
02,27,1983,5.1
02,28,1983,6.0
03,01,1983,7.1
03,02,1983,7.3
03,03,1983,7.0
03,04,1983,6.8
03,05,1983,6.8
03,06,1983,6.2
03,07,1983,6.7
03,08,1983,7.2
03,09,1983,6.5
03,10,1983,6.6
03,11,1983,5.4
03,12,1983,3.0
03,13,1983,2.4
03,14,1983,7.7
03,15,1983,5.1
