Id:,20379
Estación:,YODOCONO DE PORFIRIO DIAZ-OAX
Posición:,17.3808333333N -97.3558333333W
Variable:,Evaporación (mm)
Fecha Inicial:,01/01/1982
Fecha Final:,11/01/2010
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1982,4.8
01,02,1982,4.9
01,03,1982,4.2
01,04,1982,3.8
01,05,1982,3.1
01,06,1982,3.0
01,07,1982,1.7
01,08,1982,3.2
01,09,1982,1.5
01,10,1982,3.0
01,11,1982,2.6
01,12,1982,1.4
01,13,1982,1.8
01,14,1982,1.9
01,15,1982,3.9
01,16,1982,5.1
01,17,1982,3.7
01,18,1982,3.8
01,19,1982,5.4
01,20,1982,4.8
01,21,1982,5.2
01,22,1982,2.9
01,23,1982,5.4
01,24,1982,5.3
01,25,1982,5.1
01,26,1982,4.3
01,27,1982,5.4
01,28,1982,3.8
01,29,1982,4.6
01,30,1982,4.2
01,31,1982,3.7
02,01,1982,4.9
02,02,1982,3.5
02,03,1982,3.8
02,04,1982,3.7
02,05,1982,4.5
02,06,1982,5.0
02,07,1982,5.5
02,08,1982,4.6
02,09,1982,4.9
02,10,1982,5.0
02,11,1982,4.4
02,12,1982,5.0
02,13,1982,5.9
02,14,1982,4.7
02,15,1982,3.9
02,16,1982,3.8
02,17,1982,4.0
02,18,1982,4.1
02,19,1982,3.4
02,20,1982,4.8
02,21,1982,4.2
02,22,1982,3.6
02,23,1982,3.9
02,24,1982,4.0
02,25,1982,4.0
02,26,1982,4.2
02,27,1982,2.9
02,28,1982,2.5
03,01,1982,2.8
03,02,1982,3.0
03,03,1982,2.5
03,04,1982,2.4
03,05,1982,3.5
03,06,1982,4.5
03,07,1982,4.2
03,08,1982,3.3
03,09,1982,4.3
03,10,1982,4.9
03,11,1982,5.0
03,12,1982,4.7
03,13,1982,3.3
03,14,1982,3.8
03,15,1982,4.7
03,16,1982,4.8
03,17,1982,4.9
03,18,1982,5.0
03,19,1982,5.0
03,20,1982,5.0
03,21,1982,5.3
03,22,1982,6.0
03,23,1982,5.0
03,24,1982,5.2
03,25,1982,5.1
03,26,1982,5.1
03,27,1982,4.1
03,28,1982,3.2
03,29,1982,5.9
03,30,1982,5.3
03,31,1982,4.8
04,01,1982,7.7
04,02,1982,4.3
04,03,1982,10.0
04,04,1982,7.1
04,05,1982,8.2
04,06,1982,9.4
04,07,1982,9.3
04,08,1982,6.8
04,09,1982,5.3
04,10,1982,6.6
04,11,1982,4.7
04,12,1982,4.2
04,13,1982,4.7
04,14,1982,3.9
04,15,1982,5.9
04,16,1982,9.3
04,17,1982,11.0
04,18,1982,8.3
04,19,1982,7.8
04,20,1982,5.3
04,21,1982,5.4
04,22,1982,4.8
04,23,1982,6.4
04,24,1982,8.4
04,25,1982,6.1
04,26,1982,6.2
04,27,1982,6.0
04,28,1982,7.4
04,29,1982,7.0
04,30,1982,5.3
05,01,1982,5.6
05,02,1982,5.1
05,03,1982,6.3
05,04,1982,5.3
05,05,1982,6.1
05,06,1982,6.2
05,07,1982,6.2
05,08,1982,6.5
05,09,1982,6.1
05,10,1982,6.3
05,11,1982,5.7
05,12,1982,5.9
05,13,1982,5.4
05,14,1982,5.9
05,15,1982,5.9
05,16,1982,5.1
05,17,1982,2.2
05,18,1982,3.3
05,19,1982,3.4
05,20,1982,4.3
05,21,1982,4.8
05,22,1982,3.0
05,23,1982,4.9
05,24,1982,3.7
05,25,1982,4.7
05,26,1982,4.7
05,27,1982,5.8
05,28,1982,6.4
05,29,1982,5.8
05,30,1982,5.4
05,31,1982,5.0
06,01,1982,5.8
06,02,1982,6.4
06,03,1982,6.7
06,04,1982,6.4
06,05,1982,6.0
06,06,1982,7.0
06,07,1982,6.9
06,08,1982,6.1
06,09,1982,6.2
06,10,1982,6.9
06,11,1982,6.6
06,12,1982,7.5
06,13,1982,6.3
06,14,1982,4.1
06,15,1982,4.7
06,16,1982,6.1
06,17,1982,5.9
06,18,1982,5.2
06,19,1982,5.4
06,20,1982,6.3
06,21,1982,6.0
06,22,1982,6.5
06,23,1982,4.3
06,24,1982,7.2
06,25,1982,4.4
06,26,1982,4.4
06,27,1982,4.0
06,28,1982,4.4
06,29,1982,3.2
06,30,1982,4.1
07,01,1982,4.7
07,02,1982,4.2
07,03,1982,6.8
07,04,1982,3.6
07,05,1982,5.5
07,06,1982,5.5
07,07,1982,4.8
07,08,1982,4.6
07,09,1982,5.6
07,10,1982,3.6
07,11,1982,6.5
07,12,1982,3.4
07,13,1982,6.1
