Id:,20381
Estación:,ZAPOTALILLO-OAX
Posición:,15.985N -97.5591666667W
Variable:,Evaporación (mm)
Fecha Inicial:,08/01/1982
Fecha Final:,03/01/1983
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1982,6.6
08,02,1982,5.1
08,03,1982,7.5
08,04,1982,5.4
08,05,1982,6.4
08,06,1982,4.2
08,07,1982,6.7
08,08,1982,5.9
08,09,1982,4.8
08,10,1982,4.8
08,11,1982,4.7
08,12,1982,6.5
08,13,1982,6.2
08,14,1982,5.8
08,15,1982,6.8
08,16,1982,null
08,17,1982,null
08,18,1982,null
08,19,1982,6.2
08,20,1982,8.0
08,21,1982,7.4
08,22,1982,4.7
08,23,1982,6.3
08,24,1982,5.3
08,25,1982,4.6
08,26,1982,7.0
08,27,1982,7.1
08,28,1982,6.5
08,29,1982,7.7
08,30,1982,7.0
08,31,1982,5.8
09,01,1982,6.4
09,02,1982,6.0
09,03,1982,6.2
09,04,1982,4.9
09,05,1982,6.5
09,06,1982,5.8
09,07,1982,3.7
09,08,1982,4.9
09,09,1982,7.3
09,10,1982,4.1
09,11,1982,5.6
09,12,1982,6.3
09,13,1982,7.0
09,14,1982,3.5
09,15,1982,6.1
09,16,1982,4.6
09,17,1982,3.8
09,18,1982,3.0
09,19,1982,3.4
09,20,1982,3.3
09,21,1982,3.4
09,22,1982,3.3
09,23,1982,2.9
09,24,1982,2.8
09,25,1982,2.3
09,26,1982,3.7
09,27,1982,3.5
09,28,1982,1.9
09,29,1982,2.7
09,30,1982,3.3
10,01,1982,3.4
10,02,1982,3.1
10,03,1982,4.1
10,04,1982,3.7
10,05,1982,4.0
10,06,1982,4.1
10,07,1982,4.5
10,08,1982,4.0
10,09,1982,5.1
10,10,1982,5.9
10,11,1982,5.7
10,12,1982,4.9
10,13,1982,5.6
10,14,1982,3.5
10,15,1982,2.2
10,16,1982,3.1
10,17,1982,4.7
10,18,1982,4.2
10,19,1982,5.0
10,20,1982,5.7
10,21,1982,3.1
10,22,1982,4.2
10,23,1982,4.1
10,24,1982,5.2
10,25,1982,2.8
10,26,1982,4.0
10,27,1982,4.1
10,28,1982,5.0
10,29,1982,5.2
10,30,1982,4.9
10,31,1982,5.2
11,01,1982,null
11,02,1982,null
11,03,1982,null
11,04,1982,null
11,05,1982,null
11,06,1982,null
11,07,1982,null
11,08,1982,null
11,09,1982,null
11,10,1982,null
11,11,1982,null
11,12,1982,null
11,13,1982,null
11,14,1982,null
11,15,1982,null
11,16,1982,null
11,17,1982,null
11,18,1982,null
11,19,1982,null
11,20,1982,null
11,21,1982,null
11,22,1982,null
11,23,1982,null
11,24,1982,null
11,25,1982,null
11,26,1982,null
11,27,1982,null
11,28,1982,null
11,29,1982,null
11,30,1982,null
12,01,1982,null
12,02,1982,null
12,03,1982,null
12,04,1982,null
12,05,1982,5.2
12,06,1982,4.0
12,07,1982,4.1
12,08,1982,5.6
12,09,1982,4.7
12,10,1982,6.3
12,11,1982,4.9
12,12,1982,4.1
12,13,1982,3.5
12,14,1982,2.9
12,15,1982,4.6
12,16,1982,3.9
12,17,1982,3.9
12,18,1982,3.1
12,19,1982,3.5
12,20,1982,3.1
12,21,1982,4.0
12,22,1982,2.6
12,23,1982,5.0
12,24,1982,3.4
12,25,1982,2.8
12,26,1982,5.1
12,27,1982,4.2
12,28,1982,4.5
12,29,1982,4.2
12,30,1982,4.4
12,31,1982,5.5
01,01,1983,4.4
01,02,1983,4.0
01,03,1983,3.1
01,04,1983,3.3
01,05,1983,4.0
01,06,1983,5.1
01,07,1983,4.5
01,08,1983,3.7
01,09,1983,4.2
01,10,1983,4.3
01,11,1983,3.3
01,12,1983,5.4
01,13,1983,5.2
01,14,1983,4.3
01,15,1983,4.7
01,16,1983,6.7
01,17,1983,4.9
01,18,1983,6.0
01,19,1983,5.1
01,20,1983,4.6
01,21,1983,4.1
01,22,1983,4.9
01,23,1983,5.1
01,24,1983,5.3
01,25,1983,5.5
01,26,1983,4.5
01,27,1983,5.1
01,28,1983,6.4
01,29,1983,5.1
01,30,1983,4.9
01,31,1983,5.3
02,01,1983,3.6
02,02,1983,5.0
02,03,1983,4.9
02,04,1983,6.0
02,05,1983,6.2
02,06,1983,5.5
02,07,1983,4.9
02,08,1983,5.9
02,09,1983,6.7
02,10,1983,5.2
02,11,1983,5.0
02,12,1983,5.0
02,13,1983,7.0
02,14,1983,6.1
02,15,1983,6.4
02,16,1983,5.5
02,17,1983,6.2
02,18,1983,3.0
02,19,1983,2.8
02,20,1983,3.9
02,21,1983,5.3
02,22,1983,5.3
02,23,1983,5.7
02,24,1983,5.7
02,25,1983,1.7
02,26,1983,6.4
02,27,1983,7.1
02,28,1983,6.3
