Id:,20382
Estación:,EL MARQUES-OAX
Posición:,16.4344444444N -95.3727777778W
Variable:,Evaporación (mm)
Fecha Inicial:,01/01/1983
Fecha Final:,01/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1983,null
01,02,1983,null
01,03,1983,null
01,04,1983,null
01,05,1983,null
01,06,1983,7.6
01,07,1983,4.4
01,08,1983,6.7
01,09,1983,5.9
01,10,1983,4.9
01,11,1983,8.6
01,12,1983,7.0
01,13,1983,5.1
01,14,1983,5.7
01,15,1983,7.9
01,16,1983,4.0
01,17,1983,8.2
01,18,1983,4.0
01,19,1983,4.3
01,20,1983,7.5
01,21,1983,4.2
01,22,1983,5.4
01,23,1983,8.5
01,24,1983,6.4
01,25,1983,6.2
01,26,1983,7.4
01,27,1983,5.3
01,28,1983,6.7
01,29,1983,5.1
01,30,1983,5.5
01,31,1983,7.3
02,01,1983,6.4
02,02,1983,4.2
02,03,1983,5.4
02,04,1983,7.7
02,05,1983,6.8
02,06,1983,6.2
02,07,1983,4.7
02,08,1983,5.2
02,09,1983,7.8
02,10,1983,4.0
02,11,1983,5.8
02,12,1983,5.8
02,13,1983,5.2
02,14,1983,7.2
02,15,1983,6.5
02,16,1983,4.3
02,17,1983,6.8
02,18,1983,5.8
02,19,1983,6.6
02,20,1983,6.7
02,21,1983,6.8
02,22,1983,5.3
02,23,1983,7.9
02,24,1983,6.8
02,25,1983,5.7
02,26,1983,6.1
02,27,1983,5.7
02,28,1983,4.2
03,01,1983,7.3
03,02,1983,7.0
03,03,1983,7.3
03,04,1983,7.0
03,05,1983,7.2
03,06,1983,7.1
03,07,1983,6.1
03,08,1983,5.9
03,09,1983,9.0
03,10,1983,7.6
03,11,1983,9.4
03,12,1983,4.3
03,13,1983,2.1
03,14,1983,7.7
03,15,1983,4.0
03,16,1983,3.1
03,17,1983,5.5
03,18,1983,5.9
03,19,1983,7.2
03,20,1983,5.9
03,21,1983,7.8
03,22,1983,7.8
03,23,1983,5.2
03,24,1983,5.6
03,25,1983,7.9
03,26,1983,8.0
03,27,1983,9.9
03,28,1983,7.5
03,29,1983,8.4
03,30,1983,7.8
03,31,1983,6.5
04,01,1983,5.9
04,02,1983,7.7
04,03,1983,7.7
04,04,1983,7.2
04,05,1983,3.1
04,06,1983,8.2
04,07,1983,7.2
04,08,1983,9.7
04,09,1983,8.8
04,10,1983,7.8
04,11,1983,8.4
04,12,1983,6.9
04,13,1983,8.1
04,14,1983,9.1
04,15,1983,7.2
04,16,1983,9.4
04,17,1983,8.9
04,18,1983,6.9
04,19,1983,6.9
04,20,1983,6.2
04,21,1983,8.9
04,22,1983,6.4
04,23,1983,9.0
04,24,1983,9.3
04,25,1983,9.0
04,26,1983,8.1
04,27,1983,6.3
04,28,1983,8.3
04,29,1983,8.0
04,30,1983,8.4
05,01,1983,7.8
05,02,1983,8.5
05,03,1983,8.3
05,04,1983,9.9
05,05,1983,9.4
05,06,1983,7.5
05,07,1983,7.0
05,08,1983,9.3
05,09,1983,7.8
05,10,1983,5.3
05,11,1983,7.7
05,12,1983,6.0
05,13,1983,5.8
05,14,1983,5.4
05,15,1983,5.8
05,16,1983,8.3
05,17,1983,6.0
05,18,1983,6.6
05,19,1983,8.8
05,20,1983,8.5
05,21,1983,9.7
