Id:,20387
Estación:,ZACATEPEC (DGE)-OAX
Posición:,17.1586111111N -95.915W
Variable:,Evaporación (mm)
Fecha Inicial:,02/01/1984
Fecha Final:,03/01/1984
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1984,4.3
02,02,1984,8.0
02,03,1984,4.9
02,04,1984,5.1
02,05,1984,8.0
02,06,1984,9.3
02,07,1984,3.9
02,08,1984,4.0
02,09,1984,4.0
02,10,1984,4.0
02,11,1984,4.5
02,12,1984,7.5
02,13,1984,4.5
02,14,1984,4.8
02,15,1984,6.1
02,16,1984,6.4
02,17,1984,4.4
02,18,1984,4.1
02,19,1984,5.4
02,20,1984,4.6
02,21,1984,5.5
02,22,1984,3.4
02,23,1984,4.1
02,24,1984,4.0
02,25,1984,3.6
02,26,1984,1.4
02,27,1984,5.2
02,28,1984,5.6
02,29,1984,5.4
