Id:,20506
Estación:,MARIA LOMBARDO-OAX
Posición:,17.4344444444N -95.4913888889W
Variable:,Evaporación (mm)
Fecha Inicial:,02/01/2001
Fecha Final:,01/02/2011
No Dato:,nan
Mes,Día,Anio,Datos
02,01,2001,1.64
02,02,2001,0.35
02,03,2001,0.33
02,04,2001,0.19
02,05,2001,1.74
02,06,2001,1.07
02,07,2001,1.8
02,08,2001,1.91
02,09,2001,0.93
02,10,2001,1.99
02,11,2001,1.12
02,12,2001,1.5
02,13,2001,1.41
02,14,2001,1.26
02,15,2001,2.98
02,16,2001,3.89
02,17,2001,1.82
02,18,2001,0.81
02,19,2001,1.95
02,20,2001,1.7
02,21,2001,0.61
02,22,2001,2.01
02,23,2001,2.92
02,24,2001,3.97
02,25,2001,3.12
02,26,2001,2.16
02,27,2001,2.22
02,28,2001,3.64
03,01,2001,null
03,02,2001,3.47
03,03,2001,4.0
03,04,2001,2.29
03,05,2001,3.42
03,06,2001,2.66
03,07,2001,2.99
03,08,2001,2.74
03,09,2001,3.45
03,10,2001,2.8
03,11,2001,3.19
03,12,2001,6.12
03,13,2001,6.17
03,14,2001,2.8
03,15,2001,5.67
03,16,2001,3.38
03,17,2001,2.97
03,18,2001,2.99
03,19,2001,3.75
03,20,2001,1.21
03,21,2001,0.7
03,22,2001,2.48
03,23,2001,4.24
03,24,2001,4.2
03,25,2001,4.47
03,26,2001,5.35
03,27,2001,3.01
03,28,2001,3.8
03,29,2001,6.03
03,30,2001,6.7
03,31,2001,6.3
04,01,2001,2.25
04,02,2001,4.41
04,03,2001,6.79
04,04,2001,5.91
04,05,2001,5.2
04,06,2001,5.13
04,07,2001,5.91
04,08,2001,5.94
04,09,2001,5.71
04,10,2001,5.95
04,11,2001,6.45
04,12,2001,8.06
04,13,2001,6.43
04,14,2001,5.44
04,15,2001,5.09
04,16,2001,5.16
04,17,2001,3.77
04,18,2001,5.07
04,19,2001,2.62
04,20,2001,3.14
04,21,2001,4.33
04,22,2001,5.28
04,23,2001,5.39
04,24,2001,4.53
04,25,2001,4.35
04,26,2001,2.77
04,27,2001,2.43
04,28,2001,1.31
04,29,2001,3.53
04,30,2001,1.71
05,01,2001,3.24
05,02,2001,5.08
05,03,2001,3.71
05,04,2001,4.72
05,05,2001,4.6
05,06,2001,4.26
05,07,2001,4.22
05,08,2001,2.18
05,09,2001,3.67
05,10,2001,2.88
05,11,2001,3.75
05,12,2001,4.16
05,13,2001,2.1
05,14,2001,3.76
05,15,2001,3.43
05,16,2001,4.14
05,17,2001,4.45
05,18,2001,4.54
05,19,2001,4.02
05,20,2001,5.52
05,21,2001,5.04
05,22,2001,5.03
05,23,2001,3.68
05,24,2001,1.57
05,25,2001,4.22
05,26,2001,2.23
05,27,2001,2.11
05,28,2001,2.88
05,29,2001,3.74
05,30,2001,4.64
05,31,2001,4.84
06,01,2001,4.47
06,02,2001,3.46
06,03,2001,4.78
06,04,2001,4.08
06,05,2001,4.55
06,06,2001,5.91
06,07,2001,4.81
06,08,2001,5.9
06,09,2001,5.97
06,10,2001,4.72
06,11,2001,4.06
06,12,2001,6.06
06,13,2001,6.15
06,14,2001,5.33
06,15,2001,7.03
06,16,2001,5.51
06,17,2001,7.32
06,18,2001,4.75
06,19,2001,2.77
06,20,2001,2.27
06,21,2001,1.89
06,22,2001,2.16
06,23,2001,3.51
06,24,2001,1.79
06,25,2001,2.74
06,26,2001,4.04
06,27,2001,3.18
06,28,2001,2.42
06,29,2001,0.18
06,30,2001,3.51
07,01,2001,3.99
07,02,2001,4.69
07,03,2001,2.48
07,04,2001,3.06
07,05,2001,1.1
07,06,2001,2.1
07,07,2001,2.89
07,08,2001,1.95
07,09,2001,2.94
07,10,2001,3.77
07,11,2001,3.89
07,12,2001,3.28
07,13,2001,4.44
07,14,2001,3.82
07,15,2001,3.91
07,16,2001,4.54
07,17,2001,3.16
07,18,2001,4.94
07,19,2001,5.77
07,20,2001,1.37
07,21,2001,3.11
07,22,2001,3.41
07,23,2001,4.66
07,24,2001,4.74
07,25,2001,4.81
07,26,2001,4.43
07,27,2001,4.98
07,28,2001,4.42
07,29,2001,3.68
07,30,2001,2.17
07,31,2001,2.31
08,01,2001,2.73
08,02,2001,1.83
08,03,2001,2.47
08,04,2001,3.25
08,05,2001,2.73
08,06,2001,3.29
08,07,2001,3.27
08,08,2001,1.21
08,09,2001,2.12
08,10,2001,2.06
08,11,2001,1.96
08,12,2001,1.05
08,13,2001,2.47
08,14,2001,2.24
08,15,2001,2.53
08,16,2001,1.33
08,17,2001,2.33
08,18,2001,4.0
08,19,2001,1.65
08,20,2001,3.24
08,21,2001,1.03
08,22,2001,0.98
08,23,2001,1.27
08,24,2001,0.69
08,25,2001,1.78
08,26,2001,2.38
