Id:,20507
Estación:,DIAZ ORDAZ-OAX
Posición:,16.9972222222N -96.4236111111W
Variable:,Evaporación (mm)
Fecha Inicial:,06/01/1984
Fecha Final:,01/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1984,null
06,02,1984,null
06,03,1984,null
06,04,1984,null
06,05,1984,null
06,06,1984,null
06,07,1984,null
06,08,1984,null
06,09,1984,3.9
06,10,1984,3.9
06,11,1984,3.0
06,12,1984,4.3
06,13,1984,5.2
06,14,1984,7.3
06,15,1984,6.4
06,16,1984,5.5
06,17,1984,3.5
06,18,1984,3.0
06,19,1984,2.5
06,20,1984,4.6
06,21,1984,1.5
06,22,1984,3.9
06,23,1984,3.1
06,24,1984,3.0
06,25,1984,3.9
06,26,1984,3.7
06,27,1984,5.9
06,28,1984,6.2
06,29,1984,7.2
06,30,1984,4.1
07,01,1984,1.5
07,02,1984,2.4
07,03,1984,2.3
07,04,1984,2.1
07,05,1984,3.2
07,06,1984,3.8
07,07,1984,5.5
07,08,1984,2.3
07,09,1984,3.7
07,10,1984,3.5
07,11,1984,1.2
07,12,1984,3.3
07,13,1984,1.3
07,14,1984,5.4
07,15,1984,5.0
07,16,1984,3.2
07,17,1984,1.8
07,18,1984,2.1
07,19,1984,1.8
07,20,1984,4.2
07,21,1984,7.0
07,22,1984,4.4
07,23,1984,7.5
07,24,1984,6.1
07,25,1984,5.3
07,26,1984,8.2
07,27,1984,4.8
07,28,1984,5.2
07,29,1984,3.4
07,30,1984,6.4
07,31,1984,3.1
08,01,1984,3.0
08,02,1984,4.4
08,03,1984,1.3
08,04,1984,3.7
08,05,1984,2.8
08,06,1984,3.1
08,07,1984,5.3
08,08,1984,3.3
08,09,1984,3.0
08,10,1984,5.1
08,11,1984,4.1
08,12,1984,4.3
08,13,1984,5.3
08,14,1984,2.9
08,15,1984,4.5
08,16,1984,4.0
08,17,1984,5.9
08,18,1984,3.1
08,19,1984,4.8
08,20,1984,5.4
08,21,1984,3.1
08,22,1984,5.6
08,23,1984,5.8
08,24,1984,4.1
08,25,1984,6.0
08,26,1984,2.9
08,27,1984,6.0
08,28,1984,5.1
08,29,1984,6.2
08,30,1984,3.8
08,31,1984,5.5
09,01,1984,4.8
09,02,1984,3.9
09,03,1984,5.5
09,04,1984,6.4
09,05,1984,4.8
09,06,1984,1.3
09,07,1984,4.4
09,08,1984,5.1
09,09,1984,4.4
09,10,1984,1.9
09,11,1984,2.2
09,12,1984,1.3
09,13,1984,5.4
09,14,1984,1.1
09,15,1984,0.6
09,16,1984,1.7
09,17,1984,2.2
09,18,1984,5.4
09,19,1984,4.8
09,20,1984,1.4
09,21,1984,2.2
09,22,1984,4.2
09,23,1984,1.2
09,24,1984,1.7
09,25,1984,2.2
09,26,1984,3.5
09,27,1984,4.8
09,28,1984,3.1
09,29,1984,2.1
09,30,1984,4.3
10,01,1984,2.5
10,02,1984,3.2
10,03,1984,2.3
10,04,1984,9.9
10,05,1984,4.9
10,06,1984,4.2
10,07,1984,7.1
10,08,1984,2.8
10,09,1984,1.1
10,10,1984,5.0
10,11,1984,5.0
10,12,1984,6.1
10,13,1984,3.5
10,14,1984,4.9
10,15,1984,5.3
10,16,1984,4.7
10,17,1984,7.7
10,18,1984,8.3
10,19,1984,3.5
10,20,1984,2.3
10,21,1984,3.4
10,22,1984,6.1
10,23,1984,3.8
10,24,1984,7.4
10,25,1984,5.2
10,26,1984,5.1
10,27,1984,4.1
10,28,1984,3.9
10,29,1984,5.1
10,30,1984,2.0
10,31,1984,4.9
11,01,1984,3.9
11,02,1984,5.4
11,03,1984,2.7
11,04,1984,1.4
11,05,1984,3.1
11,06,1984,5.2
11,07,1984,1.8
11,08,1984,3.1
11,09,1984,3.1
11,10,1984,4.9
11,11,1984,4.9
11,12,1984,1.7
11,13,1984,3.1
11,14,1984,4.3
11,15,1984,4.1
11,16,1984,5.0
11,17,1984,3.6
11,18,1984,3.7
11,19,1984,4.0
11,20,1984,3.4
11,21,1984,5.4
11,22,1984,3.0
11,23,1984,2.9
11,24,1984,4.6
11,25,1984,4.8
11,26,1984,4.7
11,27,1984,5.1
11,28,1984,1.1
11,29,1984,7.3
11,30,1984,5.0
12,01,1984,null
12,02,1984,null
12,03,1984,null
12,04,1984,null
12,05,1984,null
12,06,1984,null
12,07,1984,null
12,08,1984,null
12,09,1984,null
12,10,1984,null
12,11,1984,null
12,12,1984,null
12,13,1984,null
12,14,1984,null
12,15,1984,null
12,16,1984,null
12,17,1984,null
12,18,1984,null
12,19,1984,null
12,20,1984,null
12,21,1984,null
12,22,1984,null
12,23,1984,null
12,24,1984,null
12,25,1984,null
12,26,1984,null
12,27,1984,null
12,28,1984,null
12,29,1984,null
12,30,1984,null
12,31,1984,null
01,01,1985,9.6
01,02,1985,5.09
01,03,1985,8.23
01,04,1985,5.07
01,05,1985,8.61
01,06,1985,6.04
01,07,1985,5.04
01,08,1985,7.66
01,09,1985,5.61
01,10,1985,5.84
01,11,1985,4.35
01,12,1985,8.42
01,13,1985,3.31
01,14,1985,3.72
01,15,1985,4.0
01,16,1985,6.32
01,17,1985,7.36
01,18,1985,3.41
01,19,1985,5.48
01,20,1985,5.8
01,21,1985,2.44
01,22,1985,1.32
01,23,1985,7.56
01,24,1985,8.91
01,25,1985,6.09
01,26,1985,6.99
01,27,1985,7.26
01,28,1985,8.9
01,29,1985,7.18
01,30,1985,6.82
01,31,1985,5.49
02,01,1985,8.1
02,02,1985,7.93
