Id:,20084
Estación:,PAPALOAPAN-OAX
Posición:,18.1497222222N -96.0677777778W
Variable:,Temp Máxima (oC)
Fecha Inicial:,08/01/1948
Fecha Final:,01/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1948,34.5
08,02,1948,34.0
08,03,1948,34.0
08,04,1948,34.5
08,05,1948,32.0
08,06,1948,33.5
08,07,1948,33.5
08,08,1948,33.0
08,09,1948,34.5
08,10,1948,34.0
08,11,1948,35.0
08,12,1948,33.0
08,13,1948,34.5
08,14,1948,34.0
08,15,1948,36.0
08,16,1948,35.5
08,17,1948,35.5
08,18,1948,34.0
08,19,1948,34.0
08,20,1948,34.0
08,21,1948,34.0
08,22,1948,34.5
08,23,1948,33.5
08,24,1948,34.5
08,25,1948,34.0
08,26,1948,34.5
08,27,1948,34.0
08,28,1948,34.0
08,29,1948,30.5
08,30,1948,33.5
08,31,1948,33.5
09,01,1948,32.0
09,02,1948,34.5
09,03,1948,35.0
09,04,1948,35.0
09,05,1948,34.5
09,06,1948,32.0
09,07,1948,33.0
09,08,1948,31.5
09,09,1948,34.0
09,10,1948,32.5
09,11,1948,34.5
09,12,1948,33.5
09,13,1948,34.5
09,14,1948,33.0
09,15,1948,30.5
09,16,1948,29.5
09,17,1948,28.0
09,18,1948,33.5
09,19,1948,31.0
09,20,1948,32.0
09,21,1948,33.0
09,22,1948,33.0
09,23,1948,34.0
09,24,1948,33.0
09,25,1948,32.0
09,26,1948,31.0
09,27,1948,30.0
09,28,1948,29.0
09,29,1948,26.0
09,30,1948,28.0
10,01,1948,29.5
10,02,1948,27.0
10,03,1948,27.0
10,04,1948,31.5
10,05,1948,31.5
10,06,1948,33.0
10,07,1948,32.5
10,08,1948,29.5
10,09,1948,31.0
10,10,1948,33.0
10,11,1948,32.5
10,12,1948,32.0
10,13,1948,28.0
10,14,1948,28.0
10,15,1948,32.5
10,16,1948,33.0
10,17,1948,31.5
10,18,1948,25.5
10,19,1948,26.0
10,20,1948,27.0
10,21,1948,29.0
10,22,1948,29.0
10,23,1948,29.0
10,24,1948,28.0
10,25,1948,28.5
10,26,1948,29.0
10,27,1948,30.0
10,28,1948,30.0
10,29,1948,30.0
10,30,1948,31.0
10,31,1948,31.0
11,01,1948,32.0
11,02,1948,30.0
11,03,1948,33.0
11,04,1948,33.0
11,05,1948,35.5
11,06,1948,25.0
11,07,1948,27.5
11,08,1948,30.0
11,09,1948,32.0
11,10,1948,21.5
11,11,1948,24.0
11,12,1948,29.0
11,13,1948,25.5
11,14,1948,26.0
11,15,1948,28.5
11,16,1948,31.0
11,17,1948,31.0
11,18,1948,32.5
11,19,1948,25.0
11,20,1948,28.0
11,21,1948,29.5
11,22,1948,28.0
11,23,1948,23.0
11,24,1948,25.5
11,25,1948,30.0
11,26,1948,32.0
11,27,1948,33.5
11,28,1948,24.5
11,29,1948,21.0
11,30,1948,24.0
12,01,1948,27.2
12,02,1948,28.0
12,03,1948,24.0
12,04,1948,29.5
12,05,1948,31.0
12,06,1948,27.0
12,07,1948,32.0
12,08,1948,29.0
12,09,1948,26.5
12,10,1948,22.0
12,11,1948,26.0
12,12,1948,29.0
12,13,1948,29.0
12,14,1948,30.0
12,15,1948,32.5
12,16,1948,30.5
12,17,1948,31.5
12,18,1948,31.0
12,19,1948,32.0
12,20,1948,29.5
12,21,1948,31.0
12,22,1948,32.5
12,23,1948,32.0
12,24,1948,35.5
12,25,1948,30.0
12,26,1948,27.0
12,27,1948,24.0
12,28,1948,25.0
12,29,1948,30.0
12,30,1948,21.0
12,31,1948,23.0
01,01,1949,26.0
01,02,1949,30.5
01,03,1949,33.0
01,04,1949,33.0
01,05,1949,27.0
01,06,1949,20.0
01,07,1949,22.0
01,08,1949,26.0
01,09,1949,30.0
01,10,1949,29.5
01,11,1949,28.0
01,12,1949,29.0
01,13,1949,28.0
01,14,1949,29.0
01,15,1949,31.0
01,16,1949,31.0
01,17,1949,29.5
01,18,1949,29.0
01,19,1949,24.0
01,20,1949,25.0
01,21,1949,28.0
01,22,1949,30.0
01,23,1949,32.0
01,24,1949,31.0
01,25,1949,32.0
01,26,1949,31.5
01,27,1949,30.0
01,28,1949,31.0
01,29,1949,22.0
01,30,1949,20.0
01,31,1949,22.0
02,01,1949,null
02,02,1949,null
02,03,1949,null
02,04,1949,null
02,05,1949,null
02,06,1949,null
02,07,1949,null
02,08,1949,null
02,09,1949,null
02,10,1949,null
02,11,1949,null
02,12,1949,null
02,13,1949,null
02,14,1949,null
02,15,1949,null
02,16,1949,null
02,17,1949,null
02,18,1949,null
02,19,1949,null
02,20,1949,null
02,21,1949,null
02,22,1949,null
02,23,1949,null
02,24,1949,null
02,25,1949,null
02,26,1949,null
02,27,1949,null
02,28,1949,null
03,01,1949,null
03,02,1949,null
03,03,1949,null
03,04,1949,null
03,05,1949,null
03,06,1949,null
03,07,1949,null
03,08,1949,null
03,09,1949,null
03,10,1949,null
03,11,1949,null
03,12,1949,null
03,13,1949,null
03,14,1949,null
03,15,1949,null
03,16,1949,null
03,17,1949,null
03,18,1949,null
03,19,1949,null
03,20,1949,null
03,21,1949,null
03,22,1949,null
03,23,1949,null
03,24,1949,null
03,25,1949,null
03,26,1949,null
03,27,1949,null
03,28,1949,null
03,29,1949,null
03,30,1949,null
03,31,1949,null
04,01,1949,null
04,02,1949,null
04,03,1949,null
04,04,1949,null
04,05,1949,null
04,06,1949,null
04,07,1949,null
04,08,1949,null
04,09,1949,null
04,10,1949,null
04,11,1949,null
04,12,1949,null
04,13,1949,null
04,14,1949,null
04,15,1949,null
04,16,1949,null
04,17,1949,null
04,18,1949,null
04,19,1949,null
04,20,1949,null
04,21,1949,null
04,22,1949,null
04,23,1949,null
04,24,1949,null
04,25,1949,null
04,26,1949,null
04,27,1949,null
04,28,1949,null
04,29,1949,null
04,30,1949,null
05,01,1949,null
05,02,1949,null
05,03,1949,null
05,04,1949,null
05,05,1949,null
05,06,1949,null
05,07,1949,null
05,08,1949,null
05,09,1949,null
05,10,1949,null
05,11,1949,null
05,12,1949,null
05,13,1949,null
05,14,1949,null
05,15,1949,null
05,16,1949,null
05,17,1949,null
05,18,1949,null
05,19,1949,null
05,20,1949,null
05,21,1949,null
05,22,1949,null
05,23,1949,null
05,24,1949,null
05,25,1949,null
05,26,1949,null
05,27,1949,null
05,28,1949,null
05,29,1949,null
05,30,1949,null
05,31,1949,null
06,01,1949,37.0
06,02,1949,37.0
06,03,1949,34.0
06,04,1949,34.0
06,05,1949,35.0
06,06,1949,34.0
06,07,1949,36.0
06,08,1949,38.0
06,09,1949,37.0
06,10,1949,34.0
06,11,1949,35.0
06,12,1949,36.0
06,13,1949,35.5
06,14,1949,36.0
06,15,1949,36.0
06,16,1949,35.5
06,17,1949,37.0
06,18,1949,34.5
06,19,1949,30.0
06,20,1949,33.0
06,21,1949,34.0
06,22,1949,35.0
06,23,1949,36.0
06,24,1949,37.0
06,25,1949,null
06,26,1949,null
06,27,1949,null
06,28,1949,32.0
06,29,1949,28.0
06,30,1949,32.5
07,01,1949,null
07,02,1949,null
07,03,1949,null
07,04,1949,null
07,05,1949,null
07,06,1949,null
07,07,1949,null
07,08,1949,null
07,09,1949,null
07,10,1949,null
07,11,1949,null
07,12,1949,null
07,13,1949,null
07,14,1949,null
07,15,1949,null
07,16,1949,null
07,17,1949,null
07,18,1949,null
07,19,1949,null
07,20,1949,null
07,21,1949,null
07,22,1949,null
07,23,1949,null
07,24,1949,null
07,25,1949,null
07,26,1949,null
07,27,1949,null
07,28,1949,null
07,29,1949,null
07,30,1949,null
07,31,1949,null
08,01,1949,null
08,02,1949,null
08,03,1949,null
08,04,1949,null
08,05,1949,null
08,06,1949,null
08,07,1949,null
08,08,1949,null
08,09,1949,null
08,10,1949,null
08,11,1949,null
08,12,1949,null
08,13,1949,null
08,14,1949,null
08,15,1949,null
08,16,1949,null
08,17,1949,null
08,18,1949,null
08,19,1949,null
08,20,1949,null
08,21,1949,null
08,22,1949,null
08,23,1949,null
08,24,1949,null
08,25,1949,null
08,26,1949,null
08,27,1949,null
08,28,1949,null
08,29,1949,null
08,30,1949,null
08,31,1949,null
09,01,1949,30.0
09,02,1949,29.0
09,03,1949,28.0
09,04,1949,32.5
09,05,1949,32.5
09,06,1949,32.5
09,07,1949,33.0
09,08,1949,32.5
09,09,1949,35.0
09,10,1949,32.5
09,11,1949,32.0
09,12,1949,32.0
09,13,1949,34.5
09,14,1949,33.5
09,15,1949,33.0
09,16,1949,34.0
09,17,1949,33.0
09,18,1949,36.0
09,19,1949,32.5
09,20,1949,31.0
09,21,1949,30.5
09,22,1949,31.0
09,23,1949,31.0
09,24,1949,34.5
09,25,1949,30.0
09,26,1949,29.0
09,27,1949,30.5
09,28,1949,25.0
09,29,1949,30.5
09,30,1949,29.0
10,01,1949,27.0
10,02,1949,31.0
10,03,1949,31.0
10,04,1949,32.0
10,05,1949,32.0
10,06,1949,32.5
10,07,1949,34.0
10,08,1949,33.0
10,09,1949,34.0
10,10,1949,31.5
10,11,1949,32.0
10,12,1949,32.5
10,13,1949,29.0
10,14,1949,30.0
10,15,1949,30.0
10,16,1949,30.5
10,17,1949,31.0
10,18,1949,31.0
10,19,1949,32.0
10,20,1949,33.0
10,21,1949,34.0
10,22,1949,31.5
10,23,1949,29.5
10,24,1949,30.5
10,25,1949,29.0
10,26,1949,29.0
10,27,1949,30.5
10,28,1949,30.5
10,29,1949,29.5
10,30,1949,30.0
10,31,1949,25.0
11,01,1949,25.5
11,02,1949,27.5
11,03,1949,26.5
11,04,1949,27.5
11,05,1949,26.0
11,06,1949,23.0
11,07,1949,23.5
11,08,1949,28.5
11,09,1949,30.0
11,10,1949,31.0
11,11,1949,31.5
11,12,1949,30.5
11,13,1949,26.0
11,14,1949,27.0
11,15,1949,27.0
11,16,1949,28.5
11,17,1949,24.0
11,18,1949,22.0
11,19,1949,25.5
11,20,1949,28.0
11,21,1949,28.5
11,22,1949,22.0
11,23,1949,22.5
11,24,1949,23.5
11,25,1949,28.5
11,26,1949,28.0
11,27,1949,29.0
11,28,1949,23.5
11,29,1949,27.5
11,30,1949,28.0
12,01,1949,29.0
12,02,1949,28.0
12,03,1949,29.0
12,04,1949,28.5
12,05,1949,25.0
12,06,1949,28.0
12,07,1949,29.0
12,08,1949,28.5
12,09,1949,30.0
12,10,1949,31.0
12,11,1949,31.5
12,12,1949,30.5
12,13,1949,25.0
12,14,1949,26.0
12,15,1949,22.5
12,16,1949,24.5
12,17,1949,28.0
12,18,1949,28.0
12,19,1949,29.0
12,20,1949,29.0
12,21,1949,29.5
12,22,1949,28.0
12,23,1949,19.5
12,24,1949,20.5
12,25,1949,26.0
12,26,1949,27.4
12,27,1949,27.6
12,28,1949,25.5
12,29,1949,24.0
12,30,1949,22.5
12,31,1949,25.0
01,01,1950,26.0
01,02,1950,26.2
01,03,1950,28.5
01,04,1950,31.2
01,05,1950,29.5
01,06,1950,26.0
01,07,1950,19.0
01,08,1950,21.4
01,09,1950,26.5
01,10,1950,29.5
01,11,1950,27.0
01,12,1950,28.5
01,13,1950,28.0
01,14,1950,30.0
01,15,1950,30.0
01,16,1950,29.4
01,17,1950,25.5
01,18,1950,27.2
01,19,1950,27.0
01,20,1950,23.6
01,21,1950,23.6
01,22,1950,27.2
01,23,1950,28.0
01,24,1950,30.5
01,25,1950,32.0
01,26,1950,31.6
01,27,1950,28.0
01,28,1950,27.0
01,29,1950,29.1
01,30,1950,30.0
01,31,1950,30.1
02,01,1950,31.1
02,02,1950,30.6
02,03,1950,24.4
02,04,1950,23.9
02,05,1950,28.9
02,06,1950,28.9
02,07,1950,29.2
02,08,1950,30.0
02,09,1950,30.0
02,10,1950,30.0
02,11,1950,30.6
02,12,1950,32.2
02,13,1950,33.3
02,14,1950,22.8
02,15,1950,18.9
02,16,1950,19.4
02,17,1950,23.3
02,18,1950,27.2
02,19,1950,24.4
02,20,1950,26.7
02,21,1950,27.8
02,22,1950,32.2
02,23,1950,30.0
02,24,1950,28.9
02,25,1950,28.3
02,26,1950,29.4
02,27,1950,31.1
02,28,1950,31.7
03,01,1950,32.2
03,02,1950,30.0
03,03,1950,30.6
03,04,1950,31.1
03,05,1950,27.2
03,06,1950,26.7
03,07,1950,31.7
03,08,1950,28.3
03,09,1950,26.7
03,10,1950,29.4
03,11,1950,31.1
03,12,1950,32.8
03,13,1950,33.9
03,14,1950,25.6
03,15,1950,30.6
03,16,1950,27.8
03,17,1950,31.1
03,18,1950,27.2
03,19,1950,31.7
03,20,1950,32.8
03,21,1950,32.8
03,22,1950,28.3
03,23,1950,32.2
03,24,1950,32.2
03,25,1950,33.3
03,26,1950,33.9
03,27,1950,34.4
03,28,1950,31.1
03,29,1950,27.2
03,30,1950,22.8
03,31,1950,27.2
04,01,1950,28.9
04,02,1950,28.9
04,03,1950,33.3
04,04,1950,33.3
04,05,1950,26.7
04,06,1950,21.1
04,07,1950,27.8
04,08,1950,27.2
04,09,1950,28.9
04,10,1950,32.2
04,11,1950,32.2
04,12,1950,28.9
04,13,1950,32.8
04,14,1950,28.9
04,15,1950,32.8
04,16,1950,32.2
04,17,1950,32.8
04,18,1950,32.8
04,19,1950,32.8
04,20,1950,28.3
04,21,1950,28.3
04,22,1950,32.2
04,23,1950,32.8
04,24,1950,33.9
04,25,1950,37.8
04,26,1950,33.3
04,27,1950,33.9
04,28,1950,30.4
04,29,1950,37.8
04,30,1950,38.3
05,01,1950,37.8
05,02,1950,37.8
05,03,1950,30.0
05,04,1950,37.8
05,05,1950,37.8
05,06,1950,34.4
05,07,1950,35.6
05,08,1950,33.9
05,09,1950,33.3
05,10,1950,33.9
05,11,1950,33.3
05,12,1950,35.6
05,13,1950,35.6
05,14,1950,37.8
05,15,1950,27.8
05,16,1950,37.8
05,17,1950,37.8
05,18,1950,33.9
05,19,1950,35.6
05,20,1950,36.1
05,21,1950,31.7
05,22,1950,31.7
05,23,1950,33.9
05,24,1950,34.4
05,25,1950,34.4
05,26,1950,35.6
05,27,1950,32.8
05,28,1950,33.9
05,29,1950,33.9
05,30,1950,34.4
05,31,1950,37.8
06,01,1950,35.0
06,02,1950,37.8
