Id:,20107
Estación:,SAN FRANCISCO TEOPAN-OAX
Posición:,17.85N -97.5083333333W
Variable:,Temp Máxima (oC)
Fecha Inicial:,02/01/1980
Fecha Final:,03/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1980,27.0
02,02,1980,26.0
02,03,1980,27.0
02,04,1980,27.0
02,05,1980,27.0
02,06,1980,27.0
02,07,1980,26.0
02,08,1980,25.0
02,09,1980,23.0
02,10,1980,23.0
02,11,1980,27.0
02,12,1980,26.0
02,13,1980,27.0
02,14,1980,27.0
02,15,1980,26.0
02,16,1980,24.0
02,17,1980,27.0
02,18,1980,23.0
02,19,1980,22.0
02,20,1980,19.0
02,21,1980,24.0
02,22,1980,24.0
02,23,1980,25.0
02,24,1980,24.0
02,25,1980,24.0
02,26,1980,26.0
02,27,1980,24.0
02,28,1980,25.0
02,29,1980,23.0
