Id:,20123
Estación:,SAN PEDRO MIXTEPEC-OAX
Posición:,15.9830555556N -97.0847222222W
Variable:,Temp Máxima (oC)
Fecha Inicial:,01/01/1969
Fecha Final:,09/01/1990
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1969,33.2
01,02,1969,34.2
01,03,1969,33.0
01,04,1969,31.5
01,05,1969,32.2
01,06,1969,33.2
01,07,1969,32.6
01,08,1969,34.3
01,09,1969,34.2
01,10,1969,33.5
01,11,1969,33.2
01,12,1969,30.2
01,13,1969,32.2
01,14,1969,33.8
01,15,1969,33.2
01,16,1969,33.6
01,17,1969,32.2
01,18,1969,31.0
01,19,1969,31.0
01,20,1969,31.6
01,21,1969,31.2
01,22,1969,32.0
01,23,1969,32.8
01,24,1969,31.6
01,25,1969,32.0
01,26,1969,32.5
01,27,1969,34.0
01,28,1969,34.2
01,29,1969,33.0
01,30,1969,34.6
01,31,1969,34.3
02,01,1969,34.0
02,02,1969,33.2
02,03,1969,34.4
02,04,1969,32.2
02,05,1969,34.0
02,06,1969,33.2
02,07,1969,34.0
02,08,1969,33.2
02,09,1969,33.0
02,10,1969,34.0
02,11,1969,33.2
02,12,1969,34.0
02,13,1969,33.2
02,14,1969,33.0
02,15,1969,32.2
02,16,1969,33.2
02,17,1969,32.2
02,18,1969,33.0
02,19,1969,32.0
02,20,1969,34.2
02,21,1969,33.7
02,22,1969,32.2
02,23,1969,34.6
02,24,1969,34.2
02,25,1969,35.0
02,26,1969,35.2
02,27,1969,34.0
02,28,1969,35.0
03,01,1969,34.0
03,02,1969,33.0
03,03,1969,34.0
03,04,1969,34.0
03,05,1969,35.0
03,06,1969,34.0
03,07,1969,34.5
03,08,1969,33.4
03,09,1969,33.1
03,10,1969,34.2
03,11,1969,35.0
03,12,1969,35.6
03,13,1969,34.2
03,14,1969,35.0
03,15,1969,36.2
03,16,1969,36.0
03,17,1969,36.5
03,18,1969,33.0
03,19,1969,35.2
03,20,1969,35.0
03,21,1969,37.0
03,22,1969,32.5
