Id:,20177
Estación:,SAN ILDELFONSO VILLA ALTA-OAX
Posición:,17.35N -96.1525W
Variable:,Temp Máxima (oC)
Fecha Inicial:,12/01/1930
Fecha Final:,12/01/2009
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1930,22.5
12,02,1930,15.5
12,03,1930,18.0
12,04,1930,21.0
12,05,1930,24.0
12,06,1930,23.0
12,07,1930,19.0
12,08,1930,17.5
12,09,1930,18.0
12,10,1930,19.5
12,11,1930,18.5
12,12,1930,23.5
12,13,1930,21.0
12,14,1930,19.0
12,15,1930,24.0
12,16,1930,17.0
12,17,1930,20.0
12,18,1930,24.0
12,19,1930,19.0
12,20,1930,22.5
12,21,1930,24.5
12,22,1930,17.0
12,23,1930,12.0
12,24,1930,18.0
12,25,1930,21.0
12,26,1930,19.0
12,27,1930,23.0
12,28,1930,25.5
12,29,1930,14.0
12,30,1930,21.0
12,31,1930,14.0
01,01,1931,19.0
01,02,1931,17.0
01,03,1931,20.0
01,04,1931,24.0
01,05,1931,27.0
01,06,1931,14.5
01,07,1931,16.0
01,08,1931,26.0
01,09,1931,22.0
01,10,1931,20.0
01,11,1931,22.0
01,12,1931,23.5
01,13,1931,16.0
01,14,1931,13.5
01,15,1931,16.0
01,16,1931,19.5
01,17,1931,22.5
01,18,1931,23.5
01,19,1931,22.5
01,20,1931,17.5
01,21,1931,14.0
01,22,1931,14.5
01,23,1931,13.5
01,24,1931,16.0
01,25,1931,17.0
01,26,1931,20.0
01,27,1931,23.0
01,28,1931,21.0
01,29,1931,22.0
01,30,1931,21.5
01,31,1931,null
02,01,1931,22.0
02,02,1931,22.0
02,03,1931,22.0
02,04,1931,23.0
02,05,1931,15.0
02,06,1931,19.5
02,07,1931,20.0
02,08,1931,22.0
02,09,1931,24.0
02,10,1931,20.0
02,11,1931,21.5
02,12,1931,20.5
02,13,1931,23.8
02,14,1931,28.5
02,15,1931,25.5
02,16,1931,24.5
02,17,1931,30.5
02,18,1931,28.0
02,19,1931,25.0
02,20,1931,23.0
02,21,1931,28.8
02,22,1931,23.5
02,23,1931,27.5
02,24,1931,30.0
02,25,1931,25.0
02,26,1931,15.5
02,27,1931,20.0
02,28,1931,22.0
03,01,1931,28.4
03,02,1931,21.8
03,03,1931,14.0
03,04,1931,22.0
03,05,1931,21.0
03,06,1931,24.5
03,07,1931,29.0
03,08,1931,26.8
03,09,1931,18.5
03,10,1931,14.0
03,11,1931,21.2
03,12,1931,19.0
03,13,1931,21.3
03,14,1931,24.5
03,15,1931,29.5
03,16,1931,25.7
03,17,1931,22.5
03,18,1931,22.0
03,19,1931,24.4
03,20,1931,27.0
03,21,1931,31.6
03,22,1931,24.0
03,23,1931,24.8
03,24,1931,29.0
03,25,1931,32.5
03,26,1931,26.0
03,27,1931,36.2
03,28,1931,36.2
03,29,1931,21.0
03,30,1931,22.8
03,31,1931,34.0
04,01,1931,22.8
04,02,1931,26.7
04,03,1931,34.0
04,04,1931,36.8
04,05,1931,29.8
04,06,1931,16.3
04,07,1931,19.8
04,08,1931,23.7
04,09,1931,27.0
04,10,1931,31.0
04,11,1931,21.5
04,12,1931,21.0
04,13,1931,23.0
04,14,1931,23.0
04,15,1931,24.0
04,16,1931,26.0
04,17,1931,24.7
04,18,1931,24.5
04,19,1931,27.5
04,20,1931,19.2
04,21,1931,26.0
04,22,1931,22.0
04,23,1931,23.0
04,24,1931,25.0
04,25,1931,29.0
04,26,1931,30.8
04,27,1931,39.5
04,28,1931,29.0
04,29,1931,28.0
04,30,1931,31.5
05,01,1931,32.5
05,02,1931,31.2
05,03,1931,27.0
05,04,1931,27.8
05,05,1931,26.2
05,06,1931,30.2
05,07,1931,27.5
05,08,1931,27.5
05,09,1931,31.3
05,10,1931,34.3
05,11,1931,30.0
05,12,1931,29.0
05,13,1931,24.0
05,14,1931,22.3
05,15,1931,23.5
05,16,1931,24.2
05,17,1931,26.2
05,18,1931,29.8
05,19,1931,31.3
05,20,1931,34.4
05,21,1931,23.7
05,22,1931,26.6
05,23,1931,24.8
05,24,1931,21.4
05,25,1931,26.5
05,26,1931,27.0
05,27,1931,29.0
05,28,1931,25.0
05,29,1931,27.0
05,30,1931,27.0
05,31,1931,29.0
06,01,1931,24.0
06,02,1931,25.5
06,03,1931,25.5
06,04,1931,27.7
06,05,1931,27.4
06,06,1931,25.5
06,07,1931,27.5
06,08,1931,29.3
06,09,1931,29.8
06,10,1931,34.5
06,11,1931,31.7
06,12,1931,31.6
06,13,1931,31.5
06,14,1931,26.6
06,15,1931,25.8
06,16,1931,26.3
06,17,1931,29.8
06,18,1931,29.5
06,19,1931,28.5
06,20,1931,28.2
06,21,1931,18.2
06,22,1931,21.0
06,23,1931,20.0
06,24,1931,21.8
06,25,1931,26.0
06,26,1931,25.0
06,27,1931,28.2
06,28,1931,28.0
06,29,1931,28.0
06,30,1931,22.8
07,01,1931,21.0
07,02,1931,22.6
07,03,1931,28.4
07,04,1931,22.6
07,05,1931,27.6
07,06,1931,27.0
07,07,1931,29.0
07,08,1931,28.0
07,09,1931,31.0
07,10,1931,23.3
07,11,1931,26.0
07,12,1931,28.8
07,13,1931,27.0
07,14,1931,27.5
07,15,1931,29.3
07,16,1931,29.8
07,17,1931,31.0
07,18,1931,28.5
07,19,1931,26.5
07,20,1931,26.5
07,21,1931,24.5
07,22,1931,25.6
07,23,1931,27.0
07,24,1931,25.5
07,25,1931,22.3
07,26,1931,22.2
07,27,1931,20.3
07,28,1931,24.0
07,29,1931,24.0
07,30,1931,23.0
07,31,1931,27.2
08,01,1931,25.0
08,02,1931,25.5
08,03,1931,26.2
08,04,1931,27.2
08,05,1931,25.0
08,06,1931,24.0
08,07,1931,25.8
08,08,1931,25.2
08,09,1931,24.0
08,10,1931,26.2
08,11,1931,28.0
08,12,1931,25.7
08,13,1931,24.0
08,14,1931,22.3
08,15,1931,25.2
08,16,1931,24.0
08,17,1931,28.0
08,18,1931,25.5
08,19,1931,23.2
08,20,1931,24.0
08,21,1931,26.6
08,22,1931,27.0
08,23,1931,27.2
08,24,1931,25.5
08,25,1931,24.0
08,26,1931,23.3
08,27,1931,26.2
08,28,1931,27.0
08,29,1931,28.0
08,30,1931,24.5
08,31,1931,24.0
09,01,1931,26.0
09,02,1931,26.0
09,03,1931,27.8
09,04,1931,27.5
09,05,1931,23.7
09,06,1931,19.5
09,07,1931,20.0
09,08,1931,20.0
09,09,1931,25.8
09,10,1931,25.7
09,11,1931,26.8
09,12,1931,29.2
09,13,1931,26.0
09,14,1931,29.0
09,15,1931,27.5
09,16,1931,30.8
09,17,1931,22.2
09,18,1931,21.0
09,19,1931,21.4
09,20,1931,23.2
09,21,1931,27.0
09,22,1931,27.0
09,23,1931,21.0
09,24,1931,22.7
09,25,1931,24.2
09,26,1931,26.0
09,27,1931,37.6
09,28,1931,27.8
09,29,1931,25.8
09,30,1931,24.5
10,01,1931,20.0
10,02,1931,19.5
10,03,1931,21.0
10,04,1931,26.5
10,05,1931,22.0
10,06,1931,21.8
10,07,1931,26.8
10,08,1931,22.0
10,09,1931,19.8
10,10,1931,20.5
10,11,1931,21.0
10,12,1931,22.4
10,13,1931,22.6
10,14,1931,20.2
10,15,1931,24.0
10,16,1931,22.8
10,17,1931,24.3
10,18,1931,25.5
10,19,1931,25.0
10,20,1931,24.0
10,21,1931,25.0
10,22,1931,25.0
10,23,1931,25.4
10,24,1931,25.2
10,25,1931,24.1
10,26,1931,21.2
10,27,1931,21.0
10,28,1931,24.6
10,29,1931,25.0
10,30,1931,25.7
10,31,1931,25.0
11,01,1931,23.0
11,02,1931,19.2
11,03,1931,16.4
11,04,1931,16.7
11,05,1931,18.2
11,06,1931,17.8
11,07,1931,16.0
11,08,1931,17.8
11,09,1931,18.8
11,10,1931,21.0
11,11,1931,16.4
11,12,1931,22.0
11,13,1931,22.5
11,14,1931,23.0
11,15,1931,23.5
11,16,1931,24.2
11,17,1931,24.0
11,18,1931,27.5
11,19,1931,25.0
11,20,1931,24.3
11,21,1931,27.7
11,22,1931,25.5
11,23,1931,25.0
11,24,1931,24.0
11,25,1931,24.0
11,26,1931,23.5
11,27,1931,22.8
11,28,1931,20.0
11,29,1931,23.0
11,30,1931,23.6
12,01,1931,24.2
12,02,1931,20.5
12,03,1931,23.5
12,04,1931,23.6
12,05,1931,19.5
12,06,1931,19.6
12,07,1931,23.0
12,08,1931,22.4
12,09,1931,22.8
12,10,1931,23.8
12,11,1931,23.3
12,12,1931,24.4
12,13,1931,25.2
12,14,1931,27.8
12,15,1931,19.4
12,16,1931,19.4
12,17,1931,22.8
12,18,1931,21.6
12,19,1931,20.0
12,20,1931,18.5
12,21,1931,19.8
12,22,1931,22.2
12,23,1931,23.8
12,24,1931,24.0
12,25,1931,23.0
12,26,1931,17.4
12,27,1931,19.0
12,28,1931,21.0
12,29,1931,21.2
12,30,1931,23.4
