Id:,20187
Estación:,YUTACUA (CFE)-OAX
Posición:,16.6036111111N -97.6269444444W
Variable:,Temp Máxima (oC)
Fecha Inicial:,01/01/1972
Fecha Final:,01/01/2001
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1972,33.0
01,02,1972,33.5
01,03,1972,33.7
01,04,1972,34.0
01,05,1972,35.2
01,06,1972,34.9
01,07,1972,34.9
01,08,1972,34.8
01,09,1972,34.0
01,10,1972,32.5
01,11,1972,33.7
01,12,1972,33.7
01,13,1972,34.5
01,14,1972,34.0
01,15,1972,34.5
01,16,1972,30.4
01,17,1972,34.0
01,18,1972,33.3
01,19,1972,33.8
01,20,1972,34.0
01,21,1972,35.0
01,22,1972,34.0
01,23,1972,34.2
01,24,1972,35.1
01,25,1972,34.9
01,26,1972,35.9
01,27,1972,35.0
01,28,1972,34.9
01,29,1972,35.0
01,30,1972,34.1
01,31,1972,32.8
02,01,1972,34.0
02,02,1972,34.2
02,03,1972,35.0
02,04,1972,32.7
02,05,1972,35.8
02,06,1972,34.8
02,07,1972,35.0
02,08,1972,31.7
02,09,1972,33.8
02,10,1972,34.6
02,11,1972,35.0
02,12,1972,35.4
02,13,1972,34.7
02,14,1972,35.0
02,15,1972,34.0
02,16,1972,32.9
02,17,1972,32.4
02,18,1972,33.7
02,19,1972,31.0
02,20,1972,35.2
02,21,1972,35.3
02,22,1972,34.9
02,23,1972,34.6
02,24,1972,35.1
02,25,1972,35.1
02,26,1972,36.0
02,27,1972,36.8
02,28,1972,37.0
02,29,1972,35.0
03,01,1972,34.8
03,02,1972,36.5
03,03,1972,36.1
03,04,1972,36.0
03,05,1972,36.3
03,06,1972,37.5
03,07,1972,36.1
03,08,1972,36.7
03,09,1972,37.0
03,10,1972,36.1
03,11,1972,36.3
03,12,1972,35.8
03,13,1972,34.9
03,14,1972,34.9
03,15,1972,35.8
03,16,1972,36.1
03,17,1972,35.8
03,18,1972,36.0
03,19,1972,36.2
03,20,1972,37.0
03,21,1972,37.0
03,22,1972,38.0
03,23,1972,37.3
03,24,1972,37.0
03,25,1972,36.5
03,26,1972,36.5
03,27,1972,37.2
03,28,1972,36.6
03,29,1972,37.4
03,30,1972,36.0
03,31,1972,37.0
04,01,1972,37.6
04,02,1972,39.0
04,03,1972,38.6
04,04,1972,38.8
04,05,1972,39.8
04,06,1972,38.3
04,07,1972,37.7
04,08,1972,37.9
04,09,1972,38.0
04,10,1972,38.2
04,11,1972,38.5
04,12,1972,37.9
04,13,1972,36.2
04,14,1972,36.8
04,15,1972,36.5
04,16,1972,36.8
04,17,1972,38.8
04,18,1972,37.8
04,19,1972,36.9
04,20,1972,34.0
04,21,1972,35.6
04,22,1972,35.3
04,23,1972,36.8
04,24,1972,35.5
04,25,1972,36.9
04,26,1972,36.8
04,27,1972,37.8
04,28,1972,37.1
04,29,1972,37.0
04,30,1972,37.3
05,01,1972,37.0
05,02,1972,36.9
05,03,1972,36.8
05,04,1972,37.9
05,05,1972,37.8
05,06,1972,36.9
05,07,1972,37.0
05,08,1972,37.5
05,09,1972,36.6
05,10,1972,35.8
05,11,1972,36.0
05,12,1972,35.9
05,13,1972,35.4
05,14,1972,35.0
05,15,1972,35.8
05,16,1972,33.6
05,17,1972,34.1
05,18,1972,36.0
05,19,1972,36.0
05,20,1972,37.0
05,21,1972,36.5
05,22,1972,34.4
05,23,1972,36.7
05,24,1972,36.4
05,25,1972,34.0
05,26,1972,33.0
05,27,1972,35.5
05,28,1972,35.3
05,29,1972,34.8
05,30,1972,33.5
05,31,1972,32.5
06,01,1972,34.0
06,02,1972,33.7
06,03,1972,33.0
06,04,1972,32.3
06,05,1972,31.7
06,06,1972,33.7
06,07,1972,33.1
06,08,1972,31.9
06,09,1972,29.3
06,10,1972,31.0
06,11,1972,28.5
06,12,1972,27.0
06,13,1972,29.9
06,14,1972,31.6
06,15,1972,33.9
06,16,1972,33.3
06,17,1972,33.4
06,18,1972,33.1
06,19,1972,32.1
06,20,1972,33.9
06,21,1972,33.8
06,22,1972,33.6
06,23,1972,32.1
06,24,1972,34.5
06,25,1972,34.1
06,26,1972,30.8
06,27,1972,34.0
06,28,1972,35.6
06,29,1972,35.5
06,30,1972,36.3
07,01,1972,35.5
07,02,1972,36.0
07,03,1972,35.1
07,04,1972,34.4
07,05,1972,36.1
07,06,1972,36.0
07,07,1972,36.0
07,08,1972,35.6
07,09,1972,35.3
07,10,1972,34.8
07,11,1972,34.6
07,12,1972,35.0
07,13,1972,36.2
07,14,1972,34.1
07,15,1972,35.5
07,16,1972,35.8
07,17,1972,35.0
07,18,1972,34.3
07,19,1972,33.3
07,20,1972,33.0
07,21,1972,33.0
07,22,1972,33.0
07,23,1972,33.0
07,24,1972,31.0
07,25,1972,29.7
07,26,1972,34.0
07,27,1972,34.0
07,28,1972,31.2
07,29,1972,32.6
07,30,1972,33.1
07,31,1972,32.4
08,01,1972,33.2
08,02,1972,32.0
08,03,1972,34.1
08,04,1972,33.5
08,05,1972,35.0
08,06,1972,33.0
08,07,1972,35.0
08,08,1972,34.3
08,09,1972,34.1
08,10,1972,33.0
08,11,1972,34.0
08,12,1972,35.0
08,13,1972,33.5
08,14,1972,33.6
08,15,1972,34.0
08,16,1972,36.1
08,17,1972,35.7
08,18,1972,34.5
08,19,1972,32.0
08,20,1972,34.1
08,21,1972,34.7
08,22,1972,33.6
08,23,1972,31.3
08,24,1972,33.9
08,25,1972,33.6
08,26,1972,33.9
08,27,1972,33.6
08,28,1972,33.0
08,29,1972,34.5
08,30,1972,33.6
08,31,1972,33.5
09,01,1972,33.9
09,02,1972,35.4
09,03,1972,34.7
09,04,1972,34.9
09,05,1972,34.0
09,06,1972,33.5
09,07,1972,34.0
09,08,1972,33.8
09,09,1972,34.8
09,10,1972,33.5
09,11,1972,33.6
09,12,1972,34.9
09,13,1972,32.9
09,14,1972,36.0
09,15,1972,33.8
09,16,1972,33.8
09,17,1972,34.0
09,18,1972,33.3
09,19,1972,34.2
09,20,1972,33.4
09,21,1972,33.2
09,22,1972,34.0
09,23,1972,32.5
09,24,1972,34.0
09,25,1972,34.0
09,26,1972,32.4
09,27,1972,34.0
09,28,1972,34.0
09,29,1972,32.1
09,30,1972,32.0
10,01,1972,34.5
10,02,1972,34.0
10,03,1972,34.1
10,04,1972,32.7
10,05,1972,33.1
10,06,1972,34.6
10,07,1972,34.0
10,08,1972,33.0
10,09,1972,34.1
10,10,1972,33.4
10,11,1972,33.6
10,12,1972,33.3
10,13,1972,33.7
10,14,1972,34.4
10,15,1972,35.5
10,16,1972,33.4
10,17,1972,33.6
10,18,1972,33.9
10,19,1972,34.4
10,20,1972,34.6
10,21,1972,34.6
10,22,1972,34.0
10,23,1972,34.6
10,24,1972,35.3
10,25,1972,33.8
10,26,1972,31.4
10,27,1972,34.1
10,28,1972,34.2
10,29,1972,34.4
10,30,1972,33.0
10,31,1972,34.0
11,01,1972,33.5
11,02,1972,32.0
11,03,1972,32.2
11,04,1972,33.9
11,05,1972,32.8
11,06,1972,33.1
11,07,1972,32.6
11,08,1972,35.3
11,09,1972,34.5
11,10,1972,34.5
11,11,1972,34.0
11,12,1972,34.0
11,13,1972,33.6
11,14,1972,34.1
11,15,1972,33.3
11,16,1972,33.7
11,17,1972,33.5
11,18,1972,33.8
11,19,1972,32.1
11,20,1972,33.0
11,21,1972,33.0
11,22,1972,32.1
11,23,1972,32.8
11,24,1972,32.0
11,25,1972,32.4
11,26,1972,33.3
11,27,1972,33.1
11,28,1972,33.6
11,29,1972,33.6
11,30,1972,34.3
12,01,1972,33.6
12,02,1972,34.4
12,03,1972,34.8
12,04,1972,34.0
12,05,1972,34.3
12,06,1972,33.8
12,07,1972,33.5
12,08,1972,34.1
12,09,1972,34.8
12,10,1972,33.6
12,11,1972,34.0
12,12,1972,33.0
12,13,1972,34.5
12,14,1972,34.8
12,15,1972,32.9
12,16,1972,32.8
12,17,1972,30.6
12,18,1972,32.5
12,19,1972,33.8
12,20,1972,32.8
12,21,1972,32.5
12,22,1972,32.0
12,23,1972,33.0
12,24,1972,32.5
12,25,1972,33.0
12,26,1972,32.5
12,27,1972,32.5
12,28,1972,33.0
12,29,1972,33.0
12,30,1972,32.8
12,31,1972,32.7
01,01,1973,33.6
01,02,1973,33.0
01,03,1973,33.5
01,04,1973,33.5
01,05,1973,35.5
01,06,1973,34.8
01,07,1973,34.6
01,08,1973,34.8
01,09,1973,34.0
01,10,1973,34.0
01,11,1973,33.6
01,12,1973,33.6
01,13,1973,33.0
01,14,1973,33.1
01,15,1973,34.0
01,16,1973,33.8
01,17,1973,34.5
01,18,1973,34.0
01,19,1973,34.6
01,20,1973,33.4
01,21,1973,33.0
01,22,1973,33.0
01,23,1973,33.4
01,24,1973,33.4
01,25,1973,34.1
01,26,1973,33.7
01,27,1973,34.8
01,28,1973,33.9
01,29,1973,32.2
01,30,1973,33.2
01,31,1973,34.5
02,01,1973,34.8
02,02,1973,34.8
02,03,1973,35.0
02,04,1973,34.8
02,05,1973,35.6
02,06,1973,36.6
02,07,1973,36.3
02,08,1973,34.4
02,09,1973,34.0
02,10,1973,33.9
02,11,1973,34.3
02,12,1973,35.0
02,13,1973,34.1
02,14,1973,34.8
02,15,1973,33.0
02,16,1973,35.6
02,17,1973,34.8
02,18,1973,35.0
02,19,1973,35.6
02,20,1973,37.5
02,21,1973,35.0
02,22,1973,36.5
02,23,1973,36.4
02,24,1973,35.4
02,25,1973,36.5
02,26,1973,36.1
02,27,1973,36.5
02,28,1973,36.4
03,01,1973,36.5
03,02,1973,36.1
03,03,1973,37.5
03,04,1973,37.9
03,05,1973,37.0
03,06,1973,36.0
03,07,1973,36.6
03,08,1973,36.5
03,09,1973,35.1
03,10,1973,35.7
03,11,1973,36.8
03,12,1973,35.6
03,13,1973,37.5
03,14,1973,35.3
03,15,1973,35.4
03,16,1973,36.3
03,17,1973,38.0
03,18,1973,36.9
03,19,1973,36.6
03,20,1973,37.6
03,21,1973,38.0
03,22,1973,37.8
03,23,1973,37.4
03,24,1973,37.8
03,25,1973,38.0
03,26,1973,38.0
03,27,1973,38.1
03,28,1973,38.5
03,29,1973,38.6
03,30,1973,38.3
03,31,1973,36.8
04,01,1973,39.1
04,02,1973,38.5
04,03,1973,37.8
04,04,1973,37.5
04,05,1973,36.2
04,06,1973,37.3
04,07,1973,34.0
04,08,1973,36.5
04,09,1973,37.8
04,10,1973,37.6
04,11,1973,36.9
04,12,1973,37.8
04,13,1973,36.7
04,14,1973,35.8
04,15,1973,35.8
04,16,1973,34.9
04,17,1973,36.6
04,18,1973,35.2
04,19,1973,36.6
04,20,1973,37.6
04,21,1973,37.3
04,22,1973,37.5
04,23,1973,37.5
04,24,1973,36.3
04,25,1973,36.3
04,26,1973,36.4
04,27,1973,37.1
04,28,1973,38.0
04,29,1973,36.9
04,30,1973,37.3
05,01,1973,37.0
05,02,1973,38.0
05,03,1973,37.0
05,04,1973,38.7
05,05,1973,37.5
05,06,1973,37.8
05,07,1973,38.0
05,08,1973,37.8
05,09,1973,37.8
05,10,1973,37.0
05,11,1973,37.2
05,12,1973,34.0
05,13,1973,34.0
05,14,1973,36.2
05,15,1973,37.8
05,16,1973,36.0
05,17,1973,35.2
05,18,1973,33.6
05,19,1973,34.4
05,20,1973,35.6
05,21,1973,34.0
05,22,1973,35.4
05,23,1973,35.4
05,24,1973,36.7
05,25,1973,35.6
05,26,1973,36.1
05,27,1973,35.6
05,28,1973,34.7
05,29,1973,35.9
05,30,1973,33.6
05,31,1973,33.1
06,01,1973,31.3
06,02,1973,32.8
06,03,1973,33.9
06,04,1973,33.6
06,05,1973,34.3
06,06,1973,34.3
06,07,1973,35.9
06,08,1973,33.6
06,09,1973,33.7
06,10,1973,34.1
06,11,1973,35.1
06,12,1973,35.7
06,13,1973,34.9
06,14,1973,34.6
06,15,1973,31.6
06,16,1973,34.8
06,17,1973,33.8
06,18,1973,34.4
06,19,1973,33.9
06,20,1973,32.0
06,21,1973,29.6
06,22,1973,34.0
06,23,1973,30.0
06,24,1973,33.9
06,25,1973,34.1
06,26,1973,33.3
06,27,1973,31.1
06,28,1973,31.0
06,29,1973,34.3
06,30,1973,33.5
07,01,1973,33.6
07,02,1973,34.6
07,03,1973,34.7
07,04,1973,32.4
07,05,1973,33.9
07,06,1973,34.3
07,07,1973,34.0
07,08,1973,34.6
07,09,1973,34.3
07,10,1973,34.3
07,11,1973,34.3
07,12,1973,35.0
07,13,1973,34.2
07,14,1973,33.0
07,15,1973,34.3
07,16,1973,34.0
07,17,1973,32.0
07,18,1973,33.3
07,19,1973,33.6
07,20,1973,32.9
07,21,1973,34.0
07,22,1973,28.0
07,23,1973,29.6
07,24,1973,32.1
07,25,1973,29.0
07,26,1973,29.6
07,27,1973,32.3
07,28,1973,32.0
07,29,1973,33.9
07,30,1973,34.2
07,31,1973,33.4
08,01,1973,31.2
08,02,1973,31.5
08,03,1973,32.3
08,04,1973,31.2
08,05,1973,31.3
08,06,1973,33.8
08,07,1973,33.8
08,08,1973,33.5
08,09,1973,32.7
08,10,1973,32.9
08,11,1973,32.8
08,12,1973,33.4
08,13,1973,32.0
08,14,1973,34.0
08,15,1973,33.4
08,16,1973,33.1
08,17,1973,33.7
08,18,1973,34.0
08,19,1973,34.4
08,20,1973,34.0
08,21,1973,34.7
08,22,1973,31.0
08,23,1973,30.3
08,24,1973,29.9
08,25,1973,32.0
08,26,1973,32.3
08,27,1973,32.6
08,28,1973,33.1
08,29,1973,32.0
08,30,1973,30.5
08,31,1973,32.7
09,01,1973,29.6
09,02,1973,30.4
09,03,1973,32.4
09,04,1973,33.4
09,05,1973,30.5
09,06,1973,30.0
09,07,1973,30.7
09,08,1973,33.0
09,09,1973,33.3
09,10,1973,30.1
09,11,1973,33.4
09,12,1973,33.9
09,13,1973,34.5
09,14,1973,34.9
09,15,1973,32.0
09,16,1973,31.1
09,17,1973,31.4
09,18,1973,34.1
09,19,1973,34.6
09,20,1973,33.6
09,21,1973,34.6
09,22,1973,34.0
09,23,1973,33.3
09,24,1973,33.5
09,25,1973,33.6
09,26,1973,33.6
09,27,1973,33.2
09,28,1973,32.7
09,29,1973,31.4
09,30,1973,33.9
10,01,1973,32.6
10,02,1973,32.8
10,03,1973,33.7
10,04,1973,34.2
10,05,1973,33.1
10,06,1973,34.5
10,07,1973,34.5
10,08,1973,32.1
10,09,1973,31.5
10,10,1973,26.1
10,11,1973,27.1
10,12,1973,28.6
10,13,1973,33.0
10,14,1973,32.3
10,15,1973,33.1
10,16,1973,33.4
10,17,1973,33.0
10,18,1973,33.9
10,19,1973,32.4
10,20,1973,32.8
10,21,1973,33.4
10,22,1973,30.9
10,23,1973,33.9
10,24,1973,32.1
10,25,1973,33.4
10,26,1973,33.4
10,27,1973,34.0
10,28,1973,34.1
10,29,1973,34.2
10,30,1973,33.3
10,31,1973,34.6
11,01,1973,33.5
11,02,1973,34.3
11,03,1973,34.5
11,04,1973,35.0
11,05,1973,34.6
11,06,1973,34.9
11,07,1973,34.3
11,08,1973,33.4
11,09,1973,34.4
11,10,1973,32.5
11,11,1973,34.5
11,12,1973,33.6
11,13,1973,33.8
11,14,1973,33.5
11,15,1973,33.9
11,16,1973,33.9
11,17,1973,33.2
11,18,1973,34.5
11,19,1973,34.0
11,20,1973,34.1
11,21,1973,33.6
11,22,1973,34.5
11,23,1973,33.0
11,24,1973,33.3
11,25,1973,32.3
11,26,1973,30.0
11,27,1973,33.6
11,28,1973,33.4
11,29,1973,30.9
11,30,1973,31.8
12,01,1973,33.5
12,02,1973,33.7
12,03,1973,32.5
12,04,1973,32.0
12,05,1973,32.5
12,06,1973,33.6
12,07,1973,33.0
12,08,1973,31.2
12,09,1973,32.5
12,10,1973,31.1
12,11,1973,33.2
12,12,1973,32.5
12,13,1973,32.0
12,14,1973,32.0
12,15,1973,30.5
12,16,1973,32.0
12,17,1973,31.5
12,18,1973,35.4
12,19,1973,32.5
12,20,1973,32.6
12,21,1973,31.8
12,22,1973,32.5
12,23,1973,32.5
12,24,1973,32.0
12,25,1973,32.2
12,26,1973,32.0
12,27,1973,32.8
12,28,1973,33.5
12,29,1973,34.0
12,30,1973,33.0
12,31,1973,33.5
01,01,1974,33.7
01,02,1974,33.5
01,03,1974,34.0
01,04,1974,33.5
01,05,1974,34.6
01,06,1974,34.5
01,07,1974,34.7
01,08,1974,34.1
01,09,1974,34.0
01,10,1974,33.7
01,11,1974,34.0
