Id:,20188
Estación:,SANTA MARIA ZACATEPEC (CFE)-OAX
Posición:,16.7641666667N -97.9997222222W
Variable:,Temp Máxima (oC)
Fecha Inicial:,08/01/1961
Fecha Final:,01/01/2001
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1961,18.0
08,02,1961,18.0
08,03,1961,null
08,04,1961,null
08,05,1961,null
08,06,1961,null
08,07,1961,null
08,08,1961,null
08,09,1961,null
08,10,1961,null
08,11,1961,null
08,12,1961,null
08,13,1961,30.2
08,14,1961,30.7
08,15,1961,30.3
08,16,1961,30.0
08,17,1961,30.2
08,18,1961,32.0
08,19,1961,31.9
08,20,1961,32.6
08,21,1961,33.4
08,22,1961,30.0
08,23,1961,30.7
08,24,1961,31.2
08,25,1961,31.7
08,26,1961,31.3
08,27,1961,31.7
08,28,1961,31.7
08,29,1961,31.9
08,30,1961,32.7
08,31,1961,32.6
09,01,1961,33.0
09,02,1961,31.0
09,03,1961,31.0
09,04,1961,32.4
09,05,1961,32.2
09,06,1961,31.7
09,07,1961,33.7
09,08,1961,33.3
09,09,1961,33.7
09,10,1961,33.7
09,11,1961,31.7
09,12,1961,30.5
09,13,1961,30.0
09,14,1961,33.3
09,15,1961,34.5
09,16,1961,32.0
09,17,1961,32.1
09,18,1961,31.3
09,19,1961,31.7
09,20,1961,32.2
09,21,1961,30.0
09,22,1961,32.4
09,23,1961,30.1
09,24,1961,31.7
09,25,1961,30.0
09,26,1961,32.2
09,27,1961,30.2
09,28,1961,34.8
09,29,1961,35.4
09,30,1961,30.0
10,01,1961,32.6
10,02,1961,32.2
10,03,1961,34.1
10,04,1961,31.7
10,05,1961,33.0
10,06,1961,33.0
10,07,1961,33.4
10,08,1961,34.5
10,09,1961,35.0
10,10,1961,30.1
10,11,1961,30.0
10,12,1961,35.1
10,13,1961,33.2
10,14,1961,33.2
10,15,1961,33.7
10,16,1961,33.7
10,17,1961,33.8
10,18,1961,33.0
10,19,1961,34.4
10,20,1961,33.5
10,21,1961,33.9
10,22,1961,33.2
10,23,1961,33.7
10,24,1961,32.7
10,25,1961,32.1
10,26,1961,30.6
10,27,1961,31.1
10,28,1961,34.1
10,29,1961,33.2
10,30,1961,30.8
10,31,1961,30.4
11,01,1961,31.7
11,02,1961,35.5
11,03,1961,30.0
11,04,1961,30.0
11,05,1961,30.7
11,06,1961,30.2
11,07,1961,30.3
11,08,1961,31.0
11,09,1961,32.1
11,10,1961,31.7
11,11,1961,30.7
11,12,1961,30.0
11,13,1961,30.7
11,14,1961,32.2
11,15,1961,30.2
11,16,1961,30.0
11,17,1961,31.4
11,18,1961,31.5
11,19,1961,34.1
11,20,1961,35.6
11,21,1961,33.6
11,22,1961,33.7
11,23,1961,32.8
11,24,1961,32.5
11,25,1961,32.4
11,26,1961,30.7
11,27,1961,33.1
11,28,1961,34.5
11,29,1961,32.6
11,30,1961,34.1
12,01,1961,32.6
12,02,1961,33.3
12,03,1961,30.8
12,04,1961,30.0
12,05,1961,30.8
12,06,1961,32.1
12,07,1961,33.1
12,08,1961,34.8
12,09,1961,35.6
12,10,1961,33.3
12,11,1961,34.5
12,12,1961,30.1
12,13,1961,32.4
12,14,1961,32.2
12,15,1961,31.1
12,16,1961,31.0
12,17,1961,31.4
12,18,1961,32.0
12,19,1961,32.5
12,20,1961,31.8
12,21,1961,33.1
12,22,1961,30.2
12,23,1961,30.8
12,24,1961,31.4
12,25,1961,31.6
12,26,1961,30.5
12,27,1961,32.6
12,28,1961,31.4
12,29,1961,32.6
12,30,1961,32.4
12,31,1961,28.4
01,01,1962,30.1
01,02,1962,30.0
01,03,1962,30.2
01,04,1962,30.4
01,05,1962,30.1
01,06,1962,31.8
01,07,1962,32.9
01,08,1962,30.0
01,09,1962,30.1
01,10,1962,31.1
01,11,1962,31.2
01,12,1962,30.7
01,13,1962,31.4
01,14,1962,31.7
01,15,1962,31.9
01,16,1962,30.1
01,17,1962,30.8
01,18,1962,28.5
01,19,1962,29.0
01,20,1962,28.9
01,21,1962,30.2
01,22,1962,27.3
01,23,1962,28.0
01,24,1962,29.4
01,25,1962,30.7
01,26,1962,30.0
01,27,1962,30.8
01,28,1962,28.7
01,29,1962,29.0
01,30,1962,30.1
01,31,1962,30.3
02,01,1962,29.2
02,02,1962,30.0
02,03,1962,28.3
02,04,1962,29.4
02,05,1962,30.1
02,06,1962,30.0
02,07,1962,29.2
02,08,1962,29.5
02,09,1962,28.0
02,10,1962,30.1
02,11,1962,28.5
02,12,1962,27.3
02,13,1962,30.2
02,14,1962,29.9
02,15,1962,28.7
02,16,1962,27.5
02,17,1962,30.2
02,18,1962,27.0
02,19,1962,29.0
02,20,1962,28.4
02,21,1962,29.2
02,22,1962,28.4
02,23,1962,28.7
02,24,1962,31.1
02,25,1962,28.5
02,26,1962,29.5
02,27,1962,30.2
02,28,1962,29.1
03,01,1962,27.5
03,02,1962,28.7
03,03,1962,29.7
03,04,1962,29.8
03,05,1962,28.6
03,06,1962,30.2
03,07,1962,28.9
03,08,1962,29.0
03,09,1962,30.3
03,10,1962,30.0
03,11,1962,30.0
03,12,1962,30.0
03,13,1962,30.4
03,14,1962,30.3
03,15,1962,30.2
03,16,1962,27.9
03,17,1962,29.6
03,18,1962,29.9
03,19,1962,30.1
03,20,1962,27.7
03,21,1962,30.0
03,22,1962,29.7
03,23,1962,29.3
03,24,1962,30.0
03,25,1962,31.1
03,26,1962,30.9
03,27,1962,30.3
03,28,1962,31.2
03,29,1962,30.8
03,30,1962,29.9
03,31,1962,30.2
04,01,1962,29.1
04,02,1962,33.4
04,03,1962,32.3
04,04,1962,29.4
04,05,1962,29.1
04,06,1962,29.8
04,07,1962,30.0
04,08,1962,28.7
04,09,1962,28.9
04,10,1962,29.1
04,11,1962,29.5
04,12,1962,29.3
04,13,1962,29.4
04,14,1962,29.1
04,15,1962,28.5
04,16,1962,28.8
04,17,1962,28.4
04,18,1962,30.0
04,19,1962,30.5
04,20,1962,30.3
04,21,1962,29.7
04,22,1962,30.2
04,23,1962,29.9
04,24,1962,30.1
04,25,1962,30.4
04,26,1962,30.2
04,27,1962,30.0
04,28,1962,30.1
04,29,1962,30.4
04,30,1962,29.5
05,01,1962,30.0
05,02,1962,30.1
05,03,1962,31.2
05,04,1962,31.3
05,05,1962,29.8
05,06,1962,30.2
05,07,1962,30.3
05,08,1962,30.9
05,09,1962,29.5
05,10,1962,30.2
05,11,1962,30.3
05,12,1962,31.1
05,13,1962,30.9
05,14,1962,31.0
05,15,1962,30.8
05,16,1962,29.9
