Id:,20251
Estación:,E.T.A. 199 SANTIAGO JAMILTEPEC-OAX
Posición:,16.0830555556N -97.7794444444W
Variable:,Temp Máxima (oC)
Fecha Inicial:,04/01/1975
Fecha Final:,12/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
04,01,1975,null
04,02,1975,34.0
04,03,1975,35.0
04,04,1975,38.0
04,05,1975,39.0
04,06,1975,35.0
04,07,1975,36.0
04,08,1975,36.0
04,09,1975,36.0
04,10,1975,36.0
04,11,1975,34.0
04,12,1975,36.0
04,13,1975,36.0
04,14,1975,36.0
04,15,1975,36.0
04,16,1975,37.0
04,17,1975,37.0
04,18,1975,35.0
04,19,1975,34.0
04,20,1975,36.0
04,21,1975,37.0
04,22,1975,37.0
04,23,1975,37.0
04,24,1975,36.0
04,25,1975,35.0
04,26,1975,35.0
04,27,1975,35.0
04,28,1975,35.0
04,29,1975,34.0
04,30,1975,35.0
05,01,1975,34.0
05,02,1975,31.0
05,03,1975,36.0
05,04,1975,30.0
05,05,1975,35.0
05,06,1975,34.0
05,07,1975,35.0
05,08,1975,35.0
05,09,1975,35.0
05,10,1975,35.0
05,11,1975,35.0
05,12,1975,35.0
05,13,1975,35.0
05,14,1975,34.0
05,15,1975,36.0
05,16,1975,36.0
05,17,1975,35.0
05,18,1975,35.0
05,19,1975,36.0
05,20,1975,36.0
05,21,1975,35.0
05,22,1975,35.0
05,23,1975,35.0
05,24,1975,34.0
05,25,1975,34.0
05,26,1975,35.0
05,27,1975,33.0
05,28,1975,30.0
05,29,1975,32.0
05,30,1975,34.0
05,31,1975,35.0
06,01,1975,null
06,02,1975,null
06,03,1975,null
06,04,1975,null
06,05,1975,null
06,06,1975,null
06,07,1975,null
06,08,1975,null
06,09,1975,null
06,10,1975,null
06,11,1975,null
06,12,1975,null
06,13,1975,null
06,14,1975,null
06,15,1975,null
06,16,1975,null
06,17,1975,null
06,18,1975,null
06,19,1975,null
06,20,1975,null
06,21,1975,null
06,22,1975,null
06,23,1975,null
06,24,1975,null
06,25,1975,null
06,26,1975,null
06,27,1975,null
06,28,1975,null
06,29,1975,null
06,30,1975,null
07,01,1975,34.0
07,02,1975,31.0
07,03,1975,32.0
07,04,1975,30.0
07,05,1975,30.0
07,06,1975,28.0
07,07,1975,33.0
07,08,1975,30.0
07,09,1975,32.0
07,10,1975,26.0
07,11,1975,30.0
07,12,1975,31.0
07,13,1975,30.0
07,14,1975,30.0
07,15,1975,32.0
07,16,1975,32.0
07,17,1975,31.0
07,18,1975,33.0
07,19,1975,32.0
07,20,1975,32.0
07,21,1975,30.0
07,22,1975,32.0
07,23,1975,32.0
