Id:,20259
Estación:,ZACATEPEC (SMN)-OAX
Posición:,17.1586111111N -95.915W
Variable:,Temp Máxima (oC)
Fecha Inicial:,03/01/1975
Fecha Final:,12/01/1986
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1975,null
03,02,1975,null
03,03,1975,null
03,04,1975,null
03,05,1975,null
03,06,1975,null
03,07,1975,null
03,08,1975,null
03,09,1975,null
03,10,1975,null
03,11,1975,null
03,12,1975,null
03,13,1975,null
03,14,1975,null
03,15,1975,38.4
03,16,1975,38.5
03,17,1975,38.5
03,18,1975,38.5
03,19,1975,38.3
03,20,1975,38.1
03,21,1975,39.0
03,22,1975,39.1
03,23,1975,39.5
03,24,1975,39.0
03,25,1975,39.0
03,26,1975,39.0
03,27,1975,39.3
03,28,1975,39.0
03,29,1975,38.5
03,30,1975,39.0
03,31,1975,39.0
04,01,1975,39.4
04,02,1975,39.7
04,03,1975,40.5
04,04,1975,41.5
04,05,1975,40.0
04,06,1975,41.0
04,07,1975,41.2
04,08,1975,41.0
04,09,1975,41.4
04,10,1975,39.9
04,11,1975,41.0
04,12,1975,41.3
04,13,1975,41.3
04,14,1975,41.5
04,15,1975,40.8
04,16,1975,41.6
04,17,1975,40.7
04,18,1975,41.8
04,19,1975,41.1
04,20,1975,39.0
04,21,1975,39.0
04,22,1975,40.2
04,23,1975,41.6
04,24,1975,39.5
04,25,1975,41.0
04,26,1975,39.6
04,27,1975,39.9
04,28,1975,38.9
04,29,1975,38.0
04,30,1975,39.0
05,01,1975,35.5
05,02,1975,36.1
05,03,1975,38.4
05,04,1975,38.7
05,05,1975,38.7
05,06,1975,31.4
05,07,1975,38.0
05,08,1975,38.6
05,09,1975,39.8
05,10,1975,38.1
05,11,1975,38.8
05,12,1975,39.0
05,13,1975,37.0
05,14,1975,37.3
05,15,1975,39.0
05,16,1975,38.5
05,17,1975,38.1
05,18,1975,36.8
05,19,1975,37.3
05,20,1975,38.6
05,21,1975,37.5
05,22,1975,37.1
05,23,1975,38.0
05,24,1975,37.4
05,25,1975,37.6
05,26,1975,36.0
05,27,1975,35.8
05,28,1975,27.0
05,29,1975,37.4
05,30,1975,33.8
05,31,1975,31.0
06,01,1975,30.3
06,02,1975,29.0
06,03,1975,29.6
06,04,1975,31.0
06,05,1975,34.0
06,06,1975,31.4
06,07,1975,33.0
06,08,1975,32.0
06,09,1975,34.0
06,10,1975,33.4
06,11,1975,34.0
06,12,1975,32.6
06,13,1975,34.7
06,14,1975,34.4
06,15,1975,35.5
06,16,1975,33.7
06,17,1975,33.0
06,18,1975,33.0
06,19,1975,32.0
06,20,1975,32.0
06,21,1975,33.0
06,22,1975,34.0
06,23,1975,34.0
06,24,1975,34.8
06,25,1975,34.1
06,26,1975,34.1
06,27,1975,34.0
06,28,1975,34.0
06,29,1975,35.0
06,30,1975,34.7
07,01,1975,34.4
07,02,1975,31.0
07,03,1975,30.0
07,04,1975,32.5
07,05,1975,33.4
07,06,1975,33.0
07,07,1975,33.8
07,08,1975,31.1
07,09,1975,31.8
07,10,1975,31.4
07,11,1975,32.6
07,12,1975,32.7
07,13,1975,33.0
07,14,1975,33.3
07,15,1975,33.4
07,16,1975,33.6
07,17,1975,33.3
07,18,1975,33.8
07,19,1975,33.0
07,20,1975,33.6
07,21,1975,33.4
07,22,1975,34.0
07,23,1975,33.9
07,24,1975,31.4
07,25,1975,30.9
07,26,1975,30.8
07,27,1975,30.4
07,28,1975,33.4
07,29,1975,31.6
07,30,1975,34.5
07,31,1975,34.0
08,01,1975,null
08,02,1975,null
08,03,1975,null
08,04,1975,null
08,05,1975,null
08,06,1975,null
08,07,1975,null
08,08,1975,null
08,09,1975,null
08,10,1975,null
08,11,1975,null
08,12,1975,null
08,13,1975,null
08,14,1975,null
08,15,1975,null
08,16,1975,null
08,17,1975,null
08,18,1975,null
08,19,1975,null
08,20,1975,null
08,21,1975,null
08,22,1975,null
08,23,1975,null
08,24,1975,null
08,25,1975,null
08,26,1975,null
08,27,1975,null
08,28,1975,null
08,29,1975,null
08,30,1975,null
08,31,1975,null
09,01,1975,32.8
09,02,1975,32.3
09,03,1975,33.6
09,04,1975,32.0
09,05,1975,33.1
09,06,1975,31.6
09,07,1975,32.0
09,08,1975,32.0
09,09,1975,30.9
09,10,1975,29.0
09,11,1975,30.0
09,12,1975,30.8
09,13,1975,28.7
09,14,1975,30.7
09,15,1975,30.3
09,16,1975,30.6
09,17,1975,30.0
09,18,1975,33.0
09,19,1975,33.4
09,20,1975,30.8
09,21,1975,33.3
09,22,1975,32.4
09,23,1975,33.4
09,24,1975,32.4
09,25,1975,32.6
09,26,1975,33.4
09,27,1975,33.4
09,28,1975,33.6
09,29,1975,33.6
09,30,1975,34.2
10,01,1975,34.0
10,02,1975,34.6
10,03,1975,33.5
10,04,1975,33.5
10,05,1975,34.1
10,06,1975,33.8
10,07,1975,32.2
10,08,1975,33.6
10,09,1975,34.5
10,10,1975,32.8
10,11,1975,33.1
10,12,1975,32.7
10,13,1975,32.6
10,14,1975,33.1
10,15,1975,32.2
10,16,1975,32.5
10,17,1975,32.8
10,18,1975,33.0
10,19,1975,32.9
10,20,1975,33.1
10,21,1975,33.6
10,22,1975,32.0
10,23,1975,33.0
10,24,1975,33.4
10,25,1975,32.8
10,26,1975,33.6
10,27,1975,33.8
10,28,1975,32.8
10,29,1975,33.4
10,30,1975,34.0
10,31,1975,33.9
11,01,1975,33.9
11,02,1975,33.8
11,03,1975,35.0
11,04,1975,33.3
11,05,1975,33.4
11,06,1975,32.6
11,07,1975,32.8
11,08,1975,32.6
11,09,1975,33.0
11,10,1975,32.0
11,11,1975,33.0
11,12,1975,33.2
11,13,1975,31.6
11,14,1975,32.0
11,15,1975,32.0
11,16,1975,31.5
11,17,1975,31.7
11,18,1975,31.0
11,19,1975,32.7
11,20,1975,33.6
11,21,1975,33.7
11,22,1975,33.2
11,23,1975,34.6
11,24,1975,33.0
11,25,1975,32.8
11,26,1975,33.0
11,27,1975,32.8
11,28,1975,32.8
11,29,1975,33.2
11,30,1975,33.3
12,01,1975,33.0
12,02,1975,34.7
12,03,1975,34.0
12,04,1975,33.0
12,05,1975,33.4
12,06,1975,34.0
12,07,1975,34.0
12,08,1975,33.8
12,09,1975,34.0
12,10,1975,31.4
12,11,1975,32.0
12,12,1975,31.9
12,13,1975,32.0
12,14,1975,32.7
12,15,1975,32.7
12,16,1975,31.0
12,17,1975,32.4
12,18,1975,32.5
12,19,1975,33.6
12,20,1975,33.0
12,21,1975,32.9
12,22,1975,32.6
12,23,1975,30.8
12,24,1975,33.0
12,25,1975,31.8
12,26,1975,31.3
12,27,1975,30.3
12,28,1975,31.2
12,29,1975,31.4
12,30,1975,32.0
12,31,1975,32.0
01,01,1976,33.6
01,02,1976,31.5
01,03,1976,32.3
01,04,1976,34.6
01,05,1976,33.8
01,06,1976,33.6
01,07,1976,33.7
01,08,1976,31.2
01,09,1976,34.5
01,10,1976,34.0
01,11,1976,33.5
01,12,1976,33.6
01,13,1976,34.7
01,14,1976,35.0
01,15,1976,31.6
01,16,1976,34.3
01,17,1976,34.0
01,18,1976,34.0
01,19,1976,34.0
01,20,1976,34.1
01,21,1976,36.1
01,22,1976,36.2
01,23,1976,34.9
01,24,1976,35.0
01,25,1976,35.1
01,26,1976,34.9
01,27,1976,35.0
01,28,1976,35.6
01,29,1976,34.3
01,30,1976,31.8
01,31,1976,34.1
02,01,1976,33.6
02,02,1976,31.5
02,03,1976,32.3
02,04,1976,34.6
02,05,1976,35.6
02,06,1976,35.4
02,07,1976,35.6
02,08,1976,35.9
02,09,1976,36.6
02,10,1976,36.8
02,11,1976,36.3
02,12,1976,35.0
02,13,1976,35.8
02,14,1976,36.7
02,15,1976,36.6
02,16,1976,36.0
02,17,1976,36.5
02,18,1976,35.4
02,19,1976,36.0
02,20,1976,35.4
02,21,1976,34.8
02,22,1976,35.8
02,23,1976,37.3
02,24,1976,36.5
02,25,1976,36.3
02,26,1976,38.4
02,27,1976,37.4
02,28,1976,37.1
02,29,1976,37.2
03,01,1976,36.9
03,02,1976,37.3
03,03,1976,36.6
03,04,1976,37.6
03,05,1976,37.9
03,06,1976,37.1
03,07,1976,37.5
03,08,1976,39.0
03,09,1976,37.3
03,10,1976,39.0
03,11,1976,38.2
03,12,1976,38.0
03,13,1976,39.5
03,14,1976,39.0
03,15,1976,39.0
03,16,1976,38.7
03,17,1976,39.1
03,18,1976,39.3
03,19,1976,38.5
03,20,1976,36.8
03,21,1976,36.0
03,22,1976,39.0
03,23,1976,40.5
03,24,1976,39.5
03,25,1976,40.4
03,26,1976,39.3
03,27,1976,39.4
03,28,1976,39.6
03,29,1976,40.1
03,30,1976,38.5
03,31,1976,38.0
04,01,1976,39.0
04,02,1976,39.5
04,03,1976,38.6
04,04,1976,38.6
04,05,1976,39.6
04,06,1976,38.0
04,07,1976,38.9
04,08,1976,39.5
04,09,1976,39.3
04,10,1976,39.6
04,11,1976,39.8
04,12,1976,40.0
04,13,1976,40.4
04,14,1976,40.6
04,15,1976,40.3
04,16,1976,40.0
04,17,1976,40.4
04,18,1976,40.2
04,19,1976,40.3
04,20,1976,41.0
04,21,1976,40.6
04,22,1976,40.3
04,23,1976,40.6
04,24,1976,40.2
04,25,1976,40.7
04,26,1976,39.4
04,27,1976,40.1
04,28,1976,40.5
04,29,1976,40.9
04,30,1976,39.0
05,01,1976,39.0
05,02,1976,38.8
05,03,1976,38.4
05,04,1976,39.0
05,05,1976,38.2
05,06,1976,39.4
05,07,1976,38.8
05,08,1976,39.3
05,09,1976,40.2
05,10,1976,35.6
05,11,1976,39.0
05,12,1976,39.3
05,13,1976,38.6
05,14,1976,39.2
05,15,1976,39.0
05,16,1976,39.1
05,17,1976,39.6
05,18,1976,39.7
05,19,1976,38.7
05,20,1976,40.3
05,21,1976,39.4
05,22,1976,39.2
05,23,1976,40.3
05,24,1976,40.1
05,25,1976,41.0
05,26,1976,39.8
05,27,1976,38.0
05,28,1976,39.2
05,29,1976,39.0
05,30,1976,39.1
05,31,1976,40.0
06,01,1976,37.0
06,02,1976,37.0
06,03,1976,34.1
06,04,1976,37.3
06,05,1976,36.5
06,06,1976,38.5
06,07,1976,36.2
06,08,1976,36.2
06,09,1976,34.7
06,10,1976,33.7
06,11,1976,33.7
06,12,1976,34.5
06,13,1976,31.4
06,14,1976,33.0
06,15,1976,33.3
06,16,1976,35.4
06,17,1976,33.9
06,18,1976,34.9
06,19,1976,35.6
06,20,1976,36.0
06,21,1976,35.7
06,22,1976,30.4
06,23,1976,33.4
06,24,1976,32.3
06,25,1976,33.2
06,26,1976,33.4
06,27,1976,31.7
06,28,1976,32.4
06,29,1976,34.4
06,30,1976,27.8
07,01,1976,32.0
07,02,1976,32.0
07,03,1976,33.6
07,04,1976,31.7
07,05,1976,32.9
07,06,1976,31.3
07,07,1976,32.6
07,08,1976,31.5
07,09,1976,31.9
07,10,1976,31.8
07,11,1976,33.4
07,12,1976,33.8
07,13,1976,36.7
07,14,1976,33.5
07,15,1976,33.7
07,16,1976,34.6
07,17,1976,34.4
07,18,1976,34.7
07,19,1976,34.9
07,20,1976,35.6
07,21,1976,35.4
07,22,1976,34.5
07,23,1976,34.9
07,24,1976,35.6
07,25,1976,36.0
07,26,1976,36.4
07,27,1976,34.9
07,28,1976,36.4
07,29,1976,36.0
07,30,1976,35.3
07,31,1976,35.8
08,01,1976,35.0
08,02,1976,34.0
08,03,1976,35.5
08,04,1976,34.0
08,05,1976,34.7
08,06,1976,32.4
08,07,1976,33.0
08,08,1976,33.2
08,09,1976,34.5
08,10,1976,34.6
08,11,1976,34.6
08,12,1976,34.8
