Id:,20276
Estación:,LLANO DE LAS FLORES-OAX
Posición:,17.45N -96.5083333333W
Variable:,Temp Máxima (oC)
Fecha Inicial:,04/01/1976
Fecha Final:,03/01/1982
No Dato:,nan
Mes,Día,Anio,Datos
04,01,1976,11.0
04,02,1976,13.0
04,03,1976,13.0
04,04,1976,12.1
04,05,1976,13.0
04,06,1976,14.0
04,07,1976,14.0
04,08,1976,13.0
04,09,1976,20.0
04,10,1976,18.0
04,11,1976,17.0
04,12,1976,15.0
04,13,1976,15.0
04,14,1976,19.0
04,15,1976,18.0
04,16,1976,19.0
04,17,1976,18.0
04,18,1976,17.5
04,19,1976,18.0
04,20,1976,18.5
04,21,1976,18.0
04,22,1976,18.5
04,23,1976,19.0
04,24,1976,18.5
04,25,1976,18.0
04,26,1976,18.0
04,27,1976,17.0
04,28,1976,18.5
04,29,1976,19.0
04,30,1976,17.0
05,01,1976,13.5
05,02,1976,15.0
05,03,1976,15.0
05,04,1976,17.0
05,05,1976,18.5
05,06,1976,19.5
05,07,1976,19.0
05,08,1976,15.0
05,09,1976,13.0
05,10,1976,13.0
05,11,1976,13.5
05,12,1976,17.5
05,13,1976,18.0
05,14,1976,17.0
05,15,1976,17.0
05,16,1976,17.0
05,17,1976,17.0
05,18,1976,13.0
05,19,1976,15.0
05,20,1976,16.5
05,21,1976,16.0
05,22,1976,18.0
05,23,1976,19.0
05,24,1976,19.0
05,25,1976,19.0
05,26,1976,20.0
05,27,1976,18.1
05,28,1976,17.0
05,29,1976,17.0
05,30,1976,19.0
05,31,1976,20.0
06,01,1976,19.5
06,02,1976,17.0
06,03,1976,15.5
06,04,1976,14.1
06,05,1976,13.0
06,06,1976,15.0
06,07,1976,13.0
06,08,1976,14.0
06,09,1976,11.0
06,10,1976,14.0
06,11,1976,16.0
06,12,1976,15.5
06,13,1976,14.0
06,14,1976,14.0
06,15,1976,15.0
06,16,1976,15.0
06,17,1976,15.0
06,18,1976,15.0
06,19,1976,14.5
06,20,1976,15.0
06,21,1976,14.0
06,22,1976,13.0
06,23,1976,14.0
06,24,1976,13.5
06,25,1976,14.0
06,26,1976,14.5
06,27,1976,10.5
06,28,1976,12.0
06,29,1976,12.0
06,30,1976,12.5
07,01,1976,13.0
07,02,1976,14.5
07,03,1976,13.5
07,04,1976,12.0
07,05,1976,13.0
07,06,1976,14.0
07,07,1976,13.0
07,08,1976,14.0
07,09,1976,14.5
07,10,1976,15.0
07,11,1976,14.5
07,12,1976,14.0
07,13,1976,14.0
07,14,1976,14.0
07,15,1976,15.0
07,16,1976,13.5
07,17,1976,12.1
07,18,1976,12.0
07,19,1976,15.0
07,20,1976,12.1
07,21,1976,11.0
07,22,1976,11.5
07,23,1976,12.0
07,24,1976,10.5
07,25,1976,12.5
07,26,1976,12.0
07,27,1976,12.0
07,28,1976,13.0
07,29,1976,14.0
07,30,1976,13.5
07,31,1976,14.0
08,01,1976,null
08,02,1976,null
08,03,1976,null
08,04,1976,null
08,05,1976,null
08,06,1976,null
08,07,1976,null
08,08,1976,null
08,09,1976,null
08,10,1976,null
08,11,1976,null
08,12,1976,null
08,13,1976,null
08,14,1976,null
08,15,1976,null
08,16,1976,null
08,17,1976,null
08,18,1976,null
08,19,1976,null
08,20,1976,null
08,21,1976,null
08,22,1976,null
08,23,1976,null
08,24,1976,null
08,25,1976,null
08,26,1976,null
08,27,1976,null
08,28,1976,null
08,29,1976,null
08,30,1976,null
08,31,1976,null
09,01,1976,null
09,02,1976,null
09,03,1976,null
09,04,1976,null
09,05,1976,null
09,06,1976,null
09,07,1976,null
09,08,1976,null
09,09,1976,null
09,10,1976,null
09,11,1976,null
09,12,1976,null
09,13,1976,null
09,14,1976,null
09,15,1976,null
09,16,1976,null
09,17,1976,null
09,18,1976,null
09,19,1976,null
09,20,1976,null
09,21,1976,null
09,22,1976,null
09,23,1976,null
09,24,1976,null
09,25,1976,null
09,26,1976,null
09,27,1976,null
09,28,1976,null
09,29,1976,null
09,30,1976,null
10,01,1976,null
10,02,1976,null
10,03,1976,null
10,04,1976,null
10,05,1976,null
10,06,1976,null
10,07,1976,null
10,08,1976,null
10,09,1976,null
10,10,1976,null
10,11,1976,null
10,12,1976,null
10,13,1976,null
10,14,1976,null
10,15,1976,null
10,16,1976,null
10,17,1976,null
10,18,1976,null
10,19,1976,null
10,20,1976,null
10,21,1976,null
10,22,1976,null
10,23,1976,null
10,24,1976,null
10,25,1976,null
10,26,1976,null
10,27,1976,null
10,28,1976,null
10,29,1976,null
10,30,1976,null
10,31,1976,null
