Id:,20035
Estación:,HUAJUAPAN DE LEON (SMN)-OAX
Posición:,17.8N -97.7794444444W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1923
Fecha Final:,04/01/1973
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1923,20.5
01,02,1923,20.0
01,03,1923,20.5
01,04,1923,17.5
01,05,1923,17.3
01,06,1923,18.0
01,07,1923,17.0
01,08,1923,17.5
01,09,1923,16.5
01,10,1923,21.0
01,11,1923,16.5
01,12,1923,17.5
01,13,1923,16.5
01,14,1923,16.75
01,15,1923,17.5
01,16,1923,19.5
01,17,1923,19.5
01,18,1923,15.5
01,19,1923,15.5
01,20,1923,15.5
01,21,1923,17.0
01,22,1923,21.0
01,23,1923,20.75
01,24,1923,17.75
01,25,1923,19.75
01,26,1923,19.5
01,27,1923,19.0
01,28,1923,20.25
01,29,1923,18.5
01,30,1923,17.65
01,31,1923,19.0
02,01,1923,19.0
02,02,1923,19.7
02,03,1923,20.5
02,04,1923,22.25
02,05,1923,18.5
02,06,1923,18.5
02,07,1923,19.5
02,08,1923,19.5
02,09,1923,20.5
02,10,1923,19.5
02,11,1923,12.5
02,12,1923,19.5
02,13,1923,20.0
02,14,1923,20.0
02,15,1923,20.0
02,16,1923,20.0
02,17,1923,19.0
02,18,1923,21.5
02,19,1923,19.0
02,20,1923,17.0
02,21,1923,19.0
02,22,1923,19.0
02,23,1923,19.0
02,24,1923,21.5
02,25,1923,20.5
02,26,1923,21.0
02,27,1923,20.5
02,28,1923,20.0
03,01,1923,23.0
03,02,1923,21.0
03,03,1923,22.0
03,04,1923,22.0
03,05,1923,22.5
03,06,1923,21.0
03,07,1923,24.0
03,08,1923,22.0
03,09,1923,23.5
03,10,1923,21.5
03,11,1923,21.5
03,12,1923,22.5
03,13,1923,23.0
03,14,1923,25.0
03,15,1923,24.5
03,16,1923,23.0
03,17,1923,25.5
03,18,1923,26.5
03,19,1923,25.5
03,20,1923,24.0
03,21,1923,22.5
03,22,1923,22.5
03,23,1923,25.5
03,24,1923,25.0
03,25,1923,23.0
03,26,1923,24.0
03,27,1923,25.0
03,28,1923,24.5
03,29,1923,25.5
03,30,1923,24.0
03,31,1923,25.5
04,01,1923,26.0
04,02,1923,23.5
04,03,1923,24.0
04,04,1923,23.0
04,05,1923,25.0
04,06,1923,25.25
04,07,1923,25.0
04,08,1923,25.5
04,09,1923,23.5
04,10,1923,25.5
04,11,1923,24.5
04,12,1923,26.0
04,13,1923,25.5
04,14,1923,26.0
04,15,1923,25.5
04,16,1923,26.5
04,17,1923,26.0
04,18,1923,26.5
04,19,1923,21.75
04,20,1923,25.5
04,21,1923,25.0
04,22,1923,29.0
04,23,1923,28.5
04,24,1923,25.5
04,25,1923,26.25
04,26,1923,27.0
04,27,1923,28.0
04,28,1923,27.5
04,29,1923,30.0
04,30,1923,29.0
05,01,1923,29.0
05,02,1923,28.0
05,03,1923,27.0
05,04,1923,23.5
05,05,1923,23.75
05,06,1923,24.25
05,07,1923,27.0
05,08,1923,26.75
05,09,1923,24.5
05,10,1923,24.75
05,11,1923,25.5
05,12,1923,25.5
05,13,1923,27.0
05,14,1923,24.0
05,15,1923,25.25
05,16,1923,25.5
05,17,1923,26.0
05,18,1923,25.5
05,19,1923,27.5
05,20,1923,27.0
05,21,1923,27.5
05,22,1923,27.25
05,23,1923,29.25
05,24,1923,28.5
05,25,1923,27.75
05,26,1923,26.75
