Id:,20054
Estación:,JUCHITAN DE ZARAGOZA KM. 67 500-OAX
Posición:,16.5266666667N -94.8472222222W
Variable:,Temp Promedio (oC)
Fecha Inicial:,03/01/1965
Fecha Final:,01/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1965,27.0
03,02,1965,26.5
03,03,1965,26.5
03,04,1965,26.25
03,05,1965,20.5
03,06,1965,21.0
03,07,1965,22.0
03,08,1965,22.0
03,09,1965,25.75
03,10,1965,26.25
03,11,1965,27.0
03,12,1965,26.75
03,13,1965,27.25
03,14,1965,29.75
03,15,1965,28.25
03,16,1965,29.5
03,17,1965,29.75
03,18,1965,30.5
03,19,1965,29.25
03,20,1965,26.75
03,21,1965,22.0
03,22,1965,24.5
03,23,1965,27.0
03,24,1965,28.25
03,25,1965,27.25
03,26,1965,28.75
03,27,1965,28.75
03,28,1965,30.25
03,29,1965,30.25
03,30,1965,28.5
03,31,1965,29.5
04,01,1965,24.0
04,02,1965,25.25
04,03,1965,25.75
04,04,1965,25.75
04,05,1965,26.75
04,06,1965,27.5
04,07,1965,27.5
04,08,1965,27.0
04,09,1965,27.25
04,10,1965,27.25
04,11,1965,27.25
04,12,1965,28.0
04,13,1965,28.0
04,14,1965,28.0
04,15,1965,28.5
04,16,1965,27.0
04,17,1965,26.25
04,18,1965,27.5
04,19,1965,27.5
04,20,1965,27.5
04,21,1965,26.5
04,22,1965,27.5
04,23,1965,28.0
04,24,1965,27.75
04,25,1965,27.75
04,26,1965,27.5
04,27,1965,28.5
04,28,1965,28.0
04,29,1965,28.5
04,30,1965,25.0
05,01,1965,24.5
05,02,1965,28.5
05,03,1965,30.5
05,04,1965,31.0
05,05,1965,31.25
05,06,1965,31.25
05,07,1965,30.75
05,08,1965,32.0
05,09,1965,30.75
05,10,1965,29.75
05,11,1965,28.5
05,12,1965,31.25
05,13,1965,31.0
05,14,1965,30.5
05,15,1965,32.5
05,16,1965,32.75
05,17,1965,32.0
05,18,1965,31.75
05,19,1965,32.0
05,20,1965,32.25
05,21,1965,32.0
05,22,1965,29.75
05,23,1965,31.75
05,24,1965,30.75
05,25,1965,30.0
05,26,1965,31.0
05,27,1965,31.0
05,28,1965,32.0
05,29,1965,31.5
05,30,1965,32.0
05,31,1965,null
06,01,1965,31.75
06,02,1965,32.75
06,03,1965,32.5
06,04,1965,31.0
06,05,1965,31.5
06,06,1965,31.5
06,07,1965,31.75
06,08,1965,31.5
06,09,1965,31.0
06,10,1965,31.5
06,11,1965,30.5
06,12,1965,30.5
06,13,1965,30.0
06,14,1965,30.25
06,15,1965,25.75
06,16,1965,28.25
06,17,1965,28.25
06,18,1965,30.0
06,19,1965,30.5
06,20,1965,29.5
06,21,1965,29.0
06,22,1965,29.5
06,23,1965,29.0
06,24,1965,28.0
06,25,1965,28.75
06,26,1965,27.75
06,27,1965,29.0
06,28,1965,27.75
06,29,1965,29.0
06,30,1965,25.0
07,01,1965,26.5
07,02,1965,27.5
07,03,1965,27.5
07,04,1965,28.5
07,05,1965,28.5
07,06,1965,27.75
07,07,1965,27.25
07,08,1965,29.0
07,09,1965,30.25
07,10,1965,28.75
07,11,1965,28.25
07,12,1965,28.75
07,13,1965,29.0
07,14,1965,29.25
07,15,1965,30.0
