Id:,20094
Estación:,PUTLA DE GUERRERO (CFE)-OAX
Posición:,17.1166666667N -97.8811111111W
Variable:,Temp Promedio (oC)
Fecha Inicial:,08/01/1961
Fecha Final:,07/01/2000
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1961,null
08,02,1961,null
08,03,1961,null
08,04,1961,null
08,05,1961,null
08,06,1961,null
08,07,1961,null
08,08,1961,null
08,09,1961,null
08,10,1961,null
08,11,1961,null
08,12,1961,null
08,13,1961,null
08,14,1961,null
08,15,1961,25.05
08,16,1961,25.45
08,17,1961,24.25
08,18,1961,24.95
08,19,1961,24.0
08,20,1961,23.95
08,21,1961,24.15
08,22,1961,24.65
08,23,1961,25.45
08,24,1961,22.9
08,25,1961,24.95
08,26,1961,24.55
08,27,1961,24.55
08,28,1961,23.95
08,29,1961,23.8
08,30,1961,24.05
08,31,1961,24.6
09,01,1961,24.0
09,02,1961,23.8
09,03,1961,24.55
09,04,1961,25.15
09,05,1961,24.25
09,06,1961,24.5
09,07,1961,24.7
09,08,1961,25.1
09,09,1961,24.45
09,10,1961,23.45
09,11,1961,22.95
09,12,1961,22.95
09,13,1961,22.35
09,14,1961,23.4
09,15,1961,24.05
09,16,1961,24.45
09,17,1961,23.25
09,18,1961,23.55
09,19,1961,23.55
09,20,1961,24.0
09,21,1961,23.85
09,22,1961,24.65
09,23,1961,26.0
09,24,1961,25.1
09,25,1961,24.05
09,26,1961,23.25
09,27,1961,24.9
09,28,1961,25.3
09,29,1961,24.95
09,30,1961,25.45
10,01,1961,23.85
10,02,1961,24.65
10,03,1961,23.25
10,04,1961,23.85
10,05,1961,24.55
10,06,1961,23.9
10,07,1961,24.6
10,08,1961,24.9
10,09,1961,25.9
10,10,1961,25.5
10,11,1961,23.85
10,12,1961,25.0
10,13,1961,24.5
10,14,1961,25.0
10,15,1961,25.0
10,16,1961,23.4
10,17,1961,23.85
10,18,1961,25.0
10,19,1961,24.9
10,20,1961,24.0
10,21,1961,25.5
10,22,1961,25.3
10,23,1961,25.0
10,24,1961,24.5
10,25,1961,24.95
10,26,1961,25.45
10,27,1961,23.7
10,28,1961,24.25
10,29,1961,25.5
10,30,1961,25.0
10,31,1961,25.1
11,01,1961,25.4
11,02,1961,24.0
11,03,1961,23.0
11,04,1961,24.0
11,05,1961,23.0
11,06,1961,22.0
11,07,1961,22.5
11,08,1961,22.5
11,09,1961,23.4
11,10,1961,23.65
11,11,1961,22.1
11,12,1961,21.5
11,13,1961,22.4
11,14,1961,23.0
11,15,1961,25.0
11,16,1961,23.85
11,17,1961,25.3
11,18,1961,23.95
11,19,1961,23.95
11,20,1961,24.5
11,21,1961,24.2
11,22,1961,24.0
11,23,1961,23.25
11,24,1961,24.0
11,25,1961,20.5
11,26,1961,19.85
11,27,1961,18.0
11,28,1961,17.7
11,29,1961,18.85
11,30,1961,20.25
12,01,1961,19.45
12,02,1961,20.2
12,03,1961,20.0
12,04,1961,20.0
12,05,1961,20.45
12,06,1961,20.9
12,07,1961,21.2
12,08,1961,21.0
12,09,1961,20.75
12,10,1961,25.0
12,11,1961,21.05
12,12,1961,20.6
12,13,1961,21.25
12,14,1961,23.0
12,15,1961,21.25
12,16,1961,23.5
12,17,1961,21.25
12,18,1961,22.2
12,19,1961,23.0
12,20,1961,22.5
12,21,1961,22.55
12,22,1961,22.15
12,23,1961,21.95
12,24,1961,21.0
12,25,1961,19.5
12,26,1961,21.7
12,27,1961,20.5
12,28,1961,21.4
12,29,1961,21.95
12,30,1961,22.25
12,31,1961,21.7
01,01,1962,22.9
01,02,1962,22.15
01,03,1962,21.2
01,04,1962,23.4
01,05,1962,22.6
01,06,1962,21.4
01,07,1962,21.9
