Id:,20124
Estación:,SAN PEDRO NOLASCO-OAX
Posición:,17.2897222222N -96.4236111111W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1961
Fecha Final:,07/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1961,16.25
01,02,1961,14.5
01,03,1961,12.75
01,04,1961,11.5
01,05,1961,15.5
01,06,1961,12.25
01,07,1961,15.5
01,08,1961,11.5
01,09,1961,10.75
01,10,1961,13.75
01,11,1961,14.0
01,12,1961,12.25
01,13,1961,16.5
01,14,1961,16.0
01,15,1961,13.75
01,16,1961,13.5
01,17,1961,13.5
01,18,1961,15.25
01,19,1961,16.25
01,20,1961,13.75
01,21,1961,12.75
01,22,1961,17.0
01,23,1961,16.0
01,24,1961,16.5
01,25,1961,15.5
01,26,1961,16.25
01,27,1961,16.5
01,28,1961,16.75
01,29,1961,17.5
01,30,1961,13.5
01,31,1961,15.25
02,01,1961,15.25
02,02,1961,17.0
02,03,1961,13.5
02,04,1961,16.0
02,05,1961,16.5
02,06,1961,15.75
02,07,1961,15.25
02,08,1961,15.75
02,09,1961,16.75
02,10,1961,15.0
02,11,1961,12.5
02,12,1961,12.0
02,13,1961,12.5
02,14,1961,12.25
02,15,1961,14.0
02,16,1961,14.5
02,17,1961,17.0
02,18,1961,18.75
02,19,1961,16.75
02,20,1961,18.0
02,21,1961,15.75
02,22,1961,18.5
02,23,1961,19.0
02,24,1961,19.5
02,25,1961,12.5
02,26,1961,16.25
02,27,1961,18.25
02,28,1961,16.25
03,01,1961,15.5
03,02,1961,16.0
03,03,1961,18.5
03,04,1961,20.0
03,05,1961,20.75
03,06,1961,20.5
03,07,1961,21.25
03,08,1961,16.25
03,09,1961,6.0
03,10,1961,13.5
03,11,1961,17.25
03,12,1961,17.75
03,13,1961,16.25
03,14,1961,17.0
03,15,1961,17.75
03,16,1961,17.25
03,17,1961,19.25
03,18,1961,19.75
03,19,1961,18.75
03,20,1961,15.25
03,21,1961,18.0
03,22,1961,19.0
03,23,1961,17.0
03,24,1961,17.75
03,25,1961,17.0
03,26,1961,20.0
03,27,1961,20.0
03,28,1961,20.5
03,29,1961,22.0
03,30,1961,24.0
03,31,1961,22.75
04,01,1961,20.75
04,02,1961,19.75
04,03,1961,19.0
04,04,1961,17.25
04,05,1961,18.5
04,06,1961,19.0
04,07,1961,17.5
04,08,1961,20.0
04,09,1961,20.5
04,10,1961,21.5
04,11,1961,22.0
04,12,1961,20.0
04,13,1961,21.5
04,14,1961,23.0
04,15,1961,21.75
04,16,1961,15.25
04,17,1961,18.75
04,18,1961,19.5
04,19,1961,18.75
04,20,1961,18.25
04,21,1961,18.0
04,22,1961,15.25
04,23,1961,17.75
04,24,1961,20.75
04,25,1961,22.0
04,26,1961,21.5
04,27,1961,21.0
04,28,1961,19.75
04,29,1961,18.75
04,30,1961,18.5
05,01,1961,21.0
05,02,1961,20.0
05,03,1961,19.5
05,04,1961,21.75
05,05,1961,22.25
05,06,1961,21.0
05,07,1961,20.25
05,08,1961,22.0
05,09,1961,18.75
05,10,1961,16.75
05,11,1961,18.25
05,12,1961,21.25
05,13,1961,22.5
05,14,1961,23.25
05,15,1961,20.75
05,16,1961,21.5
05,17,1961,19.5
05,18,1961,18.5
05,19,1961,17.75
05,20,1961,18.5
05,21,1961,21.25
05,22,1961,20.5
05,23,1961,20.25
05,24,1961,19.0
05,25,1961,19.75
05,26,1961,21.75
05,27,1961,21.0
05,28,1961,19.25
05,29,1961,18.0
05,30,1961,17.75
05,31,1961,17.75
06,01,1961,18.0
06,02,1961,18.75
06,03,1961,19.5
06,04,1961,19.0
06,05,1961,19.25
06,06,1961,21.0
06,07,1961,21.0
06,08,1961,20.25
06,09,1961,19.75
06,10,1961,16.0
06,11,1961,19.5
06,12,1961,20.25
06,13,1961,20.25
06,14,1961,19.0
06,15,1961,18.25
