Id:,20131
Estación:,SANTIAGO APOALA-OAX
Posición:,17.6497222222N -97.1186111111W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1966
Fecha Final:,03/01/1982
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1966,21.25
01,02,1966,22.0
01,03,1966,20.5
01,04,1966,23.25
01,05,1966,21.5
01,06,1966,19.75
01,07,1966,20.0
01,08,1966,20.25
01,09,1966,19.25
01,10,1966,19.25
01,11,1966,20.75
01,12,1966,20.5
01,13,1966,21.5
01,14,1966,20.75
01,15,1966,21.25
01,16,1966,21.25
01,17,1966,21.5
01,18,1966,23.0
01,19,1966,25.0
01,20,1966,23.0
01,21,1966,24.75
01,22,1966,19.75
01,23,1966,19.75
01,24,1966,22.0
01,25,1966,22.5
01,26,1966,19.75
01,27,1966,19.5
01,28,1966,21.5
01,29,1966,21.75
01,30,1966,17.25
01,31,1966,17.25
02,01,1966,20.0
02,02,1966,19.0
02,03,1966,21.25
02,04,1966,18.75
02,05,1966,19.0
02,06,1966,21.0
02,07,1966,22.5
02,08,1966,24.25
02,09,1966,24.5
02,10,1966,26.75
02,11,1966,26.75
02,12,1966,28.0
02,13,1966,23.75
02,14,1966,26.25
02,15,1966,25.25
02,16,1966,27.0
02,17,1966,21.5
02,18,1966,23.75
02,19,1966,23.75
02,20,1966,22.0
02,21,1966,24.5
02,22,1966,24.0
02,23,1966,22.0
02,24,1966,21.5
02,25,1966,20.5
02,26,1966,25.0
02,27,1966,27.0
02,28,1966,26.5
03,01,1966,24.75
03,02,1966,26.25
03,03,1966,28.5
03,04,1966,27.75
03,05,1966,20.5
03,06,1966,20.0
03,07,1966,21.0
03,08,1966,21.25
03,09,1966,23.5
03,10,1966,23.5
03,11,1966,23.0
03,12,1966,24.75
03,13,1966,22.25
03,14,1966,21.5
03,15,1966,24.75
03,16,1966,26.25
03,17,1966,25.5
03,18,1966,28.5
03,19,1966,26.75
03,20,1966,28.0
03,21,1966,22.75
03,22,1966,26.0
03,23,1966,27.0
03,24,1966,23.75
03,25,1966,23.25
03,26,1966,26.25
03,27,1966,27.5
03,28,1966,28.75
03,29,1966,28.25
03,30,1966,27.0
03,31,1966,27.0
04,01,1966,25.75
04,02,1966,23.75
04,03,1966,27.5
04,04,1966,27.0
04,05,1966,25.5
