Id:,20188
Estación:,SANTA MARIA ZACATEPEC (CFE)-OAX
Posición:,16.7641666667N -97.9997222222W
Variable:,Temp Promedio (oC)
Fecha Inicial:,08/01/1961
Fecha Final:,01/01/2001
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1961,16.0
08,02,1961,16.0
08,03,1961,null
08,04,1961,null
08,05,1961,null
08,06,1961,null
08,07,1961,null
08,08,1961,null
08,09,1961,null
08,10,1961,null
08,11,1961,null
08,12,1961,null
08,13,1961,null
08,14,1961,27.75
08,15,1961,27.65
08,16,1961,27.6
08,17,1961,28.0
08,18,1961,28.1
08,19,1961,28.5
08,20,1961,28.6
08,21,1961,29.3
08,22,1961,27.5
08,23,1961,27.85
08,24,1961,27.7
08,25,1961,28.25
08,26,1961,28.1
08,27,1961,28.65
08,28,1961,28.2
08,29,1961,27.45
08,30,1961,28.8
08,31,1961,30.3
09,01,1961,29.7
09,02,1961,28.4
09,03,1961,29.85
09,04,1961,28.8
09,05,1961,27.75
09,06,1961,27.75
09,07,1961,29.05
09,08,1961,29.25
09,09,1961,29.2
09,10,1961,28.75
09,11,1961,27.85
09,12,1961,27.25
09,13,1961,27.2
09,14,1961,28.5
09,15,1961,29.65
09,16,1961,29.15
09,17,1961,28.75
09,18,1961,28.85
09,19,1961,28.85
09,20,1961,27.5
09,21,1961,26.85
09,22,1961,28.2
09,23,1961,28.15
09,24,1961,28.35
09,25,1961,26.95
09,26,1961,28.8
09,27,1961,27.05
09,28,1961,31.1
09,29,1961,30.2
09,30,1961,27.9
10,01,1961,29.35
10,02,1961,29.1
10,03,1961,31.1
10,04,1961,28.85
10,05,1961,29.7
10,06,1961,28.55
10,07,1961,30.3
10,08,1961,31.15
10,09,1961,30.8
10,10,1961,27.6
10,11,1961,27.6
10,12,1961,30.55
10,13,1961,29.3
10,14,1961,28.75
10,15,1961,28.9
10,16,1961,28.55
10,17,1961,29.1
10,18,1961,29.1
10,19,1961,29.35
10,20,1961,29.45
10,21,1961,29.9
10,22,1961,28.8
10,23,1961,29.55
10,24,1961,28.95
10,25,1961,28.25
10,26,1961,28.3
10,27,1961,29.25
10,28,1961,29.95
10,29,1961,29.1
10,30,1961,28.65
10,31,1961,28.8
11,01,1961,28.25
11,02,1961,30.95
11,03,1961,27.6
11,04,1961,27.6
11,05,1961,27.35
11,06,1961,27.0
11,07,1961,27.35
11,08,1961,27.7
11,09,1961,27.75
11,10,1961,27.35
11,11,1961,27.35
11,12,1961,26.5
11,13,1961,26.3
11,14,1961,28.05
11,15,1961,27.65
11,16,1961,27.05
11,17,1961,28.25
11,18,1961,28.25
11,19,1961,29.8
11,20,1961,31.4
11,21,1961,30.0
11,22,1961,28.3
11,23,1961,28.05
11,24,1961,29.3
11,25,1961,29.25
11,26,1961,27.95
11,27,1961,29.8
11,28,1961,29.25
11,29,1961,29.8
11,30,1961,29.55
12,01,1961,29.75
12,02,1961,29.9
12,03,1961,28.25
12,04,1961,27.9
12,05,1961,27.95
12,06,1961,28.75
12,07,1961,30.05
12,08,1961,29.9
12,09,1961,30.75
12,10,1961,29.9
12,11,1961,29.9
12,12,1961,28.05
12,13,1961,28.1
12,14,1961,29.1
12,15,1961,28.6
12,16,1961,27.65
12,17,1961,26.9
12,18,1961,28.4
12,19,1961,27.65
12,20,1961,27.0
12,21,1961,28.6
12,22,1961,25.8
12,23,1961,27.9
12,24,1961,28.85
12,25,1961,28.05
12,26,1961,27.45
12,27,1961,27.9
12,28,1961,29.25
12,29,1961,28.95
12,30,1961,28.65
12,31,1961,26.3
01,01,1962,26.6
01,02,1962,27.6
01,03,1962,26.4
01,04,1962,26.15
01,05,1962,26.6
01,06,1962,27.75
01,07,1962,27.9
01,08,1962,26.6
01,09,1962,26.4
01,10,1962,27.0
01,11,1962,27.4
01,12,1962,27.1
01,13,1962,27.25
01,14,1962,27.6
01,15,1962,27.5
01,16,1962,26.8
01,17,1962,26.9
01,18,1962,25.8
01,19,1962,24.9
01,20,1962,25.5
01,21,1962,26.25
01,22,1962,24.9
01,23,1962,25.05
01,24,1962,25.45
01,25,1962,25.65
01,26,1962,26.55
01,27,1962,26.45
01,28,1962,25.65
