Id:,20200
Estación:,EL CARRIZO (CFE)-OAX
Posición:,16.2577777778N -97.7625W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1972
Fecha Final:,01/01/2001
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1972,28.0
01,02,1972,28.25
01,03,1972,28.0
01,04,1972,28.6
01,05,1972,28.45
01,06,1972,28.95
01,07,1972,29.3
01,08,1972,28.95
01,09,1972,28.2
01,10,1972,27.05
01,11,1972,27.25
01,12,1972,27.4
01,13,1972,28.25
01,14,1972,27.15
01,15,1972,27.75
01,16,1972,28.0
01,17,1972,29.25
01,18,1972,28.25
01,19,1972,27.5
01,20,1972,27.55
01,21,1972,28.15
01,22,1972,27.65
01,23,1972,27.35
01,24,1972,28.85
01,25,1972,27.95
01,26,1972,28.5
01,27,1972,29.95
01,28,1972,28.15
01,29,1972,28.75
01,30,1972,28.2
01,31,1972,27.95
02,01,1972,28.25
02,02,1972,27.5
02,03,1972,26.75
02,04,1972,27.5
02,05,1972,30.25
02,06,1972,28.85
02,07,1972,28.75
02,08,1972,26.7
02,09,1972,27.55
02,10,1972,28.5
02,11,1972,28.6
02,12,1972,29.1
02,13,1972,29.3
02,14,1972,28.25
02,15,1972,27.05
02,16,1972,27.25
02,17,1972,27.0
02,18,1972,26.75
02,19,1972,27.25
02,20,1972,28.75
02,21,1972,28.1
02,22,1972,28.45
02,23,1972,29.15
02,24,1972,29.1
02,25,1972,29.2
02,26,1972,29.25
02,27,1972,28.9
02,28,1972,31.05
02,29,1972,31.95
03,01,1972,29.7
03,02,1972,29.65
03,03,1972,28.75
03,04,1972,29.0
03,05,1972,29.9
03,06,1972,29.55
03,07,1972,30.2
03,08,1972,31.0
03,09,1972,30.0
03,10,1972,29.45
03,11,1972,28.45
03,12,1972,30.45
03,13,1972,29.45
03,14,1972,29.0
03,15,1972,29.0
03,16,1972,29.65
03,17,1972,29.35
03,18,1972,30.1
03,19,1972,27.75
03,20,1972,29.5
03,21,1972,29.5
03,22,1972,31.1
03,23,1972,31.05
03,24,1972,30.35
03,25,1972,30.3
03,26,1972,30.9
03,27,1972,30.15
03,28,1972,29.3
03,29,1972,29.8
03,30,1972,29.95
03,31,1972,29.0
04,01,1972,28.75
04,02,1972,29.75
04,03,1972,29.8
04,04,1972,30.55
04,05,1972,34.05
04,06,1972,29.6
04,07,1972,31.6
04,08,1972,32.1
04,09,1972,32.2
04,10,1972,32.45
04,11,1972,31.65
04,12,1972,31.35
04,13,1972,31.25
04,14,1972,30.05
04,15,1972,30.1
04,16,1972,29.5
04,17,1972,32.0
04,18,1972,31.5
04,19,1972,31.25
04,20,1972,30.0
04,21,1972,30.0
04,22,1972,29.45
04,23,1972,31.95
04,24,1972,30.85
04,25,1972,33.15
04,26,1972,31.6
04,27,1972,32.65
04,28,1972,31.6
04,29,1972,31.0
04,30,1972,33.1
05,01,1972,31.95
05,02,1972,31.9
05,03,1972,33.15
05,04,1972,32.25
05,05,1972,32.0
05,06,1972,33.2
05,07,1972,31.85
05,08,1972,32.0
05,09,1972,32.45
05,10,1972,33.4
05,11,1972,30.9
05,12,1972,29.6
05,13,1972,30.7
05,14,1972,31.45
05,15,1972,31.7
05,16,1972,30.5
05,17,1972,31.35
05,18,1972,32.7
05,19,1972,30.65
05,20,1972,33.0
05,21,1972,31.75
05,22,1972,27.75
05,23,1972,30.5
05,24,1972,30.75
05,25,1972,28.5
05,26,1972,28.25
05,27,1972,30.25
05,28,1972,31.5
05,29,1972,30.0
05,30,1972,29.25
05,31,1972,28.75
06,01,1972,29.5
06,02,1972,28.35
06,03,1972,29.1
06,04,1972,27.85
06,05,1972,28.3
06,06,1972,29.0
06,07,1972,28.9
06,08,1972,27.95
06,09,1972,26.4
06,10,1972,27.35
06,11,1972,25.25
06,12,1972,26.75
06,13,1972,24.5
06,14,1972,28.0
06,15,1972,28.55
06,16,1972,28.65
06,17,1972,28.2
06,18,1972,28.45
06,19,1972,28.65
06,20,1972,28.4
06,21,1972,26.95
06,22,1972,27.0
06,23,1972,27.65
06,24,1972,28.55
06,25,1972,30.1
06,26,1972,27.05
06,27,1972,29.1
06,28,1972,29.85
06,29,1972,29.15
06,30,1972,27.15
07,01,1972,30.05
07,02,1972,30.55
07,03,1972,30.65
07,04,1972,28.9
07,05,1972,31.35
07,06,1972,33.6
07,07,1972,28.1
07,08,1972,29.35
07,09,1972,28.95
07,10,1972,28.85
07,11,1972,28.2
07,12,1972,28.8
07,13,1972,27.05
07,14,1972,28.05
07,15,1972,28.25
07,16,1972,31.1
07,17,1972,29.2
