Id:,20259
Estación:,ZACATEPEC (SMN)-OAX
Posición:,17.1586111111N -95.915W
Variable:,Temp Promedio (oC)
Fecha Inicial:,03/01/1975
Fecha Final:,12/01/1986
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1975,null
03,02,1975,null
03,03,1975,null
03,04,1975,null
03,05,1975,null
03,06,1975,null
03,07,1975,null
03,08,1975,null
03,09,1975,null
03,10,1975,null
03,11,1975,null
03,12,1975,null
03,13,1975,null
03,14,1975,null
03,15,1975,28.15
03,16,1975,28.9
03,17,1975,27.85
03,18,1975,28.3
03,19,1975,26.75
03,20,1975,28.65
03,21,1975,28.7
03,22,1975,28.6
03,23,1975,28.95
03,24,1975,27.7
03,25,1975,27.5
03,26,1975,27.5
03,27,1975,28.9
03,28,1975,29.2
03,29,1975,28.75
03,30,1975,28.4
03,31,1975,27.7
04,01,1975,28.65
04,02,1975,29.05
04,03,1975,29.65
04,04,1975,30.2
04,05,1975,29.5
04,06,1975,30.05
04,07,1975,29.6
04,08,1975,29.4
04,09,1975,29.6
04,10,1975,28.45
04,11,1975,28.9
04,12,1975,29.65
04,13,1975,30.2
04,14,1975,30.8
04,15,1975,29.7
04,16,1975,30.1
04,17,1975,29.6
04,18,1975,29.7
04,19,1975,29.55
04,20,1975,28.25
04,21,1975,28.0
04,22,1975,28.85
04,23,1975,30.1
04,24,1975,29.2
04,25,1975,31.0
04,26,1975,29.55
04,27,1975,29.85
04,28,1975,29.45
04,29,1975,28.7
04,30,1975,28.3
05,01,1975,27.75
05,02,1975,28.25
05,03,1975,29.4
05,04,1975,28.65
05,05,1975,28.65
05,06,1975,24.05
05,07,1975,29.0
05,08,1975,29.3
05,09,1975,29.9
05,10,1975,29.15
05,11,1975,29.9
05,12,1975,29.4
05,13,1975,28.5
05,14,1975,28.65
05,15,1975,29.95
05,16,1975,30.05
05,17,1975,29.35
05,18,1975,28.6
05,19,1975,29.1
05,20,1975,30.35
05,21,1975,30.25
05,22,1975,29.55
05,23,1975,30.05
05,24,1975,29.75
05,25,1975,29.75
05,26,1975,29.3
05,27,1975,28.3
05,28,1975,24.3
05,29,1975,29.5
05,30,1975,27.75
05,31,1975,26.0
06,01,1975,25.8
06,02,1975,25.7
06,03,1975,25.8
06,04,1975,26.5
06,05,1975,27.95
06,06,1975,26.2
06,07,1975,28.15
06,08,1975,26.45
06,09,1975,27.5
06,10,1975,28.05
06,11,1975,27.25
06,12,1975,26.7
06,13,1975,26.6
06,14,1975,29.25
06,15,1975,28.5
06,16,1975,26.95
06,17,1975,26.9
06,18,1975,26.5
06,19,1975,26.55
06,20,1975,26.6
06,21,1975,26.5
06,22,1975,27.0
06,23,1975,26.8
06,24,1975,27.7
06,25,1975,28.0
06,26,1975,27.5
06,27,1975,27.0
06,28,1975,27.15
06,29,1975,28.0
06,30,1975,27.95
07,01,1975,28.2
07,02,1975,25.5
07,03,1975,25.1
07,04,1975,26.35
07,05,1975,26.75
07,06,1975,26.8
07,07,1975,27.35
07,08,1975,26.2
07,09,1975,26.15
07,10,1975,26.35
07,11,1975,26.3
07,12,1975,27.25
07,13,1975,27.0
07,14,1975,27.15
07,15,1975,27.4
07,16,1975,27.3
07,17,1975,26.65
07,18,1975,27.3
07,19,1975,27.1
07,20,1975,26.55
07,21,1975,26.7
07,22,1975,26.25
07,23,1975,27.25
07,24,1975,26.1
07,25,1975,25.25
07,26,1975,25.5
07,27,1975,25.55
07,28,1975,26.15
07,29,1975,25.3
07,30,1975,26.8
07,31,1975,26.25
08,01,1975,null
08,02,1975,null
08,03,1975,null
08,04,1975,null
08,05,1975,null
08,06,1975,null
08,07,1975,null
08,08,1975,null
08,09,1975,null
08,10,1975,null
08,11,1975,null
08,12,1975,null
08,13,1975,null
08,14,1975,null
08,15,1975,null
08,16,1975,null
08,17,1975,null
08,18,1975,null
08,19,1975,null
08,20,1975,null
08,21,1975,null
08,22,1975,null
08,23,1975,null
08,24,1975,null
08,25,1975,null
08,26,1975,null
08,27,1975,null
08,28,1975,null
08,29,1975,null
08,30,1975,null
08,31,1975,null
09,01,1975,26.6
09,02,1975,25.8
09,03,1975,26.8
09,04,1975,26.5
09,05,1975,27.25
09,06,1975,26.5
09,07,1975,26.0
09,08,1975,26.2
09,09,1975,25.75
09,10,1975,24.95
09,11,1975,25.5
09,12,1975,25.7
09,13,1975,24.75
09,14,1975,26.2
09,15,1975,25.35
09,16,1975,25.65
09,17,1975,24.45
09,18,1975,25.85
09,19,1975,26.2
09,20,1975,24.85
09,21,1975,26.45
09,22,1975,25.7
09,23,1975,26.5
09,24,1975,25.6
09,25,1975,25.4
09,26,1975,25.8
09,27,1975,26.05
09,28,1975,25.9
09,29,1975,27.3
09,30,1975,27.4
10,01,1975,26.9
10,02,1975,27.4
10,03,1975,27.75
10,04,1975,27.35
10,05,1975,27.65
10,06,1975,27.2
10,07,1975,26.35
10,08,1975,26.9
10,09,1975,27.7
10,10,1975,26.5
10,11,1975,27.45
10,12,1975,26.85
10,13,1975,26.8
10,14,1975,27.4
10,15,1975,25.35
10,16,1975,26.45
10,17,1975,26.6
10,18,1975,26.6
10,19,1975,26.45
10,20,1975,26.05
10,21,1975,26.0
10,22,1975,25.2
10,23,1975,26.6
10,24,1975,26.2
10,25,1975,25.9
10,26,1975,27.15
10,27,1975,27.45
10,28,1975,26.6
10,29,1975,26.35
10,30,1975,27.0
10,31,1975,26.95
11,01,1975,27.35
11,02,1975,27.55
11,03,1975,28.0
11,04,1975,27.2
11,05,1975,27.2
11,06,1975,25.85
11,07,1975,26.25
11,08,1975,26.65
11,09,1975,26.2
11,10,1975,25.8
11,11,1975,25.75
11,12,1975,25.7
11,13,1975,24.6
11,14,1975,22.65
11,15,1975,23.05
11,16,1975,23.5
11,17,1975,24.35
11,18,1975,24.75
11,19,1975,26.1
11,20,1975,25.05
11,21,1975,23.35
11,22,1975,25.4
11,23,1975,25.7
11,24,1975,25.25
11,25,1975,24.9
11,26,1975,25.8
11,27,1975,25.3
11,28,1975,25.25
11,29,1975,25.45
11,30,1975,25.95
12,01,1975,25.75
12,02,1975,25.35
12,03,1975,24.8
12,04,1975,24.3
12,05,1975,23.95
12,06,1975,25.5
12,07,1975,25.7
12,08,1975,26.1
12,09,1975,25.7
12,10,1975,22.2
12,11,1975,23.2
12,12,1975,22.95
12,13,1975,22.5
12,14,1975,24.5
12,15,1975,23.0
12,16,1975,23.3
12,17,1975,24.65
12,18,1975,24.4
12,19,1975,24.1
12,20,1975,23.15
12,21,1975,23.2
12,22,1975,23.5
12,23,1975,23.2
12,24,1975,24.9
12,25,1975,23.65
12,26,1975,23.15
12,27,1975,23.15
12,28,1975,24.3
12,29,1975,22.75
12,30,1975,22.5
12,31,1975,23.9
01,01,1976,25.3
01,02,1976,23.95
01,03,1976,23.35
01,04,1976,24.95
01,05,1976,23.55
01,06,1976,24.6
01,07,1976,23.55
01,08,1976,22.35
01,09,1976,24.4
01,10,1976,23.5
01,11,1976,22.95
01,12,1976,23.55
01,13,1976,25.0
01,14,1976,24.3
01,15,1976,22.2
01,16,1976,23.7
01,17,1976,24.2
01,18,1976,24.0
01,19,1976,23.3
01,20,1976,24.35
01,21,1976,24.7
01,22,1976,24.35
01,23,1976,23.45
01,24,1976,25.0
01,25,1976,25.6
01,26,1976,24.95
01,27,1976,25.85
01,28,1976,26.3
01,29,1976,25.6
01,30,1976,25.15
01,31,1976,26.25
02,01,1976,18.8
02,02,1976,18.5
02,03,1976,18.65
02,04,1976,19.8
02,05,1976,20.55
02,06,1976,20.2
02,07,1976,20.05
02,08,1976,20.7
02,09,1976,21.55
02,10,1976,20.9
02,11,1976,18.15
02,12,1976,19.75
02,13,1976,20.65
02,14,1976,21.35
02,15,1976,21.55
02,16,1976,20.25
02,17,1976,20.25
02,18,1976,19.2
02,19,1976,20.25
02,20,1976,18.7
02,21,1976,18.65
02,22,1976,17.9
02,23,1976,21.9
02,24,1976,21.25
02,25,1976,21.15
02,26,1976,22.45
02,27,1976,21.95
02,28,1976,22.05
02,29,1976,21.6
03,01,1976,24.7
03,02,1976,25.0
03,03,1976,24.5
03,04,1976,24.7
03,05,1976,24.95
03,06,1976,25.3
03,07,1976,25.1
03,08,1976,25.95
03,09,1976,26.3
03,10,1976,27.5
03,11,1976,27.8
03,12,1976,26.6
03,13,1976,27.7
03,14,1976,27.3
03,15,1976,28.25
03,16,1976,29.05
03,17,1976,29.3
03,18,1976,29.2
03,19,1976,28.4
03,20,1976,27.6
03,21,1976,27.75
03,22,1976,28.75
03,23,1976,30.25
03,24,1976,28.55
03,25,1976,30.2
03,26,1976,28.15
03,27,1976,28.2
03,28,1976,27.8
03,29,1976,27.9
03,30,1976,27.35
03,31,1976,28.2
04,01,1976,28.7
04,02,1976,27.45
04,03,1976,28.55
04,04,1976,29.3
04,05,1976,29.0
04,06,1976,28.3
04,07,1976,28.75
04,08,1976,29.55
04,09,1976,28.95
04,10,1976,29.2
04,11,1976,29.4
04,12,1976,29.8
04,13,1976,29.85
04,14,1976,29.4
04,15,1976,29.85
04,16,1976,29.15
04,17,1976,29.9
04,18,1976,29.4
04,19,1976,29.85
04,20,1976,31.15
04,21,1976,29.8
04,22,1976,29.8
04,23,1976,30.9
04,24,1976,30.9
04,25,1976,31.0
04,26,1976,30.1
04,27,1976,30.4
04,28,1976,31.25
04,29,1976,31.75
04,30,1976,29.95
05,01,1976,29.25
05,02,1976,29.45
05,03,1976,28.65
05,04,1976,30.5
05,05,1976,30.1
05,06,1976,30.0
05,07,1976,29.3
05,08,1976,30.1
05,09,1976,30.3
05,10,1976,28.0
05,11,1976,30.45
05,12,1976,30.35
05,13,1976,30.25
05,14,1976,29.4
05,15,1976,29.8
05,16,1976,29.85
05,17,1976,30.3
05,18,1976,30.65
05,19,1976,30.35
05,20,1976,30.65
05,21,1976,29.9
05,22,1976,30.85
05,23,1976,31.35
05,24,1976,32.05
05,25,1976,32.15
05,26,1976,32.55
05,27,1976,31.65
05,28,1976,31.2
05,29,1976,30.8
05,30,1976,30.7
05,31,1976,31.3
06,01,1976,29.8
06,02,1976,29.85
06,03,1976,28.25
06,04,1976,30.05
06,05,1976,29.45
06,06,1976,30.5
06,07,1976,29.25
06,08,1976,29.35
06,09,1976,28.0
06,10,1976,28.1
06,11,1976,28.0
06,12,1976,27.6
06,13,1976,25.95
06,14,1976,26.7
06,15,1976,27.5
06,16,1976,28.2
06,17,1976,27.9
06,18,1976,28.9
06,19,1976,28.35
06,20,1976,29.0
06,21,1976,28.9
06,22,1976,25.7
06,23,1976,27.4
06,24,1976,26.55
06,25,1976,27.1
06,26,1976,27.7
06,27,1976,26.85
06,28,1976,26.8
06,29,1976,28.35
06,30,1976,24.65
07,01,1976,26.85
07,02,1976,27.0
07,03,1976,27.8
07,04,1976,26.2
07,05,1976,27.1
07,06,1976,26.5
07,07,1976,27.1
07,08,1976,26.6
07,09,1976,26.35
07,10,1976,26.35
07,11,1976,27.2
07,12,1976,28.4
07,13,1976,28.85
07,14,1976,27.0
07,15,1976,27.15
07,16,1976,27.75
07,17,1976,27.35
07,18,1976,27.1
07,19,1976,27.75
07,20,1976,28.15
07,21,1976,27.7
07,22,1976,26.05
07,23,1976,27.75
07,24,1976,27.3
07,25,1976,27.8
07,26,1976,27.7
07,27,1976,26.7
07,28,1976,28.2
07,29,1976,27.95
07,30,1976,27.15
07,31,1976,28.55
08,01,1976,26.7
08,02,1976,25.9
08,03,1976,27.75
08,04,1976,27.15
08,05,1976,27.2
08,06,1976,26.15
08,07,1976,26.7
08,08,1976,26.7
08,09,1976,25.95
08,10,1976,26.1
08,11,1976,26.8
08,12,1976,27.25
