Id:,20274
Estación:,LA ESMERALDA-OAX
Posición:,17.1330555556N -94.7963888889W
Variable:,Temp Promedio (oC)
Fecha Inicial:,02/01/1976
Fecha Final:,07/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1976,17.5
02,02,1976,16.0
02,03,1976,17.5
02,04,1976,17.5
02,05,1976,21.0
02,06,1976,19.5
02,07,1976,20.75
02,08,1976,17.75
02,09,1976,19.5
02,10,1976,19.25
02,11,1976,19.0
02,12,1976,20.0
02,13,1976,19.5
02,14,1976,21.0
02,15,1976,20.5
02,16,1976,22.25
02,17,1976,22.5
02,18,1976,23.5
02,19,1976,22.0
02,20,1976,22.0
02,21,1976,22.0
02,22,1976,15.0
02,23,1976,12.0
02,24,1976,14.5
02,25,1976,13.0
02,26,1976,15.0
02,27,1976,16.0
02,28,1976,19.0
02,29,1976,19.5
03,01,1976,23.0
03,02,1976,22.5
03,03,1976,23.0
03,04,1976,22.0
03,05,1976,23.5
03,06,1976,21.0
03,07,1976,23.5
03,08,1976,25.0
03,09,1976,22.5
03,10,1976,24.0
03,11,1976,24.25
03,12,1976,23.0
03,13,1976,24.0
03,14,1976,25.0
03,15,1976,24.5
03,16,1976,25.5
03,17,1976,19.25
03,18,1976,20.5
03,19,1976,24.0
03,20,1976,23.0
03,21,1976,24.25
03,22,1976,23.5
03,23,1976,21.5
03,24,1976,23.5
03,25,1976,28.0
03,26,1976,24.0
03,27,1976,26.0
03,28,1976,27.0
03,29,1976,26.5
03,30,1976,27.25
03,31,1976,23.0
04,01,1976,17.25
04,02,1976,18.0
04,03,1976,18.5
04,04,1976,24.0
04,05,1976,24.5
04,06,1976,25.0
04,07,1976,25.5
04,08,1976,23.0
04,09,1976,22.5
04,10,1976,20.5
04,11,1976,21.5
04,12,1976,24.5
04,13,1976,24.5
04,14,1976,24.0
04,15,1976,25.5
04,16,1976,25.5
04,17,1976,26.5
04,18,1976,27.5
04,19,1976,26.5
04,20,1976,27.5
04,21,1976,27.0
04,22,1976,27.0
04,23,1976,26.5
04,24,1976,27.0
04,25,1976,25.5
04,26,1976,26.0
04,27,1976,26.5
04,28,1976,28.0
04,29,1976,28.0
04,30,1976,22.5
05,01,1976,27.0
05,02,1976,21.5
