Id:,20068
Estación:,MATIAS ROMERO (SMN)-OAX
Posición:,16.8830555556N -95.0169444444W
Variable:,Temp Mínima (oC)
Fecha Inicial:,01/01/1928
Fecha Final:,03/01/1995
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1928,17.5
01,02,1928,14.0
01,03,1928,12.0
01,04,1928,9.0
01,05,1928,13.0
01,06,1928,18.0
01,07,1928,13.0
01,08,1928,14.0
01,09,1928,16.0
01,10,1928,14.0
01,11,1928,14.0
01,12,1928,14.0
01,13,1928,15.0
01,14,1928,12.0
01,15,1928,12.5
01,16,1928,12.5
01,17,1928,12.5
01,18,1928,12.0
01,19,1928,16.0
01,20,1928,16.0
01,21,1928,10.5
01,22,1928,16.0
01,23,1928,16.0
01,24,1928,16.0
01,25,1928,16.0
01,26,1928,16.0
01,27,1928,16.5
01,28,1928,10.5
01,29,1928,12.0
01,30,1928,12.0
01,31,1928,13.0
02,01,1928,12.0
02,02,1928,13.0
02,03,1928,13.0
02,04,1928,13.0
02,05,1928,13.0
02,06,1928,13.5
02,07,1928,13.0
02,08,1928,15.5
02,09,1928,14.5
02,10,1928,14.5
02,11,1928,13.0
02,12,1928,12.0
02,13,1928,13.0
02,14,1928,12.5
02,15,1928,14.5
02,16,1928,16.5
02,17,1928,17.5
02,18,1928,10.0
02,19,1928,8.0
02,20,1928,13.0
02,21,1928,16.0
02,22,1928,15.0
02,23,1928,16.0
02,24,1928,20.0
02,25,1928,19.0
02,26,1928,16.0
02,27,1928,15.0
02,28,1928,15.0
02,29,1928,18.0
03,01,1928,17.0
03,02,1928,20.0
03,03,1928,19.0
03,04,1928,19.0
03,05,1928,21.0
03,06,1928,20.0
03,07,1928,21.0
03,08,1928,21.0
03,09,1928,20.0
03,10,1928,23.0
03,11,1928,28.0
03,12,1928,21.0
03,13,1928,21.0
03,14,1928,18.0
03,15,1928,21.0
03,16,1928,22.0
03,17,1928,28.0
03,18,1928,18.0
03,19,1928,12.0
03,20,1928,16.0
03,21,1928,19.0
03,22,1928,17.0
03,23,1928,18.0
03,24,1928,18.0
03,25,1928,25.0
03,26,1928,24.0
03,27,1928,24.0
03,28,1928,20.0
03,29,1928,25.0
03,30,1928,24.0
03,31,1928,20.0
04,01,1928,20.0
04,02,1928,22.0
04,03,1928,24.0
04,04,1928,22.0
04,05,1928,25.0
04,06,1928,25.0
04,07,1928,21.0
04,08,1928,22.0
04,09,1928,24.0
04,10,1928,21.0
04,11,1928,20.0
04,12,1928,17.0
04,13,1928,23.0
04,14,1928,24.0
04,15,1928,23.0
04,16,1928,18.0
04,17,1928,22.0
04,18,1928,22.0
04,19,1928,26.0
04,20,1928,25.0
04,21,1928,24.0
04,22,1928,25.0
04,23,1928,22.0
04,24,1928,18.0
04,25,1928,18.0
04,26,1928,20.0
04,27,1928,23.0
04,28,1928,19.0
04,29,1928,21.0
04,30,1928,18.0
05,01,1928,22.0
05,02,1928,23.0
05,03,1928,22.0
05,04,1928,23.0
05,05,1928,22.0
05,06,1928,20.5
05,07,1928,18.0
05,08,1928,16.5
05,09,1928,15.0
05,10,1928,21.0
05,11,1928,24.0
05,12,1928,23.0
05,13,1928,23.0
05,14,1928,24.0
05,15,1928,23.0
05,16,1928,23.0
05,17,1928,22.0
05,18,1928,22.0
05,19,1928,22.0
05,20,1928,22.0
05,21,1928,23.0
05,22,1928,24.0
05,23,1928,22.0
05,24,1928,22.0
05,25,1928,20.0
05,26,1928,19.0
05,27,1928,22.0
05,28,1928,25.0
05,29,1928,23.0
05,30,1928,23.0
05,31,1928,21.0
06,01,1928,22.0
06,02,1928,12.0
06,03,1928,22.0
06,04,1928,23.0
06,05,1928,24.0
06,06,1928,23.0
06,07,1928,22.0
06,08,1928,24.0
06,09,1928,24.0
06,10,1928,25.0
06,11,1928,24.0
06,12,1928,22.0
06,13,1928,24.0
06,14,1928,23.0
06,15,1928,21.0
06,16,1928,21.0
06,17,1928,21.0
06,18,1928,21.0
06,19,1928,21.0
06,20,1928,20.0
06,21,1928,22.0
06,22,1928,20.0
06,23,1928,21.0
06,24,1928,20.0
06,25,1928,20.0
06,26,1928,19.0
06,27,1928,20.0
06,28,1928,20.0
06,29,1928,20.0
06,30,1928,19.0
07,01,1928,18.1
07,02,1928,20.1
07,03,1928,20.1
07,04,1928,20.2
07,05,1928,20.3
07,06,1928,21.1
07,07,1928,22.2
07,08,1928,20.2
07,09,1928,22.0
07,10,1928,22.0
07,11,1928,22.0
07,12,1928,22.3
07,13,1928,21.1
07,14,1928,21.2
07,15,1928,20.0
07,16,1928,20.2
07,17,1928,20.4
07,18,1928,22.0
07,19,1928,22.0
07,20,1928,21.0
07,21,1928,20.1
07,22,1928,21.0
07,23,1928,21.2
07,24,1928,21.3
07,25,1928,19.0
07,26,1928,19.2
07,27,1928,19.3
07,28,1928,20.3
07,29,1928,21.4
07,30,1928,19.2
07,31,1928,20.4
08,01,1928,21.1
08,02,1928,20.4
08,03,1928,20.3
08,04,1928,21.0
08,05,1928,21.3
08,06,1928,21.1
08,07,1928,18.3
08,08,1928,19.4
08,09,1928,19.3
08,10,1928,19.3
08,11,1928,20.2
08,12,1928,21.1
08,13,1928,21.7
08,14,1928,22.1
08,15,1928,21.1
08,16,1928,20.2
08,17,1928,21.0
08,18,1928,21.0
08,19,1928,20.0
08,20,1928,21.2
08,21,1928,19.1
08,22,1928,19.1
08,23,1928,20.0
08,24,1928,19.4
08,25,1928,20.0
08,26,1928,20.0
08,27,1928,20.2
08,28,1928,20.3
08,29,1928,20.3
08,30,1928,20.3
08,31,1928,20.3
09,01,1928,20.4
09,02,1928,20.4
09,03,1928,21.0
09,04,1928,21.0
09,05,1928,21.0
09,06,1928,21.0
09,07,1928,21.1
09,08,1928,21.1
09,09,1928,21.0
09,10,1928,21.0
09,11,1928,22.0
09,12,1928,21.2
09,13,1928,21.0
09,14,1928,21.0
09,15,1928,20.0
09,16,1928,20.0
09,17,1928,19.0
09,18,1928,19.5
09,19,1928,20.0
09,20,1928,20.2
09,21,1928,20.0
09,22,1928,20.2
09,23,1928,20.5
09,24,1928,21.5
09,25,1928,20.2
09,26,1928,20.0
09,27,1928,19.0
09,28,1928,19.2
09,29,1928,20.2
09,30,1928,20.0
10,01,1928,22.0
10,02,1928,20.7
10,03,1928,20.0
10,04,1928,19.0
