Id:,20101
Estación:,SALINA CRUZ-OAX
Posición:,16.1830555556N -95.2033333333W
Variable:,Temp Mínima (oC)
Fecha Inicial:,06/01/1968
Fecha Final:,02/01/1979
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1968,24.4
06,02,1968,25.0
06,03,1968,26.0
06,04,1968,25.2
06,05,1968,24.2
06,06,1968,29.2
06,07,1968,26.2
06,08,1968,25.0
06,09,1968,25.5
06,10,1968,26.2
06,11,1968,26.0
06,12,1968,23.4
06,13,1968,26.2
06,14,1968,26.0
06,15,1968,26.4
06,16,1968,23.0
06,17,1968,24.5
06,18,1968,24.5
06,19,1968,23.2
06,20,1968,22.6
06,21,1968,23.7
06,22,1968,25.8
06,23,1968,26.4
06,24,1968,25.0
06,25,1968,24.8
06,26,1968,25.8
06,27,1968,23.8
06,28,1968,24.4
06,29,1968,23.8
06,30,1968,22.0
07,01,1968,24.4
07,02,1968,24.0
07,03,1968,24.5
07,04,1968,25.2
07,05,1968,24.3
07,06,1968,22.8
07,07,1968,25.7
07,08,1968,25.7
07,09,1968,25.6
07,10,1968,25.4
07,11,1968,22.8
07,12,1968,25.0
07,13,1968,22.8
07,14,1968,23.0
07,15,1968,23.5
07,16,1968,23.5
07,17,1968,24.8
07,18,1968,24.6
07,19,1968,24.3
07,20,1968,25.2
07,21,1968,27.0
07,22,1968,24.6
07,23,1968,26.8
07,24,1968,26.0
07,25,1968,25.5
07,26,1968,27.5
07,27,1968,27.0
07,28,1968,27.2
07,29,1968,27.6
07,30,1968,27.2
07,31,1968,27.5
08,01,1968,25.8
08,02,1968,26.8
08,03,1968,25.5
08,04,1968,26.0
08,05,1968,24.2
08,06,1968,26.8
08,07,1968,27.2
08,08,1968,27.2
08,09,1968,25.5
08,10,1968,26.6
08,11,1968,28.2
08,12,1968,27.5
08,13,1968,22.2
08,14,1968,23.5
08,15,1968,24.4
08,16,1968,24.2
08,17,1968,25.4
08,18,1968,25.4
08,19,1968,22.6
08,20,1968,24.2
08,21,1968,25.6
08,22,1968,22.2
08,23,1968,25.5
08,24,1968,26.2
08,25,1968,26.6
08,26,1968,25.6
08,27,1968,24.7
08,28,1968,24.3
08,29,1968,24.0
08,30,1968,25.5
08,31,1968,25.4
09,01,1968,24.5
09,02,1968,25.5
09,03,1968,23.0
09,04,1968,23.2
09,05,1968,24.0
09,06,1968,27.0
09,07,1968,26.3
09,08,1968,24.7
09,09,1968,23.4
09,10,1968,23.6
09,11,1968,22.6
09,12,1968,23.0
09,13,1968,24.6
09,14,1968,23.0
09,15,1968,24.8
09,16,1968,25.0
09,17,1968,25.4
09,18,1968,25.0
09,19,1968,24.0
09,20,1968,23.0
09,21,1968,23.4
09,22,1968,24.0
09,23,1968,23.7
09,24,1968,24.0
09,25,1968,23.0
09,26,1968,24.5
09,27,1968,23.6
09,28,1968,24.5
09,29,1968,24.0
09,30,1968,26.0
10,01,1968,25.2
10,02,1968,25.7
10,03,1968,26.7
10,04,1968,26.7
10,05,1968,22.6
10,06,1968,23.7
10,07,1968,24.5
10,08,1968,24.5
10,09,1968,25.4
10,10,1968,22.0
10,11,1968,24.2
10,12,1968,24.7
10,13,1968,25.8
10,14,1968,25.4
10,15,1968,25.2
10,16,1968,23.8
10,17,1968,22.4
10,18,1968,24.4
10,19,1968,26.3
10,20,1968,26.6
10,21,1968,26.2
10,22,1968,24.5
10,23,1968,25.0
10,24,1968,24.5
10,25,1968,25.4
10,26,1968,24.4
10,27,1968,23.6
10,28,1968,24.5
10,29,1968,23.7
10,30,1968,22.4
10,31,1968,21.6
11,01,1968,26.4
11,02,1968,27.2
11,03,1968,25.0
11,04,1968,25.8
11,05,1968,23.4
11,06,1968,25.5
11,07,1968,24.7
11,08,1968,24.8
11,09,1968,24.8
11,10,1968,21.5
11,11,1968,22.0
11,12,1968,22.6
11,13,1968,21.6
11,14,1968,20.2
11,15,1968,22.0
11,16,1968,23.3
11,17,1968,25.0
11,18,1968,25.9
11,19,1968,26.1
11,20,1968,23.2
11,21,1968,23.4
11,22,1968,22.6
11,23,1968,21.0
11,24,1968,20.5
11,25,1968,23.5
11,26,1968,20.8
11,27,1968,22.8
11,28,1968,23.0
11,29,1968,24.8
11,30,1968,24.6
12,01,1968,24.0
12,02,1968,23.0
12,03,1968,24.4
12,04,1968,21.8
12,05,1968,21.5
12,06,1968,20.5
12,07,1968,20.9
12,08,1968,24.3
12,09,1968,22.6
12,10,1968,23.5
12,11,1968,24.0
12,12,1968,22.4
12,13,1968,21.0
12,14,1968,24.6
12,15,1968,21.0
12,16,1968,21.5
12,17,1968,19.0
12,18,1968,20.6
12,19,1968,21.7
12,20,1968,21.6
12,21,1968,23.3
12,22,1968,25.5
12,23,1968,23.8
12,24,1968,21.0
12,25,1968,21.5
12,26,1968,21.0
12,27,1968,23.6
12,28,1968,24.0
12,29,1968,23.2
12,30,1968,22.3
12,31,1968,25.2
01,01,1969,25.9
01,02,1969,24.4
01,03,1969,23.3
01,04,1969,21.6
01,05,1969,21.6
01,06,1969,22.0
01,07,1969,23.0
01,08,1969,20.6
01,09,1969,23.6
01,10,1969,24.4
01,11,1969,22.4
01,12,1969,22.4
01,13,1969,22.8
01,14,1969,23.0
01,15,1969,23.0
01,16,1969,20.2
01,17,1969,22.0
01,18,1969,24.6
01,19,1969,22.0
01,20,1969,21.5
01,21,1969,21.6
01,22,1969,21.2
01,23,1969,22.4
01,24,1969,22.6
01,25,1969,22.5
01,26,1969,23.6
01,27,1969,21.2
01,28,1969,22.6
01,29,1969,22.8
01,30,1969,23.6
01,31,1969,26.4
02,01,1969,23.2
02,02,1969,22.6
02,03,1969,22.2
02,04,1969,20.6
02,05,1969,23.6
02,06,1969,21.4
02,07,1969,22.4
02,08,1969,24.2
02,09,1969,24.8
02,10,1969,23.0
02,11,1969,22.0
02,12,1969,23.0
02,13,1969,23.8
02,14,1969,25.0
02,15,1969,25.5
02,16,1969,23.4
02,17,1969,22.0
02,18,1969,24.8
02,19,1969,23.8
02,20,1969,23.6
02,21,1969,24.0
02,22,1969,25.5
02,23,1969,23.2
02,24,1969,23.6
02,25,1969,25.6
02,26,1969,23.6
02,27,1969,25.0
02,28,1969,null
03,01,1969,23.4
03,02,1969,26.0
03,03,1969,25.8
03,04,1969,19.8
03,05,1969,19.8
03,06,1969,25.4
03,07,1969,23.0
03,08,1969,25.2
03,09,1969,22.4
03,10,1969,23.5
03,11,1969,23.4
03,12,1969,23.5
03,13,1969,22.5
03,14,1969,21.4
03,15,1969,25.4
03,16,1969,25.4
03,17,1969,21.5
03,18,1969,21.6
03,19,1969,23.5
03,20,1969,22.6
03,21,1969,24.6
03,22,1969,24.4
03,23,1969,26.0
03,24,1969,26.2
03,25,1969,23.5
03,26,1969,21.5
03,27,1969,21.4
03,28,1969,21.8
03,29,1969,22.5
03,30,1969,25.4
03,31,1969,24.6
04,01,1969,24.8
04,02,1969,23.8
04,03,1969,25.0
04,04,1969,25.6
04,05,1969,25.2
04,06,1969,25.0
04,07,1969,26.2
04,08,1969,26.2
04,09,1969,26.6
04,10,1969,26.6
04,11,1969,26.6
04,12,1969,27.8
04,13,1969,27.2
04,14,1969,26.4
04,15,1969,26.0
04,16,1969,28.2
04,17,1969,28.0
04,18,1969,27.6
04,19,1969,26.6
04,20,1969,27.4
04,21,1969,28.2
04,22,1969,27.0
04,23,1969,26.0
04,24,1969,26.0
04,25,1969,26.0
04,26,1969,26.0
04,27,1969,26.6
04,28,1969,26.0
04,29,1969,27.6
04,30,1969,27.2
05,01,1969,27.4
05,02,1969,26.2
05,03,1969,25.8
05,04,1969,26.6
05,05,1969,26.4
05,06,1969,26.0
05,07,1969,26.2
05,08,1969,24.8
05,09,1969,25.4
05,10,1969,26.9
05,11,1969,25.8
05,12,1969,26.8
05,13,1969,26.0
05,14,1969,27.0
05,15,1969,27.2
05,16,1969,27.6
05,17,1969,26.8
05,18,1969,25.4
05,19,1969,25.6
05,20,1969,26.0
05,21,1969,25.8
05,22,1969,25.2
05,23,1969,27.3
05,24,1969,25.2
05,25,1969,25.4
05,26,1969,25.5
05,27,1969,25.4
05,28,1969,25.2
05,29,1969,25.6
05,30,1969,25.0
05,31,1969,25.4
06,01,1969,26.8
06,02,1969,27.0
06,03,1969,27.4
06,04,1969,27.3
06,05,1969,27.0
06,06,1969,26.9
06,07,1969,25.6
06,08,1969,26.6
06,09,1969,26.8
06,10,1969,25.4
06,11,1969,25.4
06,12,1969,26.0
06,13,1969,26.0
06,14,1969,25.4
06,15,1969,26.0
06,16,1969,26.4
06,17,1969,25.7
06,18,1969,23.8
06,19,1969,23.0
06,20,1969,22.4
06,21,1969,24.8
06,22,1969,25.2
06,23,1969,26.3
06,24,1969,26.0
06,25,1969,27.2
06,26,1969,27.0
06,27,1969,25.6
06,28,1969,23.0
06,29,1969,24.5
06,30,1969,25.5
07,01,1969,24.8
07,02,1969,24.0
07,03,1969,23.0
07,04,1969,23.8
07,05,1969,23.5
07,06,1969,24.0
07,07,1969,23.7
07,08,1969,24.8
07,09,1969,22.0
07,10,1969,22.8
07,11,1969,24.0
07,12,1969,25.2
07,13,1969,23.7
07,14,1969,23.7
07,15,1969,24.7
07,16,1969,24.5
07,17,1969,26.0
07,18,1969,27.2
07,19,1969,26.0
07,20,1969,27.0
07,21,1969,25.5
07,22,1969,23.3
07,23,1969,25.7
07,24,1969,25.8
07,25,1969,25.7
07,26,1969,22.2
07,27,1969,26.6
07,28,1969,25.2
07,29,1969,27.0
07,30,1969,26.0
07,31,1969,23.2
08,01,1969,25.0
08,02,1969,25.2
08,03,1969,25.0
08,04,1969,25.2
08,05,1969,24.0
08,06,1969,25.0
08,07,1969,23.3
08,08,1969,24.0
08,09,1969,24.8
08,10,1969,22.0
08,11,1969,21.8
08,12,1969,23.0
08,13,1969,23.0
08,14,1969,23.0
08,15,1969,23.8
08,16,1969,25.0
08,17,1969,24.4
08,18,1969,24.4
08,19,1969,23.0
08,20,1969,21.8
08,21,1969,22.0
08,22,1969,22.4
08,23,1969,25.0
08,24,1969,23.0
08,25,1969,22.8
08,26,1969,23.5
08,27,1969,23.2
08,28,1969,23.0
08,29,1969,22.8
