Id:,20124
Estación:,SAN PEDRO NOLASCO-OAX
Posición:,17.2897222222N -96.4236111111W
Variable:,Temp Mínima (oC)
Fecha Inicial:,01/01/1961
Fecha Final:,07/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1961,5.5
01,02,1961,5.5
01,03,1961,5.5
01,04,1961,5.5
01,05,1961,10.5
01,06,1961,3.5
01,07,1961,4.0
01,08,1961,6.0
01,09,1961,6.0
01,10,1961,8.0
01,11,1961,5.0
01,12,1961,4.5
01,13,1961,5.0
01,14,1961,6.0
01,15,1961,7.0
01,16,1961,8.5
01,17,1961,9.0
01,18,1961,9.5
01,19,1961,7.0
01,20,1961,7.5
01,21,1961,6.5
01,22,1961,7.0
01,23,1961,6.5
01,24,1961,6.0
01,25,1961,6.0
01,26,1961,7.0
01,27,1961,5.0
01,28,1961,5.0
01,29,1961,8.0
01,30,1961,8.5
01,31,1961,3.0
02,01,1961,3.0
02,02,1961,7.0
02,03,1961,7.0
02,04,1961,5.0
02,05,1961,5.0
02,06,1961,5.5
02,07,1961,6.5
02,08,1961,5.5
02,09,1961,6.0
02,10,1961,8.0
02,11,1961,7.0
02,12,1961,2.0
02,13,1961,1.0
02,14,1961,0.5
02,15,1961,1.0
02,16,1961,3.0
02,17,1961,4.0
02,18,1961,7.0
02,19,1961,6.5
02,20,1961,7.0
02,21,1961,7.0
02,22,1961,8.0
02,23,1961,9.0
02,24,1961,9.0
02,25,1961,8.0
02,26,1961,4.5
02,27,1961,7.0
02,28,1961,7.5
03,01,1961,7.0
03,02,1961,9.0
03,03,1961,9.0
03,04,1961,9.5
03,05,1961,10.5
03,06,1961,10.5
03,07,1961,11.0
03,08,1961,10.5
03,09,1961,0.5
03,10,1961,5.0
03,11,1961,5.5
03,12,1961,7.5
03,13,1961,10.0
03,14,1961,8.0
03,15,1961,6.5
03,16,1961,8.0
03,17,1961,8.5
03,18,1961,9.0
03,19,1961,9.0
03,20,1961,8.0
03,21,1961,9.5
03,22,1961,10.0
03,23,1961,9.0
03,24,1961,8.5
03,25,1961,9.0
03,26,1961,10.5
03,27,1961,11.5
03,28,1961,10.0
03,29,1961,10.5
03,30,1961,11.5
03,31,1961,11.5
04,01,1961,11.0
04,02,1961,8.0
04,03,1961,8.5
04,04,1961,10.0
04,05,1961,10.0
04,06,1961,10.0
04,07,1961,11.0
04,08,1961,9.0
04,09,1961,11.5
04,10,1961,11.0
04,11,1961,12.0
04,12,1961,11.5
04,13,1961,10.0
04,14,1961,12.5
04,15,1961,11.5
04,16,1961,5.5
04,17,1961,7.0
04,18,1961,10.5
04,19,1961,9.0
04,20,1961,8.5
04,21,1961,11.0
04,22,1961,6.0
04,23,1961,6.0
04,24,1961,10.0
04,25,1961,11.0
04,26,1961,12.0
04,27,1961,12.0
04,28,1961,11.5
04,29,1961,9.5
04,30,1961,8.0
05,01,1961,12.0
05,02,1961,9.0
05,03,1961,10.5
05,04,1961,12.5
05,05,1961,12.0
05,06,1961,11.0
05,07,1961,11.0
05,08,1961,14.0
05,09,1961,14.5
05,10,1961,10.5
05,11,1961,7.5
05,12,1961,10.5
05,13,1961,12.0
05,14,1961,13.0
05,15,1961,12.5
05,16,1961,14.5
05,17,1961,11.0
05,18,1961,10.5
05,19,1961,9.5
05,20,1961,9.0
05,21,1961,10.5
05,22,1961,10.0
05,23,1961,11.0
05,24,1961,13.0
05,25,1961,10.5
05,26,1961,12.0
05,27,1961,15.0
05,28,1961,13.5
05,29,1961,10.5
05,30,1961,9.5
05,31,1961,10.5
06,01,1961,10.0
06,02,1961,12.0
06,03,1961,11.0
06,04,1961,11.5
06,05,1961,11.0
06,06,1961,14.0
06,07,1961,15.0
06,08,1961,12.5
06,09,1961,12.0
06,10,1961,10.0
06,11,1961,12.5
06,12,1961,13.5
06,13,1961,14.0
06,14,1961,15.0
06,15,1961,14.0
06,16,1961,14.5
06,17,1961,12.0
06,18,1961,13.0
06,19,1961,12.0
06,20,1961,13.0
06,21,1961,14.8
06,22,1961,12.1
06,23,1961,14.0
06,24,1961,9.5
06,25,1961,12.0
06,26,1961,11.0
06,27,1961,11.5
06,28,1961,14.0
06,29,1961,11.5
06,30,1961,14.0
07,01,1961,12.0
07,02,1961,11.0
