Id:,20259
Estación:,ZACATEPEC (SMN)-OAX
Posición:,17.1586111111N -95.915W
Variable:,Temp Mínima (oC)
Fecha Inicial:,03/01/1975
Fecha Final:,12/01/1986
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1975,null
03,02,1975,null
03,03,1975,null
03,04,1975,null
03,05,1975,null
03,06,1975,null
03,07,1975,null
03,08,1975,null
03,09,1975,null
03,10,1975,null
03,11,1975,null
03,12,1975,null
03,13,1975,null
03,14,1975,null
03,15,1975,17.9
03,16,1975,19.3
03,17,1975,17.2
03,18,1975,18.1
03,19,1975,15.2
03,20,1975,19.2
03,21,1975,18.4
03,22,1975,18.1
03,23,1975,18.4
03,24,1975,16.4
03,25,1975,16.0
03,26,1975,16.0
03,27,1975,18.5
03,28,1975,19.4
03,29,1975,19.0
03,30,1975,17.8
03,31,1975,16.4
04,01,1975,17.9
04,02,1975,18.4
04,03,1975,18.8
04,04,1975,18.9
04,05,1975,19.0
04,06,1975,19.1
04,07,1975,18.0
04,08,1975,17.8
04,09,1975,17.8
04,10,1975,17.0
04,11,1975,16.8
04,12,1975,18.0
04,13,1975,19.1
04,14,1975,20.1
04,15,1975,18.6
04,16,1975,18.6
04,17,1975,18.5
04,18,1975,17.6
04,19,1975,18.0
04,20,1975,17.5
04,21,1975,17.0
04,22,1975,17.5
04,23,1975,18.6
04,24,1975,18.9
04,25,1975,21.0
04,26,1975,19.5
04,27,1975,19.8
04,28,1975,20.0
04,29,1975,19.4
04,30,1975,17.6
05,01,1975,20.0
05,02,1975,20.4
05,03,1975,20.4
05,04,1975,18.6
05,05,1975,18.6
05,06,1975,16.7
05,07,1975,20.0
05,08,1975,20.0
05,09,1975,20.0
05,10,1975,20.2
05,11,1975,21.0
05,12,1975,19.8
05,13,1975,20.0
05,14,1975,20.0
05,15,1975,20.9
05,16,1975,21.6
05,17,1975,20.6
05,18,1975,20.4
05,19,1975,20.9
05,20,1975,22.1
05,21,1975,23.0
05,22,1975,22.0
05,23,1975,22.1
05,24,1975,22.1
05,25,1975,21.9
05,26,1975,22.6
05,27,1975,20.8
05,28,1975,21.6
05,29,1975,21.6
05,30,1975,21.7
05,31,1975,21.0
06,01,1975,21.3
06,02,1975,22.4
06,03,1975,22.0
06,04,1975,22.0
06,05,1975,21.9
06,06,1975,21.0
06,07,1975,23.3
06,08,1975,20.9
06,09,1975,21.0
06,10,1975,22.7
06,11,1975,20.5
06,12,1975,20.8
06,13,1975,18.5
06,14,1975,24.1
06,15,1975,21.5
06,16,1975,20.2
06,17,1975,20.8
06,18,1975,20.0
06,19,1975,21.1
06,20,1975,21.2
06,21,1975,20.0
06,22,1975,20.0
06,23,1975,19.6
06,24,1975,20.6
06,25,1975,21.9
06,26,1975,20.9
06,27,1975,20.0
06,28,1975,20.3
06,29,1975,21.0
06,30,1975,21.2
07,01,1975,22.0
07,02,1975,20.0
07,03,1975,20.2
07,04,1975,20.2
07,05,1975,20.1
07,06,1975,20.6
07,07,1975,20.9
07,08,1975,21.3
07,09,1975,20.5
07,10,1975,21.3
07,11,1975,20.0
07,12,1975,21.8
07,13,1975,21.0
07,14,1975,21.0
07,15,1975,21.4
07,16,1975,21.0
07,17,1975,20.0
07,18,1975,20.8
07,19,1975,21.2
07,20,1975,19.5
07,21,1975,20.0
07,22,1975,18.5
07,23,1975,20.6
07,24,1975,20.8
07,25,1975,19.6
07,26,1975,20.2
07,27,1975,20.7
07,28,1975,18.9
07,29,1975,19.0
07,30,1975,19.1
07,31,1975,18.5
08,01,1975,null
08,02,1975,null
08,03,1975,null
08,04,1975,null
08,05,1975,null
08,06,1975,null
08,07,1975,null
08,08,1975,null
08,09,1975,null
08,10,1975,null
08,11,1975,null
08,12,1975,null
08,13,1975,null
08,14,1975,null
08,15,1975,null
08,16,1975,null
08,17,1975,null
08,18,1975,null
08,19,1975,null
08,20,1975,null
08,21,1975,null
08,22,1975,null
08,23,1975,null
08,24,1975,null
08,25,1975,null
08,26,1975,null
08,27,1975,null
08,28,1975,null
08,29,1975,null
08,30,1975,null
08,31,1975,null
09,01,1975,20.4
09,02,1975,19.3
09,03,1975,20.0
09,04,1975,21.0
09,05,1975,21.4
09,06,1975,21.4
09,07,1975,20.0
09,08,1975,20.4
09,09,1975,20.6
09,10,1975,20.9
09,11,1975,21.0
09,12,1975,20.6
09,13,1975,20.8
09,14,1975,21.7
09,15,1975,20.4
09,16,1975,20.7
09,17,1975,18.9
09,18,1975,18.7
09,19,1975,19.0
09,20,1975,18.9
09,21,1975,19.6
09,22,1975,19.0
09,23,1975,19.6
09,24,1975,18.8
09,25,1975,18.2
09,26,1975,18.2
09,27,1975,18.7
09,28,1975,18.2
09,29,1975,21.0
09,30,1975,20.6
10,01,1975,19.8
10,02,1975,20.2
10,03,1975,22.0
10,04,1975,21.2
10,05,1975,21.2
10,06,1975,20.6
10,07,1975,20.5
10,08,1975,20.2
10,09,1975,20.9
10,10,1975,20.2
10,11,1975,21.8
10,12,1975,21.0
10,13,1975,21.0
10,14,1975,21.7
10,15,1975,18.5
10,16,1975,20.4
10,17,1975,20.4
10,18,1975,20.2
10,19,1975,20.0
10,20,1975,19.0
10,21,1975,18.4
10,22,1975,18.4
10,23,1975,20.2
10,24,1975,19.0
10,25,1975,19.0
10,26,1975,20.7
10,27,1975,21.1
10,28,1975,20.4
10,29,1975,19.3
10,30,1975,20.0
10,31,1975,20.0
11,01,1975,20.8
11,02,1975,21.3
11,03,1975,21.0
11,04,1975,21.1
11,05,1975,21.0
11,06,1975,19.1
11,07,1975,19.7
11,08,1975,20.7
11,09,1975,19.4
11,10,1975,19.6
11,11,1975,18.5
11,12,1975,18.2
11,13,1975,17.6
11,14,1975,13.3
11,15,1975,14.1
11,16,1975,15.5
11,17,1975,17.0
11,18,1975,18.5
11,19,1975,19.5
11,20,1975,16.5
11,21,1975,13.0
11,22,1975,17.6
11,23,1975,16.8
11,24,1975,17.5
11,25,1975,17.0
11,26,1975,18.6
11,27,1975,17.8
11,28,1975,17.7
11,29,1975,17.7
11,30,1975,18.6
12,01,1975,18.5
12,02,1975,16.0
12,03,1975,15.6
12,04,1975,15.6
12,05,1975,14.5
12,06,1975,17.0
12,07,1975,17.4
12,08,1975,18.4
12,09,1975,17.4
12,10,1975,13.0
12,11,1975,14.4
12,12,1975,14.0
12,13,1975,13.0
12,14,1975,16.3
12,15,1975,13.3
12,16,1975,15.6
12,17,1975,16.9
12,18,1975,16.3
12,19,1975,14.6
12,20,1975,13.3
12,21,1975,13.5
12,22,1975,14.4
12,23,1975,15.6
12,24,1975,16.8
12,25,1975,15.5
12,26,1975,15.0
12,27,1975,16.0
12,28,1975,17.4
12,29,1975,14.1
12,30,1975,13.0
12,31,1975,15.8
01,01,1976,17.0
01,02,1976,16.4
01,03,1976,14.4
01,04,1976,15.3
01,05,1976,13.3
01,06,1976,15.6
01,07,1976,13.4
01,08,1976,13.5
01,09,1976,14.3
01,10,1976,13.0
01,11,1976,12.4
01,12,1976,13.5
01,13,1976,15.3
01,14,1976,13.6
01,15,1976,12.8
01,16,1976,13.1
01,17,1976,14.4
01,18,1976,14.0
01,19,1976,12.6
01,20,1976,14.6
01,21,1976,13.3
01,22,1976,12.5
01,23,1976,12.0
01,24,1976,15.0
01,25,1976,16.1
01,26,1976,15.0
01,27,1976,16.7
01,28,1976,17.0
01,29,1976,16.9
01,30,1976,18.5
01,31,1976,18.4
02,01,1976,4.0
02,02,1976,5.5
02,03,1976,5.0
02,04,1976,5.0
02,05,1976,5.5
02,06,1976,5.0
02,07,1976,4.5
02,08,1976,5.5
02,09,1976,6.5
02,10,1976,5.0
02,11,1976,0.0
02,12,1976,4.5
02,13,1976,5.5
02,14,1976,6.0
02,15,1976,6.5
02,16,1976,4.5
02,17,1976,4.0
02,18,1976,3.0
02,19,1976,4.5
02,20,1976,2.0
02,21,1976,2.5
02,22,1976,0.0
02,23,1976,6.5
02,24,1976,6.0
02,25,1976,6.0
02,26,1976,6.5
02,27,1976,6.5
02,28,1976,7.0
02,29,1976,6.0
03,01,1976,12.5
03,02,1976,12.7
03,03,1976,12.4
03,04,1976,11.8
03,05,1976,12.0
03,06,1976,13.5
03,07,1976,12.7
03,08,1976,12.9
03,09,1976,15.3
03,10,1976,16.0
03,11,1976,17.4
03,12,1976,15.2
03,13,1976,15.9
03,14,1976,15.6
03,15,1976,17.5
03,16,1976,19.4
03,17,1976,19.5
03,18,1976,19.1
03,19,1976,18.3
03,20,1976,18.4
03,21,1976,19.5
03,22,1976,18.5
03,23,1976,20.0
03,24,1976,17.6
03,25,1976,20.0
03,26,1976,17.0
03,27,1976,17.0
03,28,1976,16.0
03,29,1976,15.7
03,30,1976,16.2
03,31,1976,18.4
04,01,1976,18.4
04,02,1976,15.4
04,03,1976,18.5
04,04,1976,20.0
04,05,1976,18.4
04,06,1976,18.6
04,07,1976,18.6
04,08,1976,19.6
04,09,1976,18.6
04,10,1976,18.8
04,11,1976,19.0
04,12,1976,19.6
04,13,1976,19.3
04,14,1976,18.2
04,15,1976,19.4
04,16,1976,18.3
04,17,1976,19.4
04,18,1976,18.6
04,19,1976,19.4
04,20,1976,21.3
04,21,1976,19.0
04,22,1976,19.3
04,23,1976,21.2
04,24,1976,21.6
04,25,1976,21.3
04,26,1976,20.8
04,27,1976,20.7
04,28,1976,22.0
04,29,1976,22.6
04,30,1976,20.9
05,01,1976,19.5
05,02,1976,20.1
05,03,1976,18.9
05,04,1976,22.0
05,05,1976,22.0
05,06,1976,20.6
05,07,1976,19.8
05,08,1976,20.9
05,09,1976,20.4
05,10,1976,20.4
05,11,1976,21.9
05,12,1976,21.4
05,13,1976,21.9
05,14,1976,19.6
05,15,1976,20.6
05,16,1976,20.6
05,17,1976,21.0
05,18,1976,21.6
05,19,1976,22.0
05,20,1976,21.0
05,21,1976,20.4
05,22,1976,22.5
05,23,1976,22.4
05,24,1976,24.0
05,25,1976,23.3
05,26,1976,25.3
05,27,1976,25.3
05,28,1976,23.2
05,29,1976,22.6
05,30,1976,22.3
05,31,1976,22.6
06,01,1976,22.6
06,02,1976,22.7
06,03,1976,22.4
06,04,1976,22.8
06,05,1976,22.4
06,06,1976,22.5
06,07,1976,22.3
06,08,1976,22.5
06,09,1976,21.3
06,10,1976,22.5
06,11,1976,22.3
06,12,1976,20.7
06,13,1976,20.5
06,14,1976,20.4
06,15,1976,21.7
06,16,1976,21.0
06,17,1976,21.9
06,18,1976,22.9
06,19,1976,21.1
06,20,1976,22.0
06,21,1976,22.1
06,22,1976,21.0
06,23,1976,21.4
06,24,1976,20.8
06,25,1976,21.0
06,26,1976,22.0
06,27,1976,22.0
06,28,1976,21.2
06,29,1976,22.3
06,30,1976,21.5
07,01,1976,21.7
07,02,1976,22.0
07,03,1976,22.0
07,04,1976,20.7
07,05,1976,21.3
07,06,1976,21.7
07,07,1976,21.6
07,08,1976,21.7
07,09,1976,20.8
07,10,1976,20.9
07,11,1976,21.0
07,12,1976,23.0
07,13,1976,21.0
07,14,1976,20.5
07,15,1976,20.6
07,16,1976,20.9
07,17,1976,20.3
07,18,1976,19.5
07,19,1976,20.6
07,20,1976,20.7
07,21,1976,20.0
07,22,1976,17.6
07,23,1976,20.6
07,24,1976,19.0
07,25,1976,19.6
07,26,1976,19.0
07,27,1976,18.5
07,28,1976,20.0
07,29,1976,19.9
07,30,1976,19.0
07,31,1976,21.3
08,01,1976,18.4
08,02,1976,17.8
08,03,1976,20.0
08,04,1976,20.3
08,05,1976,19.7
08,06,1976,19.9
08,07,1976,20.4
08,08,1976,20.2
08,09,1976,17.4
08,10,1976,17.6
08,11,1976,19.0
08,12,1976,19.7
