Id:,20001
Estación:,SANTA MARIA ALOTEPEC-OAX
Posición:,17.0666666667N -95.8811111111W
Variable:,Precipitación (mm)
Fecha Inicial:,04/01/1950
Fecha Final:,07/01/1983
No Dato:,nan
Mes,Día,Anio,Datos
04,01,1950,0.0
04,02,1950,0.0
04,03,1950,0.0
04,04,1950,11.0
04,05,1950,17.1
04,06,1950,6.1
04,07,1950,0.0
04,08,1950,0.0
04,09,1950,0.0
04,10,1950,0.0
04,11,1950,0.0
04,12,1950,0.0
04,13,1950,0.0
04,14,1950,27.0
04,15,1950,10.0
04,16,1950,2.4
04,17,1950,51.5
04,18,1950,0.0
04,19,1950,0.0
04,20,1950,0.0
04,21,1950,0.0
04,22,1950,0.0
04,23,1950,0.0
04,24,1950,0.0
04,25,1950,1.6
04,26,1950,0.0
04,27,1950,0.0
04,28,1950,0.0
04,29,1950,0.0
04,30,1950,0.0
05,01,1950,null
05,02,1950,null
05,03,1950,null
05,04,1950,null
05,05,1950,null
05,06,1950,null
05,07,1950,null
05,08,1950,null
05,09,1950,null
05,10,1950,null
05,11,1950,null
05,12,1950,null
05,13,1950,null
05,14,1950,null
05,15,1950,null
05,16,1950,null
05,17,1950,null
05,18,1950,null
05,19,1950,null
05,20,1950,null
05,21,1950,null
05,22,1950,null
05,23,1950,null
05,24,1950,null
05,25,1950,null
05,26,1950,null
05,27,1950,null
05,28,1950,null
05,29,1950,null
05,30,1950,null
05,31,1950,null
06,01,1950,0.0
06,02,1950,0.0
06,03,1950,0.0
06,04,1950,12.0
06,05,1950,0.0
06,06,1950,0.0
06,07,1950,0.0
06,08,1950,25.9
06,09,1950,3.6
06,10,1950,1.7
06,11,1950,169.0
06,12,1950,13.1
06,13,1950,4.1
06,14,1950,1.8
06,15,1950,23.5
06,16,1950,0.0
06,17,1950,1.2
06,18,1950,45.3
06,19,1950,6.8
06,20,1950,0.0
06,21,1950,37.0
06,22,1950,65.3
06,23,1950,43.3
06,24,1950,18.5
06,25,1950,0.0
06,26,1950,0.0
06,27,1950,6.0
06,28,1950,7.0
06,29,1950,26.9
06,30,1950,61.0
07,01,1950,67.0
07,02,1950,22.0
07,03,1950,69.0
07,04,1950,0.0
07,05,1950,3.0
07,06,1950,0.0
07,07,1950,10.5
07,08,1950,1.7
07,09,1950,1.0
07,10,1950,11.3
07,11,1950,0.0
07,12,1950,2.7
07,13,1950,125.9
07,14,1950,13.9
07,15,1950,14.6
07,16,1950,2.3
07,17,1950,30.4
07,18,1950,26.2
07,19,1950,0.0
07,20,1950,0.0
07,21,1950,0.0
07,22,1950,19.5
07,23,1950,32.0
