Id:,20054
Estación:,JUCHITAN DE ZARAGOZA KM. 67 500-OAX
Posición:,16.5266666667N -94.8472222222W
Variable:,Precipitación (mm)
Fecha Inicial:,03/01/1965
Fecha Final:,01/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1965,0.0
03,02,1965,0.0
03,03,1965,0.0
03,04,1965,0.0
03,05,1965,0.0
03,06,1965,0.0
03,07,1965,0.0
03,08,1965,0.0
03,09,1965,0.0
03,10,1965,0.0
03,11,1965,0.0
03,12,1965,0.0
03,13,1965,0.0
03,14,1965,0.0
03,15,1965,0.0
03,16,1965,0.0
03,17,1965,0.0
03,18,1965,0.0
03,19,1965,0.0
03,20,1965,0.0
03,21,1965,0.0
03,22,1965,0.0
03,23,1965,0.0
03,24,1965,0.0
03,25,1965,0.0
03,26,1965,0.0
03,27,1965,0.0
03,28,1965,0.0
03,29,1965,0.0
03,30,1965,0.0
03,31,1965,0.0
04,01,1965,0.0
04,02,1965,0.0
04,03,1965,0.0
04,04,1965,0.0
04,05,1965,0.0
04,06,1965,0.0
04,07,1965,0.0
04,08,1965,0.0
04,09,1965,0.0
04,10,1965,0.0
04,11,1965,0.0
04,12,1965,0.0
04,13,1965,0.0
04,14,1965,0.0
04,15,1965,0.0
04,16,1965,0.0
04,17,1965,0.0
04,18,1965,0.0
04,19,1965,0.0
04,20,1965,0.0
04,21,1965,0.0
04,22,1965,0.0
04,23,1965,0.0
04,24,1965,0.0
04,25,1965,0.0
04,26,1965,0.0
04,27,1965,0.0
04,28,1965,0.0
04,29,1965,0.0
04,30,1965,0.0
05,01,1965,0.0
05,02,1965,0.0
05,03,1965,0.0
05,04,1965,0.0
05,05,1965,0.0
05,06,1965,0.0
05,07,1965,0.0
05,08,1965,0.0
05,09,1965,0.0
05,10,1965,0.0
05,11,1965,0.0
05,12,1965,0.0
05,13,1965,0.0
05,14,1965,0.0
05,15,1965,0.0
05,16,1965,0.0
05,17,1965,0.0
05,18,1965,0.0
05,19,1965,0.0
05,20,1965,0.0
05,21,1965,5.7
05,22,1965,0.0
05,23,1965,14.8
05,24,1965,0.0
05,25,1965,0.0
05,26,1965,0.0
05,27,1965,0.0
05,28,1965,0.0
05,29,1965,0.0
05,30,1965,0.0
05,31,1965,null
06,01,1965,0.0
06,02,1965,0.0
06,03,1965,0.0
06,04,1965,0.0
06,05,1965,0.0
06,06,1965,0.0
06,07,1965,0.0
06,08,1965,0.0
06,09,1965,29.5
06,10,1965,0.0
06,11,1965,0.0
06,12,1965,0.0
06,13,1965,4.1
06,14,1965,14.1
06,15,1965,7.5
06,16,1965,0.0
06,17,1965,0.0
06,18,1965,41.8
06,19,1965,6.1
06,20,1965,0.0
06,21,1965,0.0
06,22,1965,0.0
06,23,1965,15.1
06,24,1965,0.0
06,25,1965,1.7
06,26,1965,13.0
06,27,1965,0.0
06,28,1965,1.2
06,29,1965,0.0
06,30,1965,null
07,01,1965,0.0
07,02,1965,0.0
07,03,1965,0.0
07,04,1965,0.0
07,05,1965,0.0
07,06,1965,0.0
07,07,1965,0.0
07,08,1965,0.0
07,09,1965,0.0
07,10,1965,0.0
07,11,1965,0.0
07,12,1965,0.0
07,13,1965,0.0
07,14,1965,1.8
07,15,1965,0.0
07,16,1965,0.0
07,17,1965,0.0
07,18,1965,0.0
07,19,1965,0.0
