Id:,20055
Estación:,LA ESTRELLA-OAX
Posición:,17.9666666667N -96.4575W
Variable:,Precipitación (mm)
Fecha Inicial:,03/01/1953
Fecha Final:,01/01/1985
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1953,null
03,02,1953,null
03,03,1953,null
03,04,1953,null
03,05,1953,0.0
03,06,1953,2.0
03,07,1953,9.5
03,08,1953,9.3
03,09,1953,0.0
03,10,1953,0.0
03,11,1953,0.0
03,12,1953,0.0
03,13,1953,0.0
03,14,1953,0.0
03,15,1953,0.0
03,16,1953,0.0
03,17,1953,0.0
03,18,1953,0.0
03,19,1953,45.5
03,20,1953,0.0
03,21,1953,0.0
03,22,1953,0.0
03,23,1953,0.0
03,24,1953,20.1
03,25,1953,14.0
03,26,1953,0.0
03,27,1953,0.0
03,28,1953,0.0
03,29,1953,0.0
03,30,1953,0.0
03,31,1953,0.0
04,01,1953,0.3
04,02,1953,0.4
04,03,1953,36.8
04,04,1953,0.0
04,05,1953,0.0
04,06,1953,0.0
04,07,1953,0.0
04,08,1953,0.0
04,09,1953,0.0
04,10,1953,0.0
04,11,1953,0.0
04,12,1953,0.0
04,13,1953,4.4
04,14,1953,0.0
04,15,1953,10.6
04,16,1953,0.9
04,17,1953,0.0
04,18,1953,0.0
04,19,1953,22.0
04,20,1953,62.3
04,21,1953,0.0
04,22,1953,0.0
04,23,1953,0.0
04,24,1953,0.0
04,25,1953,0.4
04,26,1953,69.1
04,27,1953,4.0
04,28,1953,0.0
04,29,1953,0.0
04,30,1953,0.0
05,01,1953,0.0
05,02,1953,0.0
05,03,1953,0.0
05,04,1953,184.8
05,05,1953,0.0
05,06,1953,0.0
05,07,1953,0.0
05,08,1953,0.0
05,09,1953,0.0
05,10,1953,0.0
05,11,1953,0.0
05,12,1953,0.0
05,13,1953,0.0
05,14,1953,0.8
05,15,1953,0.0
05,16,1953,0.0
05,17,1953,0.0
05,18,1953,0.0
05,19,1953,0.0
05,20,1953,0.0
05,21,1953,0.0
05,22,1953,0.0
05,23,1953,1.1
05,24,1953,0.0
05,25,1953,1.3
05,26,1953,28.6
05,27,1953,17.8
05,28,1953,7.9
05,29,1953,6.4
05,30,1953,7.3
05,31,1953,0.0
06,01,1953,5.4
06,02,1953,8.8
06,03,1953,2.6
06,04,1953,0.0
06,05,1953,0.0
06,06,1953,3.4
06,07,1953,2.7
06,08,1953,0.2
06,09,1953,31.9
06,10,1953,72.4
06,11,1953,22.0
06,12,1953,2.7
06,13,1953,0.2
06,14,1953,0.0
06,15,1953,51.5
06,16,1953,22.8
06,17,1953,11.6
06,18,1953,0.1
06,19,1953,3.6
06,20,1953,30.2
06,21,1953,10.1
06,22,1953,1.9
06,23,1953,0.0
06,24,1953,28.1
06,25,1953,0.1
06,26,1953,0.4
06,27,1953,0.0
06,28,1953,0.6
06,29,1953,16.3
06,30,1953,22.8
07,01,1953,36.3
07,02,1953,32.0
07,03,1953,50.4
07,04,1953,50.8
07,05,1953,8.8
07,06,1953,9.4
07,07,1953,0.0
07,08,1953,35.6
07,09,1953,42.0
07,10,1953,94.8
07,11,1953,22.4
07,12,1953,0.0
07,13,1953,0.0
07,14,1953,32.6
07,15,1953,0.0
07,16,1953,0.1
07,17,1953,8.0
07,18,1953,2.8
07,19,1953,0.7
07,20,1953,0.0
07,21,1953,0.0
07,22,1953,0.4
07,23,1953,4.3
07,24,1953,17.4
07,25,1953,89.2
07,26,1953,0.6
07,27,1953,2.7
07,28,1953,76.9
07,29,1953,19.0
07,30,1953,28.5
07,31,1953,7.0
08,01,1953,81.5
08,02,1953,24.7
08,03,1953,36.3
08,04,1953,4.2
08,05,1953,0.0
08,06,1953,0.0
08,07,1953,69.8
08,08,1953,57.6
08,09,1953,7.0
08,10,1953,0.0
08,11,1953,20.7
08,12,1953,4.8
08,13,1953,108.3
08,14,1953,0.0
08,15,1953,0.0
08,16,1953,0.0
08,17,1953,9.9
08,18,1953,30.7
08,19,1953,32.4
08,20,1953,61.4
08,21,1953,15.5
08,22,1953,9.5
08,23,1953,45.2
08,24,1953,0.0
08,25,1953,28.4
08,26,1953,3.4
08,27,1953,3.4
08,28,1953,0.0
08,29,1953,0.0
08,30,1953,12.1
08,31,1953,3.3
09,01,1953,29.1
09,02,1953,11.2
09,03,1953,0.0
09,04,1953,4.5
09,05,1953,98.0
09,06,1953,2.0
09,07,1953,0.8
09,08,1953,1.5
09,09,1953,1.8
09,10,1953,14.5
09,11,1953,1.5
09,12,1953,13.2
09,13,1953,0.0
09,14,1953,0.0
09,15,1953,10.4
09,16,1953,2.2
09,17,1953,6.3
09,18,1953,1.2
09,19,1953,4.8
09,20,1953,18.4
09,21,1953,62.4
09,22,1953,12.0
09,23,1953,12.4
09,24,1953,0.0
09,25,1953,0.3
09,26,1953,0.3
09,27,1953,0.0
09,28,1953,0.0
09,29,1953,0.4
09,30,1953,2.1
10,01,1953,22.6
10,02,1953,51.3
10,03,1953,120.1
10,04,1953,149.5
10,05,1953,37.0
10,06,1953,18.5
10,07,1953,0.0
10,08,1953,0.0
10,09,1953,0.0
10,10,1953,0.0
10,11,1953,0.0
10,12,1953,0.0
10,13,1953,4.7
10,14,1953,28.0
10,15,1953,0.0
10,16,1953,27.4
10,17,1953,1.7
10,18,1953,9.3
10,19,1953,7.1
10,20,1953,0.0
10,21,1953,46.3
10,22,1953,5.3
10,23,1953,0.0
10,24,1953,0.0
10,25,1953,1.3
10,26,1953,86.3
10,27,1953,12.4
10,28,1953,148.7
10,29,1953,56.8
10,30,1953,0.0
10,31,1953,0.5
11,01,1953,17.0
11,02,1953,0.7
11,03,1953,0.0
11,04,1953,1.2
11,05,1953,34.9
11,06,1953,0.0
11,07,1953,0.0
11,08,1953,34.5
11,09,1953,0.0
11,10,1953,0.0
11,11,1953,0.1
11,12,1953,0.0
11,13,1953,1.6
11,14,1953,2.1
11,15,1953,0.0
11,16,1953,0.0
11,17,1953,0.0
11,18,1953,0.0
11,19,1953,0.0
11,20,1953,5.2
11,21,1953,0.0
11,22,1953,0.0
11,23,1953,0.0
11,24,1953,0.0
11,25,1953,0.0
11,26,1953,0.0
11,27,1953,0.0
11,28,1953,0.0
11,29,1953,1.9
11,30,1953,1.8
12,01,1953,0.0
12,02,1953,0.0
12,03,1953,0.0
12,04,1953,0.0
12,05,1953,0.0
12,06,1953,7.9
12,07,1953,0.0
12,08,1953,0.0
12,09,1953,2.5
12,10,1953,0.3
12,11,1953,0.0
12,12,1953,1.3
12,13,1953,16.7
12,14,1953,0.0
12,15,1953,0.0
