Id:,20236
Estación:,BUENOS AIRES-OAX
Posición:,17.95N -96.8472222222W
Variable:,Evaporación (mm)
Fecha Inicial:,12/01/1974
Fecha Final:,01/01/1985
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1974,null
12,02,1974,null
12,03,1974,null
12,04,1974,null
12,05,1974,null
12,06,1974,1.9
12,07,1974,1.9
12,08,1974,1.5
12,09,1974,0.8
12,10,1974,2.3
12,11,1974,2.1
12,12,1974,2.0
12,13,1974,1.1
12,14,1974,3.1
12,15,1974,1.0
12,16,1974,3.2
12,17,1974,3.2
12,18,1974,4.2
12,19,1974,2.9
12,20,1974,0.7
12,21,1974,1.0
12,22,1974,2.1
12,23,1974,2.2
12,24,1974,3.0
12,25,1974,2.2
12,26,1974,0.8
12,27,1974,1.0
12,28,1974,1.2
12,29,1974,0.7
12,30,1974,1.2
12,31,1974,1.1
01,01,1975,1.5
01,02,1975,3.1
01,03,1975,1.3
01,04,1975,1.6
01,05,1975,2.1
01,06,1975,1.0
01,07,1975,0.6
01,08,1975,1.4
01,09,1975,0.9
01,10,1975,1.0
01,11,1975,1.1
01,12,1975,1.5
01,13,1975,1.0
01,14,1975,2.0
01,15,1975,2.1
01,16,1975,2.0
01,17,1975,2.9
01,18,1975,1.8
01,19,1975,1.9
01,20,1975,1.3
01,21,1975,2.1
01,22,1975,1.9
01,23,1975,2.0
01,24,1975,1.8
01,25,1975,1.2
01,26,1975,0.5
01,27,1975,1.2
01,28,1975,1.3
01,29,1975,1.0
01,30,1975,0.6
01,31,1975,0.7
02,01,1975,1.1
02,02,1975,1.3
02,03,1975,1.1
02,04,1975,0.8
02,05,1975,0.9
02,06,1975,1.1
02,07,1975,1.0
02,08,1975,1.5
02,09,1975,0.9
02,10,1975,0.7
02,11,1975,0.9
02,12,1975,2.5
02,13,1975,0.8
02,14,1975,0.9
02,15,1975,2.4
02,16,1975,2.1
02,17,1975,1.0
02,18,1975,1.0
02,19,1975,2.0
02,20,1975,0.9
02,21,1975,1.1
02,22,1975,1.4
02,23,1975,2.6
02,24,1975,1.9
02,25,1975,1.5
02,26,1975,2.4
02,27,1975,1.7
02,28,1975,2.3
03,01,1975,1.8
03,02,1975,2.5
03,03,1975,0.9
03,04,1975,1.1
03,05,1975,1.8
03,06,1975,2.1
03,07,1975,1.4
03,08,1975,2.1
03,09,1975,2.9
03,10,1975,1.6
03,11,1975,1.8
03,12,1975,1.9
03,13,1975,2.0
03,14,1975,1.2
03,15,1975,1.6
03,16,1975,2.4
03,17,1975,3.1
03,18,1975,1.9
03,19,1975,2.9
03,20,1975,2.7
03,21,1975,2.5
03,22,1975,1.8
03,23,1975,1.7
03,24,1975,2.5
03,25,1975,2.1
03,26,1975,1.8
03,27,1975,2.1
03,28,1975,1.9
03,29,1975,2.0
03,30,1975,2.0
03,31,1975,2.3
04,01,1975,1.9
04,02,1975,1.9
04,03,1975,4.2
04,04,1975,2.0
04,05,1975,2.1
04,06,1975,1.9
04,07,1975,2.5
04,08,1975,1.8
04,09,1975,2.6
04,10,1975,1.9
04,11,1975,1.8
04,12,1975,2.3
04,13,1975,1.9
04,14,1975,1.9
04,15,1975,1.7
04,16,1975,1.9
04,17,1975,2.6
04,18,1975,1.9
04,19,1975,1.9
04,20,1975,1.6
04,21,1975,2.1
04,22,1975,2.3
04,23,1975,3.1
04,24,1975,2.1
04,25,1975,2.0
04,26,1975,1.7
04,27,1975,1.9
04,28,1975,1.8
04,29,1975,2.4
04,30,1975,3.9
05,01,1975,2.0
05,02,1975,2.5
05,03,1975,2.6
05,04,1975,3.6
05,05,1975,3.5
05,06,1975,3.1
05,07,1975,2.9
05,08,1975,3.0
05,09,1975,3.5
05,10,1975,2.6
05,11,1975,1.2
05,12,1975,1.0
05,13,1975,0.8
05,14,1975,0.6
05,15,1975,1.9
05,16,1975,2.2
05,17,1975,1.9
05,18,1975,2.4
05,19,1975,1.4
05,20,1975,2.6
05,21,1975,0.7
05,22,1975,2.7
05,23,1975,2.5
05,24,1975,0.9
05,25,1975,2.2
05,26,1975,2.8
05,27,1975,4.3
05,28,1975,2.0
05,29,1975,2.7
05,30,1975,3.3
05,31,1975,3.0
06,01,1975,16.4
06,02,1975,11.1
06,03,1975,2.9
06,04,1975,4.8
06,05,1975,5.0
06,06,1975,4.0
06,07,1975,2.8
06,08,1975,2.0
06,09,1975,2.6
06,10,1975,1.7
06,11,1975,2.5
06,12,1975,11.0
06,13,1975,4.0
06,14,1975,1.7
06,15,1975,1.0
06,16,1975,2.2
06,17,1975,2.9
06,18,1975,1.4
06,19,1975,0.8
06,20,1975,1.7
06,21,1975,3.5
06,22,1975,2.9
06,23,1975,2.2
06,24,1975,2.7
06,25,1975,4.8
06,26,1975,3.9
06,27,1975,3.3
06,28,1975,2.7
06,29,1975,3.7
06,30,1975,4.3
07,01,1975,2.8
07,02,1975,2.4
07,03,1975,0.2
07,04,1975,0.2
07,05,1975,1.9
07,06,1975,2.0
07,07,1975,0.5
07,08,1975,1.0
07,09,1975,0.2
07,10,1975,1.9
07,11,1975,6.5
07,12,1975,8.1
07,13,1975,2.0
07,14,1975,1.1
07,15,1975,0.6
07,16,1975,2.3
07,17,1975,1.9
07,18,1975,2.1
07,19,1975,2.1
07,20,1975,2.0
07,21,1975,1.5
07,22,1975,2.3
07,23,1975,1.7
07,24,1975,2.3
07,25,1975,2.3
07,26,1975,0.5
07,27,1975,2.6
07,28,1975,1.0
07,29,1975,2.0
07,30,1975,1.5
07,31,1975,2.3
08,01,1975,3.7
08,02,1975,1.8
08,03,1975,2.2
08,04,1975,1.4
08,05,1975,1.2
08,06,1975,2.0
08,07,1975,1.0
08,08,1975,0.9
08,09,1975,0.9
08,10,1975,1.1
08,11,1975,1.8
08,12,1975,1.7
08,13,1975,1.8
08,14,1975,1.2
08,15,1975,2.3
08,16,1975,1.5
08,17,1975,2.2
08,18,1975,1.9
08,19,1975,1.9
08,20,1975,1.9
08,21,1975,0.1
08,22,1975,0.5
08,23,1975,1.7
08,24,1975,4.3
08,25,1975,3.1
08,26,1975,1.4
08,27,1975,2.5
08,28,1975,2.2
08,29,1975,1.5
08,30,1975,0.3
08,31,1975,0.1
09,01,1975,1.6
09,02,1975,2.2
09,03,1975,2.5
09,04,1975,1.9
09,05,1975,1.9
09,06,1975,2.2
09,07,1975,2.1
09,08,1975,1.9
09,09,1975,1.7
09,10,1975,1.7
09,11,1975,1.5
09,12,1975,1.5
09,13,1975,1.7
09,14,1975,2.2
09,15,1975,1.5
09,16,1975,1.5
09,17,1975,1.4
09,18,1975,2.0
09,19,1975,2.5
09,20,1975,1.7
09,21,1975,2.5
09,22,1975,1.9
09,23,1975,2.0
09,24,1975,2.0
09,25,1975,2.0
09,26,1975,2.0
09,27,1975,1.5
09,28,1975,2.2
09,29,1975,2.1
09,30,1975,2.3
10,01,1975,3.7
10,02,1975,1.3
10,03,1975,0.5
