Id:,20237
Estación:,CAMPO EXPERIMENTAL-OAX
Posición:,18.1N -95.8811111111W
Variable:,Evaporación (mm)
Fecha Inicial:,08/01/1974
Fecha Final:,03/01/1985
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1974,6.7
08,02,1974,7.6
08,03,1974,7.2
08,04,1974,6.1
08,05,1974,4.0
08,06,1974,5.3
08,07,1974,6.9
08,08,1974,5.3
08,09,1974,5.7
08,10,1974,4.2
08,11,1974,7.4
08,12,1974,6.8
08,13,1974,4.4
08,14,1974,7.7
08,15,1974,5.8
08,16,1974,6.0
08,17,1974,3.0
08,18,1974,6.9
08,19,1974,5.9
08,20,1974,6.1
08,21,1974,6.1
08,22,1974,5.0
08,23,1974,6.6
08,24,1974,5.7
08,25,1974,6.0
08,26,1974,4.5
08,27,1974,5.4
08,28,1974,5.6
08,29,1974,5.1
08,30,1974,6.7
08,31,1974,9.8
09,01,1974,3.5
09,02,1974,6.2
09,03,1974,7.2
09,04,1974,6.6
09,05,1974,3.8
09,06,1974,4.8
09,07,1974,4.4
09,08,1974,7.7
09,09,1974,3.2
09,10,1974,5.1
09,11,1974,5.1
09,12,1974,6.5
09,13,1974,8.3
09,14,1974,10.0
09,15,1974,4.5
09,16,1974,1.3
09,17,1974,3.8
09,18,1974,1.3
09,19,1974,2.7
09,20,1974,2.0
09,21,1974,1.0
09,22,1974,0.4
09,23,1974,3.5
09,24,1974,4.9
09,25,1974,6.7
09,26,1974,3.8
09,27,1974,5.2
09,28,1974,6.0
09,29,1974,5.0
09,30,1974,1.2
10,01,1974,2.4
10,02,1974,1.1
10,03,1974,1.2
10,04,1974,1.8
10,05,1974,0.1
10,06,1974,4.3
10,07,1974,2.3
10,08,1974,3.8
10,09,1974,5.2
10,10,1974,5.2
10,11,1974,3.0
10,12,1974,8.7
10,13,1974,4.7
10,14,1974,3.5
10,15,1974,4.2
10,16,1974,3.3
10,17,1974,1.8
10,18,1974,3.8
10,19,1974,5.4
10,20,1974,1.9
10,21,1974,4.9
10,22,1974,3.7
10,23,1974,3.5
10,24,1974,8.5
10,25,1974,2.9
10,26,1974,5.7
10,27,1974,4.1
10,28,1974,4.3
10,29,1974,2.3
10,30,1974,5.7
10,31,1974,2.5
11,01,1974,3.8
11,02,1974,3.7
11,03,1974,3.3
11,04,1974,3.2
11,05,1974,4.5
11,06,1974,2.2
11,07,1974,1.1
11,08,1974,0.4
11,09,1974,4.4
11,10,1974,2.6
11,11,1974,5.4
11,12,1974,1.8
11,13,1974,2.0
11,14,1974,4.7
11,15,1974,1.6
11,16,1974,2.5
11,17,1974,4.3
11,18,1974,4.9
11,19,1974,3.8
11,20,1974,3.3
11,21,1974,4.4
11,22,1974,4.1
11,23,1974,3.0
11,24,1974,3.0
11,25,1974,1.9
11,26,1974,3.6
11,27,1974,3.9
11,28,1974,2.2
11,29,1974,4.4
11,30,1974,3.5
12,01,1974,2.1
12,02,1974,2.5
12,03,1974,1.0
12,04,1974,1.6
12,05,1974,3.1
12,06,1974,3.2
12,07,1974,1.7
12,08,1974,3.4
12,09,1974,2.8
12,10,1974,3.2
12,11,1974,2.1
12,12,1974,3.0
12,13,1974,3.0
12,14,1974,5.0
12,15,1974,3.0
12,16,1974,2.6
12,17,1974,1.4
12,18,1974,4.3
12,19,1974,2.3
12,20,1974,1.8
12,21,1974,1.0
12,22,1974,1.9
12,23,1974,3.0
12,24,1974,2.8
12,25,1974,3.7
12,26,1974,2.4
12,27,1974,3.6
12,28,1974,1.5
12,29,1974,4.2
12,30,1974,2.6
12,31,1974,2.5
01,01,1975,1.8
01,02,1975,4.3
01,03,1975,5.2
01,04,1975,1.9
01,05,1975,2.0
01,06,1975,2.6
01,07,1975,2.4
01,08,1975,2.7
01,09,1975,4.5
01,10,1975,5.2
01,11,1975,4.0
01,12,1975,4.7
01,13,1975,2.1
01,14,1975,0.6
01,15,1975,1.7
01,16,1975,3.9
01,17,1975,1.6
01,18,1975,2.1
01,19,1975,5.2
01,20,1975,3.1
01,21,1975,2.3
01,22,1975,2.0
01,23,1975,2.5
01,24,1975,2.3
01,25,1975,1.9
01,26,1975,2.2
01,27,1975,4.9
01,28,1975,4.3
01,29,1975,3.8
01,30,1975,3.9
01,31,1975,5.1
02,01,1975,5.3
02,02,1975,5.4
02,03,1975,5.3
02,04,1975,4.0
02,05,1975,2.7
02,06,1975,2.8
02,07,1975,2.9
02,08,1975,1.9
02,09,1975,2.5
02,10,1975,3.6
02,11,1975,5.2
02,12,1975,6.4
02,13,1975,7.0
02,14,1975,4.4
02,15,1975,5.6
02,16,1975,6.3
02,17,1975,5.7
02,18,1975,7.0
02,19,1975,4.2
02,20,1975,3.0
02,21,1975,4.3
02,22,1975,8.1
02,23,1975,3.7
02,24,1975,1.7
02,25,1975,0.6
02,26,1975,8.9
02,27,1975,3.5
02,28,1975,4.2
03,01,1975,5.0
03,02,1975,5.7
03,03,1975,3.9
03,04,1975,3.7
03,05,1975,3.9
03,06,1975,4.4
03,07,1975,6.5
03,08,1975,6.8
03,09,1975,6.0
03,10,1975,6.3
03,11,1975,7.5
03,12,1975,7.9
03,13,1975,9.1
03,14,1975,6.6
03,15,1975,7.0
03,16,1975,4.0
03,17,1975,6.5
03,18,1975,8.5
03,19,1975,4.2
03,20,1975,4.4
03,21,1975,7.3
03,22,1975,8.7
03,23,1975,10.6
03,24,1975,8.5
03,25,1975,6.2
03,26,1975,7.0
03,27,1975,8.0
03,28,1975,13.0
03,29,1975,10.0
03,30,1975,0.4
03,31,1975,4.9
04,01,1975,4.2
04,02,1975,6.5
04,03,1975,3.9
04,04,1975,5.6
04,05,1975,4.8
04,06,1975,6.0
04,07,1975,8.3
04,08,1975,9.7
04,09,1975,11.0
04,10,1975,10.0
04,11,1975,8.3
04,12,1975,4.7
04,13,1975,6.4
04,14,1975,9.6
04,15,1975,7.6
04,16,1975,11.8
04,17,1975,4.3
04,18,1975,9.8
04,19,1975,10.0
04,20,1975,7.7
04,21,1975,6.2
04,22,1975,7.7
04,23,1975,6.9
04,24,1975,7.7
04,25,1975,7.4
04,26,1975,7.0
04,27,1975,7.0
04,28,1975,8.6
04,29,1975,9.1
04,30,1975,9.3
05,01,1975,null
05,02,1975,null
05,03,1975,null
05,04,1975,null
05,05,1975,null
05,06,1975,null
05,07,1975,null
05,08,1975,null
05,09,1975,null
05,10,1975,null
05,11,1975,null
05,12,1975,null
05,13,1975,null
05,14,1975,null
05,15,1975,null
05,16,1975,null
05,17,1975,null
05,18,1975,null
05,19,1975,null
05,20,1975,null
05,21,1975,null
05,22,1975,null
05,23,1975,null
05,24,1975,null
05,25,1975,null
05,26,1975,null
05,27,1975,null
05,28,1975,null
05,29,1975,null
05,30,1975,null
05,31,1975,null
06,01,1975,null
06,02,1975,1.0
06,03,1975,1.3
06,04,1975,0.9
06,05,1975,5.8
06,06,1975,7.4
06,07,1975,7.7
06,08,1975,7.6
06,09,1975,7.7
06,10,1975,8.5
06,11,1975,7.7
06,12,1975,3.5
06,13,1975,3.6
06,14,1975,5.1
06,15,1975,7.6
06,16,1975,7.1
06,17,1975,6.3
06,18,1975,7.4
06,19,1975,7.6
06,20,1975,6.0
06,21,1975,7.7
06,22,1975,5.4
06,23,1975,4.5
06,24,1975,5.6
06,25,1975,3.5
06,26,1975,6.4
06,27,1975,5.6
06,28,1975,6.2
06,29,1975,3.8
06,30,1975,1.5
07,01,1975,4.4
07,02,1975,2.5
07,03,1975,4.5
07,04,1975,3.0
07,05,1975,3.0
07,06,1975,2.5
07,07,1975,2.5
07,08,1975,2.6
07,09,1975,0.4
07,10,1975,4.0
07,11,1975,4.3
07,12,1975,7.1
07,13,1975,6.6
07,14,1975,1.6
07,15,1975,2.0
07,16,1975,2.8
07,17,1975,5.6
07,18,1975,6.3
07,19,1975,5.0
07,20,1975,5.7
07,21,1975,5.6
07,22,1975,7.1
07,23,1975,5.7
07,24,1975,6.6
07,25,1975,6.3
07,26,1975,4.0
07,27,1975,7.6
07,28,1975,3.9
07,29,1975,6.4
07,30,1975,6.5
07,31,1975,6.7
08,01,1975,5.0
08,02,1975,5.9
08,03,1975,7.6
08,04,1975,7.3
08,05,1975,5.5
08,06,1975,4.0
08,07,1975,5.4
08,08,1975,5.0
08,09,1975,7.6
08,10,1975,4.6
08,11,1975,4.5
08,12,1975,3.3
08,13,1975,4.8
08,14,1975,4.5
08,15,1975,4.0
08,16,1975,5.5
08,17,1975,5.5
08,18,1975,4.9
08,19,1975,3.6
08,20,1975,2.5
08,21,1975,6.0
08,22,1975,1.9
08,23,1975,3.5
08,24,1975,3.5
08,25,1975,6.5
08,26,1975,5.0
08,27,1975,7.0
08,28,1975,6.6
08,29,1975,6.1
08,30,1975,9.3
08,31,1975,6.0
09,01,1975,4.7
09,02,1975,7.8
09,03,1975,6.0
09,04,1975,5.6
09,05,1975,7.1
09,06,1975,3.6
09,07,1975,5.8
09,08,1975,6.0
09,09,1975,2.0
09,10,1975,4.0
09,11,1975,1.0
09,12,1975,1.5
09,13,1975,2.2
09,14,1975,1.5
09,15,1975,3.0
09,16,1975,4.0
09,17,1975,5.0
09,18,1975,4.0
09,19,1975,6.0
09,20,1975,7.0
09,21,1975,5.0
09,22,1975,5.4
09,23,1975,8.6
09,24,1975,5.6
09,25,1975,6.8
09,26,1975,3.7
09,27,1975,6.0
09,28,1975,6.0
09,29,1975,6.0
09,30,1975,6.0
10,01,1975,2.0
10,02,1975,3.0
10,03,1975,1.0
10,04,1975,2.0
10,05,1975,3.2
10,06,1975,1.0
10,07,1975,2.0
10,08,1975,4.0
10,09,1975,4.3
10,10,1975,0.5
10,11,1975,3.6
10,12,1975,3.3
10,13,1975,5.4
10,14,1975,5.3
10,15,1975,5.0
10,16,1975,4.2
10,17,1975,3.9
10,18,1975,1.4
10,19,1975,4.7
10,20,1975,4.6
10,21,1975,5.0
10,22,1975,5.7
10,23,1975,3.4
10,24,1975,3.7
10,25,1975,4.0
10,26,1975,4.2
10,27,1975,4.2
10,28,1975,3.7
10,29,1975,4.2
10,30,1975,2.5
10,31,1975,2.8
11,01,1975,2.6
11,02,1975,3.9
11,03,1975,4.4
11,04,1975,1.3
11,05,1975,4.0
11,06,1975,4.2
11,07,1975,3.9
11,08,1975,3.9
11,09,1975,4.4
11,10,1975,4.0
