Id:,20243
Estación:,E.T.A. 050 ZAACHILA-OAX
Posición:,16.9666666667N -96.8302777778W
Variable:,Evaporación (mm)
Fecha Inicial:,01/01/2003
Fecha Final:,01/01/2005
No Dato:,nan
Mes,Día,Anio,Datos
01,01,2003,6.1
01,02,2003,3.2
01,03,2003,3.45
01,04,2003,3.16
01,05,2003,2.8
01,06,2003,3.2
01,07,2003,5.6
01,08,2003,6.66
01,09,2003,3.1
01,10,2003,4.4
01,11,2003,5.16
01,12,2003,4.86
01,13,2003,6.12
01,14,2003,4.3
01,15,2003,6.5
01,16,2003,4.13
01,17,2003,4.25
01,18,2003,6.18
01,19,2003,5.27
01,20,2003,6.14
01,21,2003,5.9
01,22,2003,4.3
01,23,2003,3.89
01,24,2003,4.0
01,25,2003,5.2
01,26,2003,6.1
01,27,2003,4.3
01,28,2003,6.8
01,29,2003,3.6
01,30,2003,2.4
01,31,2003,3.2
02,01,2003,5.1
02,02,2003,6.2
02,03,2003,4.3
02,04,2003,5.12
02,05,2003,4.2
02,06,2003,6.1
02,07,2003,6.3
02,08,2003,5.4
02,09,2003,8.1
02,10,2003,6.15
02,11,2003,4.1
02,12,2003,4.2
02,13,2003,5.3
02,14,2003,6.4
02,15,2003,5.6
02,16,2003,5.3
02,17,2003,7.0
02,18,2003,2.1
02,19,2003,5.0
02,20,2003,6.12
02,21,2003,5.2
02,22,2003,8.0
02,23,2003,2.3
02,24,2003,5.4
02,25,2003,6.1
02,26,2003,4.2
02,27,2003,6.2
02,28,2003,5.4
03,01,2003,5.12
03,02,2003,7.13
03,03,2003,4.2
03,04,2003,6.15
03,05,2003,5.26
03,06,2003,7.3
03,07,2003,5.14
03,08,2003,7.1
03,09,2003,4.2
03,10,2003,5.32
03,11,2003,7.16
03,12,2003,4.23
03,13,2003,5.14
03,14,2003,6.2
03,15,2003,7.56
03,16,2003,3.2
03,17,2003,5.13
03,18,2003,5.1
03,19,2003,5.22
03,20,2003,6.3
03,21,2003,3.2
03,22,2003,6.1
03,23,2003,6.14
03,24,2003,5.23
03,25,2003,4.25
03,26,2003,8.0
03,27,2003,3.2
03,28,2003,5.4
03,29,2003,4.8
03,30,2003,5.2
03,31,2003,5.32
04,01,2003,6.1
04,02,2003,4.23
04,03,2003,2.3
04,04,2003,6.14
04,05,2003,3.15
04,06,2003,5.2
04,07,2003,5.1
04,08,2003,6.12
04,09,2003,5.24
04,10,2003,7.12
04,11,2003,5.13
04,12,2003,5.56
04,13,2003,5.64
04,14,2003,7.6
04,15,2003,4.12
04,16,2003,6.33
04,17,2003,5.47
04,18,2003,4.2
04,19,2003,7.23
04,20,2003,4.32
04,21,2003,6.18
04,22,2003,3.15
04,23,2003,6.47
04,24,2003,5.23
04,25,2003,6.14
04,26,2003,4.12
04,27,2003,4.28
04,28,2003,5.44
04,29,2003,5.32
04,30,2003,6.18
05,01,2003,7.18
05,02,2003,6.14
05,03,2003,6.23
05,04,2003,6.1
05,05,2003,4.2
05,06,2003,2.1
05,07,2003,6.28
05,08,2003,6.4
05,09,2003,5.24
05,10,2003,5.36
05,11,2003,7.6
05,12,2003,3.02
05,13,2003,5.9
05,14,2003,6.15
05,15,2003,6.7
05,16,2003,7.12
05,17,2003,3.16
05,18,2003,6.2
05,19,2003,7.14
05,20,2003,3.0
05,21,2003,4.2
05,22,2003,5.6
05,23,2003,4.5
05,24,2003,6.3
05,25,2003,5.5
05,26,2003,5.43
05,27,2003,5.12
05,28,2003,6.32
05,29,2003,7.28
05,30,2003,5.19
05,31,2003,4.27
06,01,2003,5.12
06,02,2003,4.3
06,03,2003,6.45
06,04,2003,6.2
06,05,2003,8.5
06,06,2003,4.4
06,07,2003,2.1
06,08,2003,6.7
06,09,2003,3.15
06,10,2003,5.2
06,11,2003,4.3
06,12,2003,6.2
06,13,2003,4.33
06,14,2003,5.2
06,15,2003,7.0
06,16,2003,3.5
06,17,2003,6.24
06,18,2003,4.3
06,19,2003,4.7
06,20,2003,7.25
06,21,2003,6.18
06,22,2003,2.1
06,23,2003,4.7
06,24,2003,4.3
06,25,2003,5.7
06,26,2003,5.5
06,27,2003,6.1
06,28,2003,3.5
06,29,2003,5.42
06,30,2003,5.35
07,01,2003,5.1
07,02,2003,4.12
07,03,2003,7.5
07,04,2003,4.2
07,05,2003,4.36
07,06,2003,5.8
07,07,2003,5.63
07,08,2003,4.5
07,09,2003,7.3
07,10,2003,3.1
07,11,2003,7.05
07,12,2003,3.28
07,13,2003,10.0
07,14,2003,2.0
07,15,2003,3.14
07,16,2003,7.7
07,17,2003,2.6
07,18,2003,5.38
07,19,2003,4.2
07,20,2003,3.19
07,21,2003,8.22
07,22,2003,6.8
07,23,2003,6.1
07,24,2003,4.4
07,25,2003,3.3
07,26,2003,8.1
07,27,2003,3.2
07,28,2003,5.4
07,29,2003,7.06
07,30,2003,3.06
07,31,2003,5.21
08,01,2003,5.14
08,02,2003,4.3
08,03,2003,6.2
08,04,2003,5.1
08,05,2003,7.13
08,06,2003,3.6
08,07,2003,6.3
08,08,2003,6.22
08,09,2003,4.2
08,10,2003,5.3
08,11,2003,6.24
08,12,2003,4.32
08,13,2003,4.1
08,14,2003,5.2
08,15,2003,4.16
08,16,2003,6.28
08,17,2003,5.15
08,18,2003,5.23
08,19,2003,6.5
08,20,2003,4.2
08,21,2003,4.7
08,22,2003,5.2
08,23,2003,9.2
08,24,2003,1.0
08,25,2003,6.3
08,26,2003,5.46
08,27,2003,5.4
08,28,2003,6.18
08,29,2003,4.32
08,30,2003,5.2
08,31,2003,7.1
09,01,2003,6.1
09,02,2003,7.3
09,03,2003,7.12
09,04,2003,7.2
09,05,2003,5.8
09,06,2003,5.3
09,07,2003,5.5
09,08,2003,5.36
09,09,2003,7.1
09,10,2003,3.2
09,11,2003,5.4
09,12,2003,5.2
09,13,2003,7.16
09,14,2003,3.33
09,15,2003,5.28
09,16,2003,7.16
09,17,2003,3.2
09,18,2003,5.4
09,19,2003,6.1
09,20,2003,4.3
09,21,2003,5.28
09,22,2003,7.3
09,23,2003,3.2
09,24,2003,5.4
09,25,2003,4.6
09,26,2003,6.4
09,27,2003,6.6
09,28,2003,3.18
09,29,2003,5.4
09,30,2003,5.2
10,01,2003,4.2
10,02,2003,3.0
10,03,2003,5.28
10,04,2003,4.25
10,05,2003,5.1
10,06,2003,6.8
10,07,2003,5.98
10,08,2003,5.3
10,09,2003,6.93
10,10,2003,7.0
10,11,2003,2.2
10,12,2003,4.6
10,13,2003,3.8
10,14,2003,4.1
10,15,2003,5.6
10,16,2003,3.89
10,17,2003,4.2
10,18,2003,5.02
10,19,2003,6.5
10,20,2003,2.8
10,21,2003,4.2
10,22,2003,2.3
10,23,2003,6.6
10,24,2003,7.1
10,25,2003,5.2
10,26,2003,4.89
10,27,2003,3.68
10,28,2003,4.6
10,29,2003,5.2
10,30,2003,6.3
10,31,2003,3.87
11,01,2003,7.5
11,02,2003,3.18
11,03,2003,5.2
11,04,2003,6.3
11,05,2003,4.2
11,06,2003,5.1
11,07,2003,7.4
11,08,2003,3.18
11,09,2003,2.1
11,10,2003,4.06
11,11,2003,5.18
11,12,2003,4.32
11,13,2003,6.47
11,14,2003,6.1
11,15,2003,4.2
11,16,2003,7.0
11,17,2003,2.23
11,18,2003,4.3
11,19,2003,6.42
11,20,2003,4.6
11,21,2003,5.86
11,22,2003,5.4
11,23,2003,4.02
11,24,2003,5.2
11,25,2003,4.32
11,26,2003,6.48
11,27,2003,6.3
11,28,2003,4.2
11,29,2003,5.1
11,30,2003,4.62
12,01,2003,4.66
12,02,2003,4.32
12,03,2003,3.96
12,04,2003,5.3
12,05,2003,3.87
12,06,2003,3.88
12,07,2003,4.67
12,08,2003,3.73
12,09,2003,4.1
12,10,2003,3.9
12,11,2003,4.25
12,12,2003,4.18
12,13,2003,5.04
12,14,2003,5.1
12,15,2003,4.97
12,16,2003,6.43
12,17,2003,4.52
12,18,2003,4.35
12,19,2003,3.67
12,20,2003,4.33
12,21,2003,4.27
12,22,2003,3.96
12,23,2003,4.02
12,24,2003,3.55
12,25,2003,4.8
12,26,2003,4.95
12,27,2003,3.91
12,28,2003,4.25
12,29,2003,4.69
12,30,2003,2.88
12,31,2003,4.07
01,01,2004,2.75
01,02,2004,4.07
01,03,2004,4.1
01,04,2004,3.88
01,05,2004,3.36
01,06,2004,3.06
01,07,2004,3.0
01,08,2004,5.2
01,09,2004,4.23
01,10,2004,2.95
01,11,2004,2.61
01,12,2004,3.38
01,13,2004,5.51
01,14,2004,3.86
01,15,2004,3.95
01,16,2004,4.21
01,17,2004,4.59
01,18,2004,5.38
01,19,2004,4.2
01,20,2004,4.72
01,21,2004,4.1
01,22,2004,4.42
01,23,2004,5.87
01,24,2004,4.08
01,25,2004,4.03
01,26,2004,2.1
01,27,2004,5.76
01,28,2004,5.14
01,29,2004,4.1
01,30,2004,4.76
01,31,2004,4.04
02,01,2004,6.4
02,02,2004,5.7
02,03,2004,5.6
02,04,2004,5.6
02,05,2004,5.65
02,06,2004,4.02
02,07,2004,4.18
02,08,2004,4.03
02,09,2004,5.49
02,10,2004,4.56
02,11,2004,6.79
02,12,2004,4.99
02,13,2004,4.91
02,14,2004,4.32
02,15,2004,7.43
02,16,2004,5.86
02,17,2004,6.16
02,18,2004,4.34
02,19,2004,6.19
02,20,2004,5.51
02,21,2004,5.32
02,22,2004,6.26
02,23,2004,4.89
02,24,2004,5.27
02,25,2004,6.38
02,26,2004,5.65
02,27,2004,6.45
02,28,2004,6.2
02,29,2004,6.9
03,01,2004,6.75
03,02,2004,6.83
03,03,2004,7.13
03,04,2004,7.0
03,05,2004,7.29
03,06,2004,6.4
03,07,2004,7.63
03,08,2004,7.65
03,09,2004,5.24
03,10,2004,7.86
03,11,2004,6.77
03,12,2004,5.5
03,13,2004,5.2
03,14,2004,4.73
03,15,2004,7.96
03,16,2004,6.46
03,17,2004,5.22
03,18,2004,5.36
03,19,2004,7.52
03,20,2004,7.53
03,21,2004,7.68
03,22,2004,6.97
03,23,2004,5.8
03,24,2004,7.67
03,25,2004,7.28
03,26,2004,7.3
03,27,2004,6.56
03,28,2004,5.06
03,29,2004,4.96
03,30,2004,4.34
03,31,2004,5.43
04,01,2004,4.52
04,02,2004,5.93
04,03,2004,6.06
04,04,2004,4.97
04,05,2004,5.13
04,06,2004,6.44
04,07,2004,6.3
04,08,2004,5.15
04,09,2004,8.05
04,10,2004,5.6
04,11,2004,7.3
04,12,2004,5.2
04,13,2004,6.5
04,14,2004,5.07
04,15,2004,3.29
04,16,2004,6.75
04,17,2004,8.1
04,18,2004,6.03
04,19,2004,7.21
04,20,2004,7.71
04,21,2004,8.17
04,22,2004,7.05
04,23,2004,8.68
04,24,2004,7.9
04,25,2004,7.72
04,26,2004,8.68
04,27,2004,4.35
04,28,2004,5.25
04,29,2004,5.6
04,30,2004,7.1
05,01,2004,6.44
05,02,2004,6.61
05,03,2004,6.45
05,04,2004,7.5
05,05,2004,3.9
05,06,2004,7.1
05,07,2004,4.76
05,08,2004,5.69
05,09,2004,5.75
05,10,2004,6.1
05,11,2004,5.5
05,12,2004,5.18
05,13,2004,4.74
05,14,2004,6.4
05,15,2004,6.08
05,16,2004,4.55
05,17,2004,3.75
05,18,2004,5.5
05,19,2004,5.2
05,20,2004,4.85
05,21,2004,5.32
05,22,2004,5.03
05,23,2004,6.1
05,24,2004,6.05
05,25,2004,7.96
05,26,2004,3.79
05,27,2004,6.98
05,28,2004,6.22
05,29,2004,7.99
05,30,2004,6.16
05,31,2004,6.25
06,01,2004,4.3
06,02,2004,3.05
06,03,2004,3.45
06,04,2004,3.08
06,05,2004,5.17
06,06,2004,5.82
06,07,2004,1.93
06,08,2004,5.2
06,09,2004,6.18
06,10,2004,3.07
06,11,2004,4.75
06,12,2004,5.65
06,13,2004,7.2
06,14,2004,4.15
06,15,2004,3.8
06,16,2004,4.3
06,17,2004,5.13
06,18,2004,5.64
06,19,2004,5.2
06,20,2004,5.64
06,21,2004,4.99
06,22,2004,5.31
06,23,2004,3.88
06,24,2004,5.78
06,25,2004,3.7
06,26,2004,3.83
06,27,2004,4.87
06,28,2004,5.35
06,29,2004,4.55
06,30,2004,5.33
07,01,2004,5.1
07,02,2004,4.95
07,03,2004,5.69
07,04,2004,8.76
07,05,2004,4.95
07,06,2004,5.5
07,07,2004,4.08
07,08,2004,7.6
07,09,2004,4.66
07,10,2004,5.12
07,11,2004,4.95
07,12,2004,4.84
07,13,2004,5.24
07,14,2004,5.28
07,15,2004,5.68
07,16,2004,6.3
07,17,2004,6.6
07,18,2004,5.24
07,19,2004,6.68
07,20,2004,4.32
07,21,2004,5.85
07,22,2004,5.33
07,23,2004,4.94
07,24,2004,5.34
07,25,2004,5.03
07,26,2004,5.08
07,27,2004,4.61
07,28,2004,5.2
07,29,2004,7.5
07,30,2004,6.15
07,31,2004,5.44
08,01,2004,6.8
08,02,2004,5.91
08,03,2004,6.43
08,04,2004,5.22
08,05,2004,5.9
08,06,2004,5.77
08,07,2004,5.65
08,08,2004,4.73
08,09,2004,6.54
08,10,2004,5.46
08,11,2004,5.0
08,12,2004,4.85
08,13,2004,5.75
08,14,2004,5.54
08,15,2004,5.74
08,16,2004,5.93
08,17,2004,4.19
08,18,2004,5.6
08,19,2004,5.4
08,20,2004,5.32
08,21,2004,6.18
08,22,2004,3.65
08,23,2004,7.2
08,24,2004,6.3
08,25,2004,4.22
08,26,2004,5.05
08,27,2004,5.38
08,28,2004,5.2
08,29,2004,4.0
08,30,2004,3.83
08,31,2004,6.17
09,01,2004,5.03
09,02,2004,5.2
09,03,2004,4.1
09,04,2004,5.95
09,05,2004,4.6
09,06,2004,5.85
09,07,2004,2.98
09,08,2004,4.39
09,09,2004,4.43
09,10,2004,3.8
09,11,2004,3.13
09,12,2004,4.57
09,13,2004,4.95
09,14,2004,5.6
09,15,2004,5.1
09,16,2004,3.77
09,17,2004,5.13
09,18,2004,5.48
09,19,2004,4.02
09,20,2004,4.75
09,21,2004,5.35
09,22,2004,5.65
09,23,2004,5.6
09,24,2004,5.59
09,25,2004,4.94
09,26,2004,6.02
09,27,2004,4.8
09,28,2004,3.69
09,29,2004,2.46
09,30,2004,4.15
10,01,2004,4.05
10,02,2004,4.65
10,03,2004,2.86
10,04,2004,4.04
10,05,2004,2.7
10,06,2004,5.75
10,07,2004,5.04
10,08,2004,3.96
10,09,2004,3.58
10,10,2004,3.67
10,11,2004,5.21
10,12,2004,2.89
10,13,2004,5.09
10,14,2004,4.48
10,15,2004,4.63
10,16,2004,4.19
10,17,2004,4.91
10,18,2004,4.6
10,19,2004,4.82
10,20,2004,4.84
10,21,2004,4.94
10,22,2004,5.19
10,23,2004,4.88
10,24,2004,4.33
10,25,2004,5.3
10,26,2004,5.33
10,27,2004,3.67
10,28,2004,2.7
