Id:,20248
Estación:,SANTIAGO CHAZUMBA II-OAX
Posición:,18.14N -97.7286111111W
Variable:,Evaporación (mm)
Fecha Inicial:,11/01/1984
Fecha Final:,10/01/2001
No Dato:,nan
Mes,Día,Anio,Datos
11,01,1984,8.3
11,02,1984,6.5
11,03,1984,6.0
11,04,1984,6.2
11,05,1984,7.4
11,06,1984,5.1
11,07,1984,7.4
11,08,1984,8.0
11,09,1984,6.9
11,10,1984,7.1
11,11,1984,6.2
11,12,1984,8.7
11,13,1984,6.6
11,14,1984,8.4
11,15,1984,8.2
11,16,1984,7.5
11,17,1984,6.6
11,18,1984,7.1
11,19,1984,6.3
11,20,1984,7.9
11,21,1984,8.4
11,22,1984,8.1
11,23,1984,6.9
11,24,1984,5.5
11,25,1984,5.1
11,26,1984,4.9
11,27,1984,6.9
11,28,1984,7.4
11,29,1984,6.0
11,30,1984,6.0
12,01,1984,4.2
12,02,1984,5.3
12,03,1984,4.4
12,04,1984,5.4
12,05,1984,6.3
12,06,1984,5.5
12,07,1984,5.7
12,08,1984,4.9
12,09,1984,6.0
12,10,1984,4.9
12,11,1984,5.2
12,12,1984,3.7
12,13,1984,4.1
12,14,1984,3.2
12,15,1984,6.2
12,16,1984,5.3
12,17,1984,4.8
12,18,1984,5.4
12,19,1984,4.2
12,20,1984,5.6
12,21,1984,5.9
12,22,1984,4.1
12,23,1984,4.6
12,24,1984,5.5
12,25,1984,4.8
12,26,1984,4.5
12,27,1984,5.1
12,28,1984,5.1
12,29,1984,6.0
12,30,1984,6.0
12,31,1984,5.6
01,01,1985,5.0
01,02,1985,6.2
01,03,1985,6.8
01,04,1985,5.6
01,05,1985,6.9
01,06,1985,5.6
01,07,1985,6.4
01,08,1985,4.8
01,09,1985,5.7
01,10,1985,7.0
01,11,1985,6.2
01,12,1985,4.6
01,13,1985,6.4
01,14,1985,7.0
01,15,1985,5.1
01,16,1985,4.4
01,17,1985,4.4
01,18,1985,5.2
01,19,1985,4.1
01,20,1985,6.4
01,21,1985,7.1
01,22,1985,6.8
01,23,1985,6.4
01,24,1985,6.9
01,25,1985,8.0
01,26,1985,6.5
01,27,1985,5.2
01,28,1985,6.8
01,29,1985,6.5
01,30,1985,7.1
01,31,1985,5.9
02,01,1985,5.5
02,02,1985,6.8
02,03,1985,5.9
02,04,1985,6.8
02,05,1985,6.6
02,06,1985,6.1
02,07,1985,6.2
02,08,1985,7.1
02,09,1985,7.0
02,10,1985,6.2
02,11,1985,6.4
02,12,1985,7.4
02,13,1985,6.0
02,14,1985,6.9
02,15,1985,7.5
02,16,1985,5.9
02,17,1985,5.0
02,18,1985,6.4
02,19,1985,6.8
02,20,1985,6.3
02,21,1985,6.9
02,22,1985,5.9
02,23,1985,7.0
02,24,1985,4.8
02,25,1985,5.4
02,26,1985,6.8
02,27,1985,7.8
02,28,1985,6.0
03,01,1985,7.6
03,02,1985,8.2
03,03,1985,8.0
03,04,1985,7.4
03,05,1985,6.8
03,06,1985,8.1
03,07,1985,10.1
03,08,1985,9.8
03,09,1985,9.1
03,10,1985,10.2
03,11,1985,9.3
03,12,1985,8.9
03,13,1985,6.9
03,14,1985,7.9
03,15,1985,8.1
