Id:,20260
Estación:,SARABIA II-OAX
Posición:,17.0666666667N -95.0169444444W
Variable:,Evaporación (mm)
Fecha Inicial:,06/01/1975
Fecha Final:,08/01/1989
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1975,0.2
06,02,1975,0.3
06,03,1975,4.3
06,04,1975,8.8
06,05,1975,11.3
06,06,1975,7.4
06,07,1975,10.6
06,08,1975,8.4
06,09,1975,11.0
06,10,1975,10.4
06,11,1975,10.3
06,12,1975,3.4
06,13,1975,1.2
06,14,1975,4.6
06,15,1975,6.7
06,16,1975,6.8
06,17,1975,5.7
06,18,1975,7.1
06,19,1975,7.8
06,20,1975,3.5
06,21,1975,6.3
06,22,1975,3.8
06,23,1975,3.7
06,24,1975,3.7
06,25,1975,0.8
06,26,1975,5.1
06,27,1975,5.5
06,28,1975,1.0
06,29,1975,5.4
06,30,1975,2.4
07,01,1975,4.3
07,02,1975,3.0
07,03,1975,3.1
07,04,1975,1.6
07,05,1975,1.8
07,06,1975,3.4
07,07,1975,3.6
07,08,1975,1.8
07,09,1975,2.7
07,10,1975,1.0
07,11,1975,2.9
07,12,1975,6.9
07,13,1975,8.4
07,14,1975,7.1
07,15,1975,6.9
07,16,1975,3.8
07,17,1975,2.8
07,18,1975,4.9
07,19,1975,2.2
07,20,1975,5.2
07,21,1975,2.8
07,22,1975,3.7
07,23,1975,3.6
07,24,1975,5.6
07,25,1975,3.6
07,26,1975,2.3
07,27,1975,3.4
07,28,1975,2.7
07,29,1975,5.3
07,30,1975,4.3
07,31,1975,4.5
08,01,1975,4.3
08,02,1975,6.1
08,03,1975,3.8
08,04,1975,4.3
08,05,1975,1.3
08,06,1975,5.3
08,07,1975,2.4
08,08,1975,2.8
08,09,1975,5.3
08,10,1975,2.1
08,11,1975,2.9
08,12,1975,5.2
08,13,1975,4.1
08,14,1975,4.1
08,15,1975,5.1
08,16,1975,3.6
08,17,1975,2.6
08,18,1975,2.5
08,19,1975,1.6
08,20,1975,2.4
08,21,1975,1.7
08,22,1975,3.8
08,23,1975,1.7
08,24,1975,4.8
08,25,1975,4.6
