Id:,20341
Estación:,SAN FRANCISCO DEL MAR-OAX
Posición:,16.3386111111N -94.5083333333W
Variable:,Evaporación (mm)
Fecha Inicial:,01/01/1979
Fecha Final:,10/01/1989
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1979,null
01,02,1979,null
01,03,1979,null
01,04,1979,null
01,05,1979,null
01,06,1979,null
01,07,1979,null
01,08,1979,null
01,09,1979,null
01,10,1979,null
01,11,1979,null
01,12,1979,null
01,13,1979,null
01,14,1979,null
01,15,1979,null
01,16,1979,null
01,17,1979,null
01,18,1979,null
01,19,1979,null
01,20,1979,null
01,21,1979,null
01,22,1979,null
01,23,1979,3.2
01,24,1979,11.6
01,25,1979,3.8
01,26,1979,4.9
01,27,1979,5.8
01,28,1979,5.8
01,29,1979,3.0
01,30,1979,10.2
01,31,1979,8.5
02,01,1979,4.6
02,02,1979,4.0
02,03,1979,5.7
02,04,1979,5.7
02,05,1979,6.9
02,06,1979,4.5
02,07,1979,5.5
02,08,1979,5.1
02,09,1979,6.5
02,10,1979,4.8
02,11,1979,5.6
02,12,1979,5.5
02,13,1979,5.6
02,14,1979,4.4
02,15,1979,3.7
02,16,1979,6.3
02,17,1979,5.3
02,18,1979,5.4
02,19,1979,6.2
02,20,1979,6.1
02,21,1979,7.0
02,22,1979,4.8
02,23,1979,5.0
02,24,1979,8.5
02,25,1979,4.6
02,26,1979,5.3
02,27,1979,4.7
02,28,1979,6.8
03,01,1979,8.2
03,02,1979,6.8
03,03,1979,8.6
03,04,1979,6.5
03,05,1979,8.5
03,06,1979,8.7
03,07,1979,8.0
03,08,1979,7.3
03,09,1979,6.3
03,10,1979,8.6
03,11,1979,9.7
03,12,1979,5.9
03,13,1979,8.3
03,14,1979,5.8
03,15,1979,8.5
03,16,1979,7.0
03,17,1979,5.9
03,18,1979,5.4
03,19,1979,6.3
03,20,1979,5.7
03,21,1979,6.1
03,22,1979,8.8
03,23,1979,8.1
03,24,1979,9.5
03,25,1979,7.9
03,26,1979,6.1
03,27,1979,6.4
03,28,1979,6.9
03,29,1979,6.6
03,30,1979,7.7
03,31,1979,6.1
04,01,1979,5.2
04,02,1979,6.5
04,03,1979,6.7
04,04,1979,5.1
04,05,1979,11.1
04,06,1979,8.2
04,07,1979,6.8
04,08,1979,5.9
04,09,1979,4.7
04,10,1979,7.2
04,11,1979,7.2
04,12,1979,6.2
04,13,1979,9.1
04,14,1979,8.9
04,15,1979,5.2
04,16,1979,7.3
04,17,1979,4.4
04,18,1979,6.3
04,19,1979,7.9
04,20,1979,5.9
04,21,1979,7.4
04,22,1979,8.1
04,23,1979,7.1
04,24,1979,5.2
04,25,1979,5.3
04,26,1979,7.4
04,27,1979,5.2
04,28,1979,4.8
04,29,1979,6.3
04,30,1979,5.3
05,01,1979,6.1
05,02,1979,5.0
05,03,1979,11.2
05,04,1979,6.7
05,05,1979,8.5
05,06,1979,6.5
05,07,1979,6.8
05,08,1979,9.2
05,09,1979,3.1
05,10,1979,6.8
05,11,1979,7.0
05,12,1979,5.6
05,13,1979,5.7
05,14,1979,5.4
05,15,1979,7.3
05,16,1979,6.1
05,17,1979,4.4
05,18,1979,5.4
05,19,1979,4.1
05,20,1979,3.1
05,21,1979,6.8
05,22,1979,5.2
05,23,1979,5.1
05,24,1979,6.3
