Id:,20343
Estación:,SANTA MARIA XADANI-OAX
Posición:,16.3666666667N -95.0169444444W
Variable:,Evaporación (mm)
Fecha Inicial:,03/01/1979
Fecha Final:,09/01/1987
No Dato:,nan
Mes,Día,Anio,Datos
03,01,1979,null
03,02,1979,null
03,03,1979,null
03,04,1979,null
03,05,1979,null
03,06,1979,null
03,07,1979,null
03,08,1979,null
03,09,1979,null
03,10,1979,null
03,11,1979,null
03,12,1979,null
03,13,1979,null
03,14,1979,null
03,15,1979,null
03,16,1979,null
03,17,1979,null
03,18,1979,null
03,19,1979,null
03,20,1979,5.2
03,21,1979,6.9
03,22,1979,8.1
03,23,1979,6.0
03,24,1979,5.5
03,25,1979,7.5
03,26,1979,6.4
03,27,1979,9.0
03,28,1979,4.9
03,29,1979,7.0
03,30,1979,5.9
03,31,1979,5.2
04,01,1979,5.2
04,02,1979,7.4
04,03,1979,7.4
04,04,1979,6.8
04,05,1979,6.7
04,06,1979,6.2
04,07,1979,5.9
04,08,1979,8.0
04,09,1979,6.8
04,10,1979,7.1
04,11,1979,7.1
04,12,1979,7.4
04,13,1979,9.4
04,14,1979,7.8
04,15,1979,7.2
04,16,1979,8.9
04,17,1979,6.7
04,18,1979,6.1
04,19,1979,10.9
04,20,1979,9.1
04,21,1979,8.0
04,22,1979,8.9
04,23,1979,9.0
04,24,1979,8.8
04,25,1979,10.0
04,26,1979,5.9
04,27,1979,5.8
04,28,1979,7.9
04,29,1979,9.0
04,30,1979,7.4
05,01,1979,6.5
05,02,1979,7.4
05,03,1979,4.8
05,04,1979,8.1
05,05,1979,7.8
05,06,1979,8.9
05,07,1979,5.9
05,08,1979,7.6
05,09,1979,9.9
05,10,1979,7.9
05,11,1979,8.9
05,12,1979,5.9
05,13,1979,7.0
05,14,1979,6.0
05,15,1979,6.1
05,16,1979,10.9
05,17,1979,9.9
05,18,1979,8.9
05,19,1979,6.9
05,20,1979,7.9
05,21,1979,5.9
05,22,1979,7.5
05,23,1979,9.5
05,24,1979,10.4
05,25,1979,9.9
05,26,1979,8.9
05,27,1979,6.9
05,28,1979,6.5
05,29,1979,8.4
05,30,1979,6.8
05,31,1979,7.7
06,01,1979,9.5
06,02,1979,10.2
06,03,1979,5.7
06,04,1979,6.5
06,05,1979,5.4
06,06,1979,6.9
06,07,1979,7.3
06,08,1979,5.6
