Id:,20509
Estación:,JALPA DE MARQUEZ-OAX
Posición:,18.0633333333N -96.6608333333W
Variable:,Precipitación (mm)
Fecha Inicial:,09/01/1994
Fecha Final:,07/01/2003
No Dato:,nan
Mes,Día,Anio,Datos
09,01,1994,0.0
09,02,1994,0.0
09,03,1994,0.0
09,04,1994,0.0
09,05,1994,0.0
09,06,1994,0.0
09,07,1994,0.0
09,08,1994,0.0
09,09,1994,0.0
09,10,1994,0.0
09,11,1994,0.0
09,12,1994,0.0
09,13,1994,0.0
09,14,1994,0.0
09,15,1994,0.0
09,16,1994,14.0
09,17,1994,0.0
09,18,1994,0.0
09,19,1994,0.0
09,20,1994,0.0
09,21,1994,0.0
09,22,1994,0.0
09,23,1994,0.0
09,24,1994,0.0
09,25,1994,0.0
09,26,1994,0.0
09,27,1994,0.0
09,28,1994,0.0
09,29,1994,0.0
09,30,1994,0.0
10,01,1994,1.0
10,02,1994,1.2
10,03,1994,0.0
10,04,1994,22.5
10,05,1994,1.0
10,06,1994,0.0
10,07,1994,0.0
10,08,1994,0.0
10,09,1994,0.0
10,10,1994,0.0
10,11,1994,0.0
10,12,1994,0.0
10,13,1994,14.4
10,14,1994,9.2
10,15,1994,0.0
10,16,1994,0.0
10,17,1994,3.5
10,18,1994,0.0
10,19,1994,0.0
10,20,1994,0.0
10,21,1994,0.0
10,22,1994,0.0
10,23,1994,0.0
10,24,1994,0.0
10,25,1994,0.0
10,26,1994,0.0
10,27,1994,0.0
10,28,1994,0.0
10,29,1994,0.0
10,30,1994,0.0
10,31,1994,0.0
11,01,1994,null
11,02,1994,null
11,03,1994,null
11,04,1994,null
11,05,1994,null
11,06,1994,null
11,07,1994,null
11,08,1994,null
11,09,1994,null
11,10,1994,null
11,11,1994,null
11,12,1994,null
11,13,1994,null
11,14,1994,null
11,15,1994,null
11,16,1994,null
11,17,1994,null
11,18,1994,null
11,19,1994,null
11,20,1994,null
11,21,1994,null
11,22,1994,null
11,23,1994,null
11,24,1994,null
11,25,1994,null
11,26,1994,null
11,27,1994,null
11,28,1994,null
11,29,1994,null
11,30,1994,null
12,01,1994,null
12,02,1994,null
12,03,1994,null
12,04,1994,null
12,05,1994,null
12,06,1994,null
12,07,1994,null
12,08,1994,null
12,09,1994,null
12,10,1994,null
12,11,1994,null
12,12,1994,null
12,13,1994,null
12,14,1994,null
12,15,1994,null
12,16,1994,null
12,17,1994,null
12,18,1994,null
12,19,1994,null
12,20,1994,null
12,21,1994,null
12,22,1994,null
12,23,1994,null
12,24,1994,null
12,25,1994,null
12,26,1994,null
12,27,1994,null
12,28,1994,null
12,29,1994,null
12,30,1994,null
12,31,1994,null
01,01,1995,0.0
01,02,1995,0.0
01,03,1995,0.0
01,04,1995,0.0
01,05,1995,0.0
01,06,1995,0.0
01,07,1995,0.0
01,08,1995,0.0
01,09,1995,0.0
01,10,1995,0.0
01,11,1995,0.0
01,12,1995,0.0
01,13,1995,0.0
01,14,1995,0.0
01,15,1995,0.0
01,16,1995,0.0
01,17,1995,0.0
01,18,1995,0.0
01,19,1995,0.0
01,20,1995,0.0
01,21,1995,0.0
01,22,1995,0.0
01,23,1995,0.0
01,24,1995,0.0
01,25,1995,0.0
01,26,1995,0.0
01,27,1995,0.0
01,28,1995,0.0
01,29,1995,0.0
01,30,1995,0.0
01,31,1995,0.0
02,01,1995,0.0
02,02,1995,0.0
02,03,1995,0.0
02,04,1995,0.0
02,05,1995,0.0
02,06,1995,0.0
02,07,1995,0.0
02,08,1995,0.0
02,09,1995,0.0
02,10,1995,0.0
02,11,1995,0.0
02,12,1995,0.0
02,13,1995,0.0
02,14,1995,0.0
02,15,1995,0.0
02,16,1995,0.0
02,17,1995,0.0
02,18,1995,0.0
02,19,1995,0.0
02,20,1995,0.0
02,21,1995,0.0
02,22,1995,0.0
02,23,1995,0.0
02,24,1995,0.0
02,25,1995,0.0
02,26,1995,0.0
02,27,1995,0.0
02,28,1995,0.0
03,01,1995,0.0
