Name,Municipality,Latitude1,Longitude1,Latitude2,Longitude2,Date
5 de Marzo,Huixtla,15° 2' 40.9'',92° 31' 59.8'',15.04469444,-92.53327778,21/09/2015
Alpujarras,Cacahoatán,15° 4' 29.5'',92° 10' 9.5'',15.07486111,-92.16930556,21/09/2015
Rancho La Concordía,Cintalapa,16° 41' 3.66'',93° 42' 52.38'',16.68435,-93.71455,21/09/2015
Ingenio Huixtla,Huixtla,15° 5' 17.99'',92° 30' 13.9'',15.08833056,-92.50386111,21/09/2015
Rancho San José,Huixtla,15° 7' 44.62'',92° 35' 3.91'',15.12906111,-92.58441944,21/09/2015
El Recreo,Las Rosas,16° 19' 54.3'',92° 24' 32.9'',16.33175,-92.40913889,05/03/2013
Argelia,Mazatán,14° 50' 22.9'',92° 30' 13.3'',14.83969444,-92.50369444,21/09/2015
Buena Vista,Mazatán,14° 53' 38.23'',92° 22' 47.08'',14.89395278,-92.37974444,21/09/2015
Carolina,Mazatán,14° 55' 28.26'',92° 28' 27.6'',14.92451667,-92.47433333,12/09/2015
Umoa 2a Sección,Metapa,14° 49' 24.7'',92° 13' 52.7'',14.82352778,-92.23130556,21/09/2015
CECECH,Ocozocoautla de Espinosa,16° 46' 0'',93° 24' 0'',16.76666667,-93.4,16/12/2014
La Borcelana,Ocozocoautla de Espinosa,16° 44' 57'',93° 28' 28'',16.74916667,-93.47444444,16/12/2014
Constitución,Socoltenango,16° 12' 38.9'',92° 23' 12.8'',16.21080556,-92.38688889,04/03/2013
La Mesa,Socoltenango,16° 12' 3.9'',92° 18' 50'',16.20108333,-92.31388889,06/03/2013
Yunnuen (Rancho Alegre),Suchiate,14° 41' 27.54'',92° 17' 15.06'',14.69098333,-92.28751667,01/07/2014
Argovia,Tapachula,15° 7' 42.9'',92° 17' 43.1'',15.12858333,-92.29530556,21/09/2015
El Retiro,Tapachula,15° 4' 36.7'',92° 13' 32.2'',15.07686111,-92.22561111,10/10/2012
La Norteña,Tapachula,14° 45' 35.6'',92° 23' 10.8'',14.75988889,-92.38633333,21/09/2015
Emperador,Tonalá,16° 2' 9.58'',93° 45' 3.3'',16.03599444,-93.75091667,07/01/2017
La Joya,Tonalá,15° 58' 23.25'',93° 42' 40.08'',15.973125,-93.71113333,29/07/2014
Los Sergios,Tonalá,16° 4' 22'',93° 47' 51.05'',16.07277778,-93.79751389,07/01/2017
Rancho El Estribo,Tonalá,15° 51' 24.02'',93° 26' 43.49'',15.85667222,-93.44541389,NA
Campo Experimental Rosario Izapa,Tuxtla Chico,14° 58' 28.52'',92° 9' 22.67'',14.97458889,-92.15629722,21/09/2015
Australia,Venustiano Carranza,16° 15' 1.1'',92° 27' 40.3'',16.25030556,-92.46119444,06/03/2013
El Arca,Venustiano Carranza,16° 18' 15.3'',92° 28' 26.7'',16.30425,-92.47408333,06/03/2013
Finca Monterrey,Venustiano Carranza,16° 14' 33.58'',92° 29' 56.91'',16.24266111,-92.49914167,06/03/2013
Tezuitlan,Villa Comaltitlán,15° 10' 10.3'',92° 39' 38.9'',15.16952778,-92.66080556,10/10/2012
Rancho Vista Hermosa,Villa Corzo,16° 7' 3.74'',93° 9' 41.49'',16.11770556,-93.161525,NA
