Municipio;Initial;Final;PS;PVI;LS;LVI;AL;Lechoso;Consistente;Maduro
San Mateo Piñas;18/01/2016;24/01/2016;17.2;9.7;16;11;NA;NA;NA;NA
San Pedro Pochutla;18/01/2016;24/01/2016;14.9;13.9;14.7;21.7;NA;NA;NA;NA
Pluma Hidalgo;18/01/2016;24/01/2016;14.5;11.4;11.6;14.5;NA;NA;NA;NA
Candelaria Loxicha;18/01/2016;24/01/2016;17.8;4.9;6.8;4.8;NA;NA;NA;NA
San Pedro Pochutla;29/02/2016;06/03/2016;11.9;16.9;26.2;13.3;0;0;0;0
San Mateo Piñas;29/02/2016;06/03/2016;21.6;6.4;21.8;11.8;0;0;0;0
San Mateo Pocutla;29/02/2016;06/03/2016;24.4;NA;17.4;NA;0;0;0;0
Pluma Hidalgo;29/02/2016;06/03/2016;21.6;12;12;8.7;0;0;0;0
Candelaria Loxicha;29/02/2016;06/03/2016;16.8;11.2;6;5;0;0;0;0
Cacahoatan;07/03/2016;13/03/2016;6.5;6.9;4.7;8.6;1.7;0.5;0;0
Tuzantan;07/03/2016;13/03/2016;8.4;0.5;3.6;1.9;1.1;0;0;0
Tapachula;07/03/2016;13/03/2016;3.5;1.5;1.6;1.4;2.4;0;0;0
Escuintla;07/03/2016;13/03/2016;4.5;1.7;1;0.4;1.5;0;0;0
Tuxtla Chico;07/03/2016;13/03/2016;1.1;2.1;0.3;0.5;0.1;0;0;0
Huehuetán;07/03/2016;13/03/2016;1.1;1.8;0.2;0.4;0.6;0.1;0;0
San Mateo Piñas;04/04/2016;10/04/2016;16;11;14.3;5.6;4.1;0.8;0;0
San Mateo Pocutla;04/04/2016;10/04/2016;4.2;2.5;4.8;5.6;5.7;0.3;0;0
Santiago Xanica;04/04/2016;10/04/2016;9.1;NA;1.8;NA;5.9;0;0;0
San Pedro Pochutla;04/04/2016;10/04/2016;23.4;33.1;1;1.4;3;0;0;0
San Miguel Puerto;04/04/2016;10/04/2016;3.6;0.8;0.9;0.5;4.3;15.5;0;0
Pluma Hidalgo;04/04/2016;10/04/2016;0.9;1.7;0.3;0.6;4.4;15.1;0;0
Candelaria Loxicha;04/04/2016;10/04/2016;0;0;0;0;3.6;5;0;0
San Mateo Piñas;11/04/2016;17/04/2016;16.7;10.2;12.2;3.1;6.1;1.2;0;0
Candelaria Loxicha;11/04/2016;17/04/2016;19.8;3;9.8;2.1;3.8;5;0;0
Pluma Hidalgo;11/04/2016;17/04/2016;13.8;12.2;6.9;9.5;4.3;15.1;0;0
San Pedro Pochutla;11/04/2016;17/04/2016;6.8;5.7;5.1;5.2;5.5;0.2;0;0
Santiago Xanica;11/04/2016;17/04/2016;9.1;NA;1.5;0.6;5.9;0;0;0
San Miguel Puerto;11/04/2016;17/04/2016;3.6;0.8;0.9;3.4;4.4;15.5;0;0
Candelaria Loxicha;02/05/2016;08/05/2016;19.1;4.1;8.6;1.6;0;0;0;0
Pluma Hidalgo;02/05/2016;08/05/2016;11.4;7.5;4.6;4.8;0;0;0;0
Huautla de Jimenez;02/05/2016;08/05/2016;13.2;1.1;3.9;0.2;0;0;0;0
San Mateo Piñas;02/05/2016;08/05/2016;6;2.4;3.2;2;0;0;0;0
San Pedro Pochutla;02/05/2016;08/05/2016;6;5.4;2.3;2.4;0;0;0;0
Santa Maria Chilchotla;02/05/2016;08/05/2016;11.8;2.8;1.9;0.3;0.4;0;10.3;1.2
San José Tenango;02/05/2016;08/05/2016;11.8;2;1.1;0.5;0.4;0;10.3;1.2
Santiago Xanica;02/05/2016;08/05/2016;3.6;NA;1.1;NA;0;0;0;0
San Miguel Puerto;02/05/2016;08/05/2016;3.6;0.8;0.8;0.3;0;0;0;0
Candelaria Loxicha;09/05/2016;15/05/2016;17.2;NA;7.8;NA;3.7;58;0;0
Pluma Hidalgo;09/05/2016;15/05/2016;10.7;9.5;4.7;5.7;3.8;275.8;0;0
San Mateo Piñas;09/05/2016;15/05/2016;6;2.4;3.6;1.8;4.6;549.8;2.6;0
Huautla de Jimenez;09/05/2016;15/05/2016;25.1;4;3;0.5;1.6;0;1.7;5.7
San José Tenango;09/05/2016;15/05/2016;14.1;4.7;2.1;0.6;1.6;1.8;7.8;0.8
San Pedro Pochutla;09/05/2016;15/05/2016;5.5;4.9;1.7;2.2;4.5;105.2;0;0
Santa Maria Chilchotla;09/05/2016;15/05/2016;12.1;3.5;1.4;0.5;1.1;8;14.7;4.8
Santiago Xanica;09/05/2016;15/05/2016;3.6;NA;1;NA;4.9;194;0;0
San Miguel Puerto;09/05/2016;15/05/2016;3.6;0.8;0.7;0.1;4.4;130;0;0
San Mateo Piñas;23/05/2016;29/05/2016;5.3;1.6;2.2;0.9;4.2;775;0;0
Candelaria Loxicha;23/05/2016;29/05/2016;8.6;1.4;1.8;0.5;2.4;101.7;0;0
Huautla de Jimenez;23/05/2016;29/05/2016;17.7;7.9;1.6;0;1.1;0;0.3;2.3
San José Tenango;23/05/2016;29/05/2016;11.1;1.6;1.5;0.5;1.2;13;7.3;1.7
Pluma Hidalgo;23/05/2016;29/05/2016;6.7;4.2;1.5;1.3;3.8;1005.3;0;0
Santa Maria Chilchotla;23/05/2016;29/05/2016;10.7;1.3;0.9;0.3;1;6;31.5;5.2
San Pedro Pochutla;23/05/2016;29/05/2016;4.2;2.2;0.7;0.5;4.4;587.5;0;0
Santiago Xanica;23/05/2016;29/05/2016;3.6;NA;0.5;NA;4.4;923;0;0
San Miguel Puerto;23/05/2016;29/05/2016;3.7;1;0.5;0.4;3.4;177.5;0;0
San José Tenango;06/06/2016;12/06/2016;10.1;0.3;4.2;12.9;1.8;104.3;54.7;2.8
Santa Maria Chilchotla;06/06/2016;12/06/2016;10;0;3.6;5.3;1.4;28;52.3;3.8
