Municipality,Initial,Final,PS,PVI,LS,LVI,AL,Lechoso,Consistente,Maduro
Tuzantan,18/01/2016,24/01/2016,37.6,8.7,44.3,15.1,-,-,-,-
Siltepec,18/01/2016,24/01/2016,40.8,17.3,36.4,23.5,-,-,-,-
Motozintla,18/01/2016,24/01/2016,20.3,3.4,32.3,5,-,-,-,-
Villa Comaltitlan,18/01/2016,24/01/2016,26.1,15.6,29.3,21.9,-,-,-,-
Chicomuselo,18/01/2016,24/01/2016,33.4,5.2,28.6,10,-,-,-,-
Bella Vista,18/01/2016,24/01/2016,34.7,8.3,26.9,7.5,-,-,-,-
Huixtla,18/01/2016,24/01/2016,33.6,5,22.9,5.3,-,-,-,-
Amatenango de la Frontera,18/01/2016,24/01/2016,23.6,9.5,22.1,14,-,-,-,-
Villa Corzo,18/01/2016,24/01/2016,15.9,11.8,21.5,9.1,-,-,-,-
Angel Albino Corzo,18/01/2016,24/01/2016,12.4,6.4,17.9,10.6,-,-,-,-
Chenalhe,18/01/2016,24/01/2016,37.3,19.7,13.9,1.7,-,-,-,-
San Juan Cancuc,18/01/2016,24/01/2016,32.7,4.6,13.6,0.9,-,-,-,-
Tila,18/01/2016,24/01/2016,19.1,3.7,10.2,3.3,-,-,-,-
Tumbala,18/01/2016,24/01/2016,13.8,3.6,8.1,4.4,-,-,-,-
Tapachula,18/01/2016,24/01/2016,8.6,9.8,6.9,11.1,-,-,-,-
Cacahoatan,18/01/2016,24/01/2016,7.8,8,5.9,10.1,-,-,-,-
Ocotepec,18/01/2016,24/01/2016,10.7,0.6,4.9,1.5,-,-,-,-
Yajalon,18/01/2016,24/01/2016,6.6,0.6,3.6,0.7,-,-,-,-
Chilon,18/01/2016,24/01/2016,6.6,2.4,3.4,2.2,-,-,-,-
Union Juarez,18/01/2016,24/01/2016,9.2,7.4,3.3,2.6,-,-,-,-
El Bosque,18/01/2016,24/01/2016,7.3,14.4,2.9,5.6,-,-,-,-
Tapilula,18/01/2016,24/01/2016,10.8,1.8,2.5,0.5,-,-,-,-
Ixhuatan,18/01/2016,24/01/2016,9.3,1.5,2.2,0.6,-,-,-,-
Amatan,18/01/2016,24/01/2016,9.5,3.9,2.1,1.2,-,-,-,-
Huitiupan,18/01/2016,24/01/2016,12.3,14.7,2.1,1.5,-,-,-,-
Simojovel de Allende,18/01/2016,24/01/2016,3.8,4.3,1,1.1,-,-,-,-
Tuxtla Chico,18/01/2016,24/01/2016,2.8,5.5,0.8,1.6,-,-,-,-
Escuintla,18/01/2016,24/01/2016,4.4,2.4,0.7,0.5,-,-,-,-
Tecpatan,18/01/2016,24/01/2016,0,0,0,0,-,-,-,-
Siltepec,26/01/2015,01/02/2015,49.8,5.4,51,2.4,3.9,0,23,97
Angel Albino Corzo,26/01/2015,01/02/2015,58.9,3.2,44.7,2.6,2.1,0,9.5,0
Chicomuselo,26/01/2015,01/02/2015,50.1,12.5,40.7,14.7,3.5,0,0,0
Villa Corzo,26/01/2015,01/02/2015,60,0,36.7,1,1.7,0,0,0
Bella Vista,26/01/2015,01/02/2015,31.4,11.9,29.7,13.1,1.6,0,0,0
Amatenango de la Frontera,26/01/2015,01/02/2015,30.2,10.8,27.9,3.3,2.6,0,0,0
