Id:,20101
Estación:,SALINA CRUZ-OAX
Posición:,16.1830555556N -95.2033333333W
Variable:,Temp Promedio (oC)
Fecha Inicial:,06/01/1968
Fecha Final:,02/01/1979
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1968,30.1
06,02,1968,31.0
06,03,1968,30.0
06,04,1968,29.1
06,05,1968,28.5
06,06,1968,30.6
06,07,1968,29.7
06,08,1968,29.0
06,09,1968,29.0
06,10,1968,29.6
06,11,1968,29.4
06,12,1968,28.3
06,13,1968,32.0
06,14,1968,31.35
06,15,1968,31.55
06,16,1968,28.25
06,17,1968,29.5
06,18,1968,28.85
06,19,1968,24.6
06,20,1968,27.2
06,21,1968,26.85
06,22,1968,28.15
06,23,1968,29.4
06,24,1968,29.0
06,25,1968,28.6
06,26,1968,29.0
06,27,1968,29.05
06,28,1968,28.1
06,29,1968,28.3
06,30,1968,27.2
07,01,1968,29.7
07,02,1968,28.65
07,03,1968,29.15
07,04,1968,29.75
07,05,1968,28.45
07,06,1968,27.75
07,07,1968,28.85
07,08,1968,30.2
07,09,1968,30.8
07,10,1968,29.8
07,11,1968,29.0
07,12,1968,31.2
07,13,1968,28.0
07,14,1968,28.0
07,15,1968,29.4
07,16,1968,28.05
07,17,1968,29.8
07,18,1968,30.1
07,19,1968,29.75
07,20,1968,30.45
07,21,1968,30.8
07,22,1968,29.55
07,23,1968,31.25
07,24,1968,31.35
07,25,1968,30.75
07,26,1968,31.65
07,27,1968,31.85
07,28,1968,31.3
07,29,1968,31.4
07,30,1968,32.1
07,31,1968,31.65
08,01,1968,31.5
08,02,1968,30.55
08,03,1968,31.15
08,04,1968,30.4
08,05,1968,28.1
08,06,1968,30.05
08,07,1968,31.1
08,08,1968,31.3
08,09,1968,30.9
08,10,1968,31.55
08,11,1968,32.7
08,12,1968,32.15
08,13,1968,29.35
08,14,1968,26.45
08,15,1968,29.0
08,16,1968,29.5
08,17,1968,30.55
08,18,1968,29.5
08,19,1968,28.95
08,20,1968,29.3
08,21,1968,29.3
08,22,1968,27.1
08,23,1968,29.25
08,24,1968,30.0
08,25,1968,30.3
08,26,1968,30.05
08,27,1968,29.55
08,28,1968,29.85
08,29,1968,29.5
08,30,1968,29.4
08,31,1968,30.1
09,01,1968,29.75
09,02,1968,30.35
09,03,1968,28.0
09,04,1968,29.7
09,05,1968,29.7
09,06,1968,30.75
09,07,1968,30.95
09,08,1968,30.1
09,09,1968,27.7
09,10,1968,27.95
09,11,1968,26.7
09,12,1968,28.6
09,13,1968,29.7
09,14,1968,28.1
09,15,1968,28.4
09,16,1968,28.75
09,17,1968,30.3
09,18,1968,29.6
09,19,1968,29.2
09,20,1968,28.7
09,21,1968,28.7
09,22,1968,29.6
09,23,1968,29.05
09,24,1968,30.0
09,25,1968,28.85
09,26,1968,29.5
09,27,1968,29.35
09,28,1968,29.6
09,29,1968,29.9
09,30,1968,30.1
10,01,1968,29.6
10,02,1968,30.35
10,03,1968,31.6
10,04,1968,30.6
10,05,1968,27.55
10,06,1968,28.35
10,07,1968,28.85
10,08,1968,28.95
10,09,1968,29.5
10,10,1968,27.75
10,11,1968,29.1
10,12,1968,29.35
10,13,1968,30.5
10,14,1968,30.95
10,15,1968,30.1
10,16,1968,29.9
10,17,1968,28.1
10,18,1968,28.4
10,19,1968,28.95
10,20,1968,29.25
10,21,1968,30.7
10,22,1968,30.15
10,23,1968,29.2
10,24,1968,29.45
10,25,1968,29.2
10,26,1968,27.85
10,27,1968,28.0
10,28,1968,28.05
10,29,1968,27.15
10,30,1968,27.7
10,31,1968,27.3
11,01,1968,29.8
11,02,1968,30.75
11,03,1968,29.75
11,04,1968,30.0
11,05,1968,28.4
11,06,1968,28.75
11,07,1968,28.85
11,08,1968,30.2
11,09,1968,29.5
11,10,1968,26.05
11,11,1968,26.8
11,12,1968,25.55
11,13,1968,26.1
11,14,1968,26.2
11,15,1968,26.1
11,16,1968,26.9
11,17,1968,27.8
11,18,1968,28.7
11,19,1968,28.3
11,20,1968,26.35
11,21,1968,25.55
11,22,1968,26.6
11,23,1968,25.95
11,24,1968,26.1
11,25,1968,27.7
11,26,1968,26.4
11,27,1968,26.8
11,28,1968,28.6
11,29,1968,29.25
11,30,1968,27.9
12,01,1968,28.75
12,02,1968,27.4
12,03,1968,28.55
12,04,1968,26.7
12,05,1968,27.05
12,06,1968,26.6
12,07,1968,26.7
12,08,1968,28.25
12,09,1968,26.55
12,10,1968,27.35
12,11,1968,27.75
12,12,1968,27.9
12,13,1968,26.8
12,14,1968,27.55
12,15,1968,24.9
12,16,1968,25.15
12,17,1968,25.0
12,18,1968,24.5
12,19,1968,26.1
12,20,1968,27.55
12,21,1968,27.15
12,22,1968,28.85
12,23,1968,27.5
12,24,1968,25.15
12,25,1968,25.0
12,26,1968,25.8
12,27,1968,26.65
12,28,1968,27.75
12,29,1968,28.3
12,30,1968,28.65
12,31,1968,29.6
01,01,1969,28.55
01,02,1969,27.85
01,03,1969,27.2
01,04,1969,26.4
01,05,1969,25.7
01,06,1969,26.0
01,07,1969,26.5
01,08,1969,25.5
01,09,1969,27.15
01,10,1969,28.0
01,11,1969,26.45
01,12,1969,26.45
01,13,1969,26.75
01,14,1969,27.35
01,15,1969,28.0
01,16,1969,26.05
01,17,1969,26.5
01,18,1969,27.35
01,19,1969,27.0
01,20,1969,26.65
01,21,1969,25.8
01,22,1969,26.1
01,23,1969,26.2
01,24,1969,26.95
01,25,1969,27.55
01,26,1969,27.75
01,27,1969,26.95
01,28,1969,29.05
01,29,1969,29.1
01,30,1969,28.8
01,31,1969,29.95
02,01,1969,29.15
02,02,1969,27.5
02,03,1969,28.1
02,04,1969,25.45
02,05,1969,27.75
02,06,1969,25.9
02,07,1969,26.7
02,08,1969,27.6
02,09,1969,28.4
02,10,1969,27.4
02,11,1969,27.0
02,12,1969,27.5
02,13,1969,27.2
