Id:,20115
Estación:,SAN MARTIN DURAZNOS (CFE)-OAX
Posición:,17.3N -98.0677777778W
Variable:,Temp Promedio (oC)
Fecha Inicial:,10/01/1961
Fecha Final:,12/01/1987
No Dato:,nan
Mes,Día,Anio,Datos
10,01,1961,null
10,02,1961,null
10,03,1961,null
10,04,1961,null
10,05,1961,null
10,06,1961,null
10,07,1961,null
10,08,1961,18.85
10,09,1961,19.15
10,10,1961,18.9
10,11,1961,19.4
10,12,1961,19.4
10,13,1961,19.15
10,14,1961,18.65
10,15,1961,17.9
10,16,1961,17.15
10,17,1961,16.9
10,18,1961,17.4
10,19,1961,18.15
10,20,1961,18.15
10,21,1961,18.15
10,22,1961,18.4
10,23,1961,19.05
10,24,1961,19.4
10,25,1961,19.65
10,26,1961,19.15
10,27,1961,18.4
10,28,1961,18.0
10,29,1961,18.15
10,30,1961,18.4
10,31,1961,17.9
11,01,1961,18.4
11,02,1961,17.65
11,03,1961,18.4
11,04,1961,18.65
11,05,1961,18.65
11,06,1961,18.15
11,07,1961,17.9
11,08,1961,17.4
11,09,1961,17.65
11,10,1961,18.4
11,11,1961,19.25
11,12,1961,16.4
11,13,1961,16.55
11,14,1961,17.4
11,15,1961,17.9
11,16,1961,18.4
11,17,1961,18.15
11,18,1961,17.4
11,19,1961,17.4
11,20,1961,16.9
11,21,1961,17.9
11,22,1961,17.15
11,23,1961,16.65
11,24,1961,16.9
11,25,1961,16.9
11,26,1961,17.15
11,27,1961,16.4
11,28,1961,14.15
11,29,1961,14.4
11,30,1961,14.4
12,01,1961,null
12,02,1961,null
12,03,1961,null
12,04,1961,null
12,05,1961,null
12,06,1961,null
12,07,1961,null
12,08,1961,null
12,09,1961,null
12,10,1961,null
12,11,1961,null
12,12,1961,null
12,13,1961,null
12,14,1961,null
12,15,1961,null
12,16,1961,null
12,17,1961,null
12,18,1961,null
12,19,1961,null
12,20,1961,null
12,21,1961,null
12,22,1961,null
12,23,1961,null
12,24,1961,null
12,25,1961,null
12,26,1961,null
12,27,1961,null
12,28,1961,null
12,29,1961,null
12,30,1961,null
12,31,1961,null
01,01,1962,15.65
01,02,1962,null
01,03,1962,null
01,04,1962,null
01,05,1962,null
01,06,1962,null
01,07,1962,null
01,08,1962,null
01,09,1962,null
01,10,1962,null
01,11,1962,null
01,12,1962,null
01,13,1962,null
01,14,1962,null
01,15,1962,null
01,16,1962,null
01,17,1962,null
01,18,1962,null
01,19,1962,null
01,20,1962,null
01,21,1962,null
01,22,1962,16.7
01,23,1962,15.45
01,24,1962,15.75
01,25,1962,16.5
01,26,1962,16.75
01,27,1962,17.25
01,28,1962,17.0
01,29,1962,16.0
01,30,1962,16.25
01,31,1962,15.5
02,01,1962,15.5
02,02,1962,15.5
02,03,1962,15.75
02,04,1962,16.0
02,05,1962,16.8
02,06,1962,16.25
02,07,1962,17.25
02,08,1962,17.6
02,09,1962,17.75
02,10,1962,17.65
02,11,1962,17.5
02,12,1962,15.85
02,13,1962,16.0
02,14,1962,16.5
02,15,1962,16.9
02,16,1962,17.5
02,17,1962,17.75
02,18,1962,17.4
02,19,1962,18.0
02,20,1962,18.5
02,21,1962,18.05
02,22,1962,18.0
02,23,1962,18.0
02,24,1962,17.8
02,25,1962,17.5
02,26,1962,18.15
02,27,1962,18.5
02,28,1962,18.4
03,01,1962,17.75
03,02,1962,18.2
03,03,1962,18.0
03,04,1962,18.0
03,05,1962,18.6
03,06,1962,19.4
03,07,1962,19.05
03,08,1962,19.5
03,09,1962,19.75
03,10,1962,18.5
03,11,1962,18.5
03,12,1962,18.5
03,13,1962,18.5
03,14,1962,18.5
03,15,1962,18.5
03,16,1962,18.0
03,17,1962,18.75
03,18,1962,19.0
03,19,1962,19.5
03,20,1962,19.6
03,21,1962,19.85
03,22,1962,19.75
03,23,1962,19.7
03,24,1962,20.05
03,25,1962,19.75
03,26,1962,19.3
03,27,1962,20.1
03,28,1962,20.25
03,29,1962,20.3
03,30,1962,20.5
03,31,1962,20.5
04,01,1962,19.75
04,02,1962,19.75
04,03,1962,20.5
04,04,1962,20.25
04,05,1962,20.0
04,06,1962,20.75
04,07,1962,20.5
04,08,1962,19.75
04,09,1962,19.8
04,10,1962,20.25
04,11,1962,20.5
04,12,1962,19.5
04,13,1962,19.25
04,14,1962,19.5
04,15,1962,19.0
04,16,1962,18.0
04,17,1962,18.0
04,18,1962,18.0
04,19,1962,18.0
04,20,1962,18.0
04,21,1962,18.25
04,22,1962,18.5
04,23,1962,19.0
04,24,1962,19.0
04,25,1962,18.9
04,26,1962,19.9
04,27,1962,20.0
04,28,1962,19.25
04,29,1962,19.5
04,30,1962,19.5
05,01,1962,20.4
05,02,1962,20.0
05,03,1962,19.75
05,04,1962,19.25
05,05,1962,19.0
05,06,1962,19.0
05,07,1962,18.75
05,08,1962,18.5
05,09,1962,19.5
05,10,1962,19.35
05,11,1962,19.4
05,12,1962,19.6
05,13,1962,19.0
05,14,1962,19.25
05,15,1962,19.5
05,16,1962,19.5
05,17,1962,19.25
05,18,1962,19.15
05,19,1962,19.5
05,20,1962,20.25
05,21,1962,20.75
05,22,1962,21.25
05,23,1962,21.25
05,24,1962,21.5
05,25,1962,22.0
05,26,1962,22.25
05,27,1962,22.0
05,28,1962,21.75
05,29,1962,21.25
05,30,1962,21.5
05,31,1962,20.75
06,01,1962,21.0
06,02,1962,21.25
06,03,1962,21.0
06,04,1962,20.25
06,05,1962,20.75
06,06,1962,20.5
06,07,1962,20.5
06,08,1962,20.5
06,09,1962,20.75
06,10,1962,21.0
06,11,1962,20.25
06,12,1962,20.75
06,13,1962,21.25
06,14,1962,21.75
06,15,1962,21.5
06,16,1962,21.5
06,17,1962,21.25
06,18,1962,20.75
06,19,1962,20.75
06,20,1962,19.75
06,21,1962,19.6
06,22,1962,19.75
06,23,1962,19.3
06,24,1962,19.0
06,25,1962,18.75
06,26,1962,18.5
06,27,1962,18.75
06,28,1962,18.25
06,29,1962,18.25
06,30,1962,20.25
07,01,1962,18.0
07,02,1962,18.5
07,03,1962,18.5
07,04,1962,18.85
07,05,1962,19.25
07,06,1962,19.0
07,07,1962,18.75
07,08,1962,18.6
07,09,1962,19.0
07,10,1962,19.25
07,11,1962,19.25
07,12,1962,19.75
07,13,1962,20.25
07,14,1962,20.0
07,15,1962,20.5
07,16,1962,19.5
07,17,1962,19.5
07,18,1962,18.75
07,19,1962,19.0
07,20,1962,19.25
07,21,1962,19.75
07,22,1962,20.0
07,23,1962,20.5
07,24,1962,20.4
07,25,1962,20.0
07,26,1962,20.0
07,27,1962,19.0
07,28,1962,19.5
07,29,1962,19.5
07,30,1962,20.25
07,31,1962,20.25
08,01,1962,20.25
08,02,1962,19.25
08,03,1962,19.75
08,04,1962,20.75
08,05,1962,19.25
08,06,1962,19.5
08,07,1962,19.5
08,08,1962,19.75
08,09,1962,19.75
08,10,1962,20.25
08,11,1962,19.75
08,12,1962,19.0
08,13,1962,19.25
08,14,1962,19.0
08,15,1962,19.25
08,16,1962,19.5
08,17,1962,19.5
08,18,1962,19.5
08,19,1962,19.5
08,20,1962,18.75
08,21,1962,19.0
08,22,1962,19.25
08,23,1962,18.25
08,24,1962,18.5
08,25,1962,19.5
08,26,1962,19.25
08,27,1962,18.25
08,28,1962,18.75
