Id:,20181
Estación:,VIVERO RANCHO TEJA-OAX
Posición:,17.3N -96.4744444444W
Variable:,Temp Promedio (oC)
Fecha Inicial:,06/01/1963
Fecha Final:,01/01/1990
No Dato:,nan
Mes,Día,Anio,Datos
06,01,1963,17.9
06,02,1963,18.7
06,03,1963,19.2
06,04,1963,19.15
06,05,1963,20.3
06,06,1963,20.35
06,07,1963,20.3
06,08,1963,17.3
06,09,1963,18.05
06,10,1963,20.35
06,11,1963,21.1
06,12,1963,19.8
06,13,1963,17.65
06,14,1963,16.2
06,15,1963,17.75
06,16,1963,19.55
06,17,1963,19.05
06,18,1963,17.2
06,19,1963,17.85
06,20,1963,17.85
06,21,1963,16.75
06,22,1963,17.0
06,23,1963,17.45
06,24,1963,16.55
06,25,1963,15.7
06,26,1963,14.45
06,27,1963,15.3
06,28,1963,16.65
06,29,1963,15.75
06,30,1963,15.6
07,01,1963,15.45
07,02,1963,16.45
07,03,1963,15.5
07,04,1963,16.4
07,05,1963,14.65
07,06,1963,14.05
07,07,1963,17.25
07,08,1963,15.25
07,09,1963,16.0
07,10,1963,16.0
07,11,1963,16.45
07,12,1963,16.7
07,13,1963,16.65
07,14,1963,16.4
07,15,1963,17.45
07,16,1963,15.95
07,17,1963,17.95
07,18,1963,15.6
07,19,1963,15.2
07,20,1963,13.8
07,21,1963,14.35
07,22,1963,16.5
07,23,1963,16.45
07,24,1963,17.4
07,25,1963,17.15
07,26,1963,15.75
07,27,1963,16.05
07,28,1963,15.7
07,29,1963,16.65
07,30,1963,16.7
07,31,1963,15.7
08,01,1963,16.65
08,02,1963,15.35
08,03,1963,15.8
08,04,1963,15.35
08,05,1963,14.55
08,06,1963,15.4
08,07,1963,16.75
08,08,1963,15.95
08,09,1963,15.15
08,10,1963,17.0
08,11,1963,16.2
08,12,1963,15.9
08,13,1963,15.6
08,14,1963,14.75
08,15,1963,14.6
08,16,1963,14.4
08,17,1963,15.1
08,18,1963,14.6
08,19,1963,16.05
08,20,1963,15.0
08,21,1963,15.25
08,22,1963,16.25
08,23,1963,16.15
08,24,1963,16.55
08,25,1963,16.75
08,26,1963,15.15
08,27,1963,15.4
08,28,1963,15.35
08,29,1963,16.4
08,30,1963,16.0
08,31,1963,14.8
09,01,1963,15.55
09,02,1963,15.15
09,03,1963,14.75
09,04,1963,15.1
09,05,1963,13.8
09,06,1963,13.45
09,07,1963,13.5
09,08,1963,14.0
09,09,1963,14.25
09,10,1963,15.7
09,11,1963,14.2
09,12,1963,15.85
09,13,1963,14.9
09,14,1963,17.3
09,15,1963,17.4
09,16,1963,16.6
09,17,1963,14.8
09,18,1963,14.95
09,19,1963,15.5
09,20,1963,15.3
09,21,1963,14.85
09,22,1963,14.75
09,23,1963,15.15
09,24,1963,16.05
09,25,1963,16.45
09,26,1963,15.55
09,27,1963,15.25
09,28,1963,15.8
09,29,1963,16.6
09,30,1963,14.4
10,01,1963,12.2
10,02,1963,13.6
10,03,1963,14.25
10,04,1963,13.6
10,05,1963,13.0
10,06,1963,13.35
10,07,1963,13.35
10,08,1963,14.55
10,09,1963,13.9
10,10,1963,13.85
10,11,1963,13.0
10,12,1963,10.6
10,13,1963,11.3
10,14,1963,13.4
10,15,1963,12.0
10,16,1963,13.55
10,17,1963,13.4
10,18,1963,14.0
10,19,1963,15.7
10,20,1963,15.55
10,21,1963,15.0
10,22,1963,14.65
10,23,1963,16.8
10,24,1963,16.95
10,25,1963,18.9
10,26,1963,17.3
10,27,1963,16.9
10,28,1963,16.15
10,29,1963,13.2
10,30,1963,12.75
10,31,1963,16.25
11,01,1963,15.5
11,02,1963,12.8
11,03,1963,14.8
11,04,1963,17.0
11,05,1963,18.9
11,06,1963,16.1
11,07,1963,17.3
11,08,1963,17.8
11,09,1963,17.05
11,10,1963,15.65
11,11,1963,12.45
11,12,1963,9.35
11,13,1963,10.55
11,14,1963,10.5
11,15,1963,11.65
11,16,1963,11.15
11,17,1963,13.0
11,18,1963,14.55
11,19,1963,14.9
11,20,1963,15.7
11,21,1963,16.55
11,22,1963,17.55
11,23,1963,12.25
11,24,1963,13.45
11,25,1963,16.5
11,26,1963,16.55
11,27,1963,16.3
11,28,1963,17.45
11,29,1963,8.4
11,30,1963,8.4
12,01,1963,12.85
12,02,1963,14.55
12,03,1963,11.05
12,04,1963,14.05
12,05,1963,11.45
12,06,1963,14.55
12,07,1963,15.0
12,08,1963,13.2
12,09,1963,14.4
12,10,1963,15.75
12,11,1963,18.3
12,12,1963,15.8
12,13,1963,16.25
12,14,1963,13.9
12,15,1963,12.85
12,16,1963,13.0
12,17,1963,11.65
12,18,1963,11.7
12,19,1963,11.7
12,20,1963,14.25
12,21,1963,15.55
12,22,1963,16.4
12,23,1963,12.85
12,24,1963,11.2
12,25,1963,8.8
12,26,1963,14.25
12,27,1963,14.4
12,28,1963,13.85
12,29,1963,8.25
12,30,1963,12.9
12,31,1963,8.95
01,01,1964,8.05
01,02,1964,9.55
01,03,1964,12.4
01,04,1964,12.95
01,05,1964,13.55
01,06,1964,15.9
01,07,1964,15.45
01,08,1964,16.05
