Id:,20229
Estación:,E.T.A. 047 MACUILTIANGUIS-OAX
Posición:,17.5397222222N -96.5422222222W
Variable:,Temp Promedio (oC)
Fecha Inicial:,09/01/1974
Fecha Final:,04/01/1986
No Dato:,nan
Mes,Día,Anio,Datos
09,01,1974,15.5
09,02,1974,16.5
09,03,1974,16.75
09,04,1974,17.5
09,05,1974,16.0
09,06,1974,16.5
09,07,1974,18.5
09,08,1974,18.0
09,09,1974,17.5
09,10,1974,17.5
09,11,1974,18.5
09,12,1974,18.65
09,13,1974,19.25
09,14,1974,17.75
09,15,1974,16.25
09,16,1974,17.0
09,17,1974,16.5
09,18,1974,13.5
09,19,1974,14.75
09,20,1974,14.75
09,21,1974,16.25
09,22,1974,17.5
09,23,1974,15.25
09,24,1974,15.75
09,25,1974,19.0
09,26,1974,19.0
09,27,1974,18.25
09,28,1974,14.75
09,29,1974,15.0
09,30,1974,null
10,01,1974,15.75
10,02,1974,13.75
10,03,1974,16.0
10,04,1974,16.25
10,05,1974,15.0
10,06,1974,14.0
10,07,1974,14.0
10,08,1974,14.25
10,09,1974,15.5
10,10,1974,15.25
10,11,1974,16.25
10,12,1974,18.25
10,13,1974,18.0
10,14,1974,15.75
10,15,1974,15.0
10,16,1974,13.5
10,17,1974,13.75
10,18,1974,14.25
10,19,1974,16.25
10,20,1974,13.25
10,21,1974,12.5
10,22,1974,14.0
10,23,1974,13.5
10,24,1974,14.75
10,25,1974,16.0
10,26,1974,15.25
10,27,1974,16.5
10,28,1974,14.0
10,29,1974,14.75
10,30,1974,17.25
10,31,1974,null
11,01,1974,17.75
11,02,1974,18.5
11,03,1974,18.0
11,04,1974,17.75
11,05,1974,16.25
11,06,1974,16.5
11,07,1974,16.0
11,08,1974,14.75
11,09,1974,16.5
11,10,1974,11.75
11,11,1974,13.25
11,12,1974,15.0
11,13,1974,14.0
11,14,1974,16.25
11,15,1974,17.75
11,16,1974,15.0
11,17,1974,16.25
11,18,1974,17.25
11,19,1974,17.75
11,20,1974,19.5
11,21,1974,18.0
11,22,1974,18.0
11,23,1974,17.75
11,24,1974,18.75
11,25,1974,19.0
11,26,1974,18.25
11,27,1974,18.5
11,28,1974,15.75
11,29,1974,13.0
11,30,1974,null
12,01,1974,8.25
12,02,1974,13.25
12,03,1974,15.25
12,04,1974,15.75
12,05,1974,15.75
12,06,1974,14.5
12,07,1974,11.5
12,08,1974,10.5
12,09,1974,11.0
12,10,1974,8.0
12,11,1974,9.0
12,12,1974,12.25
12,13,1974,15.25
12,14,1974,16.25
12,15,1974,16.75
12,16,1974,9.75
12,17,1974,11.75
12,18,1974,14.0
12,19,1974,20.75
12,20,1974,12.5
12,21,1974,9.25
12,22,1974,13.75
12,23,1974,16.5
12,24,1974,17.0
12,25,1974,17.0
12,26,1974,17.25
12,27,1974,14.75
12,28,1974,15.0
12,29,1974,17.0
12,30,1974,17.5
12,31,1974,null
01,01,1975,null
01,02,1975,null
01,03,1975,null
01,04,1975,null
01,05,1975,null
01,06,1975,null
01,07,1975,null
01,08,1975,null
01,09,1975,null
01,10,1975,null
01,11,1975,null
01,12,1975,null
01,13,1975,null
01,14,1975,null
01,15,1975,null
01,16,1975,null
01,17,1975,null
01,18,1975,null
01,19,1975,null
01,20,1975,null
01,21,1975,null
01,22,1975,null
01,23,1975,null
01,24,1975,null
01,25,1975,null
01,26,1975,null
01,27,1975,null
01,28,1975,null
01,29,1975,null
01,30,1975,null
01,31,1975,null
02,01,1975,null
02,02,1975,13.5
02,03,1975,13.5
02,04,1975,18.0
02,05,1975,17.0
02,06,1975,14.5
02,07,1975,14.0
02,08,1975,17.75
02,09,1975,17.5
02,10,1975,12.5
02,11,1975,18.5
02,12,1975,16.25
02,13,1975,14.5
02,14,1975,17.0
02,15,1975,18.25
02,16,1975,19.0
02,17,1975,19.75
02,18,1975,17.0
02,19,1975,18.75
02,20,1975,18.5
02,21,1975,18.0
02,22,1975,19.5
02,23,1975,18.75
02,24,1975,11.0
02,25,1975,14.5
02,26,1975,17.25
02,27,1975,18.0
02,28,1975,18.0
03,01,1975,null
03,02,1975,18.5
03,03,1975,19.75
03,04,1975,18.5
03,05,1975,16.75
03,06,1975,18.75
03,07,1975,17.0
03,08,1975,13.75
03,09,1975,16.75
03,10,1975,20.0
03,11,1975,20.5
03,12,1975,21.55
03,13,1975,20.75
03,14,1975,14.5
03,15,1975,19.5
03,16,1975,21.0
03,17,1975,20.5
03,18,1975,21.0
03,19,1975,17.75
03,20,1975,19.0
03,21,1975,19.25
03,22,1975,22.25
03,23,1975,22.25
03,24,1975,21.0
03,25,1975,21.5
03,26,1975,19.75
03,27,1975,22.5
03,28,1975,22.75
03,29,1975,23.5
03,30,1975,20.0
03,31,1975,21.0
04,01,1975,null
04,02,1975,22.25
04,03,1975,15.0
04,04,1975,16.25
04,05,1975,17.75
04,06,1975,18.5
04,07,1975,20.0
04,08,1975,21.25
04,09,1975,22.0
04,10,1975,22.25
04,11,1975,22.5
04,12,1975,18.5
04,13,1975,21.25
04,14,1975,21.25
04,15,1975,22.0
04,16,1975,20.25
04,17,1975,19.0
04,18,1975,21.5
04,19,1975,22.5
04,20,1975,22.0
04,21,1975,17.5
04,22,1975,17.5
04,23,1975,19.0
04,24,1975,19.0
04,25,1975,21.25
04,26,1975,20.75
04,27,1975,21.0
04,28,1975,20.5
04,29,1975,20.5
04,30,1975,20.5
05,01,1975,null
05,02,1975,19.5
05,03,1975,20.5
05,04,1975,21.25
05,05,1975,22.5
05,06,1975,22.5
05,07,1975,23.0
05,08,1975,22.75
05,09,1975,22.75
05,10,1975,20.5
05,11,1975,19.75
05,12,1975,20.5
05,13,1975,18.5
05,14,1975,20.25
05,15,1975,18.5
05,16,1975,17.75
05,17,1975,18.25
05,18,1975,17.75
05,19,1975,19.0
05,20,1975,20.5
05,21,1975,19.0
05,22,1975,19.5
05,23,1975,19.75
05,24,1975,19.5
05,25,1975,18.25
05,26,1975,17.0
05,27,1975,16.5
05,28,1975,18.0
05,29,1975,18.25
05,30,1975,18.0
05,31,1975,16.75
06,01,1975,null
06,02,1975,14.75
06,03,1975,14.0
06,04,1975,17.25
06,05,1975,19.25
06,06,1975,19.0
06,07,1975,19.5
06,08,1975,18.25
06,09,1975,19.5
06,10,1975,18.5
06,11,1975,18.25
06,12,1975,18.25
06,13,1975,15.5
06,14,1975,16.0
06,15,1975,18.75
06,16,1975,18.0
06,17,1975,15.0
06,18,1975,17.5
06,19,1975,16.5
06,20,1975,17.5
06,21,1975,17.75
06,22,1975,17.5
06,23,1975,14.25
06,24,1975,15.0
06,25,1975,13.75
06,26,1975,15.75
06,27,1975,16.0
06,28,1975,16.0
06,29,1975,16.25
06,30,1975,15.25
07,01,1975,null
07,02,1975,13.25
07,03,1975,13.55
07,04,1975,13.0
07,05,1975,13.0
07,06,1975,13.25
07,07,1975,14.75
07,08,1975,14.75
07,09,1975,15.25
07,10,1975,15.0
07,11,1975,17.5
07,12,1975,16.0
07,13,1975,16.5
07,14,1975,17.75
07,15,1975,17.25
07,16,1975,16.25
07,17,1975,16.5
07,18,1975,15.25
07,19,1975,16.5
07,20,1975,16.75
07,21,1975,17.0
07,22,1975,15.25
07,23,1975,15.5
07,24,1975,16.0
07,25,1975,16.0
07,26,1975,14.25
07,27,1975,15.25
07,28,1975,14.75
07,29,1975,16.75
07,30,1975,15.5
07,31,1975,15.75
08,01,1975,null
08,02,1975,16.5
08,03,1975,17.0
08,04,1975,16.5
08,05,1975,17.0
08,06,1975,16.25
08,07,1975,15.5
08,08,1975,15.25
08,09,1975,16.5
08,10,1975,15.25
08,11,1975,16.25
08,12,1975,15.0
08,13,1975,16.0
08,14,1975,15.75
08,15,1975,16.0
08,16,1975,17.5
08,17,1975,15.75
08,18,1975,14.5
08,19,1975,13.25
08,20,1975,15.25
08,21,1975,14.0
08,22,1975,13.5
08,23,1975,14.5
08,24,1975,15.75
08,25,1975,15.25
08,26,1975,15.25
08,27,1975,15.5
08,28,1975,15.25
08,29,1975,15.75
08,30,1975,17.75
08,31,1975,15.0
09,01,1975,null
09,02,1975,16.25
09,03,1975,16.5
09,04,1975,16.5
09,05,1975,16.25
09,06,1975,15.75
09,07,1975,14.25
09,08,1975,14.75
09,09,1975,14.5
09,10,1975,14.75
09,11,1975,14.75
09,12,1975,14.75
09,13,1975,14.25
09,14,1975,14.25
09,15,1975,13.25
09,16,1975,14.75
09,17,1975,17.5
09,18,1975,17.0
09,19,1975,17.25
09,20,1975,17.25
09,21,1975,15.75
09,22,1975,14.75
09,23,1975,13.5
09,24,1975,11.75
09,25,1975,11.5
09,26,1975,11.25
09,27,1975,13.25
09,28,1975,13.75
09,29,1975,14.5
09,30,1975,15.25
10,01,1975,null
10,02,1975,13.5
10,03,1975,13.5
10,04,1975,11.75
10,05,1975,12.5
10,06,1975,12.0
10,07,1975,12.75
10,08,1975,14.5
10,09,1975,13.5
10,10,1975,12.75
10,11,1975,13.25
10,12,1975,14.75
10,13,1975,16.0
10,14,1975,16.0
10,15,1975,17.5
10,16,1975,17.25
10,17,1975,16.0
10,18,1975,15.0
10,19,1975,12.0
10,20,1975,12.0
10,21,1975,13.0
10,22,1975,15.75
10,23,1975,17.75
10,24,1975,17.25
10,25,1975,17.5
10,26,1975,17.75
10,27,1975,15.5
10,28,1975,14.75
10,29,1975,10.25
10,30,1975,12.0
10,31,1975,12.5
11,01,1975,null
11,02,1975,null
11,03,1975,null
11,04,1975,null
11,05,1975,null
11,06,1975,null
11,07,1975,null
11,08,1975,null
11,09,1975,null
11,10,1975,null
11,11,1975,null
11,12,1975,null
11,13,1975,null
11,14,1975,null
11,15,1975,null
11,16,1975,null
11,17,1975,null
11,18,1975,null
11,19,1975,null
11,20,1975,null
11,21,1975,null
11,22,1975,null
11,23,1975,null
11,24,1975,null
11,25,1975,null
11,26,1975,null
11,27,1975,null
11,28,1975,null
11,29,1975,null
11,30,1975,null
12,01,1975,8.8
12,02,1975,12.25
12,03,1975,12.35
12,04,1975,11.45
12,05,1975,7.3
12,06,1975,9.95
12,07,1975,8.65
12,08,1975,9.25
12,09,1975,9.25
12,10,1975,10.05
12,11,1975,11.05
12,12,1975,10.8
12,13,1975,11.25
12,14,1975,12.4
12,15,1975,14.6
12,16,1975,11.25
12,17,1975,12.7
12,18,1975,9.65
12,19,1975,10.2
12,20,1975,9.2
12,21,1975,9.2
12,22,1975,11.25
12,23,1975,12.1
12,24,1975,13.5
12,25,1975,13.25
12,26,1975,12.1
12,27,1975,11.6
12,28,1975,13.3
12,29,1975,14.5
12,30,1975,13.4
12,31,1975,null
01,01,1976,14.85
01,02,1976,16.1
01,03,1976,10.6
01,04,1976,11.1
01,05,1976,12.65
01,06,1976,12.75
01,07,1976,15.2
01,08,1976,8.0
01,09,1976,7.4
01,10,1976,8.7
01,11,1976,12.7
01,12,1976,10.95
01,13,1976,13.45
01,14,1976,10.75
01,15,1976,7.5
01,16,1976,10.45
01,17,1976,8.25
01,18,1976,5.25
01,19,1976,8.35
01,20,1976,7.65
01,21,1976,5.75
01,22,1976,7.0
01,23,1976,11.4
01,24,1976,13.15
01,25,1976,16.75
01,26,1976,16.45
01,27,1976,9.3
01,28,1976,11.4
01,29,1976,11.2
01,30,1976,12.85
01,31,1976,null
02,01,1976,10.95
02,02,1976,16.25
02,03,1976,16.5
02,04,1976,18.0
02,05,1976,20.25
02,06,1976,19.25
02,07,1976,17.25
02,08,1976,17.5
02,09,1976,17.75
02,10,1976,17.75
02,11,1976,17.25
02,12,1976,14.25
02,13,1976,16.25
02,14,1976,15.75
02,15,1976,18.75
02,16,1976,20.0
02,17,1976,19.0
02,18,1976,21.0
02,19,1976,20.75
02,20,1976,20.5
