Id:,20251
Estación:,E.T.A. 199 SANTIAGO JAMILTEPEC-OAX
Posición:,16.0830555556N -97.7794444444W
Variable:,Temp Promedio (oC)
Fecha Inicial:,04/01/1975
Fecha Final:,12/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
04,01,1975,null
04,02,1975,28.0
04,03,1975,29.0
04,04,1975,31.0
04,05,1975,31.5
04,06,1975,29.5
04,07,1975,29.5
04,08,1975,29.0
04,09,1975,29.5
04,10,1975,29.0
04,11,1975,28.0
04,12,1975,28.5
04,13,1975,29.5
04,14,1975,29.5
04,15,1975,29.5
04,16,1975,29.5
04,17,1975,30.5
04,18,1975,29.0
04,19,1975,27.0
04,20,1975,29.0
04,21,1975,31.0
04,22,1975,31.0
04,23,1975,31.0
04,24,1975,30.5
04,25,1975,29.5
04,26,1975,29.5
04,27,1975,28.5
04,28,1975,28.5
04,29,1975,27.5
04,30,1975,28.0
05,01,1975,27.0
05,02,1975,26.0
05,03,1975,29.0
05,04,1975,26.0
05,05,1975,28.0
05,06,1975,28.0
05,07,1975,28.5
05,08,1975,28.5
05,09,1975,29.5
05,10,1975,28.0
05,11,1975,29.5
05,12,1975,29.0
05,13,1975,28.5
05,14,1975,29.5
05,15,1975,29.0
05,16,1975,29.5
05,17,1975,29.5
05,18,1975,28.5
05,19,1975,29.5
05,20,1975,30.5
05,21,1975,30.0
05,22,1975,29.5
05,23,1975,29.5
05,24,1975,28.5
05,25,1975,28.5
05,26,1975,29.0
05,27,1975,27.5
05,28,1975,26.5
05,29,1975,27.5
05,30,1975,28.5
05,31,1975,29.0
06,01,1975,null
06,02,1975,null
06,03,1975,null
06,04,1975,null
06,05,1975,null
06,06,1975,null
06,07,1975,null
06,08,1975,null
06,09,1975,null
06,10,1975,null
06,11,1975,null
06,12,1975,null
06,13,1975,null
06,14,1975,null
06,15,1975,null
06,16,1975,null
06,17,1975,null
06,18,1975,null
06,19,1975,null
06,20,1975,null
06,21,1975,null
06,22,1975,null
06,23,1975,null
06,24,1975,null
06,25,1975,null
06,26,1975,null
06,27,1975,null
06,28,1975,null
06,29,1975,null
06,30,1975,null
07,01,1975,28.0
07,02,1975,26.5
07,03,1975,27.0
07,04,1975,27.5
07,05,1975,25.0
07,06,1975,25.0
07,07,1975,27.0
07,08,1975,26.5
07,09,1975,27.0
07,10,1975,24.5
07,11,1975,26.0
07,12,1975,28.0
07,13,1975,27.0
07,14,1975,26.0
07,15,1975,28.5
07,16,1975,27.5
07,17,1975,26.5
07,18,1975,28.0
07,19,1975,27.5
07,20,1975,28.0
07,21,1975,26.0
07,22,1975,27.0
07,23,1975,27.5
07,24,1975,27.0
07,25,1975,25.5
07,26,1975,25.5
07,27,1975,25.5
07,28,1975,27.0
07,29,1975,29.0
07,30,1975,29.5
07,31,1975,null
08,01,1975,27.5
08,02,1975,30.0
08,03,1975,27.0
08,04,1975,27.0
08,05,1975,28.0
08,06,1975,26.0
08,07,1975,28.0
08,08,1975,26.5
08,09,1975,27.0
08,10,1975,27.0
08,11,1975,27.5
08,12,1975,28.0
08,13,1975,27.5
08,14,1975,29.0
08,15,1975,28.5
08,16,1975,28.5
08,17,1975,29.0
08,18,1975,24.0
08,19,1975,27.0
08,20,1975,28.0
08,21,1975,27.0
08,22,1975,27.0
08,23,1975,28.0
08,24,1975,27.0
08,25,1975,27.0
08,26,1975,26.5
08,27,1975,26.0
08,28,1975,27.0
08,29,1975,27.5
08,30,1975,26.0
08,31,1975,null
09,01,1975,26.5
09,02,1975,26.0
09,03,1975,26.0
09,04,1975,26.5
09,05,1975,26.5
09,06,1975,27.0
09,07,1975,27.0
09,08,1975,27.0
09,09,1975,26.5
