Id:,20339
Estación:,SAN JUAN MIXTEPEC-OAX
Posición:,16.2761111111N -96.2880555556W
Variable:,Temp Promedio (oC)
Fecha Inicial:,12/01/1979
Fecha Final:,03/01/1985
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1979,null
12,02,1979,null
12,03,1979,null
12,04,1979,null
12,05,1979,null
12,06,1979,null
12,07,1979,17.0
12,08,1979,18.5
12,09,1979,16.25
12,10,1979,16.25
12,11,1979,14.75
12,12,1979,18.0
12,13,1979,18.0
12,14,1979,18.25
12,15,1979,15.0
12,16,1979,18.5
12,17,1979,19.25
12,18,1979,16.75
12,19,1979,16.0
12,20,1979,15.5
12,21,1979,16.0
12,22,1979,16.75
12,23,1979,17.0
12,24,1979,16.75
12,25,1979,17.25
12,26,1979,15.75
12,27,1979,16.0
12,28,1979,16.5
12,29,1979,16.75
12,30,1979,17.5
12,31,1979,16.5
01,01,1980,null
01,02,1980,null
01,03,1980,null
01,04,1980,null
01,05,1980,null
01,06,1980,null
01,07,1980,null
01,08,1980,null
01,09,1980,null
01,10,1980,null
01,11,1980,null
01,12,1980,null
01,13,1980,null
01,14,1980,null
01,15,1980,null
01,16,1980,null
01,17,1980,null
01,18,1980,null
01,19,1980,null
01,20,1980,null
01,21,1980,null
01,22,1980,null
01,23,1980,null
01,24,1980,null
01,25,1980,null
01,26,1980,null
01,27,1980,null
01,28,1980,null
01,29,1980,null
01,30,1980,null
01,31,1980,null
02,01,1980,17.25
02,02,1980,17.25
02,03,1980,17.5
02,04,1980,18.0
02,05,1980,19.5
02,06,1980,20.5
02,07,1980,20.0
02,08,1980,22.75
02,09,1980,23.5
02,10,1980,16.25
02,11,1980,17.0
02,12,1980,19.5
02,13,1980,19.0
02,14,1980,21.5
02,15,1980,23.25
02,16,1980,24.75
02,17,1980,21.5
02,18,1980,18.0
02,19,1980,22.75
02,20,1980,24.25
02,21,1980,24.5
02,22,1980,26.25
02,23,1980,26.0
02,24,1980,20.5
02,25,1980,22.75
02,26,1980,16.5
02,27,1980,18.25
02,28,1980,17.75
02,29,1980,24.5
03,01,1980,17.5
03,02,1980,16.5
03,03,1980,17.0
03,04,1980,17.5
03,05,1980,16.75
03,06,1980,19.5
03,07,1980,17.25
03,08,1980,20.0
03,09,1980,20.0
03,10,1980,19.5
03,11,1980,19.75
03,12,1980,19.25
03,13,1980,20.0
03,14,1980,20.25
03,15,1980,20.5
03,16,1980,20.75
03,17,1980,20.0
03,18,1980,20.5
03,19,1980,20.25
03,20,1980,19.75
03,21,1980,20.25
03,22,1980,20.5
03,23,1980,20.25
03,24,1980,19.5
03,25,1980,20.5
03,26,1980,20.75
03,27,1980,20.5
03,28,1980,20.5
03,29,1980,20.0
03,30,1980,20.25
03,31,1980,19.5
04,01,1980,20.75
04,02,1980,20.25
04,03,1980,20.5
04,04,1980,20.75
04,05,1980,19.75
04,06,1980,20.5
04,07,1980,20.0
04,08,1980,20.25
04,09,1980,20.0
04,10,1980,20.25
04,11,1980,20.25
04,12,1980,20.25
04,13,1980,20.5
04,14,1980,21.0
04,15,1980,19.75
04,16,1980,20.0
04,17,1980,19.75
04,18,1980,19.75
04,19,1980,20.25
04,20,1980,20.5
04,21,1980,20.75
04,22,1980,20.25
04,23,1980,20.0
04,24,1980,20.25
04,25,1980,20.0
04,26,1980,20.25
04,27,1980,20.0
04,28,1980,20.5
04,29,1980,20.25
04,30,1980,19.75
05,01,1980,20.5
05,02,1980,19.0
05,03,1980,18.5
05,04,1980,19.75
05,05,1980,20.5
05,06,1980,20.5
05,07,1980,21.75
05,08,1980,21.0
05,09,1980,20.0
05,10,1980,20.0
05,11,1980,20.5
05,12,1980,21.0
05,13,1980,21.5
05,14,1980,22.0
05,15,1980,22.25
05,16,1980,20.75
05,17,1980,21.75
05,18,1980,20.25
05,19,1980,21.75
05,20,1980,21.25
05,21,1980,21.75
05,22,1980,20.25
05,23,1980,21.0
05,24,1980,18.5
05,25,1980,21.0
05,26,1980,21.25
05,27,1980,21.25
05,28,1980,21.0
05,29,1980,20.5
05,30,1980,20.25
05,31,1980,22.0
06,01,1980,null
06,02,1980,null
06,03,1980,null
06,04,1980,null
06,05,1980,null
06,06,1980,null
06,07,1980,null
06,08,1980,null
06,09,1980,null
06,10,1980,null
06,11,1980,null
06,12,1980,null
06,13,1980,null
06,14,1980,null
06,15,1980,21.5
06,16,1980,21.25
06,17,1980,21.5
06,18,1980,20.75
06,19,1980,21.75
06,20,1980,21.75
06,21,1980,20.25
06,22,1980,21.25
06,23,1980,21.5
06,24,1980,21.75
06,25,1980,21.5
06,26,1980,21.0
06,27,1980,21.5
06,28,1980,21.75
06,29,1980,20.25
06,30,1980,21.0
07,01,1980,20.0
07,02,1980,17.75
07,03,1980,19.25
07,04,1980,20.5
07,05,1980,20.0
07,06,1980,20.75
07,07,1980,19.5
07,08,1980,20.5
07,09,1980,21.0
07,10,1980,20.25
07,11,1980,19.75
07,12,1980,19.25
07,13,1980,19.25
07,14,1980,19.75
07,15,1980,19.0
07,16,1980,18.75
07,17,1980,19.5
07,18,1980,19.75
07,19,1980,20.0
07,20,1980,19.25
07,21,1980,19.5
07,22,1980,19.25
07,23,1980,18.5
07,24,1980,18.75
07,25,1980,20.0
07,26,1980,19.5
07,27,1980,20.5
07,28,1980,20.5
07,29,1980,20.0
07,30,1980,20.0
07,31,1980,18.75
08,01,1980,19.0
08,02,1980,18.75
08,03,1980,20.25
08,04,1980,19.5
08,05,1980,20.25
08,06,1980,19.5
08,07,1980,19.0
08,08,1980,19.25
08,09,1980,19.25
08,10,1980,19.75
08,11,1980,20.25
08,12,1980,20.0
08,13,1980,20.5
08,14,1980,21.0
08,15,1980,20.5
08,16,1980,19.75
08,17,1980,20.5
08,18,1980,19.5
08,19,1980,20.0
08,20,1980,18.75
08,21,1980,18.75
08,22,1980,18.75
08,23,1980,19.5
08,24,1980,19.25
08,25,1980,19.0
08,26,1980,18.75
08,27,1980,21.0
08,28,1980,19.5
08,29,1980,20.0
08,30,1980,19.5
08,31,1980,20.0
09,01,1980,18.75
09,02,1980,19.25
09,03,1980,19.75
09,04,1980,19.75
09,05,1980,19.25
09,06,1980,20.0
09,07,1980,20.25
09,08,1980,20.5
09,09,1980,21.25
09,10,1980,19.5
09,11,1980,19.75
09,12,1980,19.5
09,13,1980,19.75
09,14,1980,20.75
09,15,1980,20.25
09,16,1980,20.5
09,17,1980,20.75
09,18,1980,21.0
09,19,1980,19.5
09,20,1980,19.25
09,21,1980,19.5
09,22,1980,19.25
09,23,1980,20.0
09,24,1980,21.25
09,25,1980,20.25
09,26,1980,20.75
09,27,1980,21.25
09,28,1980,20.75
09,29,1980,20.25
09,30,1980,20.25
10,01,1980,19.5
10,02,1980,18.75
10,03,1980,18.0
10,04,1980,17.5
10,05,1980,18.5
10,06,1980,17.75
10,07,1980,17.5
10,08,1980,17.75
10,09,1980,17.0
10,10,1980,19.0
10,11,1980,19.75
10,12,1980,16.25
10,13,1980,17.75
10,14,1980,19.5
10,15,1980,19.75
10,16,1980,19.0
10,17,1980,19.75
10,18,1980,19.5
10,19,1980,18.5
10,20,1980,18.5
10,21,1980,19.75
10,22,1980,19.0
10,23,1980,18.25
10,24,1980,19.0
10,25,1980,17.5
10,26,1980,18.5
10,27,1980,18.5
10,28,1980,18.0
10,29,1980,18.5
10,30,1980,18.25
10,31,1980,18.5
11,01,1980,18.5
11,02,1980,18.75
11,03,1980,18.5
11,04,1980,17.75
11,05,1980,17.0
11,06,1980,18.5
11,07,1980,18.25
11,08,1980,17.25
11,09,1980,18.5
11,10,1980,18.0
11,11,1980,18.0
11,12,1980,16.25
11,13,1980,16.75
11,14,1980,16.0
11,15,1980,16.5
11,16,1980,17.5
11,17,1980,17.5
11,18,1980,15.5
11,19,1980,16.0
11,20,1980,16.5
11,21,1980,16.0
11,22,1980,16.5
11,23,1980,16.25
11,24,1980,18.75
11,25,1980,16.5
11,26,1980,16.5
11,27,1980,16.25
11,28,1980,16.75
11,29,1980,16.0
11,30,1980,16.5
12,01,1980,18.0
12,02,1980,16.75
12,03,1980,17.0
12,04,1980,18.0
12,05,1980,18.0
12,06,1980,18.75
12,07,1980,18.5
12,08,1980,18.75
12,09,1980,17.75
12,10,1980,17.25
12,11,1980,18.25
12,12,1980,17.25
12,13,1980,17.5
12,14,1980,16.75
12,15,1980,15.75
12,16,1980,12.5
12,17,1980,10.5
12,18,1980,6.0
